qid,correct,wrong,prediction,gt_label
20,1.0,0,"['line_kruse', 'ulrich_thomsen', 'mads_mikkelsen', 'nikolaj_lie_kaas']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['hal_hartley', 'rob_epstein', 'todd_field', 'jeffrey_friedman']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,1.0,0,"['1958', '1956']","['1956', '1958']"
80,1.0,0,"['fernando_meirelles', 'françois_girard', 'john_maybury']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9230769230769229,0,"['1999', '2003', '2005', '2008', '2009', '2006', '2007', '2011', '2001', '2004', '2002', '2000']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,1.0,0,"['drama', 'horror', 'action', 'comedy']","['Action', 'Drama', 'Horror', 'Comedy']"
140,0.02040816326530612,0,['mel_gibson'],"['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,0.08333333333333333,0,['ken_shapiro'],"['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1954', '1955']","['1955', '1954']"
200,0.9999999999999999,0,"['rebecca_de_mornay', 'vincent_spano', 'terence_stamp', 'brigitte_bardot', 'alain_delon', 'jane_fonda']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0.9999999999999999,0,"['adventure', 'thriller', 'crime', 'drama', 'horror', 'action']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,0.9166666666666667,0,"['adventure', 'romance', 'thriller', 'comedy', 'mystery', 'drama', 'fantasy', 'crime', 'horror', 'action', 'war']","['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0.9999999999999998,0,"['marlon_wayans', 'cecil_parker', 'peter_sellers', 'herbert_lom', 'tony_curtis', 'irma_p._hall', 'joan_greenwood', 'martin_milner', 'claudia_cardinale', 'alec_guinness', 'tom_hanks', 'burt_lancaster', 'susan_harrison']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,0,0,[],['Chris Rock']
300,0.9999999999999998,0,"['georgina_reilly', 'greg_calderone', 'ellen_page', 'bruce_mcdonald', 'hugh_dillon', 'bernie_coulson', 'callum_keith_rennie']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,1.0,0,"['maria_sole_tognazzi', 'silvio_soldini', 'carlo_verdone']","['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,0.9999999999999996,0,"['thomas_meehan', 'harold_gray', 'guy_gallo', 'whitley_strieber', 'leslie_bricusse', 'josephine_humphreys', 'charles_dickens', 'michael_wadleigh', 'peter_mayle', 'john_august', 'will_gluck', 'shane_connaughton', 'neville_smith', 'malcolm_lowry', 'frederic_raphael', 'ronald_harwood', 'alan_sillitoe', 'daniel_wallace', 'kelly_masterson', 'michael_crichton', 'bo_goldman', 'carol_sobieski', 'terence_rattigan']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0.857142857142857,0,"['adventure', 'music', 'comedy', 'drama', 'biography', 'mystery']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,1.0,0,"['2004', '2010']","['2010', '2004']"
400,0,0,Abstain,"['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,0.8333333333333334,0,"['2003', '2009', '2008', '1994', '2007', '2013', '2004', '2000', '1998', '1955']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,1.0,0,"['1999', '1995', '2009', '1979', '2006', '1977', '1960', '2007', '1992', '2001', '1920', '2002', '1981', '1972', '1936', '1991', '1983']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,0.9999999999999999,0,"['hugh_grant', 'thomas_ian_nicholas', 'alyson_hannigan', 'chris_klein', 'nicholas_hoult', 'jason_biggs']","['Chris Klein', 'Hugh Grant', 'Nicholas Hoult', 'Jason Biggs', 'Alyson Hannigan', 'Thomas Ian Nicholas']"
480,1.0,0,"['drama', 'action', 'crime']","['Action', 'Drama', 'Crime']"
