qid,prediction,gt_label
1595,False,False
1607,False,False
1631,Abstain,False
1640,False,False
1696,False,False
1743,False,False
1770,Abstain,False
1787,Abstain,False
1890,False,False
1978,False,False
2094,False,False
2134,Abstain,False
2184,False,False
2197,Abstain,False
2351,Abstain,False
2361,False,False
2384,Abstain,False
2391,Abstain,False
2406,False,False
2414,False,False
2980,Abstain,False
3039,Abstain,False
3110,Abstain,False
3127,Abstain,False
3145,False,False
3219,False,False
3351,Abstain,False
3386,False,False
3392,False,False
3452,False,False
3461,Abstain,False
3504,Abstain,False
3564,Abstain,False
3566,False,False
3578,Abstain,False
3619,False,False
3625,False,False
3656,True,False
3744,False,False
3759,False,False
3804,Abstain,False
3816,Abstain,False
3835,Abstain,False
3839,False,False
3896,Abstain,False
3907,Abstain,False
8256,True,True
8268,Abstain,True
8271,False,True
8311,True,True
8313,True,True
8353,False,True
8433,Abstain,True
8440,True,True
8607,True,True
8662,True,True
8725,Abstain,True
8740,True,True
8756,False,True
8763,True,True
8815,True,True
8862,Abstain,True
8988,Abstain,True
9078,False,True
9094,Abstain,True
9099,False,True
9112,False,True
9147,Abstain,True
9161,Abstain,True
9299,True,True
9321,True,True
9388,Abstain,True
9443,False,True
9476,True,True
9498,False,True
9583,Abstain,True
9595,True,True
9599,True,True
9657,False,True
9659,False,True
9681,Abstain,True
9701,Abstain,True
9713,Abstain,True
9799,Abstain,True
9809,False,True
9822,False,True
9848,True,True
9900,Abstain,True
9909,Abstain,True
9950,True,True
9990,True,True
10004,Abstain,True
10059,Abstain,True
10074,Abstain,True
10108,Abstain,True
11541,True,False
11611,False,False
12029,Abstain,False
12046,False,False
12117,Abstain,True
