qid,correct,wrong,prediction,gt_label
20,1.0,0,"['mads_mikkelsen', 'line_kruse', 'ulrich_thomsen', 'nikolaj_lie_kaas']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['jeffrey_friedman', 'hal_hartley', 'todd_field', 'rob_epstein']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,1.0,0,"['1958', '1956']","['1956', '1958']"
80,1.0,0,"['fernando_meirelles', 'françois_girard', 'john_maybury']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9999999999999998,0,"['1986', '2009', '2005', '2008', '2003', '2007', '2002', '1999', '2006', '2004', '2001', '2000', '2011']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,1.0,0,"['comedy', 'action', 'drama', 'horror']","['Action', 'Drama', 'Horror', 'Comedy']"
140,1.0000000000000007,0,"['wim_wenders', 'luis_mandoki', 'phil_joanou', 'anthony_minghella', 'dean_semler', 'nancy_meyers', 'tim_burstall', 'richard_donner', 'mark_rydell', 'peter_lord', 'michael_almereyda', 'john_gielgud', 'grigori_kozintsev', 'adrian_grunberg', 'jodie_foster', 'robert_zemeckis', 'john_badham', 'robert_rodriguez', 'gillian_armstrong', 'randall_wallace', 'robert_towne', 'brian_helgeland', 'franco_zeffirelli', 'laurence_olivier', 'martin_campbell', 'george_miller', 'george_ogilvie', 'sean_penn', 'nick_park', 'kenneth_branagh', 'roland_emmerich', 'roger_spottiswoode', 'roger_donaldson', 'm._night_shyamalan', 'jeff_stanzler', 'gillies_mackinnon', 'robert_redford', 'peter_weir', 'barry_levinson', 'tony_richardson', 'mel_gibson', 'ron_howard', 'jean_renoir', 'jarmo_lampela', 'steve_miner', 'lewis_milestone', 'pen_densham', 'nick_cassavetes', 'graham_baker']","['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,1.0,0,"['john_carpenter', 'john_landis', 'william_friedkin', 'stephen_herek', 'peter_hewitt', 'michael_ritchie', 'jay_sandrich', 'harold_ramis', 'ken_shapiro', 'stephen_kessler', 'george_roy_hill', 'colin_higgins']","['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1954', '1955']","['1955', '1954']"
200,0.9999999999999999,0,"['rebecca_de_mornay', 'jane_fonda', 'vincent_spano', 'brigitte_bardot', 'alain_delon', 'terence_stamp']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0.9999999999999999,0,"['thriller', 'horror', 'drama', 'adventure', 'crime', 'action']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,1.0,0,"['western', 'war', 'thriller', 'horror', 'comedy', 'drama', 'adventure', 'crime', 'fantasy', 'action', 'romance', 'mystery']","['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0.9999999999999998,0,"['peter_sellers', 'joan_greenwood', 'claudia_cardinale', 'herbert_lom', 'tom_hanks', 'cecil_parker', 'marlon_wayans', 'susan_harrison', 'burt_lancaster', 'martin_milner', 'tony_curtis', 'irma_p._hall', 'alec_guinness']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,1.0,0,['chris_rock'],['Chris Rock']
300,0.9999999999999998,0,"['greg_calderone', 'georgina_reilly', 'callum_keith_rennie', 'hugh_dillon', 'ellen_page', 'bruce_mcdonald', 'bernie_coulson']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,0,0,Abstain,"['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,0.9999999999999996,0,"['terence_rattigan', 'leslie_bricusse', 'josephine_humphreys', 'shane_connaughton', 'michael_crichton', 'michael_wadleigh', 'ronald_harwood', 'charles_dickens', 'thomas_meehan', 'bo_goldman', 'malcolm_lowry', 'john_august', 'whitley_strieber', 'neville_smith', 'peter_mayle', 'frederic_raphael', 'kelly_masterson', 'guy_gallo', 'harold_gray', 'alan_sillitoe', 'carol_sobieski', 'daniel_wallace', 'will_gluck']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0.9999999999999998,0,"['biography', 'comedy', 'drama', 'music', 'adventure', 'crime', 'mystery']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
