qid,prediction,gt_label
WebQTest-31,Error,[None]
WebQTest-54,['Nazi Germany'],['Nazi Germany']
WebQTest-76,"['Head of a Woman', 'Leda and the Swan', 'Portrait of a Young Fiancée', 'Madonna Litta', 'Drapery for a Seated Figure', 'Virgin of the Rocks', 'Sala delle Asse', 'Mona Lisa', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', 'Annunciation', 'Benois Madonna', 'Portrait of a Musician', 'Madonna of Laroque', 'The Virgin and Child with St Anne and St John the Baptist', 'Adoration of the Magi', 'Vitruvian Man', 'Lucan portrait of Leonardo da Vinci', 'Horse and Rider', 'St. John the Baptist', ""Portrait of Isabella d'Este"", 'Bacchus', 'La belle ferronnière', 'The Holy Infants Embracing', 'The Virgin and Child with St. Anne', 'Madonna of the Yarnwinder', ""Leonardo's horse"", 'Lady with an Ermine', 'Medusa', 'Salvator Mundi', 'The Baptism of Christ', 'The Last Supper', 'The Battle of Anghiari', 'Portrait of a man in red chalk', ""Ginevra de' Benci""]","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,['Spanish Language'],"['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Estonia', 'Latvia', 'Lithuania']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Fender Stratocaster', 'Rickenbacker 360/12']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Neon lamp', 'Tesla coil', 'Remote control', 'Alternating current', 'Three-phase electric power', 'Induction motor', 'Wireless telegraphy']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003'],['2003–04 NBA season']
