qid,prediction,gt_label
WebQTest-31,Error,[None]
WebQTest-54,['Nazi Germany'],['Nazi Germany']
WebQTest-76,"[""La belle ferronnière"", ""Annunciation"", ""Medusa"", ""Horse and Rider"", ""Madonna of the Yarnwinder"", ""The Battle of Anghiari"", ""The Virgin and Child with St. Anne"", ""The Virgin and Child with St Anne and St John the Baptist"", ""Madonna and Child with St Joseph"", ""Madonna of the Carnation"", ""Benois Madonna"", ""St. Jerome in the Wilderness"", ""Bacchus"", ""The Holy Infants Embracing"", ""Madonna of Laroque"", ""Virgin of the Rocks"", ""Ginevra de' Benci"", ""Vitruvian Man"", ""Portrait of Isabella d'Este"", ""Head of a Woman"", ""Lucan portrait of Leonardo da Vinci"", ""Portrait of a Musician"", ""Salvator Mundi"", ""Adoration of the Magi"", ""Drapery for a Seated Figure"", ""The Baptism of Christ"", ""Sala delle Asse"", ""St. John the Baptist"", ""Leda and the Swan"", ""Mona Lisa"", ""Madonna Litta"", ""Lady with an Ermine"", ""Leonardo's horse"", ""The Last Supper"", ""Portrait of a Young Fiancée""]","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,"[""Lucumi Language"", ""Spanish Language"", ""Haitian Creole""]","['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Latvia', 'Lithuania', 'Estonia']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"[""Fender Stratocaster"", ""Rickenbacker 360/12""]","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"[""Tesla coil"", ""Induction motor"", ""Wireless telegraphy"", ""Three-phase electric power"", ""Neon lamp"", ""Remote control"", ""Alternating current""]","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
