qid,correct,wrong,prediction,gt_label
20,1.0,0,"['mads_mikkelsen', 'nikolaj_lie_kaas', 'ulrich_thomsen', 'line_kruse']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['jeffrey_friedman', 'hal_hartley', 'todd_field', 'rob_epstein']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,0,2.5,Error,"['1956', '1958']"
80,1.0,0,"['fernando_meirelles', 'john_maybury', 'françois_girard']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9999999999999998,0,"['2000', '1986', '1999', '2007', '2005', '2008', '2006', '2011', '2001', '2003', '2002', '2004', '2009']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,1.0,0,"['action', 'drama', 'horror', 'comedy']","['Action', 'Drama', 'Horror', 'Comedy']"
140,0,0.1020408163265306,Error,"['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,1.0,0,"['stephen_kessler', 'stephen_herek', 'peter_hewitt', 'michael_ritchie', 'william_friedkin', 'john_carpenter', 'jay_sandrich', 'harold_ramis', 'ken_shapiro', 'colin_higgins', 'john_landis', 'george_roy_hill']","['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1954', '1955']","['1955', '1954']"
200,0.9999999999999999,0,"['vincent_spano', 'brigitte_bardot', 'jane_fonda', 'terence_stamp', 'alain_delon', 'rebecca_de_mornay']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0.9999999999999999,0,"['thriller', 'adventure', 'drama', 'crime', 'action', 'horror']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,0,0.41666666666666663,Error,"['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0.9999999999999998,0,"['peter_sellers', 'irma_p._hall', 'claudia_cardinale', 'martin_milner', 'burt_lancaster', 'tony_curtis', 'joan_greenwood', 'alec_guinness', 'marlon_wayans', 'herbert_lom', 'cecil_parker', 'tom_hanks', 'susan_harrison']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,1.0,0,['chris_rock'],['Chris Rock']
300,0.9999999999999998,0,"['callum_keith_rennie', 'georgina_reilly', 'ellen_page', 'greg_calderone', 'bruce_mcdonald', 'hugh_dillon', 'bernie_coulson']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,1.0,0,"['maria_sole_tognazzi', 'carlo_verdone', 'silvio_soldini']","['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,0.9565217391304344,0,"['neville_smith', 'ronald_harwood', 'alan_sillitoe', 'daniel_wallace', 'whitley_strieber', 'leslie_bricusse', 'frederic_raphael', 'terence_rattigan', 'peter_mayle', 'harold_gray', 'thomas_meehan', 'carol_sobieski', 'john_august', 'guy_gallo', 'malcolm_lowry', 'josephine_humphreys', 'michael_wadleigh', 'bo_goldman', 'charles_dickens', 'michael_crichton', 'shane_connaughton', 'will_gluck']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0,0.7142857142857142,Error,"['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,1.0,0,"['2010', '2004']","['2010', '2004']"
400,0,0.20833333333333331,Error,"['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,1.0,0,"['2000', '2007', '2008', '2013', '2006', '2001', '1994', '2003', '1955', '1998', '2004', '2009']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,1.0,0,"['1991', '2007', '1999', '1960', '1920', '1981', '2006', '1979', '2001', '2002', '1972', '1995', '1992', '1983', '2009', '1936', '1977']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,0.9999999999999999,0,"['alyson_hannigan', 'thomas_ian_nicholas', 'jason_biggs', 'chris_klein', 'hugh_grant', 'nicholas_hoult']","['Chris Klein', 'Hugh Grant', 'Nicholas Hoult', 'Jason Biggs', 'Alyson Hannigan', 'Thomas Ian Nicholas']"
480,1.0,0,"['action', 'drama', 'crime']","['Action', 'Drama', 'Crime']"
500,0,17.461538461538417,"['pär_lagerkvist', 'alf_sjöberg', 'baynard_kendrick', 'robert_buckner', 'richard_brooks', 'sinclair_lewis', 'philip_yordan', 'thomas_t._flynn', 'frank_burt', 'claude_stanush', 'david_dortort', 'horace_mccoy', 'don_mankiewicz'])","['Don Mankiewicz', 'Thomas T. Flynn', 'Horace McCoy', 'Baynard Kendrick', 'Philip Yordan', 'Sinclair Lewis', 'David Dortort', 'Robert Buckner', 'Frank Burt', 'Claude Stanush', 'Richard Brooks', 'Alf Sjöberg', 'Pär Lagerkvist']"
520,0,0.7142857142857142,Error,"['Elia Kazan', 'David S. Ward', 'Gary Sinise', 'Victor Fleming', 'Emilio Fernández', 'Lewis Milestone', 'John Ford']"
540,1.0,0,"['western', 'comedy', 'documentary', 'action', 'horror']","['Action', 'Horror', 'Comedy', 'Documentary', 'Western']"
560,0,16.52941176470583,"['robert_loggia', 'meg_ryan', 'colm_feore', 'selma_blair', 'william_h._macy', 'michael_sheen', 'david_morrissey', 'christian_slater', 'don_rickles', 'keke_palmer', 'ned_beatty', 'joan_crawford', 'edward_kerr', 'christopher_reeve', 'fred_macmurray', 'kim_cattrall', 'billy_crudup'])","['William H. Macy', 'Christopher Reeve', 'Michael Sheen', 'Joan Crawford', 'Colm Feore', 'Ned Beatty', 'Robert Loggia', 'Don Rickles', 'Edward Kerr', 'Meg Ryan', 'Selma Blair', 'David Morrissey', 'Keke Palmer', 'Fred MacMurray', 'Kim Cattrall', 'Billy Crudup', 'Christian Slater']"
580,1.0,0,"['1993', '2010']","['1993', '2010']"
600,0,1.0,Error,"['Drama', 'Action', 'Crime', 'War', 'History']"
620,1.0,0,['2002'],['2002']
640,1.0,0,"['comedy', 'biography', 'romance', 'drama', 'horror']","['Drama', 'Romance', 'Horror', 'Comedy', 'Biography']"
660,0.9999999999999999,0,"['dennis_hopper', 'joseph_mcgrath', 'christian_marquand', 'neil_armfield', 'robert_altman', 'tony_richardson']","['Tony Richardson', 'Robert Altman', 'Neil Armfield', 'Dennis Hopper', 'Joseph McGrath', 'Christian Marquand']"
680,0,1.0,Error,"['Action', 'Drama', 'Comedy', 'Thriller', 'Crime']"
700,1.0000000000000002,0,"['1999', '1986', '2005', '2010', '2013', '2011', '1979', '1974', '1988', '1994', '1982', '2002', '1948', '1992', '1967', '1965', '1971', '1976']","['1986', '1948', '1992', '1982', '1994', '1979', '1999', '1965', '1974', '1967', '1971', '2002', '1988', '2005', '1976', '2011', '2010', '2013']"
720,1.0,0,['paolo_sorrentino'],['Paolo Sorrentino']
740,0,2.5,Error,"['French', 'Italian']"
760,0,0.7142857142857142,Error,"['Susan Seidelman', 'Barbara Wilson', 'Barry Strugatz', 'Fay Weldon', 'David Cramer', 'Shelly Gitlow', 'Mark R. Burns']"
780,0,16.23999999999983,"['edward_zwick', 'stephen_daldry', 'david_gordon_green', 'doug_liman', 'steven_spielberg', 'kevin_macdonald', 'arie_posin', 'roland_emmerich', 'david_lynch', 'jon_amiel', 'wim_wenders', 'gary_goldman', 'don_bluth', 'mel_brooks', 'john_dahl', 'wes_craven', 'harold_becker', 'jake_kasdan', 'jon_turteltaub', 'steve_miner', 'mike_figgis', 'curtiss_clayton', 'donald_petrie', 'carl_reiner', 'jonathan_kaplan'])","['Wes Craven', 'Arie Posin', 'Steven Spielberg', 'Jon Turteltaub', 'Mike Figgis', 'Wim Wenders', 'John Dahl', 'Curtiss Clayton', 'David Lynch', 'Carl Reiner', 'Jonathan Kaplan', 'Steve Miner', 'Don Bluth', 'Edward Zwick', 'Donald Petrie', 'David Gordon Green', 'Kevin Macdonald', 'Doug Liman', 'Gary Goldman', 'Stephen Daldry', 'Roland Emmerich', 'Jake Kasdan', 'Mel Brooks', 'Harold Becker', 'Jon Amiel']"
800,1.0,0,['1968'],['1968']
820,0.9999999999999998,0,"['war', 'thriller', 'comedy', 'adventure', 'drama', 'mystery', 'horror']","['Mystery', 'Horror', 'Drama', 'Adventure', 'Comedy', 'War', 'Thriller']"
840,1.0,0,['dylan_thomas'],['Dylan Thomas']
