qid,prediction,gt_label
20,['abstain'],['Comedy']
40,['abstain'],"['Joseph L. Mankiewicz', 'Graham Greene']"
60,['abstain'],['John Gilling']
80,"['theambushers', 'thebigcountry', 'theviolentmen', 'thewreckingcrew', 'thesilencers']","['The Silencers', 'The Big Country', 'The Violent Men', 'The Wrecking Crew']"
100,['abstain'],['Amistad']
120,['01'],['2012']
140,"['adventure', 'horror', 'thriller', 'comedy', 'fantasy', 'crime', 'action', 'drama']","['Horror', 'Crime', 'Drama', 'Fantasy', 'Adventure', 'Action', 'Comedy', 'Thriller']"
160,"['kinglear', 'theavengers', 'loveslabourslost', 'o', 'thetamingoftheshrew', 'juliuscaesar', 'hamlet', 'tempest', 'menofrespect', 'macbeth', 'richardiii', 'othello', 'thebanquet', 'buffythevampireslayer', 'haider', 'asyoulikeit', 'chimesatmidnight', 'prosperosbooks', 'lookingforrichard', 'amidsummernightsdream', 'coriolanus', 'themagicflute', 'toystory', 'privateromeo', 'thecabininthewoods', 'romeoandjuliet', 'inyoureyes', 'henryv', 'serenity', 'romeojuliet', 'thetempest', 'kingoftexas']","['King Lear', 'Julius Caesar', 'Men of Respect', 'Private Romeo', 'Romeo and Juliet', 'In Your Eyes', 'The Tempest', 'Romeo + Juliet', 'The Taming of the Shrew', 'Coriolanus', ""A Midsummer Night's Dream"", 'Looking for Richard', 'The Avengers', 'Othello', 'O', 'The Magic Flute', 'Henry V', 'Serenity', 'Richard III', ""Prospero's Books"", 'The Banquet', 'Macbeth', 'Toy Story', 'Hamlet', 'The Cabin in the Woods', 'Chimes at Midnight', 'Haider', 'King of Texas', 'As You Like It', ""Love's Labour's Lost"", 'Tempest', 'Buffy the Vampire Slayer']"
180,"['stevensoderbergh', 'andreitarkovsky']","['Steven Soderbergh', 'Andrei Tarkovsky']"
200,"['french', 'italian']","['French', 'Italian']"
220,"['documentary', 'animation']","['Animation', 'Documentary']"
240,['2001'],['2001']
260,"['1996', '1992', '2003', '2009', '1987']","['1987', '1992', '1996', '2003', '2001', '2007', '2009']"
280,"['livefreeordie', 'tadpole', 'rick', 'flakes']","['Live Free or Die', 'Tadpole', 'Rick']"
300,"['emmanuellechriqui', 'billycrudup', 'christinelahti', 'desmondharrington', 'elizadushku', 'angelabettis', 'jamesduval', 'monicapotter', 'annafaris', 'jeffgoldblum', 'donaldsutherland', 'jimcaviezel', 'aliciasilverstone', 'jenniferlopez']","['Christine Lahti', 'Donald Sutherland', 'Angela Bettis', 'Jeff Goldblum', 'Billy Crudup', 'Jennifer Lopez', 'Desmond Harrington', 'Eliza Dushku', 'James Duval', 'Anna Faris', 'Alicia Silverstone', 'Monica Potter', 'Emmanuelle Chriqui', 'Jim Caviezel']"
