0,['Order of the British Empire'],['Rome Prize']
10,['Wolverhampton Wanderers'],['Burnley F.C.']
20,['FC Bayern Munich'],['Germany national under-21 football team']
30,['Hull City'],['Port Vale F.C.']
40,['Hero of the Soviet Union'],"['Hero of the Soviet Union', 'Order of Lenin', 'Medal ""For the Capture of Berlin""', 'Order of Kutuzov, 1st class']"
50,['Sir Edward Thornton'],"['Charles Stuart, 1st Baron Stuart de Rothesay']"
60,['Johan Wilhelm Suomalainen'],"['Juho Vennola', 'Lauri Ingman', 'Kyösti Kallio', 'Erkki Kaila']"
70,['Brescia'],"['Italy national football team', 'Brescia Calcio']"
80,['NAACP Image Award'],"['Tony Award for Best Featured Actor in a Play', 'Theatre World Award']"
90,['Parma'],"['Juventus F.C.', 'Italy national under-21 football team', 'A.C. Perugia Calcio']"
100,['James Midgley'],['Geoffrey Midgley']
110,['Torino'],['Club Atlético River Plate']
120,['James Tait Black Memorial Prize'],['John Addison Porter Prize']
130,['Bologna'],['Club Atlético River Plate']
140,['Nobel Prize in Physics'],['Sakurai Prize']
150,['Prince of Asturias Award'],['International Simón Bolívar Prize']
160,['J.J. Sakurai Prize for Theoretical Particle Physics'],"['ICTP Dirac Medal', 'Dirac Prize']"
170,"['José María Aznar', 'Juan Carlos I', 'María Teresa Fernández de la Vega', 'Rafael Benjumea', 'Alfonso Guerra']","['Juan José Lucas', 'Eloísa Álvarez Oteo', 'Jesús Merino Delgado']"
180,['Fulham'],"['Brentford F.C.', 'Millwall F.C.']"
190,['Torino'],['Bologna F.C. 1909']
200,['Prince Wilhelm of Hesse-Rotenburg'],['John Christian']
210,['Huygens Medal'],['Leopold-von-Buch-Plaque']
220,['Frederick August I'],['George I of Great Britain']
230,['Satellite Award'],['Theatre World Award']
240,['Macclesfield Town'],['Sunderland A.F.C.']
250,['Wolverhampton Wanderers'],"['Wolverhampton Wanderers F.C.', 'England national football team']"
260,['Newport County'],"['Queens Park Rangers F.C.', 'Leyton Orient F.C.']"
270,['Atalanta'],"['A.C. Milan', 'Calcio Padova']"
