qid,prediction,gt_label
WebQTest-31,['Dunblane'],[None]
WebQTest-54,['Nazi Germany'],['Nazi Germany']
WebQTest-76,"['St. John the Baptist', ""Ginevra de' Benci"", 'Head of a Woman', 'g.120vt1gz', 'Portrait of a man in red chalk', 'g.1224tf0c', 'The Baptism of Christ', 'Mona Lisa', 'Annunciation', 'g.121yh91r', 'Portrait of a Young Fiancée', 'Medusa', 'Sala delle Asse', 'The Last Supper', 'La belle ferronnière', 'Salvator Mundi', 'The Virgin and Child with St. Anne', 'The Battle of Anghiari', 'Leda and the Swan', 'g.1219sb0g', 'Lady with an Ermine', 'Madonna of the Carnation', 'g.12215rxg', 'Madonna of Laroque', 'St. Jerome in the Wilderness', 'Adoration of the Magi', 'Bacchus', 'g.121wt37c', 'Drapery for a Seated Figure', 'Portrait of a Musician', 'Horse and Rider', 'Virgin of the Rocks', 'The Virgin and Child with St Anne and St John the Baptist', 'The Holy Infants Embracing', ""Portrait of Isabella d'Este"", 'g.1213jb_b', 'g.12314dm1', 'Madonna of the Yarnwinder', 'Virgin of the Rocks', 'Benois Madonna', 'Lucan portrait of Leonardo da Vinci', ""Leonardo's horse"", 'Madonna Litta', 'g.1239jd9p', 'Vitruvian Man', 'Madonna and Child with St Joseph']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,"['Haitian Creole', 'Spanish Language', 'Lucumi Language']","['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Lithuania', 'Estonia', 'Latvia']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Fender Stratocaster', 'Rickenbacker 360/12']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Wireless telegraphy', 'Tesla coil', 'Remote control', 'Induction motor', 'Neon lamp', 'Three-phase electric power', 'Alternating current']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003'],['2003–04 NBA season']
WebQTest-298,"['1983 World Series', '1970 World Series', '1966 World Series']","['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['The Lost Symbol', 'EDtv', 'Cocoon', 'The Paper', 'Grand Theft Auto', 'The Dark Tower', 'The Da Vinci Code', 'Night Shift', 'Jay-Z: Made in America', 'Cotton Candy', 'Backdraft', 'Far and Away', 'Apollo 13', 'Rush', 'A Beautiful Mind', 'Splash', 'The Missing', 'Gung Ho', 'In the Heart of the Sea', 'Cinderella Man', 'Presidential Reunion', 'Frost/Nixon', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Inferno', 'Ransom', 'Parenthood', 'The Dilemma', 'Angels & Demons', 'Willow']","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
WebQTest-349,"['Chicago Bulls', 'Duke Blue Devils men's basketball', 'Los Angeles Lakers']","['Cleveland Cavaliers', 'Utah Jazz']"
WebQTest-380,"['Washington, USA']","['North America', 'Washington', 'United States of America', 'Cascade Range', 'Skamania County']"
WebQTest-403,['Turkish Language'],"['Turkish Language', 'Zaza language', 'Ladino Language', 'Kurdish languages', 'Arabic Language']"
WebQTest-428,"['Michigan', 'Iowa', 'Minnesota', 'North Dakota', 'Missouri', 'Wisconsin', 'Nebraska', 'Kansas', 'Ohio', 'South Dakota', 'Indiana', 'Illinois']","['Avenue of the Saints', 'West North Central States', 'East North Central States', 'Iowa', 'Illinois', 'Indiana', 'Kansas', 'Michigan', 'Missouri', 'Minnesota', 'Nebraska', 'North Dakota', 'Ohio', 'South Dakota', 'Wisconsin', 'Council Grove']"
WebQTest-453,"['Bribri Language', 'Jamaican Creole English Language', 'Spanish Language', 'Limonese Creole']","['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']"
WebQTest-479,Abstain,['University of Oklahoma']
WebQTest-509,"['Presidential system', 'Federal republic']","['Presidential system', 'Federal republic']"
WebQTest-532,['Football'],['Football']
WebQTest-559,"['Violin', 'Piano']","['Piano', 'Violin']"
WebQTest-585,['England'],['England']
WebQTest-612,Error,['Carolina Panthers']
WebQTest-635,"['James Humphries', 'Kyle / Kenny / Jesus', 'Kenny McCormick', 'Kyle Broflovski', 'Jimbo Kearn', 'Former Columbine Student', 'Bill Gates', 'Hermaphrodite', 'Gerald Broflovski', 'Man toasting drinks at MCA outdoor bar', 'Ticket Taker', 'Doug Remer', 'Chris', 'Danny Glover', 'Wizard of Oz', 'Terrance Henry Stoot', 'Ethan Hawke', 'Dave the Lighting Guy', 'Taper Guy', 'George Clooney', 'Saddam Hussein', 'Tweek Tweak', 'Butters Stotch', 'Terrance', 'Ichabod Jones/Carlos/Rom', 'John McCain', 'Saddam Hussein', 'Terrance Henry Stoot']","['Kenny McCormick', 'Kyle Broflovski', 'Wizard of Oz', 'Terrance Henry Stoot', 'Gerald Broflovski', 'Bill Gates', 'Ethan Hawke', 'Chris', 'George Clooney', 'Danny Glover', 'Jimbo Kearn', 'Saddam Hussein', 'James Humphries', 'Former Columbine Student', 'Doug Remer', 'Hermaphrodite', 'Taper Guy', 'Kyle / Kenny / Jesus', 'Dave the Lighting Guy', 'Man toasting drinks at MCA outdoor bar', 'Ticket Taker']"
WebQTest-657,['Memphis'],['Memphis']
WebQTest-680,"['Atlético Madrid', 'Manchester City F.C.', 'Argentina national football team', 'Club Atlético Independiente']","['Manchester City F.C.', 'Argentina national football team', 'Club Atlético Independiente', 'Atlético Madrid']"
WebQTest-704,"['Ethnographer', 'Cinematographer', 'Film Producer', 'Film Director', 'Scientist', 'Adventurer', 'Academic']","['Film Producer', 'Adventurer', 'Film director', 'Ethnographer', 'Scientist', 'Cinematographer']"
WebQTest-728,Error,"['Nancy Pelosi', 'John Boehner']"
WebQTest-752,['Coca-Cola'],['Coca-Cola']
