qid,prediction,gt_label
WebQTest-31,['Glasgow'],[None]
WebQTest-54,['Nazi Germany'],['Nazi Germany']
WebQTest-76,"['The Last Supper', ""Ginevra de' Benci"", 'Lady with an Ermine', 'Portrait of a Musician', 'g.1239jd9p', 'St. John the Baptist', 'Mona Lisa', 'Madonna and Child with St Joseph', 'The Virgin and Child with St. Anne', 'The Baptism of Christ', 'Head of a Woman', 'Drapery for a Seated Figure', ""Portrait of Isabella d'Este"", 'Salvator Mundi', 'Madonna of the Yarnwinder', 'Sala delle Asse', 'Annunciation', 'g.120vt1gz', 'La belle ferronnière', 'g.12215rxg', 'Portrait of a man in red chalk', 'The Holy Infants Embracing', 'g.1213jb_b', 'Virgin of the Rocks', 'Lucan portrait of Leonardo da Vinci', 'Vitruvian Man', 'Madonna Litta', 'Leda and the Swan', 'Portrait of a Young Fiancée', 'Virgin of the Rocks', 'g.121wt37c', 'Benois Madonna', 'The Virgin and Child with St Anne and St John the Baptist', ""Leonardo's horse"", 'The Battle of Anghiari', 'g.12314dm1', 'Adoration of the Magi', 'g.121yh91r', 'Horse and Rider', 'Madonna of the Carnation', 'Bacchus', 'St. Jerome in the Wilderness', 'g.1219sb0g', 'Madonna of Laroque', 'g.1224tf0c', 'Medusa']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,['Spanish Language'],"['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Estonia', 'Lithuania', 'Latvia']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Fender Stratocaster', 'Rickenbacker 360/12']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Alternating current', 'Wireless telegraphy', 'Tesla coil', 'Three-phase electric power', 'Neon lamp', 'Induction motor', 'Remote control']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003-08-00'],['2003–04 NBA season']
WebQTest-298,"['1966 World Series', '1970 World Series', '1983 World Series']","['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['Rush', 'Ransom', 'The Lost Symbol', 'Grand Theft Auto', 'The Dilemma', 'Backdraft', 'Splash', 'The Paper', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Jay-Z: Made in America', 'Angels & Demons', 'The Missing', 'Inferno', 'Night Shift', 'EDtv', 'Frost/Nixon', 'Apollo 13', 'Cinderella Man', 'Willow', 'Parenthood', 'Cotton Candy', 'Far and Away', 'In the Heart of the Sea', 'Cocoon', 'A Beautiful Mind', 'Presidential Reunion', 'The Dark Tower', 'Gung Ho', 'The Da Vinci Code']","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
WebQTest-349,"['Los Angeles Lakers', 'Chicago Bulls', 'Duke Blue Devils men's basketball']","['Cleveland Cavaliers', 'Utah Jazz']"
WebQTest-380,"['Washington, United States']","['North America', 'Washington', 'United States of America', 'Cascade Range', 'Skamania County']"
WebQTest-403,['Turkish Language'],"['Turkish Language', 'Zaza language', 'Ladino Language', 'Kurdish languages', 'Arabic Language']"
WebQTest-428,"['Indiana', 'Kansas', 'Wisconsin', 'Missouri', 'Illinois', 'Nebraska', 'North Dakota', 'Ohio', 'Michigan', 'Iowa', 'Minnesota', 'South Dakota']","['Avenue of the Saints', 'West North Central States', 'East North Central States', 'Iowa', 'Illinois', 'Indiana', 'Kansas', 'Michigan', 'Missouri', 'Minnesota', 'Nebraska', 'North Dakota', 'Ohio', 'South Dakota', 'Wisconsin', 'Council Grove']"
WebQTest-453,"['Spanish Language', 'Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole']","['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']"
WebQTest-479,Error,['University of Oklahoma']
WebQTest-509,"['Presidential system', 'Federal republic']","['Presidential system', 'Federal republic']"
WebQTest-532,['Football'],['Football']
WebQTest-559,"['Piano', 'Violin']","['Piano', 'Violin']"
WebQTest-585,['England'],['England']
WebQTest-612,"['New York Giants', 'Carolina Panthers', 'Miami Hurricanes football', 'New Orleans Saints']",['Carolina Panthers']
WebQTest-635,"['James Humphries', 'Kyle Broflovski', 'Kyle / Kenny / Jesus', 'Ethan Hawke', 'Chris', 'Hermaphrodite', 'Gerald Broflovski', 'Man toasting drinks at MCA outdoor bar', 'Dave the Lighting Guy', 'Taper Guy', 'Bill Gates', 'Former Columbine Student', 'Doug Remer', 'Saddam Hussein', 'Jimbo Kearn', 'Wizard of Oz', 'Ticket Taker', 'Kenny McCormick', 'Danny Glover', 'Terrance Henry Stoot', 'George Clooney', 'Terrance', 'Tweek Tweak', 'Jimbo Kearn', 'Butters Stotch', 'Kenny McCormick']","['Kenny McCormick', 'Kyle Broflovski', 'Wizard of Oz', 'Terrance Henry Stoot', 'Gerald Broflovski', 'Bill Gates', 'Ethan Hawke', 'Chris', 'George Clooney', 'Danny Glover', 'Jimbo Kearn', 'Saddam Hussein', 'James Humphries', 'Former Columbine Student', 'Doug Remer', 'Hermaphrodite', 'Taper Guy', 'Kyle / Kenny / Jesus', 'Dave the Lighting Guy', 'Man toasting drinks at MCA outdoor bar', 'Ticket Taker']"
WebQTest-657,['Lorraine Motel'],['Memphis']
WebQTest-680,"['Argentina national football team', 'Manchester City F.C.', 'Club Atlético Independiente', 'Atlético Madrid']","['Manchester City F.C.', 'Argentina national football team', 'Club Atlético Independiente', 'Atlético Madrid']"
WebQTest-704,"['Adventurer', 'Cinematographer', 'Film Producer', 'Film Director', 'Ethnographer', 'Scientist', 'Academic']","['Film Producer', 'Adventurer', 'Film director', 'Ethnographer', 'Scientist', 'Cinematographer']"
WebQTest-728,Error,"['Nancy Pelosi', 'John Boehner']"
WebQTest-752,['Coca-Cola'],['Coca-Cola']
WebQTest-775,Error,"['Imperial War Museum North', 'Urbis', 'Old Trafford', 'Whitworth Art Gallery', 'Manchester Art Gallery', 'Manchester Museum', 'Manchester Jewish Museum', 'Great Manchester Run', 'Chinatown, Manchester', 'Manchester Cathedral', 'The Moon Under Water, Manchester', 'Wheel of Manchester', 'Albert Hall, Manchester']"
WebQTest-800,Error,['World War II']
WebQTest-830,"['Reading, United States of America']",['Reading']
WebQTest-857,"['Georgia', 'Alabama']","['Georgia', 'Alabama']"
WebQTest-881,"[""Love Don't Cost a Thing"", ""A Very School Gyrls Holla-Day"", ""Weapons"", ""Goal II: Living the Dream"", ""Even Money"", ""Garfield: The Movie"", ""Bobby"", ""Ball Don't Lie"", ""Shall We Dance?"", ""Chiraq"", ""Underclassman"", ""The Killing Room"", ""Whatever It Takes"", ""Monster House"", ""Men in Black II"", ""Drumline"", ""Roll Bounce"", ""Day of the Dead"", ""American Son"", ""Drumline: A New Beat"", ""The Adventures of Brer Rabbit""]","['Chiraq', 'Garfield: The Movie', 'Even Money', 'American Son', 'Men in Black II', 'Shall We Dance?', ""Ball Don't Lie"", 'The Killing Room', 'Weapons', 'Underclassman', 'Roll Bounce', 'Monster House', 'Goal II: Living the Dream', 'Drumline', 'Bobby', ""Love Don't Cost a Thing"", 'Day of the Dead', 'Whatever It Takes', 'The Adventures of Brer Rabbit', 'A Very School Gyrls Holla-Day', 'Drumline: A New Beat']"
WebQTest-903,['Turkey'],"['Belgium', 'Bulgaria', 'Bosnia and Herzegovina', 'Northern Cyprus', 'Turkey', 'Germany', 'Kazakhstan', 'Republic of Kosovo', 'Netherlands', 'Norway', 'Syria', 'United Kingdom', 'United States of America', 'Iraq', 'Canada', 'Sweden', 'France', 'Algeria', 'Austria', 'Azerbaijan', 'Kyrgyzstan', 'Denmark']"
WebQTest-929,"['James R. Crowe', 'J. Calvin Jones', 'John C. Lester', 'John B. Kennedy', 'Frank O. McCord', 'Richard R. Reed']","['John C. Lester', 'John B. Kennedy', 'James R. Crowe', 'Frank O. McCord', 'Richard R. Reed', 'J. Calvin Jones']"
WebQTest-957,['Sioux language'],"['English Language', 'Sioux language', 'French']"
WebQTest-979,['Barbadian dollar'],['Barbadian dollar']
WebQTest-1002,"['Toby Regbo', 'Michael Gambon', 'Dane Farwell', 'Richard Harris']","['Richard Harris', 'Michael Gambon', 'Toby Regbo', 'Dane Farwell']"
WebQTest-1028,"['Michael Edwards', 'Dalton Abbott', 'Edward Furlong', 'Christian Bale', 'Nick Stahl']","['Christian Bale', 'Edward Furlong', 'Michael Edwards', 'Nick Stahl', 'Dalton Abbott']"
WebQTest-1050,['Meg Griffin'],['Meg Griffin']
WebQTest-1077,['Russian Language'],"['Osetin Language', 'Chechen Language', 'Tatar Language', 'Azerbaijani language', 'Abaza Language', 'Mari language', 'Bashkir Language', 'Avar Language', 'Aghul language', 'Tsakhur Language', 'Tuvin Language', 'Moksha Language', 'Erzya Language', 'Kalmyk-Oirat Language', 'Kabardian Language', 'Adyghe Language', 'Rutul language', 'Lezgi Language', 'Ingush Language', 'Altai language', 'Crimean Turkish Language', 'Nogai Language', 'Dargwa Language', 'Komi language', 'Udmurt Language', 'Kumyk Language', 'Karachay-Balkar Language', 'Buryat language', 'Yakut Language', 'Russian Language', 'Tabassaran Language', 'Yiddish Language', 'Lak Language', 'Khakas Language', 'Ukrainian Language']"
WebQTest-1099,"['Brazil national football team', 'Esporte Clube Vitória', 'S.L. Benfica', 'Chelsea F.C.', 'Paris Saint-Germain F.C.']",['Brazil national football team']
WebQTest-1121,"['United we stand, divided we fall']","['United we stand, divided we fall']"
WebQTest-1149,"['2009-04-23', '2010-07-10']",[None]
WebQTest-1177,['Chula Vista High School'],['Chula Vista High School']
WebQTest-1204,['Four Corners'],['Four Corners']
WebQTest-1230,"['Air Force Museum of New Zealand', 'Canterbury Museum, Christchurch', 'TranzAlpine', 'Willowbank Wildlife Reserve, Christchurch', 'International Antarctic Centre', 'Ferrymead Heritage Park', 'Lyttelton Timeball Station', 'Christchurch Botanic Gardens', 'Christchurch Arts Centre', 'Cathedral Square, Christchurch']","['International Antarctic Centre', 'Ferrymead Heritage Park', 'Cathedral Square, Christchurch', 'Willowbank Wildlife Reserve, Christchurch', 'Christchurch Botanic Gardens', 'Christchurch Arts Centre', 'Air Force Museum of New Zealand', 'Canterbury Museum, Christchurch', 'TranzAlpine', 'Lyttelton Timeball Station']"
WebQTest-1252,['Miranda Otto'],['Miranda Otto']
WebQTest-1275,['Actor'],['Actor']
WebQTest-1300,['London'],['Fulham']
