qid,prediction,gt_label
20,['doppelganger'],['Doppelganger']
40,['amodernaffair'],['A Modern Affair']
60,['abstain'],['The Villain']
80,"['thekillingfields', 'boxinghelena', 'warlock', 'gothic', 'bloodandbone', 'themedallion']","['The Killing Fields', 'The Medallion', 'Blood and Bone', 'Warlock', 'Boxing Helena', 'Gothic']"
100,['abstain'],['The Thing with Two Heads']
120,['abstain'],['Alice']
140,['thelongdaycloses'],['The Long Day Closes']
160,['murder'],['Murder!']
180,['abstain'],['Harlequin']
200,['abstain'],['Take the Lead']
220,"['stag', 'hotpursuit', 'theritz', 'theheartbreakkid', 'theindependent']","['The Heartbreak Kid', 'Hot Pursuit', 'The Ritz', 'The Independent', 'Stag']"
240,"['hallpass', 'lollilove']","['Hall Pass', 'LolliLove']"
260,['childrenshouldntplaywithdeadthings'],"[""Children Shouldn't Play with Dead Things""]"
280,['coffinrock'],['Coffin Rock']
300,['abstain'],['The Invisible War']
320,"['thegreatestshowonearth', 'themiracleofmorganscreek', 'theperilsofpauline', 'anniegetyourgun']","['The Greatest Show on Earth', ""The Miracle of Morgan's Creek"", 'Annie Get Your Gun', 'The Perils of Pauline']"
340,"['actionjackson', 'dabangg2']","['Dabangg 2', 'Action Jackson']"
360,['themeteorman'],['The Meteor Man']
380,['abstain'],['Caddyshack']
400,['yourviceisalockedroomandonlyihavethekey'],['Your Vice Is a Locked Room and Only I Have the Key']
420,"['thebigredone', 'thenightthelightswentoutingeorgia', 'slipstream', 'corvettesummer']","['The Big Red One', 'Corvette Summer', 'Slipstream', 'The Night the Lights Went Out in Georgia']"
440,['abstain'],['A Short History of Decay']
460,['abstain'],['Father and Guns']
480,"['getlow', 'nightmother', 'carrie', 'theriver', 'thegrassharp', 'lakecity', 'inthebedroom', 'fourchristmases', 'thestraightstory', 'missing', 'coalminersdaughter', 'anamericanhaunting', 'thelongwalkhome', '3women', 'blastfromthepast', 'raggedyman', 'badlands']","['Carrie', 'The Straight Story', 'Blast from the Past', 'Four Christmases', 'Badlands', 'In the Bedroom', 'An American Haunting', 'Get Low', ""Coal Miner's Daughter"", 'Missing', '3 Women', 'The River', 'The Grass Harp', 'The Long Walk Home', ""'night, Mother"", 'Raggedy Man', 'Lake City']"
500,['abstain'],['Krull']
520,['thestepfordwives'],['The Stepford Wives']
540,['abstain'],['Happy New Year']
560,['abstain'],['Entity']
580,['dragoneyes'],['Dragon Eyes']
600,['ringofterror'],['Ring of Terror']
620,['abstain'],['Spartan']
640,['abstain'],['The Speed of Thought']
660,['abstain'],['Project X']
680,['cityofhope'],['City of Hope']
700,"['malcolmx', 'rookieoftheyear']","['Malcolm X', 'Rookie of the Year']"
720,"['ilgrido', 'allnightlong']","['Il Grido', 'All Night Long']"
740,"['lymelife', 'signs', 'downinthevalley', 'meancreek', 'youcancountonme']","['Signs', 'Mean Creek', 'You Can Count on Me', 'Down in the Valley', 'Lymelife']"
760,['abstain'],['The Armstrong Lie']
780,"['vicesquad', 'hardcore']","['Hardcore', 'Vice Squad']"
800,"['imtheonethatiwant', 'itsmyparty']","[""It's My Party"", ""I'm the One That I Want""]"
820,['abstain'],['Rabid']
