qid,prediction,gt_label
WebQTest-31,['Glasgow'],[None]
WebQTest-54,['Nazi Germany'],['Nazi Germany']
WebQTest-76,"['Virgin of the Rocks', 'Madonna Litta', 'La belle ferronnière', 'g.12215rxg', ""Ginevra de' Benci"", 'g.121wt37c', 'Madonna of the Carnation', ""Portrait of Isabella d'Este"", 'Madonna of the Yarnwinder', 'Mona Lisa', 'Lady with an Ermine', 'The Holy Infants Embracing', 'g.1219sb0g', 'The Last Supper', 'Horse and Rider', 'g.120vt1gz', ""Leonardo's horse"", 'Portrait of a Musician', 'Benois Madonna', 'Sala delle Asse', 'Head of a Woman', 'Lucan portrait of Leonardo da Vinci', 'Leda and the Swan', 'g.1239jd9p', 'Madonna of Laroque', 'Madonna and Child with St Joseph', 'g.121yh91r', 'Portrait of a Young Fiancée', 'The Virgin and Child with St. Anne', 'Salvator Mundi', 'g.1224tf0c', 'The Virgin and Child with St Anne and St John the Baptist', 'The Battle of Anghiari', 'Portrait of a man in red chalk', 'Medusa', 'Vitruvian Man', 'Drapery for a Seated Figure', 'Annunciation', 'St. John the Baptist', 'The Baptism of Christ', 'Bacchus', 'Adoration of the Magi', 'St. Jerome in the Wilderness', 'g.12314dm1']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,['Spanish Language'],"['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Latvia', 'Lithuania', 'Estonia']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Fender Stratocaster', 'Rickenbacker 360/12']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Neon lamp', 'Three-phase electric power', 'Induction motor', 'Alternating current', 'Remote control', 'Tesla coil', 'Wireless telegraphy']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003-08-00'],['2003–04 NBA season']
WebQTest-298,"['1983 World Series', '1970 World Series', '1966 World Series']","['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['Grand Theft Auto', 'In the Heart of the Sea', 'Jay-Z: Made in America', 'Splash', 'Backdraft', 'Cotton Candy', 'The Paper', 'The Dilemma', 'Presidential Reunion', 'The Missing', 'Frost/Nixon', 'EDtv', 'Ransom', 'Parenthood', 'Willow', 'Gung Ho', 'Angels & Demons', 'Apollo 13', 'The Dark Tower', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Inferno', 'The Lost Symbol', 'The Da Vinci Code', 'Cocoon', 'Far and Away', 'A Beautiful Mind', 'Rush', 'Night Shift', 'Cinderella Man']","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
WebQTest-349,"['Duke Blue Devils men's basketball', 'Los Angeles Lakers', 'Chicago Bulls']","['Cleveland Cavaliers', 'Utah Jazz']"
WebQTest-380,"['Washington, USA']","['North America', 'Washington', 'United States of America', 'Cascade Range', 'Skamania County']"
WebQTest-403,['Turkish Language'],"['Turkish Language', 'Zaza language', 'Ladino Language', 'Kurdish languages', 'Arabic Language']"
WebQTest-428,Error,"['Avenue of the Saints', 'West North Central States', 'East North Central States', 'Iowa', 'Illinois', 'Indiana', 'Kansas', 'Michigan', 'Missouri', 'Minnesota', 'Nebraska', 'North Dakota', 'Ohio', 'South Dakota', 'Wisconsin', 'Council Grove']"
WebQTest-453,"['Spanish Language', 'Jamaican Creole English Language', 'Bribri Language', 'Limonese Creole']","['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']"
WebQTest-479,['University of Oklahoma'],['University of Oklahoma']
WebQTest-509,Abstain,"['Presidential system', 'Federal republic']"
WebQTest-532,['Football'],['Football']
WebQTest-559,"['Violin', 'Piano']","['Piano', 'Violin']"
WebQTest-585,['England'],['England']
WebQTest-612,"['New York Giants', 'New Orleans Saints', 'Carolina Panthers', 'Miami Hurricanes football']",['Carolina Panthers']
WebQTest-635,"['Taper Guy', 'Doug Remer', 'Jimbo Kearn', 'George Clooney', 'James Humphries', 'Terrance Henry Stoot', 'Man toasting drinks at MCA outdoor bar', 'Former Columbine Student', 'Kyle / Kenny / Jesus', 'Kenny McCormick', 'Kyle Broflovski', 'Ticket Taker', 'Bill Gates', 'Danny Glover', 'Chris', 'Hermaphrodite', 'Gerald Broflovski', 'Ethan Hawke', 'Dave the Lighting Guy', 'Wizard of Oz', 'Saddam Hussein']","['Kenny McCormick', 'Kyle Broflovski', 'Wizard of Oz', 'Terrance Henry Stoot', 'Gerald Broflovski', 'Bill Gates', 'Ethan Hawke', 'Chris', 'George Clooney', 'Danny Glover', 'Jimbo Kearn', 'Saddam Hussein', 'James Humphries', 'Former Columbine Student', 'Doug Remer', 'Hermaphrodite', 'Taper Guy', 'Kyle / Kenny / Jesus', 'Dave the Lighting Guy', 'Man toasting drinks at MCA outdoor bar', 'Ticket Taker']"
WebQTest-657,['Memphis'],['Memphis']
WebQTest-680,"['Club Atlético Independiente', 'Atlético Madrid', 'Manchester City F.C.', 'Argentina national football team']","['Manchester City F.C.', 'Argentina national football team', 'Club Atlético Independiente', 'Atlético Madrid']"
WebQTest-704,"['Cinematographer', 'Scientist', 'Ethnographer', 'Adventurer', 'Film Producer', 'Film Director']","['Film Producer', 'Adventurer', 'Film director', 'Ethnographer', 'Scientist', 'Cinematographer']"
WebQTest-728,Error,"['Nancy Pelosi', 'John Boehner']"
WebQTest-752,['Coca-Cola'],['Coca-Cola']
WebQTest-775,Error,"['Imperial War Museum North', 'Urbis', 'Old Trafford', 'Whitworth Art Gallery', 'Manchester Art Gallery', 'Manchester Museum', 'Manchester Jewish Museum', 'Great Manchester Run', 'Chinatown, Manchester', 'Manchester Cathedral', 'The Moon Under Water, Manchester', 'Wheel of Manchester', 'Albert Hall, Manchester']"
WebQTest-800,Error,['World War II']
WebQTest-830,['Reading'],['Reading']
WebQTest-857,"['Mississippi', 'Tennessee', 'South Carolina', 'North Carolina']","['Georgia', 'Alabama']"
WebQTest-881,"['Underclassman', 'Weapons', ""Ball Don't Lie"", 'The Killing Room', 'Shall We Dance?', 'A Very School Gyrls Holla-Day', 'Roll Bounce', 'Chiraq', 'Drumline: A New Beat', 'American Son', 'Men in Black II', 'Whatever It Takes', 'Garfield: The Movie', 'Monster House', 'Goal II: Living the Dream', 'Bobby', ""Love Don't Cost a Thing"", 'The Adventures of Brer Rabbit', 'Even Money', 'Day of the Dead', 'Drumline']","['Chiraq', 'Garfield: The Movie', 'Even Money', 'American Son', 'Men in Black II', 'Shall We Dance?', ""Ball Don't Lie"", 'The Killing Room', 'Weapons', 'Underclassman', 'Roll Bounce', 'Monster House', 'Goal II: Living the Dream', 'Drumline', 'Bobby', ""Love Don't Cost a Thing"", 'Day of the Dead', 'Whatever It Takes', 'The Adventures of Brer Rabbit', 'A Very School Gyrls Holla-Day', 'Drumline: A New Beat']"
WebQTest-903,Abstain,"['Belgium', 'Bulgaria', 'Bosnia and Herzegovina', 'Northern Cyprus', 'Turkey', 'Germany', 'Kazakhstan', 'Republic of Kosovo', 'Netherlands', 'Norway', 'Syria', 'United Kingdom', 'United States of America', 'Iraq', 'Canada', 'Sweden', 'France', 'Algeria', 'Austria', 'Azerbaijan', 'Kyrgyzstan', 'Denmark']"
WebQTest-929,"['Richard R. Reed', 'J. Calvin Jones', 'John C. Lester', 'James R. Crowe', 'John B. Kennedy', 'Frank O. McCord']","['John C. Lester', 'John B. Kennedy', 'James R. Crowe', 'Frank O. McCord', 'Richard R. Reed', 'J. Calvin Jones']"
WebQTest-957,['Sioux language'],"['English Language', 'Sioux language', 'French']"
WebQTest-979,['Barbadian dollar'],['Barbadian dollar']
WebQTest-1002,Abstain,"['Richard Harris', 'Michael Gambon', 'Toby Regbo', 'Dane Farwell']"
WebQTest-1028,"['Edward Furlong', 'Nick Stahl', 'Christian Bale', 'Michael Edwards', 'Dalton Abbott']","['Christian Bale', 'Edward Furlong', 'Michael Edwards', 'Nick Stahl', 'Dalton Abbott']"
WebQTest-1050,Abstain,['Meg Griffin']
WebQTest-1077,['Russian Language'],"['Osetin Language', 'Chechen Language', 'Tatar Language', 'Azerbaijani language', 'Abaza Language', 'Mari language', 'Bashkir Language', 'Avar Language', 'Aghul language', 'Tsakhur Language', 'Tuvin Language', 'Moksha Language', 'Erzya Language', 'Kalmyk-Oirat Language', 'Kabardian Language', 'Adyghe Language', 'Rutul language', 'Lezgi Language', 'Ingush Language', 'Altai language', 'Crimean Turkish Language', 'Nogai Language', 'Dargwa Language', 'Komi language', 'Udmurt Language', 'Kumyk Language', 'Karachay-Balkar Language', 'Buryat language', 'Yakut Language', 'Russian Language', 'Tabassaran Language', 'Yiddish Language', 'Lak Language', 'Khakas Language', 'Ukrainian Language']"
WebQTest-1099,"['Brazil', 'Paris', 'London', 'Lisbon', 'Salvador']",['Brazil national football team']
WebQTest-1121,"['United we stand, divided we fall']","['United we stand, divided we fall']"
WebQTest-1149,"['2009-04-23', '2010-07-10']",[None]
WebQTest-1177,['Chula Vista High School'],['Chula Vista High School']
WebQTest-1204,['Four Corners'],['Four Corners']
WebQTest-1230,"['Christchurch Arts Centre', 'Cathedral Square, Christchurch', 'TranzAlpine', 'Ferrymead Heritage Park', 'International Antarctic Centre', 'Christchurch Botanic Gardens', 'Air Force Museum of New Zealand', 'Canterbury Museum, Christchurch', 'Lyttelton Timeball Station', 'Willowbank Wildlife Reserve, Christchurch']","['International Antarctic Centre', 'Ferrymead Heritage Park', 'Cathedral Square, Christchurch', 'Willowbank Wildlife Reserve, Christchurch', 'Christchurch Botanic Gardens', 'Christchurch Arts Centre', 'Air Force Museum of New Zealand', 'Canterbury Museum, Christchurch', 'TranzAlpine', 'Lyttelton Timeball Station']"
WebQTest-1252,Abstain,['Miranda Otto']
WebQTest-1275,['Actor'],['Actor']
WebQTest-1300,['Fulham'],['Fulham']
