qid,response,gt_label
7765,False,False
7528,False,False
7493,False,False
6679,False,True
6980,False,True
21,False,True
6709,False,True
6840,False,False
6654,False,True
6826,False,False
242,False,False
7021,False,False
116,False,True
7455,False,False
1,False,True
6657,False,True
7596,False,True
7789,False,True
6769,False,True
28,False,True
6760,False,True
6730,False,True
59,False,True
6984,False,True
119,False,True
6818,False,False
138,False,False
161,False,False
7750,False,False
7433,False,False
7544,True,False
7500,False,False
7674,True,True
7163,False,False
268,True,False
6874,False,False
80,True,True
7517,False,False
6791,True,False
7403,False,False
267,True,False
7505,True,False
6908,False,False
6664,True,True
6828,False,False
6659,True,True
7710,False,True
6710,True,True
320,False,True
7443,True,False
7786,False,True
299,True,True
187,False,False
6786,True,True
7401,False,False
6783,True,True
7723,False,True
7155,True,True
70,False,True
7590,True,True
266,False,False
36,False,True
7672,False,True
6941,False,False
305,False,True
7611,False,True
39,False,True
296,False,True
71,False,True
7603,False,True
6928,False,False
282,False,True
6711,False,True
7170,False,False
7161,False,True
7047,False,False
7664,False,True
7574,False,True
7711,False,True
7175,False,False
359,False,False
89,False,True
241,False,False
6997,False,True
186,False,False
286,False,True
263,False,False
6,False,True
6943,False,False
293,False,True
6846,Unknown,False
218,False,False
6937,False,False
127,False,True
31,False,True
6638,False,True
121,False,True
7001,False,True
251,False,False
7598,False,True
7772,False,True
68,False,True
311,False,True
7617,False,True
7684,False,True
192,False,False
232,False,False
6688,False,True
6637,False,True
7525,False,False
113,False,True
7457,False,False
14,False,True
7462,False,False
7151,False,False
7565,False,True
6649,False,True
7459,False,False
313,False,True
7023,False,False
7796,Unknown,True
6736,False,True
53,True,True
165,True,False
83,True,True
7571,False,True
7788,False,True
368,True,False
33,True,True
7615,False,True
6942,False,False
7065,False,False
6964,False,True
7741,False,False
7552,False,True
6926,False,False
6995,False,True
329,True,False
6778,False,True
7797,False,True
7435,False,False
7681,False,True
122,True,True
6884,False,False
6872,False,False
328,True,False
7548,False,True
226,True,False
6701,False,True
246,False,False
175,Unknown,False
330,False,False
7489,False,False
7782,False,True
7449,False,False
6713,False,True
7025,False,False
229,False,False
7764,False,False
7061,False,False
6687,False,True
6925,False,False
7717,False,True
7043,False,False
7698,False,True
288,False,True
214,False,False
326,False,False
198,False,False
6797,False,False
6723,False,True
7745,False,False
7720,False,True
7452,False,False
169,False,False
7162,False,True
7056,False,False
7779,False,True
6772,False,True
7431,False,False
7450,Unknown,False
107,True,True
7780,True,True
6814,False,False
7661,True,True
57,False,True
6822,False,False
7512,False,False
7487,True,False
7499,True,False
6976,False,True
18,True,True
6878,False,False
7410,False,False
6909,True,False
7803,False,True
297,True,True
290,False,True
7668,True,True
6777,True,True
6831,False,False
231,True,False
182,False,False
180,True,False
7495,False,False
6725,True,True
294,False,True
258,True,False
6900,False,False
6743,True,True
6859,Unknown,False
8948,False,True
222,False,False
115,False,True
7463,False,False
366,False,False
54,False,True
7445,False,False
6758,False,True
6699,False,True
350,False,False
6987,False,True
6927,False,False
6931,False,False
7460,False,False
6766,False,True
6981,False,True
7053,False,False
7751,False,False
105,False,True
154,False,False
6907,False,False
6703,False,True
88,False,True
7564,False,True
6737,False,True
6630,False,True
7726,False,False
147,False,False
275,False,False
6681,Unknown,True
6849,False,False
7556,True,True
256,True,False
7434,False,False
188,True,False
7507,False,False
7534,False,False
6767,True,True
6986,True,True
5332,False,True
7835,True,False
2437,False,False
5353,True,True
8083,True,False
2389,False,False
2479,True,False
1857,False,False
1431,True,False
1238,False,False
5326,True,True
6431,False,True
1947,True,False
6094,False,True
1339,True,False
2518,False,False
2130,True,False
5763,True,True
5516,False,True
1317,False,False
2397,Unknown,False
7255,False,False
5203,False,True
1745,False,False
1194,False,False
1208,False,False
6272,False,True
1304,False,False
5561,False,True
1272,False,False
2236,False,False
1658,False,False
1482,False,False
5372,False,True
1967,False,False
5603,False,True
5402,False,True
5444,False,True
2406,False,False
8097,False,False
2510,False,False
5864,False,True
2166,False,False
5904,False,True
1958,False,False
1859,False,False
5966,False,True
6178,False,True
2693,False,False
1203,False,False
2385,False,False
7339,False,False
2751,False,False
8111,False,False
5581,False,True
5572,False,True
8135,False,False
1397,False,False
9017,False,False
2556,False,False
1899,False,False
1370,False,False
1963,False,False
1281,False,False
7353,False,True
5744,False,True
2411,False,False
1671,False,False
6151,False,True
5877,False,True
7335,False,True
1561,False,False
2589,False,False
7839,False,False
1527,False,False
1310,False,False
5179,False,True
2682,False,False
1853,False,False
2434,False,False
1320,Unknown,False
2624,False,False
5169,False,True
1877,False,False
2196,False,False
2070,False,False
2233,False,False
2205,False,False
2685,False,False
6117,False,True
2028,False,False
2506,False,False
1493,False,False
6064,False,True
6356,False,True
5908,False,True
6043,False,True
5721,False,True
1160,False,False
7265,False,False
2091,False,False
5334,False,True
7365,False,True
