qid,prediction,gt_label
WebQTest-31,['Glasgow'],[None]
WebQTest-54,['Germany'],['Nazi Germany']
WebQTest-76,"['Mona Lisa', 'Madonna of Laroque', ""Leonardo's horse"", 'Virgin of the Rocks', 'Madonna Litta', 'Leda and the Swan', 'Sala delle Asse', 'Lady with an Ermine', 'Portrait of a man in red chalk', 'The Baptism of Christ', 'Portrait of a Musician', 'Madonna and Child with St Joseph', 'The Virgin and Child with St. Anne', 'Lucan portrait of Leonardo da Vinci', ""Portrait of Isabella d'Este"", 'Salvator Mundi', 'St. John the Baptist', 'Drapery for a Seated Figure', 'Benois Madonna', 'The Last Supper', 'Medusa', 'Vitruvian Man', 'Madonna of the Carnation', 'Annunciation', 'The Holy Infants Embracing', 'Adoration of the Magi', 'St. Jerome in the Wilderness', 'Madonna of the Yarnwinder', 'Bacchus', 'Horse and Rider', 'La belle ferronnière', ""Ginevra de' Benci"", 'The Virgin and Child with St Anne and St John the Baptist']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,['Spanish Language'],"['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Latvia', 'Estonia', 'Lithuania']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Rickenbacker 360/12', 'Fender Stratocaster']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Remote control', 'Wireless telegraphy', 'Neon lamp', 'Three-phase electric power', 'Alternating current', 'Induction motor', 'Tesla coil']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003'],['2003–04 NBA season']
WebQTest-298,"['1966 World Series', '1970 World Series', '1983 World Series']","['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['Apollo 13', 'Cocoon', 'Jay-Z: Made in America', 'Willow', 'Cotton Candy', 'Backdraft', 'Presidential Reunion', 'Gung Ho', 'Splash', 'The Missing', 'Frost/Nixon', 'Parenthood', 'The Lost Symbol', 'A Beautiful Mind', 'Cinderella Man', 'The Dark Tower', 'In the Heart of the Sea', 'EDtv', 'Grand Theft Auto', 'The Dilemma', 'Night Shift', 'The Paper', 'Inferno', 'The Da Vinci Code', 'Rush', 'Far and Away', 'Angels & Demons', 'Ransom', ""Dr. Seuss' How the Grinch Stole Christmas""]","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
WebQTest-349,"['Chicago Bulls', 'Duke Blue Devils men's basketball', 'Los Angeles Lakers']","['Cleveland Cavaliers', 'Utah Jazz']"
WebQTest-380,"['Washington, USA']","['North America', 'Washington', 'United States of America', 'Cascade Range', 'Skamania County']"
WebQTest-403,['Turkish Language'],"['Turkish Language', 'Zaza language', 'Ladino Language', 'Kurdish languages', 'Arabic Language']"
WebQTest-428,"['Michigan', 'South Dakota', 'Minnesota', 'Wisconsin', 'Ohio', 'Illinois', 'North Dakota', 'Iowa', 'Nebraska', 'Indiana', 'Missouri', 'Kansas']","['Avenue of the Saints', 'West North Central States', 'East North Central States', 'Iowa', 'Illinois', 'Indiana', 'Kansas', 'Michigan', 'Missouri', 'Minnesota', 'Nebraska', 'North Dakota', 'Ohio', 'South Dakota', 'Wisconsin', 'Council Grove']"
WebQTest-453,"['Jamaican Creole English Language', 'Limonese Creole', 'Bribri Language', 'Spanish Language']","['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']"
WebQTest-479,['University of Oklahoma'],['University of Oklahoma']
WebQTest-509,Error,"['Presidential system', 'Federal republic']"
WebQTest-532,['Football'],['Football']
WebQTest-559,"['Piano', 'Violin']","['Piano', 'Violin']"
WebQTest-585,['England'],['England']
WebQTest-612,Error,['Carolina Panthers']
WebQTest-635,"['Dave the Lighting Guy', 'Former Columbine Student', 'Hermaphrodite', 'Kyle Broflovski', 'Kyle / Kenny / Jesus', 'Bill Gates', 'Doug Remer', 'Ethan Hawke', 'Terrance Henry Stoot', 'Wizard of Oz', 'James Humphries', 'Ticket Taker', 'Jimbo Kearn', 'George Clooney', 'Gerald Broflovski', 'Danny Glover', 'Taper Guy', 'Saddam Hussein', 'Kenny McCormick', 'Chris', 'Man toasting drinks at MCA outdoor bar', 'Kyle Broflovski', 'Jimbo Kearn', 'Ichabod Jones/Carlos/Rom', 'Terrance', 'Tweek Tweak', 'Butters Stotch', 'Kenny McCormick', 'Saddam Hussein', 'John McCain', 'Terrance Henry Stoot']","['Kenny McCormick', 'Kyle Broflovski', 'Wizard of Oz', 'Terrance Henry Stoot', 'Gerald Broflovski', 'Bill Gates', 'Ethan Hawke', 'Chris', 'George Clooney', 'Danny Glover', 'Jimbo Kearn', 'Saddam Hussein', 'James Humphries', 'Former Columbine Student', 'Doug Remer', 'Hermaphrodite', 'Taper Guy', 'Kyle / Kenny / Jesus', 'Dave the Lighting Guy', 'Man toasting drinks at MCA outdoor bar', 'Ticket Taker']"
WebQTest-657,['Memphis'],['Memphis']
WebQTest-680,"['Club Atlético Independiente', 'Argentina national football team', 'Manchester City F.C.', 'Atlético Madrid']","['Manchester City F.C.', 'Argentina national football team', 'Club Atlético Independiente', 'Atlético Madrid']"
WebQTest-704,"['Adventurer', 'Scientist', 'Film Director', 'Kon-Tiki', 'Galapagos', 'Ra', 'Aku-Aku']","['Film Producer', 'Adventurer', 'Film director', 'Ethnographer', 'Scientist', 'Cinematographer']"
WebQTest-728,Error,"['Nancy Pelosi', 'John Boehner']"
WebQTest-752,['Coca-Cola'],['Coca-Cola']
WebQTest-775,Error,"['Imperial War Museum North', 'Urbis', 'Old Trafford', 'Whitworth Art Gallery', 'Manchester Art Gallery', 'Manchester Museum', 'Manchester Jewish Museum', 'Great Manchester Run', 'Chinatown, Manchester', 'Manchester Cathedral', 'The Moon Under Water, Manchester', 'Wheel of Manchester', 'Albert Hall, Manchester']"
WebQTest-800,Error,['World War II']
WebQTest-830,['Reading'],['Reading']
WebQTest-857,"['Georgia', 'North Carolina', 'South Carolina', 'Tennessee', 'Mississippi', 'Alabama']","['Georgia', 'Alabama']"
WebQTest-881,"['Whatever It Takes', 'Weapons', 'Monster House', 'The Adventures of Brer Rabbit', 'Underclassman', 'Bobby', 'Day of the Dead', 'Chiraq', 'Drumline: A New Beat', 'American Son', 'Drumline', 'Roll Bounce', 'Shall We Dance?', ""Love Don't Cost a Thing"", 'The Killing Room', 'Men in Black II', ""A Very School Gyrls Holla-Day"", ""Ball Don't Lie"", 'Goal II: Living the Dream', 'Garfield: The Movie', 'Even Money']","['Chiraq', 'Garfield: The Movie', 'Even Money', 'American Son', 'Men in Black II', 'Shall We Dance?', ""Ball Don't Lie"", 'The Killing Room', 'Weapons', 'Underclassman', 'Roll Bounce', 'Monster House', 'Goal II: Living the Dream', 'Drumline', 'Bobby', ""Love Don't Cost a Thing"", 'Day of the Dead', 'Whatever It Takes', 'The Adventures of Brer Rabbit', 'A Very School Gyrls Holla-Day', 'Drumline: A New Beat']"
WebQTest-903,['Turkey'],"['Belgium', 'Bulgaria', 'Bosnia and Herzegovina', 'Northern Cyprus', 'Turkey', 'Germany', 'Kazakhstan', 'Republic of Kosovo', 'Netherlands', 'Norway', 'Syria', 'United Kingdom', 'United States of America', 'Iraq', 'Canada', 'Sweden', 'France', 'Algeria', 'Austria', 'Azerbaijan', 'Kyrgyzstan', 'Denmark']"
WebQTest-929,"['James R. Crowe', 'John C. Lester', 'Frank O. McCord', 'J. Calvin Jones', 'John B. Kennedy', 'Richard R. Reed']","['John C. Lester', 'John B. Kennedy', 'James R. Crowe', 'Frank O. McCord', 'Richard R. Reed', 'J. Calvin Jones']"
WebQTest-957,['Sioux language'],"['English Language', 'Sioux language', 'French']"
WebQTest-979,['Barbadian dollar'],['Barbadian dollar']
WebQTest-1002,"['Michael Gambon', 'Richard Harris', 'Toby Regbo']","['Richard Harris', 'Michael Gambon', 'Toby Regbo', 'Dane Farwell']"
WebQTest-1028,"['Christian Bale', 'Edward Furlong', 'Michael Edwards', 'Dalton Abbott', 'Nick Stahl']","['Christian Bale', 'Edward Furlong', 'Michael Edwards', 'Nick Stahl', 'Dalton Abbott']"
WebQTest-1050,['Meg Griffin'],['Meg Griffin']
WebQTest-1077,['Russian Language'],"['Osetin Language', 'Chechen Language', 'Tatar Language', 'Azerbaijani language', 'Abaza Language', 'Mari language', 'Bashkir Language', 'Avar Language', 'Aghul language', 'Tsakhur Language', 'Tuvin Language', 'Moksha Language', 'Erzya Language', 'Kalmyk-Oirat Language', 'Kabardian Language', 'Adyghe Language', 'Rutul language', 'Lezgi Language', 'Ingush Language', 'Altai language', 'Crimean Turkish Language', 'Nogai Language', 'Dargwa Language', 'Komi language', 'Udmurt Language', 'Kumyk Language', 'Karachay-Balkar Language', 'Buryat language', 'Yakut Language', 'Russian Language', 'Tabassaran Language', 'Yiddish Language', 'Lak Language', 'Khakas Language', 'Ukrainian Language']"
WebQTest-1099,['France'],['Brazil national football team']
WebQTest-1121,"['United we stand, divided we fall']","['United we stand, divided we fall']"
WebQTest-1149,"['April 23, 2009 to July 10, 2010']",[None]
WebQTest-1177,['Chula Vista High School'],['Chula Vista High School']
WebQTest-1204,['Four Corners'],['Four Corners']
WebQTest-1230,"['International Antarctic Centre', 'Canterbury Museum, Christchurch', 'Ferrymead Heritage Park', 'Christchurch Botanic Gardens', 'Cathedral Square, Christchurch', 'Willowbank Wildlife Reserve, Christchurch', 'TranzAlpine', 'Lyttelton Timeball Station', 'Christchurch Arts Centre', 'Air Force Museum of New Zealand']","['International Antarctic Centre', 'Ferrymead Heritage Park', 'Cathedral Square, Christchurch', 'Willowbank Wildlife Reserve, Christchurch', 'Christchurch Botanic Gardens', 'Christchurch Arts Centre', 'Air Force Museum of New Zealand', 'Canterbury Museum, Christchurch', 'TranzAlpine', 'Lyttelton Timeball Station']"
WebQTest-1252,['Éowyn'],['Miranda Otto']
WebQTest-1275,['Actor'],['Actor']
WebQTest-1300,['Fulham'],['Fulham']
WebQTest-1323,"['Atlanta Symphony Orchestra', 'Six Flags White Water', 'Peachtree Road Race', 'Georgia State Capitol', 'Georgia World Congress Center', 'Six Flags Over Georgia', 'Philips Arena', 'Turner Field', 'Cobb Energy Performing Arts Centre', 'Zoo Atlanta', 'Atlanta Ballet', 'World of Coca-Cola', 'Georgia Aquarium', 'The Tabernacle', 'Variety Playhouse', 'Hyatt Regency Atlanta', 'Four Seasons Hotel Atlanta', 'Martin Luther King, Jr. National Historic Site', 'Omni Coliseum', 'Underground Atlanta', 'Fox Theatre', 'Fernbank Museum of Natural History', 'Atlanta Cyclorama & Civil War Museum', 'Centennial Olympic Park', 'Center for Puppetry Arts', 'Fernbank Science Center', 'Jimmy Carter Library and Museum', 'Margaret Mitchell House & Museum', 'Georgia Dome', 'Atlanta History Center', 'Masquerade', 'Atlanta Marriott Marquis', 'CNN Center', 'Atlanta Jewish Film Festival', 'Woodruff Arts Center', 'Arbor Place Mall']","['Atlanta Symphony Orchestra', 'Turner Field', 'Cobb Energy Performing Arts Centre', 'Four Seasons Hotel Atlanta', 'Underground Atlanta', 'Atlanta Marriott Marquis', 'Georgia World Congress Center', 'The Tabernacle', 'Peachtree Road Race', 'Georgia Aquarium', 'Georgia Dome', 'Philips Arena', 'Omni Coliseum', 'Hyatt Regency Atlanta', 'Centennial Olympic Park', 'Zoo Atlanta', 'Six Flags Over Georgia', 'Six Flags White Water', 'Atlanta Cyclorama & Civil War Museum', 'Georgia State Capitol', 'World of Coca-Cola', 'CNN Center', 'Fernbank Science Center', 'Fernbank Museum of Natural History', 'Fox Theatre', 'Woodruff Arts Center', 'Margaret Mitchell House & Museum', 'Martin Luther King, Jr. National Historic Site', 'Atlanta History Center', 'Variety Playhouse', 'Jimmy Carter Library and Museum', 'Masquerade', 'Arbor Place Mall', 'Atlanta Ballet', 'Center for Puppetry Arts', 'Atlanta Jewish Film Festival']"
WebQTest-1344,Abstain,['Missouri']
WebQTest-1370,['Paris'],['Paris']
WebQTest-1396,['Sebastian Shaw'],"['Sebastian Shaw', 'David Prowse', 'James Earl Jones']"
WebQTest-1426,['Utrecht'],['Utrecht']
WebQTest-1455,['Brasília'],['Brasília']
WebQTest-1479,['Dustin Johnson is a Golfer who won the 2015 WGC-Cadillac Championship'],['Golfer']
WebQTest-1503,['New York City'],['New York City']
WebQTest-1531,"['Bamako', 'West African CFA franc', 'French']",['Africa']
WebQTest-1555,['House of Representatives'],[None]
WebQTest-1575,"['Google Drive', 'Nexus One', 'Google Classroom', 'Apache Wave', 'Google Docs, Sheets, and Slides', 'Nexus 7', 'Google Earth', 'Nexus 10', 'Google Buzz', 'Google Maps', 'Google Glass', 'Nexus Q', 'Nexus S', 'Chromecast', 'Google Cloud Platform', 'Google Apps for Work', 'Google Nexus']","['Google Classroom', 'Google Drive', 'Apache Wave', 'Google Earth', 'Google Buzz', 'Google Docs, Sheets, and Slides', 'Nexus S', 'Google Glass', 'Nexus 7', 'Nexus Q', 'Nexus 10', 'Google Maps', 'Chromecast']"
WebQTest-1603,"['Tao Te Ching', 'Zhuang Zhou', 'Daozang', 'I Ching']","['Zhuang Zhou', 'Tao Te Ching', 'I Ching', 'Daozang']"
WebQTest-1625,"['Anemometer', 'Armored car', '33-Barreled Organ', 'Ornithopter', 'Double hull', 'Triple Barrel Canon', 'Viola organista', 'Diving suit', 'Parachute', 'Aerial Screw']","['Anemometer', 'Diving suit', 'Ornithopter', 'Viola organista', 'Double hull', 'Parachute', 'Triple Barrel Canon', '33-Barreled Organ', 'Aerial Screw', 'Armored car']"
WebQTest-1649,Error,[None]
WebQTest-1671,['Köping'],['Köping']
WebQTest-1695,Abstain,[None]
WebQTest-1721,['Spanish Language'],"['Aymara language', 'Omagua dialect', 'Spanish Language', 'Ayacucho Quechua', 'Puquina Language', 'Waorani Language']"
WebQTest-1742,['bicameral parliamentary system'],"['Parliamentary system', 'Unitary state', 'Constitutional monarchy']"
WebQTest-1767,"['Martin Luther King, Jr. National Historic Site']","['Martin Luther King, Jr. National Historic Site']"
WebQTest-1791,['1440-08:00'],[None]
WebQTest-1812,['Barbados'],['Saint Michael Parish']
WebQTest-1839,['Central Time Zone'],['Central Time Zone']
WebQTest-1866,Error,['New York']
WebQTest-1889,['Al Gore'],['Al Gore']
WebQTest-1912,"['heart attack', 'Pancreatic cancer']","['Pancreatic cancer', 'heart attack']"
WebQTest-1937,Abstain,"['Sailor', 'Explorer']"
WebQTest-1963,['Right guard'],['Right guard']
WebQTest-1990,['Nathan Lane'],['Nathan Lane']
WebQTest-2011,['Bob Marley Mausoleum'],['Bob Marley Mausoleum']
