qid,pred,label
WebQTest-31,Abstain,[None]
WebQTest-54,Abstain,['Nazi Germany']
WebQTest-76,"['The Last Supper', 'Mona Lisa', 'Adoration of the Magi', 'Annunciation', 'The Holy Infants Embracing', 'Sala delle Asse', ""Portrait of Isabella d'Este"", 'Madonna of the Yarnwinder', 'Madonna and Child with St Joseph', 'Portrait of a Young Fiancée', ""Ginevra de' Benci"", 'Madonna Litta', 'Salvator Mundi', 'The Virgin and Child with St. Anne', 'La belle ferronnière', 'Portrait of a man in red chalk', 'The Battle of Anghiari', 'St. John the Baptist', 'Madonna of the Carnation', 'St. Jerome in the Wilderness', 'The Baptism of Christ', ""Leonardo's horse"", 'Virgin of the Rocks', 'Drapery for a Seated Figure', 'Lady with an Ermine', 'Benois Madonna', 'Vitruvian Man', 'Horse and Rider', 'Leda and the Swan', 'The Virgin and Child with St Anne and St John the Baptist', 'Medusa', 'Bacchus']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,['Spanish Language'],"['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Lithuania', 'Latvia', 'Estonia']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,Abstain,"['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,Abstain,['Europe']
WebQTest-246,"['Neon lamp', 'Remote control', 'Alternating current', 'Tesla coil', 'Three-phase electric power', 'Wireless telegraphy', 'Induction motor']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,Abstain,['2003–04 NBA season']
WebQTest-298,Abstain,"['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['Splash', 'Cocoon', 'Rush', 'Gung Ho', 'Ransom', 'Willow', 'Angels & Demons', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Grand Theft Auto', 'The Dark Tower', 'Jay-Z: Made in America', 'Frost/Nixon', 'EDtv', 'Far and Away', 'The Missing', 'In the Heart of the Sea', 'Cotton Candy', 'The Dilemma', 'The Lost Symbol', 'Presidential Reunion', 'Apollo 13', 'Parenthood', 'Night Shift', 'Backdraft', 'The Da Vinci Code', 'Inferno', 'A Beautiful Mind', 'Cinderella Man', 'The Paper']","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
WebQTest-349,Abstain,"['Cleveland Cavaliers', 'Utah Jazz']"
WebQTest-380,Abstain,"['North America', 'Washington', 'United States of America', 'Cascade Range', 'Skamania County']"
WebQTest-403,['Turkish Language'],"['Turkish Language', 'Zaza language', 'Ladino Language', 'Kurdish languages', 'Arabic Language']"
WebQTest-428,"['Minnesota', 'Wisconsin', 'Indiana', 'Illinois', 'Kansas', 'South Dakota', 'Missouri', 'Nebraska', 'Michigan', 'North Dakota', 'Ohio', 'Iowa']","['Avenue of the Saints', 'West North Central States', 'East North Central States', 'Iowa', 'Illinois', 'Indiana', 'Kansas', 'Michigan', 'Missouri', 'Minnesota', 'Nebraska', 'North Dakota', 'Ohio', 'South Dakota', 'Wisconsin', 'Council Grove']"
WebQTest-453,"['Limonese Creole', 'Jamaican Creole English Language', 'Bribri Language', 'Spanish Language']","['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']"
WebQTest-479,Abstain,['University of Oklahoma']
WebQTest-509,Abstain,"['Presidential system', 'Federal republic']"
WebQTest-532,['Football'],['Football']
