qid,correct,wrong,prediction,gt_label
20,1.0,0,"['line_kruse', 'ulrich_thomsen', 'nikolaj_lie_kaas', 'mads_mikkelsen']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['jeffrey_friedman', 'rob_epstein', 'todd_field', 'hal_hartley']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,1.0,0,"['1956', '1958']","['1956', '1958']"
80,1.0,0,"['john_maybury', 'françois_girard', 'fernando_meirelles']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9230769230769229,0,"['2011', '2001', '2006', '1999', '2003', '2002', '2008', '2000', '2004', '1986', '2007', '2009']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,0,0,Abstain,"['Action', 'Drama', 'Horror', 'Comedy']"
140,0.9795918367346946,0,"['tim_burstall', 'jeff_stanzler', 'randall_wallace', 'nick_cassavetes', 'george_ogilvie', 'tony_richardson', 'mel_gibson', 'jarmo_lampela', 'jodie_foster', 'robert_redford', 'richard_donner', 'dean_semler', 'graham_baker', 'grigori_kozintsev', 'lewis_milestone', 'adrian_grunberg', 'peter_weir', 'gillies_mackinnon', 'roger_spottiswoode', 'm._night_shyamalan', 'martin_campbell', 'roger_donaldson', 'robert_zemeckis', 'wim_wenders', 'john_gielgud', 'luis_mandoki', 'pen_densham', 'nick_park', 'brian_helgeland', 'franco_zeffirelli', 'michael_almereyda', 'mark_rydell', 'gillian_armstrong', 'george_miller', 'anthony_minghella', 'jean_renoir', 'laurence_olivier', 'nancy_meyers', 'roland_emmerich', 'ron_howard', 'sean_penn', 'steve_miner', 'phil_joanou', 'john_badham', 'peter_lord', 'kenneth_branagh', 'robert_towne', 'barry_levinson']","['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,1.0,0,"['ken_shapiro', 'george_roy_hill', 'michael_ritchie', 'john_landis', 'john_carpenter', 'jay_sandrich', 'harold_ramis', 'stephen_herek', 'peter_hewitt', 'colin_higgins', 'william_friedkin', 'stephen_kessler']","['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1955', '1954']","['1955', '1954']"
200,0.9999999999999999,0,"['terence_stamp', 'brigitte_bardot', 'rebecca_de_mornay', 'jane_fonda', 'alain_delon', 'vincent_spano']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0.9999999999999999,0,"['thriller', 'crime', 'action', 'drama', 'horror', 'adventure']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,1.0,0,"['thriller', 'crime', 'fantasy', 'action', 'war', 'romance', 'drama', 'horror', 'western', 'mystery', 'comedy', 'adventure']","['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
