qid,prediction,gt_label
WebQTest-31,Error,[None]
WebQTest-54,['Nazi Germany'],['Nazi Germany']
WebQTest-76,"['The Holy Infants Embracing', 'Madonna of Laroque', 'Sala delle Asse', 'Medusa', 'Vitruvian Man', 'Virgin of the Rocks', 'The Last Supper', 'La belle ferronnière', 'Madonna and Child with St Joseph', ""Ginevra de' Benci"", 'Adoration of the Magi', 'The Virgin and Child with St Anne and St John the Baptist', 'St. Jerome in the Wilderness', 'St. John the Baptist', ""Portrait of Isabella d'Este"", 'Portrait of a man in red chalk', 'The Baptism of Christ', 'Salvator Mundi', ""Leonardo's horse"", 'Leda and the Swan', 'Mona Lisa', 'Portrait of a Musician', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Horse and Rider', 'The Virgin and Child with St. Anne', 'Drapery for a Seated Figure', 'Madonna of the Yarnwinder', 'Madonna Litta', 'Portrait of a Young Fiancée', 'Madonna of the Carnation', 'Bacchus', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'The Battle of Anghiari']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,"['Haitian Creole', 'Spanish Language', 'Lucumi Language']","['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Lithuania', 'Estonia', 'Latvia']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Fender Stratocaster', 'Rickenbacker 360/12']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Remote control', 'Tesla coil', 'Alternating current', 'Wireless telegraphy', 'Neon lamp', 'Three-phase electric power', 'Induction motor']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
