qid,prediction,gt_label
20,['comedy'],['Comedy']
40,['abstain'],"['Joseph L. Mankiewicz', 'Graham Greene']"
60,['abstain'],['John Gilling']
80,"['thesilencers', 'thebigcountry', 'theviolentmen', 'thewreckingcrew', 'theambushers']","['The Silencers', 'The Big Country', 'The Violent Men', 'The Wrecking Crew']"
100,['abstain'],['Amistad']
120,['01'],['2012']
140,"['drama', 'crime', 'horror', 'adventure', 'thriller', 'fantasy', 'action', 'comedy']","['Horror', 'Crime', 'Drama', 'Fantasy', 'Adventure', 'Action', 'Comedy', 'Thriller']"
160,"['o', 'theavengers', 'themagicflute', 'amidsummernightsdream', 'henryv', 'serenity', 'loveslabourslost', 'thetempest', 'chimesatmidnight', 'juliuscaesar', 'asyoulikeit', 'haider', 'lookingforrichard', 'kingoftexas', 'thetamingoftheshrew', 'hamlet', 'kinglear', 'macbeth', 'menofrespect', 'buffythevampireslayer', 'coriolanus', 'othello', 'romeojuliet', 'thecabininthewoods', 'tempest', 'romeoandjuliet', 'inyoureyes', 'privateromeo', 'richardiii', 'toystory', 'thebanquet']","['King Lear', 'Julius Caesar', 'Men of Respect', 'Private Romeo', 'Romeo and Juliet', 'In Your Eyes', 'The Tempest', 'Romeo + Juliet', 'The Taming of the Shrew', 'Coriolanus', ""A Midsummer Night's Dream"", 'Looking for Richard', 'The Avengers', 'Othello', 'O', 'The Magic Flute', 'Henry V', 'Serenity', 'Richard III', ""Prospero's Books"", 'The Banquet', 'Macbeth', 'Toy Story', 'Hamlet', 'The Cabin in the Woods', 'Chimes at Midnight', 'Haider', 'King of Texas', 'As You Like It', ""Love's Labour's Lost"", 'Tempest', 'Buffy the Vampire Slayer']"
180,"['andreitarkovsky', 'stevensoderbergh']","['Steven Soderbergh', 'Andrei Tarkovsky']"
200,"['italian', 'french']","['French', 'Italian']"
220,"['documentary', 'animation']","['Animation', 'Documentary']"
240,['2001'],['2001']
260,"['2007', '1996', '2001', '2003', '1992', '2009', '1987']","['1987', '1992', '1996', '2003', '2001', '2007', '2009']"
280,"['tadpole', 'livefreeordie', 'rick']","['Live Free or Die', 'Tadpole', 'Rick']"
300,"['monicapotter', 'angelabettis', 'billycrudup', 'annafaris', 'emmanuellechriqui', 'christinelahti', 'aliciasilverstone', 'jeffgoldblum', 'donaldsutherland', 'elizadushku', 'jenniferlopez', 'jamesduval', 'jimcaviezel', 'desmondharrington']","['Christine Lahti', 'Donald Sutherland', 'Angela Bettis', 'Jeff Goldblum', 'Billy Crudup', 'Jennifer Lopez', 'Desmond Harrington', 'Eliza Dushku', 'James Duval', 'Anna Faris', 'Alicia Silverstone', 'Monica Potter', 'Emmanuelle Chriqui', 'Jim Caviezel']"
320,"['evesbayou', 'coachcarter', 'resurrectingthechamp', 'arena', 'soulmen', 'thelongkissgoodnight', 'thedevilsdouble', 'swat', 'freedomland', 'changinglanes', 'theman', 'blacksnakemoan', 'summerinfebruary', 'cleaner', 'atimetokill', 'deepbluesea', 'africancats', 'jackiebrown', 'deadmandown', 'loadedweapon1', 'nogooddeed', 'thecavemansvalentine', 'shaft', 'snakesonaplane', 'hardeight', 'unthinkable', 'lakeviewterrace', 'turbo', 'sphere', 'thesunsetlimited', 'rulesofengagement', 'oneeightseven', 'unbreakable', 'thenegotiator', 'kissofdeath']","['The Negotiator', 'No Good Deed', 'Jackie Brown', 'Resurrecting the Champ', 'Kiss of Death', ""The Devil's Double"", 'One Eight Seven', 'Lakeview Terrace', 'The Sunset Limited', 'Changing Lanes', 'Basic', 'Unthinkable', 'Turbo', 'Black Snake Moan', ""Eve's Bayou"", 'The Man', 'Fluke', 'Deep Blue Sea', 'Arena', 'Shaft', 'The Long Kiss Goodnight', 'S.W.A.T.', 'In My Country', 'Freedomland', 'Twisted', 'The Great White Hype', 'Soul Men', 'Rules of Engagement', 'Farce of the Penguins', 'Coach Carter', ""The Caveman's Valentine"", 'Snakes on a Plane', 'Cleaner', 'Summer in February', 'Unbreakable', 'A Time to Kill', 'Loaded Weapon 1', 'African Cats', 'Sphere', 'Dead Man Down', 'Hard Eight', 'Meeting Evil']"
340,"['paolobonacelli', 'robertobenigni']","['Roberto Benigni', 'Paolo Bonacelli']"
360,['abstain'],"['Drama', 'Comedy', 'Musical']"
380,['abstain'],['Comedy']
400,"['joejohnston', 'robertzemeckis']","['Robert Zemeckis', 'Joe Johnston']"
420,"['german', 'french']","['German', 'French']"
440,"['brucelee', 'johnsaxon']","['John Saxon', 'Bruce Lee']"
460,['paulcox'],['Paul Cox']
480,['abstain'],['Swedish']
500,['abstain'],['Francesco Rosi']
520,['abstain'],['English']
540,"['colinfirth', 'paulgiamatti', 'katebeckinsale', 'ianhunter', 'jasonstatham', 'arnoldschwarzenegger', 'colinfarrell', 'bradleycooper', 'garycole', 'kippardue', 'danieljordano', 'jamiefoxx', 'joybryant', 'garyoldman', 'dennisquaid', 'rachelticotin', 'leonwgrant', 'jamesvanderbeek', 'edwardnorton', 'samshepard', 'matthewlillard', 'dwaynejohnson', 'sharonstone', 'gerardbutler', 'bryancranston', 'jonathantaylorthomas', 'chrisevans', 'johncleese', 'liamneeson', 'benbarnes', 'juliannemoore', 'shannynsossamon', 'adamlavorgna', 'isabeljeans', 'matthewpenn', 'ronnycox', 'nicolascage', 'franklindyall', 'kristinscottthomas', 'joshlucas']","['Ian Hunter', 'Nicolas Cage', 'Gerard Butler', 'Kate Beckinsale', 'Daniel Jordano', 'Shannyn Sossamon', 'Jonathan Taylor Thomas', 'James Van Der Beek', 'Adam LaVorgna', 'Matthew Penn', 'Gary Cole', 'Liam Neeson', 'Arnold Schwarzenegger', 'Isabel Jeans', 'Sharon Stone', 'Matthew Lillard', 'Julianne Moore', 'Joy Bryant', 'John Cleese', 'Sam Shepard', 'Bradley Cooper', 'Franklin Dyall', 'Gary Oldman', 'Ben Barnes', 'Rachel Ticotin', 'Ronny Cox', 'Chris Evans', 'Colin Farrell', 'Paul Giamatti', 'Edward Norton', 'Colin Firth', 'Leon W. Grant', 'Dwayne Johnson', 'Josh Lucas', 'Jamie Foxx', 'Kip Pardue', 'Jason Statham', 'Bryan Cranston', 'Kristin Scott Thomas', 'Dennis Quaid']"
560,['abstain'],"['1948', '1940', '1973', '1947', '1963', '1933', '1930', '1935', '1958']"
580,['abstain'],['French']
