qid,prediction,gt_label
WebQTest-31,['Dunblane'],[None]
WebQTest-54,['Nazi Germany'],['Nazi Germany']
WebQTest-76,"['Ginevra de\' Benci', 'Virgin of the Rocks', 'Madonna of the Carnation', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'Drapery for a Seated Figure', 'The Virgin and Child with St. Anne', 'Madonna of Laroque', 'Leda and the Swan', 'Benois Madonna', 'Adoration of the Magi', 'Madonna and Child with St Joseph', 'Horse and Rider', 'Lucan portrait of Leonardo da Vinci', 'The Battle of Anghiari', 'Bacchus', 'Portrait of a man in red chalk', 'The Baptism of Christ', 'St. John the Baptist', 'Salvator Mundi', 'Head of a Woman', 'Medusa', 'Madonna Litta', 'Mona Lisa', 'Annunciation', 'La belle ferronnière', 'St. Jerome in the Wilderness', 'The Virgin and Child with St Anne and St John the Baptist', 'Portrait of a Musician', 'The Last Supper', 'Vitruvian Man', 'The Holy Infants Embracing', 'Leonardo\'s horse', 'Sala delle Asse', 'Portrait of Isabella d\'Este', 'Lady with an Ermine']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,['Spanish Language'],"['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Estonia', 'Latvia', 'Lithuania']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Rickenbacker 360/12', 'Fender Stratocaster']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,"['Western Europe', 'Europe', 'Eurasia']",['Europe']
WebQTest-246,"['Wireless telegraphy', 'Tesla coil', 'Alternating current', 'Remote control', 'Induction motor', 'Neon lamp', 'Three-phase electric power']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003'],['2003–04 NBA season']
WebQTest-298,"['1983', '1970', '1966']","['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['In the Heart of the Sea', 'EDtv', 'Splash', 'The Dark Tower', 'Cotton Candy', 'Far and Away', 'The Missing', 'Apollo 13', 'The Da Vinci Code', 'The Dilemma', 'Cinderella Man', 'Willow', 'The Paper', 'Presidential Reunion', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Cocoon', 'Parenthood', 'Gung Ho', 'Backdraft', 'A Beautiful Mind', 'Frost/Nixon', 'The Lost Symbol', 'Ransom', 'Angels & Demons', 'Inferno', 'Jay-Z: Made in America', 'Night Shift', 'Rush', 'Grand Theft Auto']","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
WebQTest-349,"['Duke Blue Devils men\'s basketball', 'Chicago Bulls', 'Los Angeles Lakers']","['Cleveland Cavaliers', 'Utah Jazz']"
WebQTest-380,"['46.1912', '-122.1944']","['North America', 'Washington', 'United States of America', 'Cascade Range', 'Skamania County']"
WebQTest-403,['Turkish Language'],"['Turkish Language', 'Zaza language', 'Ladino Language', 'Kurdish languages', 'Arabic Language']"
WebQTest-428,"['Nebraska', 'Kansas', 'Missouri', 'Wisconsin', 'North Dakota', 'South Dakota', 'Minnesota', 'Michigan', 'Ohio', 'Iowa', 'Illinois', 'Indiana']","['Avenue of the Saints', 'West North Central States', 'East North Central States', 'Iowa', 'Illinois', 'Indiana', 'Kansas', 'Michigan', 'Missouri', 'Minnesota', 'Nebraska', 'North Dakota', 'Ohio', 'South Dakota', 'Wisconsin', 'Council Grove']"
WebQTest-453,"['Bribri Language', 'Limonese Creole', 'Spanish Language', 'Jamaican Creole English Language']","['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']"
WebQTest-479,['Minnesota Vikings'],['University of Oklahoma']
WebQTest-509,"['Federal republic', 'Presidential system']","['Presidential system', 'Federal republic']"
WebQTest-532,"['Football', 'Midfielder']",['Football']
WebQTest-559,"['Piano', 'Violin']","['Piano', 'Violin']"
WebQTest-585,['England'],['England']
WebQTest-612,"['Carolina Panthers', 'Miami Hurricanes football', 'New Orleans Saints', 'New York Giants']",['Carolina Panthers']
WebQTest-635,"['Stan Marsh', 'Mr. Garrison', 'Bebe Stevens', 'Sharon Marsh', 'Butters Stotch', 'Kenny McCormick', 'Fosse McDonald', 'Token Black', 'Gerald and Sheila Broflovski', 'Principal Victoria', 'Jimbo Kearn', 'Chef', 'Kyle Broflovski', 'Ms. Cartman', 'Eric Cartman']","['Kenny McCormick', 'Kyle Broflovski', 'Wizard of Oz', 'Terrance Henry Stoot', 'Gerald Broflovski', 'Bill Gates', 'Ethan Hawke', 'Chris', 'George Clooney', 'Danny Glover', 'Jimbo Kearn', 'Saddam Hussein', 'James Humphries', 'Former Columbine Student', 'Doug Remer', 'Hermaphrodite', 'Taper Guy', 'Kyle / Kenny / Jesus', 'Dave the Lighting Guy', 'Man toasting drinks at MCA outdoor bar', 'Ticket Taker']"
WebQTest-657,['Memphis'],['Memphis']
WebQTest-680,"['Manchester City F.C.', 'Argentina national football team', 'Club Atlético Independiente', 'Atlético Madrid']","['Manchester City F.C.', 'Argentina national football team', 'Club Atlético Independiente', 'Atlético Madrid']"
WebQTest-704,"['Thor Heyerdahl', 'Adventurer', 'Scientist', 'Cinematographer', 'Ethnographer', 'Film Producer', 'Film Director', 'Norwegian', 'Born: October 6, 1914, in Larvik', 'Died: April 18, 2002, due to brain tumor', 'Children: Annette Heyerdahl, Thor Jr Heyerdahl, Marian Heyerdahl, Bjørn Heyerdahl, Helene Elisabeth Heyerdahl']","['Film Producer', 'Adventurer', 'Film director', 'Ethnographer', 'Scientist', 'Cinematographer']"
WebQTest-728,['Nancy Pelosi'],"['Nancy Pelosi', 'John Boehner']"
WebQTest-752,['Coca-Cola'],['Coca-Cola']
