qid,prediction,gt_label
20,['abstain'],"['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,['abstain'],"['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,['abstain'],"['1956', '1958']"
80,"['johnmaybury', 'franoisgirard', 'fernandomeirelles']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,"['2002', '2003', '1999', '2009', '2001', '2000', '2008', '2006', '1986', '2007', '200', '2005', '011']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,"['comedy', 'horror', 'action', 'drama']","['Action', 'Drama', 'Horror', 'Comedy']"
140,['abstain'],"['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,['abstain'],"['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,"['1954', '1955']","['1955', '1954']"
200,"['brigittebardot', 'alaindelon', 'terencestamp', 'vincentspano', 'rebeccademornay', 'janefonda']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,"['horror', 'thriller', 'crime', 'action', 'drama', 'adventure']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,"['horror', 'thriller', 'crime', 'action', 'drama', 'romance', 'war', 'fantasy', 'adventure', 'western', 'comedy', 'mystery']","['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,"['tomhanks', 'burtlancaster', 'martinmilner', 'joangreenwood', 'tonycurtis', 'herbertlom', 'susanharrison', 'claudiacardinale', 'petersellers', 'irmaphall', 'alecguinness', 'marlonwayans', 'cecilparker']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,['abstain'],['Chris Rock']
300,"['gregcalderone', 'ellenpage', 'brucemcdonald', 'hughdillon', 'berniecoulson', 'georginareilly', 'callumkeithrennie']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,"['carloverdone', 'silviosoldini', 'mariasoletognazzi']","['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,['abstain'],"['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,['abstain'],"['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,"['2010', '2004']","['2010', '2004']"
400,"['2011', '999', '1987', '2000', '1985', '1983', '2006', '1982', '2007', '199', '1991', '1989', '1996', '1971', '1992', '1997', '1994', '2002', '2009', '1953', '1984', '1973', '1977', '2004']","['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,['abstain'],"['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,"['1991', '2002', '1972', '1995', '1981', '1999', '1992', '1977', '1960', '2001', '2006', '1983', '1979', '2009', '1920', '1936', '2007']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,"['hughgrant', 'jasonbiggs', 'nicholashoult', 'thomasiannicholas', 'alysonhannigan', 'chrisklein']","['Chris Klein', 'Hugh Grant', 'Nicholas Hoult', 'Jason Biggs', 'Alyson Hannigan', 'Thomas Ian Nicholas']"
480,"['crime', 'drama', 'action']","['Action', 'Drama', 'Crime']"
500,['abstain'],"['Don Mankiewicz', 'Thomas T. Flynn', 'Horace McCoy', 'Baynard Kendrick', 'Philip Yordan', 'Sinclair Lewis', 'David Dortort', 'Robert Buckner', 'Frank Burt', 'Claude Stanush', 'Richard Brooks', 'Alf Sjöberg', 'Pär Lagerkvist']"
520,"['emiliofernndez', 'eliakazan', 'victorfleming', 'garysinise', 'davidsward', 'johnford', 'lewismilestone']","['Elia Kazan', 'David S. Ward', 'Gary Sinise', 'Victor Fleming', 'Emilio Fernández', 'Lewis Milestone', 'John Ford']"
540,"['documentary', 'horror', 'action', 'western', 'comedy']","['Action', 'Horror', 'Comedy', 'Documentary', 'Western']"
560,"['selmablair', 'kekepalmer', 'davidmorrissey', 'donrickles', 'megryan', 'robertloggia', 'williamhmacy', 'colmfeore', 'nedbeatty', 'christianslater', 'michaelsheen']","['William H. Macy', 'Christopher Reeve', 'Michael Sheen', 'Joan Crawford', 'Colm Feore', 'Ned Beatty', 'Robert Loggia', 'Don Rickles', 'Edward Kerr', 'Meg Ryan', 'Selma Blair', 'David Morrissey', 'Keke Palmer', 'Fred MacMurray', 'Kim Cattrall', 'Billy Crudup', 'Christian Slater']"
580,"['1993', '2010']","['1993', '2010']"
600,['abstain'],"['Drama', 'Action', 'Crime', 'War', 'History']"
620,['abstain'],['2002']
640,"['comedy', 'horror', 'drama', 'biography']","['Drama', 'Romance', 'Horror', 'Comedy', 'Biography']"
660,['abstain'],"['Tony Richardson', 'Robert Altman', 'Neil Armfield', 'Dennis Hopper', 'Joseph McGrath', 'Christian Marquand']"
680,['abstain'],"['Action', 'Drama', 'Comedy', 'Thriller', 'Crime']"
700,['abstain'],"['1986', '1948', '1992', '1982', '1994', '1979', '1999', '1965', '1974', '1967', '1971', '2002', '1988', '2005', '1976', '2011', '2010', '2013']"
720,['paolosorrentino'],['Paolo Sorrentino']
740,['abstain'],"['French', 'Italian']"
760,['abstain'],"['Susan Seidelman', 'Barbara Wilson', 'Barry Strugatz', 'Fay Weldon', 'David Cramer', 'Shelly Gitlow', 'Mark R. Burns']"
