0,"'Pulitzer Prize', 'Nobel Prize', 'Rome Prize', 'Emmy Award', 'Grammy Award', 'Golden Globe Award'",['Rome Prize']
10,"'Leeds United F.C.', 'Darlington F.C.', 'Burnley F.C.', 'England national under-21 football team'",['Burnley F.C.']
20,"'Germany national under-21 football team', 'Germany national football team'",['Germany national under-21 football team']
30,"'Port Vale F.C.', 'Manchester United F.C.', 'Liverpool F.C.', 'Arsenal F.C.', 'Chelsea F.C.', 'Tottenham Hotspur F.C.', 'Everton F.C.', 'West Ham United F.C.', 'Leeds United F.C.', 'Aston Villa F.C.', 'Newcastle United F.C.', 'Southampton F.C.', 'Crystal Palace F.C.', 'Brighton & Hove Albion F.C.', 'Fulham F.C.', 'West Bromwich Albion F.C.', 'Leicester City F.C.', 'Wolverhampton Wanderers F.C.', 'Burnley F.C.', 'Norwich City F.C.'",['Port Vale F.C.']
40,"'Order of Kutuzov, 1st class', 'Hero of the Soviet Union', 'Jubilee Medal ""Forty Years of Victory in the Great Patriotic War 1941–1945""'","['Hero of the Soviet Union', 'Order of Lenin', 'Medal ""For the Capture of Berlin""', 'Order of Kutuzov, 1st class']"
50,"'Arthur Wellesley, 1st Duke of Wellington', 'Charles Stuart, 1st Baron Stuart de Rothesay', 'Charles Stuart, 1st Baron Stuart de Rothesay'","['Charles Stuart, 1st Baron Stuart de Rothesay']"
60,"'Kyösti Kallio', 'Kalervo Kummola', 'Väinö Malmivaara', 'Pehr Evind Svinhufvud', 'Antti Tulenheimo'","['Juho Vennola', 'Lauri Ingman', 'Kyösti Kallio', 'Erkki Kaila']"
70,"'ACF Fiorentina', 'Brescia Calcio', 'Vicenza Calcio', 'Juventus F.C.', 'Italy national football team', 'A.C. Milan', 'Bologna F.C. 1909'","['Italy national football team', 'Brescia Calcio']"
80,"'Theatre World Award', 'Primetime Emmy Award', 'Tony Award for Best Featured Actor in a Play'","['Tony Award for Best Featured Actor in a Play', 'Theatre World Award']"
90,"'Juventus F.C.', 'A.C. Perugia Calcio', 'A.S. Roma', 'ACF Fiorentina'","['Juventus F.C.', 'Italy national under-21 football team', 'A.C. Perugia Calcio']"
100,"'Geoffrey Midgley', 'John Smith', 'Michael Johnson', 'David Brown', 'Peter White', 'Daniel Clark', 'Robert Green', 'Andrew Hill', 'Mark Taylor', 'Joseph Evans'",['Geoffrey Midgley']
110,'Club Atlético River Plate',['Club Atlético River Plate']
120,"'Wilbur Cross Medal', 'George Polk Award', 'John Addison Porter Prize', 'National Book Award for Nonfiction'",['John Addison Porter Prize']
130,"'Club Atlético River Plate', 'Boca Juniors', 'Club Atlético Independiente', 'San Lorenzo de Almagro', 'Club Atlético Vélez Sarsfield', 'Club Atlético Huracán', 'Club Atlético Banfield', 'Club Atlético Lanús', 'Club Atlético Tucumán', 'Club Atlético Rosario Central'",['Club Atlético River Plate']
140,"'Landau Gold Medal', 'Sakurai Prize', 'Nobel Prize', 'Turing Award', 'Fields Medal'",['Sakurai Prize']
150,"'Knight Grand Cross with Collar of the Order of Merit of the Italian Republic', 'International Simón Bolívar Prize', 'honorary doctor of the University of Madrid Complutense', 'Charlemagne Prize', 'Nansen Refugee Award', 'Félix Houphouët-Boigny Peace Prize', 'Royal Victorian Chain', 'Grand Cross special issue of the Order of Merit of the Federal Republic of Germany, special issue'",['International Simón Bolívar Prize']
160,"'Max Planck Medal', 'Wigner Medal', 'Dannie Heineman Prize for Mathematical Physics', 'Enrico Fermi Prize', 'Dirac Prize', 'Max Planck Research Award', 'ICTP Dirac Medal'","['ICTP Dirac Medal', 'Dirac Prize']"
170,"'Jesús Merino Delgado', 'Sebastián González Vázquez', 'Juan José Lucas', 'Tomás Burgos Gallego', 'Juan José Laborda Martín', 'José María Aznar', 'Fernando Becker', 'Eloísa Álvarez Oteo', 'Dionisio Llamazares Fernández', 'Juan Carlos Aparicio Pérez', 'Tomás Rodríguez Bolaños', 'Jesús Posada'","['Juan José Lucas', 'Eloísa Álvarez Oteo', 'Jesús Merino Delgado']"
180,"'Brentford F.C.', 'Fulham F.C.', 'Millwall F.C.'","['Brentford F.C.', 'Millwall F.C.']"
190,"'Bologna F.C. 1909', 'Italy national football team'",['Bologna F.C. 1909']
200,'John Christian',['John Christian']
210,"'Leopold-von-Buch-Plaque', 'V. M. Goldschmidt Award'",['Leopold-von-Buch-Plaque']
220,"'Charles Theodore, Elector of Bavaria', 'Clemens August of Bavaria', 'George I of Great Britain', 'Frederick V', 'George III of Great Britain'",['George I of Great Britain']
230,'Theatre World Award',['Theatre World Award']
240,"'Darlington F.C.', 'Southend United F.C.', 'Sunderland A.F.C.', 'Sheffield United F.C.', 'Derby County F.C.', 'Oldham Athletic A.F.C.', 'York City F.C.', 'Bury F.C.'",['Sunderland A.F.C.']
250,"'England national football team', 'Preston North End F.C.', 'Wolverhampton Wanderers F.C.'","['Wolverhampton Wanderers F.C.', 'England national football team']"
260,"'Crystal Palace F.C.', 'Luton Town F.C.', 'Southend United F.C.', 'Manchester City F.C.', 'Queens Park Rangers F.C.', 'Plymouth Argyle F.C.', 'Leyton Orient F.C.', 'Brentford F.C.'","['Queens Park Rangers F.C.', 'Leyton Orient F.C.']"
270,"'Calcio Padova', 'Bologna F.C. 1909', 'S.S.C. Napoli', 'A.C. Milan'","['A.C. Milan', 'Calcio Padova']"
280,"'Unione Sportiva Città di Palermo', 'Juventus F.C.', 'Torino Football Club', 'S.S. Lazio'",['Torino Football Club']
290,"'Atalanta B.C.', 'Italy national under-21 football team', 'Torino Football Club', 'Bologna F.C. 1909'",['Torino Football Club']
300,"'Charlton Athletic F.C.', 'Manchester United F.C.', 'Arsenal F.C.', 'Liverpool F.C.', 'Chelsea F.C.', 'Tottenham Hotspur F.C.', 'Leeds United F.C.', 'Everton F.C.', 'West Ham United F.C.', 'Aston Villa F.C.', 'Manchester City F.C.', 'Newcastle United F.C.', 'Fulham F.C.', 'Wolverhampton Wanderers F.C.', 'Crystal Palace F.C.', 'Southampton F.C.', 'Burnley F.C.', 'Brighton & Hove Albion F.C.', 'West Bromwich Albion F.C.', 'Sheffield United F.C.'",['Charlton Athletic F.C.']
310,"'Portsmouth F.C.', 'Tottenham Hotspur F.C.', 'Birmingham City F.C.'","['Tottenham Hotspur F.C.', 'England national football team']"
320,"'Coventry City F.C.', 'Manchester City F.C.', 'Leicester City F.C.', 'West Ham United F.C.', 'Arsenal F.C.', 'Tottenham Hotspur F.C.', 'Liverpool F.C.', 'Chelsea F.C.', 'Everton F.C.', 'Manchester United F.C.'",['Coventry City F.C.']
330,"'John Dryden Kuser', 'Vincent Astor', 'David Rockefeller', 'Charles H. Revson', 'Marshall Field', 'Alfred Gwynne Vanderbilt Jr.'",['Vincent Astor']
340,"'Robert J. and Claire Pasarow Foundation Award for Distinguished Contributions to Cancer Research', 'Ernst-Jung-Preis für Medizin', 'Charles S. Mott Prize', 'Bristol-Myers Squibb Award for Distinguished Achievement in Cancer Research', 'Howard Taylor Ricketts Award'",['Ernst-Jung-Preis für Medizin']
350,"'Ted Hughes', 'Robert Southey', 'Nahum Tate', 'John Betjeman', 'John Dryden', 'Alfred, Lord Tennyson', 'John Masefield', 'Robert Bridges', 'William Wordsworth', 'Thomas Warton', 'Nicholas Rowe', 'Andrew Motion', 'Cecil Day-Lewis'",['William Wordsworth']
360,"'Sheffield Wednesday F.C.', 'Arsenal F.C.', 'Barnsley F.C.'","['Sheffield Wednesday F.C.', 'Barnsley F.C.']"
370,"'Hassan Rouhani', 'Mohammad-Javad Bahonar', 'Gholam-Ali Haddad-Adel', 'Mohammad Khatami', 'Hashemi Rafsanjani', 'Ali Akbar Moinfar', 'Sadegh Khalkhali', 'Ali Khamenei', 'Mohammad Mosaddegh', 'Hassan Rouhani'","['Gholam-Ali Haddad-Adel', 'Hassan Rouhani']"
380,"'Calder Memorial Trophy', 'Lady Byng Memorial Trophy'",['Calder Memorial Trophy']
390,"'Genoa Cricket and Football Club', 'Brescia Calcio', 'ACF Fiorentina', 'Atalanta B.C.', 'Como 1907', 'Udinese Calcio', 'A.C. Cesena', 'Brescia Calcio'","['Genoa Cricket and Football Club', 'Brescia Calcio']"
400,"'John David Vanderhoof', 'Bill Owens', 'Charles S. Thomas', 'Roy Romer', 'William Lee Knous', 'Richard Lamm', 'Bill Ritter', 'Daniel I.J. Thornton', 'Julius Caldeen Gunter', 'Edwin C. Johnson', 'John F. Shafroth', 'Stephen L.R. McNichols', 'Davis Hanson Waite'",['Roy Romer']
410,"'Como 1907', 'Bologna F.C. 1909', 'A.C. Milan', 'Calcio Padova'","['Bologna F.C. 1909', 'Calcio Padova']"
420,"'Unione Calcio Sampdoria', 'Unione Sportiva Lecce', 'Bologna F.C. 1909', 'Italy national under-21 football team'",['Bologna F.C. 1909']
430,"'York City F.C.', 'Stoke City F.C.', 'Preston North End F.C.'",['York City F.C.']
440,'Order of the Red Eagle 4th Class',['Order of the Red Eagle 4th Class']
450,'Ernst von Siemens Music Prize',['Ernst von Siemens Music Prize']
460,"'F.C. Bari 1908', 'S.S. Lazio', 'ACF Fiorentina', 'Vicenza Calcio', 'Italy national under-21 football team'","['Italy national under-21 football team', 'ACF Fiorentina']"
470,'Grand Cross of the Civil Order of Alfonso X the Wise',['Grand Cross of the Civil Order of Alfonso X the Wise']
480,"'Order of the Red Star', 'Order of Lenin', 'Hero of the Soviet Union', 'Order of the Red Banner of Labour', 'Gold Star', 'Order of the Red Banner', 'Order of Suvorov, 1st class', 'Order of Kutuzov, 1st class'","['Gold Star', 'Hero of the Soviet Union', 'Order of Lenin']"
490,"'Victoria Cross', 'Order of the Bath', 'Order of the Indian Empire', 'Order of St Michael and St George', 'Order of the Star of India'",['Victoria Cross']
500,"'Crafoord Prize in Astronomy', 'Gold Medal of the Royal Astronomical Society', 'Bruce Medal', 'National Medal of Science', 'MacArthur Fellows Program', 'Gruber Prize in Cosmology', 'Dannie Heineman Prize for Astrophysics', 'Henry Norris Russell Lectureship', 'Petrie Prize Lecture'",['National Medal of Science']
510,"'Romy', 'Tie Man of the Year', 'Bambi Award', 'Bavarian TV Awards', 'Grimme-Preis', 'Cross of the Order of Merit of the Federal Republic of Germany', 'Guldbagge Award', 'Bavarian Film Awards'",['Cross of the Order of Merit of the Federal Republic of Germany']
520,'honorary doctor of the University of Girona',['honorary doctor of the University of Girona']
530,"'Arnaud d'Hauterives', 'Catherine Bréchignac', 'Jean Leclant', 'Xavier Darcos'","[""Arnaud d'Hauterives"", 'Jean Leclant']"
540,"'Order of Lenin', 'Order of the Red Star', 'Gold Star', 'Hero of the Soviet Union', 'Order of the Red Banner', 'Order of Kutuzov, 2nd class'","['Gold Star', 'Hero of the Soviet Union', 'Order of Lenin']"
550,"'Alföld Prize', 'Tibor Déry Prize', 'Commander Cross of the Order of Merit of the Hungarian Republic', 'Pro Literatura', 'Széchenyi Prize', 'Attila József Prize'",['Attila József Prize']
560,"'Filmfare Awards', 'Padma Shri in literature & education'",['Padma Shri in literature & education']
570,"'Hart Memorial Trophy', 'Lady Byng Memorial Trophy', 'Calder Memorial Trophy', 'Frank J. Selke Trophy', 'James Norris Memorial Trophy', 'Bill Masterton Memorial Trophy', 'Vezina Trophy', 'Conn Smythe Trophy', 'Lester B. Pearson Award', 'Maurice Richard Trophy', 'Art Ross Trophy', 'King Clancy Memorial Trophy', 'King Clancy Memorial Trophy', 'NHL Plus-Minus Award'",['Frank J. Selke Trophy']
580,"'Pulitzer Prize for History', 'Peace Prize of the German Book Trade', 'Presidential Medal of Freedom', 'Bancroft Prize', 'National Book Award for Nonfiction', 'Pulitzer Prize for Biography or Autobiography'","['National Book Award for Nonfiction', 'Bancroft Prize', 'Pulitzer Prize for History']"
590,"'Nansen Medal', 'Olympic Order', 'Egebergs Ærespris', 'Nordic Combined World Cup', 'Cross of Honour of the Order of the Dannebrog', 'St. Olav's Medal', 'Holmenkollen Medal', 'Fearnley Award', 'Sjöström Award', 'Guldbollen', 'Peer Gynt Prize', 'Knights of Honor of the Order of St. John', 'Håndslagprisen', 'Vardon Trophy'",['Egebergs Ærespris']
600,"""Governor General's Awards"", 'Officer of the Order of Canada'","[""Governor General's Awards""]"
610,"'Leyton Orient F.C.', 'Liverpool F.C.', 'Southend United F.C.'",['Leyton Orient F.C.']
620,"'Nobel Prize', 'Sigmund Freud Prize', 'Pulitzer Prize', 'Oscar Award', 'Emmy Award', 'Grammy Award', 'Golden Globe Award', 'Booker Prize', 'Pritzker Architecture Prize', 'Fields Medal', 'Turing Award', 'Bharat Ratna', 'Legion of Honour', 'Order of the British Empire', 'Order of Australia', 'Presidential Medal of Freedom', 'Bharat Ratna', 'Lasker Award', 'Turner Prize', 'Palme d'Or'",['Sigmund Freud Prize']
630,"'Vicenza Calcio', 'Brescia Calcio', 'Unione Sportiva Lecce', 'Genoa Cricket and Football Club'","['Genoa Cricket and Football Club', 'Brescia Calcio']"
640,"'Inkpot Award', 'Hugo Award', 'Academy Award', 'Grammy Award', 'Pulitzer Prize'",['Inkpot Award']
650,"'Walsall F.C.', 'Port Vale F.C.', 'Preston North End F.C.', 'Lincoln City F.C.', 'Queens Park Rangers F.C.', 'Cardiff City F.C.'",['Lincoln City F.C.']
660,"'Lord Archibald Hamilton', 'Charles Edward Grey', 'George Berkeley', 'James Bruce, 8th Earl of Elgin', 'Eyre Coote', 'Henry Bentinck, 1st Duke of Portland', 'Sir George Nugent, 1st Baronet'",['Lord Archibald Hamilton']
670,"'Ernst Reuter Medal', 'Helmholtz Medal', 'Sigmund Freud Prize'",['Sigmund Freud Prize']
680,"'Nobel Prize in Physics', 'Fields Medal', 'John Scott Medal', 'Lasker Award', 'Turing Award', 'Pulitzer Prize', 'Grammy Award', 'Booker Prize', 'Oscar'",['John Scott Medal']
690,"'England national football team', 'Tottenham Hotspur F.C.', 'Blackburn Rovers F.C.', 'Liverpool F.C.', 'Derby County F.C.'","['Liverpool F.C.', 'Tottenham Hotspur F.C.']"
700,"'Academy Award', 'Emmy Award', 'Lucy Award', 'Golden Globe Award', 'Grammy Award', 'Pulitzer Prize'",['Lucy Award']
710,"'Portsmouth F.C.', 'Swindon Town F.C.', 'Cardiff City F.C.'",['Swindon Town F.C.']
720,"'Henry Knight Storks', 'William Lyttelton, 1st Baron Lyttelton', 'Somerset Lowry-Corry, 2nd Earl Belmore', 'Sir Charles Knowles, 1st Baronet', 'Lord Archibald Hamilton', 'George Berkeley', 'Charles Edward Grey', 'Constantine Phipps, 1st Marquess of Normanby', 'Henry Barkly', 'John Keane, 1st Baron Keane', 'Archibald Campbell', 'William Manning', 'Howe Browne, 2nd Marquess of Sligo', 'James Bruce, 8th Earl of Elgin', 'Eyre Coote', 'Henry Bentinck, 1st Duke of Portland', 'Hugh Foot, Baron Caradon', 'Henry Arthur Blake', 'Sir George Nugent, 1st Baronet'",['Henry Knight Storks']
730,"'Agostino Depretis', 'Francesco Paolo Perez', 'Luigi Federico Menabrea', 'Ubaldino Peruzzi', 'Stefano Jacini'","['Francesco Paolo Perez', 'Agostino Depretis']"
740,'Mülheimer Dramatikerpreis',['Mülheimer Dramatikerpreis']
750,"'A.C. Milan', 'ACF Fiorentina', 'Parma Calcio 1913', 'Italy national under-21 football team', 'Atalanta B.C.'","['A.C. Milan', 'Italy national under-21 football team', 'ACF Fiorentina']"
760,'Grand Cross of the Order of St. Raymond of Peñafort',['Grand Cross of the Order of St. Raymond of Peñafort']
770,"'Osmo Antero Wiio', 'Antti Tulenheimo', 'Esko Aho', 'Elisabeth Rehn', 'Margit Borg-Sundman', 'Paavo Väyrynen', 'Matti Louekoski', 'Ilmo Paananen', 'Hertta Kuusinen'","['V. J. Sukselainen', 'Paavo Väyrynen', 'Johannes Virolainen', 'Harri Holkeri', 'Erkki Liikanen', 'Osmo Antero Wiio', 'Matti Louekoski']"
780,"'York City F.C.', 'Chelsea F.C.', 'Arsenal F.C.', 'Liverpool F.C.', 'Manchester United F.C.', 'Tottenham Hotspur F.C.'",['York City F.C.']
790,"'Scotland national football team', 'Cardiff City F.C.', 'Birmingham City F.C.'","['Scotland national football team', 'Cardiff City F.C.']"
800,'Henry A. Wise',"['Henry A. Wise', 'John Letcher']"
810,"'Candace Award', 'National Association of Black Journalists Hall of Fame', 'Presidential Medal of Freedom', 'Spingarn Medal'",['National Association of Black Journalists Hall of Fame']
820,"'Unione Sportiva Lecce', 'Calcio Catania', 'A.S. Roma', 'F.C. Bari 1908', 'Unione Calcio Sampdoria', 'Torino Football Club'",['Unione Sportiva Lecce']
830,"'Keio Medical Science Prize', 'Gairdner Foundation International Award', 'Rosenstiel Award', 'Pfizer Award in Enzyme Chemistry', 'Nobel Prize in Chemistry', 'Sir Hans Krebs Medal'","['Sir Hans Krebs Medal', 'Rosenstiel Award']"
840,"'Leyton Orient F.C.', 'Notts County F.C.', 'Derby County F.C.', 'Tottenham Hotspur F.C.'",['Leyton Orient F.C.']
850,"'Hellas Verona F.C.', 'Como 1907'",['Hellas Verona F.C.']
860,'Ordem do Mérito Cultural',['Ordem do Mérito Cultural']
870,"'John, Elector of Saxony', 'Frederick V', 'Frederick III', 'Sigismund'","['John, Elector of Saxony']"
880,'Glenda Farrell',['Glenda Farrell']
890,"'Clube de Regatas do Flamengo', 'Brazil national football team', 'FC Inter Milan', 'Queens Park Rangers F.C.'","['FC Inter Milan', 'Brazil national football team']"
900,"'Sunderland A.F.C.', 'Barnsley F.C.', 'Blackpool F.C.', 'Darlington F.C.'",['Barnsley F.C.']
910,"'Bavarian Order of Merit', ""Knight Commander's Cross of the Order of Merit of the Federal Republic of Germany"", 'doctor honoris causa', 'Ernst-Hoferichter-Preis', 'Bavarian Maximilian Order for Science and Art'",['doctor honoris causa']
920,"'Heinz Maier Liebnitz Medal', 'Bavarian Maximilian Order for Science and Art'",['Heinz Maier Liebnitz Medal']
930,"'Nobel Prize in Physics', 'Josiah Willard Gibbs Lectureship', 'Dirac Medal'",['Josiah Willard Gibbs Lectureship']
940,"'University of Southampton', 'University of Oxford', 'University of Cambridge', 'London School of Economics', 'Harvard University', 'Yale University', 'University of Chicago', 'Stanford University', 'Massachusetts Institute of Technology', 'California Institute of Technology', 'Princeton University', 'University of California, Berkeley', 'University of Tokyo', 'National University of Singapore'",['University of Southampton']
950,"'Italy national football team', 'Vicenza Calcio', 'Juventus F.C.'","['Italy national football team', 'Juventus F.C.']"
960,"'Brentford F.C.', 'Bristol City F.C.', 'Bradford City A.F.C.', 'Huddersfield Town A.F.C.', 'Barnsley F.C.', 'West Ham United F.C.', 'York City F.C.'",['York City F.C.']
970,"'National Film Award for Best Music Direction', 'Golden Lion', 'Padma Shri in arts', 'National Board of Review Award for Best Foreign Language Film', 'Bharat Ratna', 'Golden Lion', 'Academy Honorary Award', 'National Film Award for Best Music Direction', 'BAFTA Award for Best Film', 'Sutherland Trophy', 'Padma Vibhushan', 'Silver Bear for Best Director', 'Ramon Magsaysay Award', 'Golden Bear', 'Filmfare Award for Best Director', 'Dadasaheb Phalke Award', 'Silver Bear for Best Director', 'National Board of Review Award for Best Foreign Language Film', 'Sangeet Natak Akademi Award', 'Padma Bhushan', 'Commander of the Legion of Honour', 'BAFTA Award for Best Film'",['Bharat Ratna']
980,"'Order of St. Vladimir, 4th class', 'Gold Sword for Bravery', 'Order of Saint Stanislaus, 3rd class', 'Order of Saint Stanislaus, 1st class', 'Knight third class of the order of St. Vladimir', 'Order of St. Vladimir, 2nd class', 'Order of Saint Anna, 3rd class', 'Order of Saint Anna, 1st class'",['Knight third class of the order of St. Vladimir']
990,Abstain,"['Daniel Terradellas i Redon', 'Xavier Bigatà', 'Luís Andrés García Sáez', 'Joan Rigol i Roig', 'Marià Pere i Lizàndara', 'Esteve Orriols i Sendra', 'Raimon Escudé i Pladellorens', 'Marçal Casanovas i Guerri', 'Felip Lorda', 'Joan Oliart i Pons', 'Ramon Aleu i Jornet', 'Celestino Andrés Sánchez Ramos', 'Joaquim Molins', 'Joan Reventós i Carner', 'Joan Saura Laporta', 'Joan Colomines i Puig', 'Arcadi Calzada i Salavedra', 'Ramon Camp i Batalla', 'Antoni Dalmau i Ribalta', 'Xavier Guitart i Domènech', 'Jordi Casas-Salat i Fossas', 'Enric Castellnou i Alberch', 'Josep Sánchez i Llibre', 'Dolors Montserrat i Culleré', 'Jorge Fernández Díaz', 'Isidre Gavín i Valls', 'Antoni Subirà Claus', 'Joan Hortalà', 'Josep Maria Cullell', 'Joan Ganyet i Solé', 'Jaume Camps i Rovira', 'Ferran Pont i Puntigam', 'Ferran Camps i Vallejo', 'Jordi Pujol i Soley', 'Pere Ayguadé i Ayguadé', 'Flora Sanabra i Villarroya', 'Lluís Armet i Coma', 'Roc Fuentes i Navarro', 'Josep Laporte i Salas', 'Francesc Codina i Castillo', 'Rosa Martí i Conill', 'Josep Borràs i Gené', 'Esteve Tomàs i Torrens', 'Joan Josep Martí i Ferré', 'Alejo Vidal-Quadras Roca', 'Rosa Barenys i Martorell', 'Joan Descals i Esquius', 'Joan Maria Abelló i Alfonso', 'Rosa Fabián Martínez', 'Lluís Medir i Huerta', 'Joaquim Xicoy i Bassegoda', 'Rafael Ribó', 'Max Cahner', 'José Eduardo González Navas', 'Higini Clotas i Cierco', 'Jordi Solé Tura', 'Macià Alavedra i Moner', 'Ramon Pla i Nadal']"
