qid,correct,wrong,prediction,gt_label
20,1.0,0,"['mads_mikkelsen', 'nikolaj_lie_kaas', 'ulrich_thomsen', 'line_kruse']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['todd_field', 'hal_hartley', 'rob_epstein', 'jeffrey_friedman']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,1.0,0,"['1958', '1956']","['1956', '1958']"
80,1.0,0,"['john_maybury', 'françois_girard', 'fernando_meirelles']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9999999999999998,0,"['1986', '2008', '2011', '2007', '2002', '2009', '2000', '2001', '2004', '2006', '2003', '1999', '2005']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,1.0,0,"['comedy', 'action', 'drama', 'horror']","['Action', 'Drama', 'Horror', 'Comedy']"
140,0.24489795918367344,0,"['robert_redford', 'sean_penn', 'luis_mandoki', 'pen_densham', 'graham_baker', 'barry_levinson', 'anthony_minghella', 'robert_zemeckis', 'phil_joanou', 'mel_gibson', 'gillies_mackinnon', 'jeff_stanzler']","['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,1.0,0,"['ken_shapiro', 'john_carpenter', 'stephen_kessler', 'william_friedkin', 'john_landis', 'stephen_herek', 'harold_ramis', 'george_roy_hill', 'colin_higgins', 'peter_hewitt', 'jay_sandrich', 'michael_ritchie']","['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1954', '1955']","['1955', '1954']"
200,0.9999999999999999,0,"['terence_stamp', 'alain_delon', 'vincent_spano', 'jane_fonda', 'brigitte_bardot', 'rebecca_de_mornay']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0.9999999999999999,0,"['thriller', 'adventure', 'horror', 'action', 'crime', 'drama']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,0,0.41666666666666663,Error,"['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0.9999999999999998,0,"['tom_hanks', 'alec_guinness', 'herbert_lom', 'claudia_cardinale', 'cecil_parker', 'peter_sellers', 'joan_greenwood', 'tony_curtis', 'martin_milner', 'marlon_wayans', 'burt_lancaster', 'irma_p._hall', 'susan_harrison']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,0,5.0,"['head_of_state', 'top_five', 'down_to_earth', 'cb4', 'good_hair']",['Chris Rock']
300,0.9999999999999998,0,"['bruce_mcdonald', 'ellen_page', 'callum_keith_rennie', 'greg_calderone', 'georgina_reilly', 'bernie_coulson', 'hugh_dillon']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,0.6666666666666666,0,"['maria_sole_tognazzi', 'silvio_soldini']","['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,0.9565217391304344,0,"['michael_crichton', 'harold_gray', 'michael_wadleigh', 'guy_gallo', 'thomas_meehan', 'neville_smith', 'terence_rattigan', 'peter_mayle', 'josephine_humphreys', 'charles_dickens', 'will_gluck', 'leslie_bricusse', 'john_august', 'ronald_harwood', 'frederic_raphael', 'bo_goldman', 'malcolm_lowry', 'daniel_wallace', 'carol_sobieski', 'shane_connaughton', 'alan_sillitoe', 'whitley_strieber']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0.857142857142857,0,"['adventure', 'biography', 'comedy', 'mystery', 'crime', 'drama']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,1.0,0,"['2010', '2004']","['2010', '2004']"
400,0,0.20833333333333331,Error,"['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,0.8333333333333334,0,"['2008', '2007', '2009', '1955', '2000', '2004', '1998', '2013', '2003', '1994']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,1.0,0,"['1981', '1999', '1936', '2002', '2009', '1972', '1960', '2007', '1983', '2001', '1920', '1977', '2006', '1979', '1992', '1991', '1995']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,0.9999999999999999,0,"['hugh_grant', 'thomas_ian_nicholas', 'alyson_hannigan', 'nicholas_hoult', 'jason_biggs', 'chris_klein']","['Chris Klein', 'Hugh Grant', 'Nicholas Hoult', 'Jason Biggs', 'Alyson Hannigan', 'Thomas Ian Nicholas']"
480,1.0,0,"['action', 'drama', 'crime']","['Action', 'Drama', 'Crime']"
500,0.9999999999999998,0,"['horace_mccoy', 'alf_sjöberg', 'thomas_t._flynn', 'richard_brooks', 'david_dortort', 'philip_yordan', 'claude_stanush', 'baynard_kendrick', 'robert_buckner', 'sinclair_lewis', 'pär_lagerkvist', 'frank_burt', 'don_mankiewicz']","['Don Mankiewicz', 'Thomas T. Flynn', 'Horace McCoy', 'Baynard Kendrick', 'Philip Yordan', 'Sinclair Lewis', 'David Dortort', 'Robert Buckner', 'Frank Burt', 'Claude Stanush', 'Richard Brooks', 'Alf Sjöberg', 'Pär Lagerkvist']"
520,0.9999999999999998,0,"['gary_sinise', 'victor_fleming', 'john_ford', 'lewis_milestone', 'david_s._ward', 'elia_kazan', 'emilio_fernández']","['Elia Kazan', 'David S. Ward', 'Gary Sinise', 'Victor Fleming', 'Emilio Fernández', 'Lewis Milestone', 'John Ford']"
540,1.0,0,"['documentary', 'horror', 'comedy', 'action', 'western']","['Action', 'Horror', 'Comedy', 'Documentary', 'Western']"
560,1.0,0,"['michael_sheen', 'robert_loggia', 'edward_kerr', 'colm_feore', 'keke_palmer', 'ned_beatty', 'don_rickles', 'christian_slater', 'joan_crawford', 'christopher_reeve', 'kim_cattrall', 'william_h._macy', 'fred_macmurray', 'selma_blair', 'david_morrissey', 'billy_crudup', 'meg_ryan']","['William H. Macy', 'Christopher Reeve', 'Michael Sheen', 'Joan Crawford', 'Colm Feore', 'Ned Beatty', 'Robert Loggia', 'Don Rickles', 'Edward Kerr', 'Meg Ryan', 'Selma Blair', 'David Morrissey', 'Keke Palmer', 'Fred MacMurray', 'Kim Cattrall', 'Billy Crudup', 'Christian Slater']"
580,1.0,0,"['2010', '1993']","['1993', '2010']"
600,1.0,0,"['war', 'action', 'crime', 'drama', 'history']","['Drama', 'Action', 'Crime', 'War', 'History']"
620,1.0,0,['2002'],['2002']
640,1.0,0,"['biography', 'romance', 'horror', 'comedy', 'drama']","['Drama', 'Romance', 'Horror', 'Comedy', 'Biography']"
660,0.9999999999999999,0,"['robert_altman', 'tony_richardson', 'christian_marquand', 'neil_armfield', 'joseph_mcgrath', 'dennis_hopper']","['Tony Richardson', 'Robert Altman', 'Neil Armfield', 'Dennis Hopper', 'Joseph McGrath', 'Christian Marquand']"
680,1.0,0,"['thriller', 'comedy', 'action', 'crime', 'drama']","['Action', 'Drama', 'Comedy', 'Thriller', 'Crime']"
700,0,0,Abstain,"['1986', '1948', '1992', '1982', '1994', '1979', '1999', '1965', '1974', '1967', '1971', '2002', '1988', '2005', '1976', '2011', '2010', '2013']"
720,0,4.0,"['The Great Beauty', 'The Consequences of Love', 'The Family Friend', 'One Man Up']",['Paolo Sorrentino']
740,1.0,0,"['french', 'italian']","['French', 'Italian']"
760,0.9999999999999998,0,"['shelly_gitlow', 'barry_strugatz', 'barbara_wilson', 'david_cramer', 'fay_weldon', 'mark_r._burns', 'susan_seidelman']","['Susan Seidelman', 'Barbara Wilson', 'Barry Strugatz', 'Fay Weldon', 'David Cramer', 'Shelly Gitlow', 'Mark R. Burns']"
780,0,0.2,Error,"['Wes Craven', 'Arie Posin', 'Steven Spielberg', 'Jon Turteltaub', 'Mike Figgis', 'Wim Wenders', 'John Dahl', 'Curtiss Clayton', 'David Lynch', 'Carl Reiner', 'Jonathan Kaplan', 'Steve Miner', 'Don Bluth', 'Edward Zwick', 'Donald Petrie', 'David Gordon Green', 'Kevin Macdonald', 'Doug Liman', 'Gary Goldman', 'Stephen Daldry', 'Roland Emmerich', 'Jake Kasdan', 'Mel Brooks', 'Harold Becker', 'Jon Amiel']"
800,1.0,0,['1968'],['1968']
820,0.857142857142857,0,"['thriller', 'horror', 'war', 'comedy', 'mystery', 'drama']","['Mystery', 'Horror', 'Drama', 'Adventure', 'Comedy', 'War', 'Thriller']"
840,1.0,0,['dylan_thomas'],['Dylan Thomas']
860,0.9999999999999998,0,"['1978', '1989', '2002', '1993', '2014', '1958', '2006', '1992', '1997', '2013', '2010', '1999', '1994']","['1993', '1992', '1994', '1997', '1978', '1999', '1989', '2002', '2006', '2010', '2014', '1958', '2013']"
880,1.0,0,"['1977', '1978', '1980', '1970']","['1977', '1970', '1980', '1978']"
900,1.0,0,"['animation', 'thriller', 'horror', 'comedy', 'mystery', 'musical', 'fantasy', 'western']","['Mystery', 'Horror', 'Fantasy', 'Animation', 'Western', 'Comedy', 'Musical', 'Thriller']"
920,1.0,0,"['john_guillermin', 'j._lee_thompson', 'george_marshall']","['John Guillermin', 'George Marshall', 'J. Lee Thompson']"
940,1.0,0,"['1999', '2002']","['2002', '1999']"
960,1.0,0,"['jacques_tati', 'neil_burger', 'sylvain_chomet']","['Neil Burger', 'Sylvain Chomet', 'Jacques Tati']"
980,1.0,0,"['comedy', 'music', 'action', 'drama']","['Action', 'Drama', 'Comedy', 'Music']"
1000,0.75,0,"['2001', '2004', '1994']","['2001', '1988', '2004', '1994']"
1020,1.0,1.0,"['french', 'english']",['French']
1040,0,0.11363636363636365,Error,"['Cesar Romero', 'Jeff Chandler', 'Richard Jaeckel', 'Joan Crawford', 'Frank Sinatra', 'Ida Lupino', 'Gary Cooper', 'Burt Lancaster', 'Dean Martin', 'Ben Johnson', 'Jim Brown', 'Bruce Davison', 'Catherine Deneuve', 'Peter Falk', 'Dorothy Malone', 'Burt Reynolds', 'Kirk Douglas', 'Kim Novak', 'Hardy Krüger', 'Bette Davis', 'Anita Ekberg', 'Ernest Borgnine', 'Gene Wilder', 'Joseph Cotten', 'Lee Marvin', 'Cliff Robertson', 'Eddie Albert', 'Martine Carol', 'Rock Hudson', 'Jean Hagen', 'Charles Bronson', 'Robert Strauss', 'Paul Winfield', 'Peter Finch', 'Ralph Meeker', 'Vicki Frederick', 'Harrison Ford', 'Ursula Andress', 'Wendell Corey', 'Denise Darcel', 'James Stewart', 'Jack Palance', 'Laurene Landon', 'Richard Attenborough']"
1060,0,5.0,Error,['Persian']
1080,0.9999999999999998,0,"['thriller', 'horror', 'comedy', 'action', 'music', 'crime', 'drama']","['Horror', 'Crime', 'Drama', 'Music', 'Action', 'Comedy', 'Thriller']"
1100,1.0,0,"['comedy', 'thriller', 'action', 'crime']","['Action', 'Comedy', 'Thriller', 'Crime']"
1120,1.0,0,['dominik_moll'],['Dominik Moll']
1140,1.0,0,"['2007', '1983', '1980', '2001', '1995', '1996', '2003', '2005']","['1995', '1983', '1980', '1996', '2003', '2001', '2007', '2005']"
1160,0.5,0,['jim_varney'],"['Jim Varney', 'Iron Eyes Cody']"
1180,0.9999999999999998,0,"['marjorie_carleton', 'wilkie_collins', 'thomas_job', 'charles_hoffman', 'margaret_kennedy', 'edith_kneipple_roberts', 'martin_vale']","['Edith Kneipple Roberts', 'Thomas Job', 'Charles Hoffman', 'Martin Vale', 'Wilkie Collins', 'Margaret Kennedy', 'Marjorie Carleton']"
1200,1.0,0,"['vanessa_redgrave', 'jason_robards', 'tilda_swinton', 'jane_fonda']","['Tilda Swinton', 'Jane Fonda', 'Jason Robards', 'Vanessa Redgrave']"
1220,1.0,0,"['war', 'drama']","['Drama', 'War']"
1240,0,0.38461538461538464,Error,"['1997', '1999', '2002', '2000', '2001', '2006', '2007', '2004', '2005', '2009', '2010', '2013', '2012']"
1260,1.0,0,['japanese'],['Japanese']
1280,0.9545454545454543,0,"['1947', '1922', '1938', '2010', '1994', '1946', '2008', '1937', '1933', '1948', '1952', '2001', '1951', '1981', '1941', '1936', '1932', '1996', '1999', '1985', '1931']","['1922', '1948', '1985', '1981', '1941', '1946', '1947', '2010', '1933', '1932', '1931', '1951', '1936', '1954', '1952', '1938', '1994', '1996', '1999', '2001', '1937', '2008']"
1300,0,0,Abstain,"['Danish', 'Korean']"
1320,1.0,0,"['1963', '1944', '1941']","['1941', '1944', '1963']"
1340,0.9999999999999999,0,"['edgar_allan_poe', 'john_d._klorer', 'harry_w._conn', 'jack_mcgowan', 'moss_hart', 'roland_kibbee', 'john_huston', 'devery_freeman', 'dashiell_hammett', 'booth_tarkington', 'maude_fulton', 'george_s._kaufman', 'rosalind_keating_shaffer', 'sid_silvers', 'brown_holmes']","['John Huston', 'Harry W. Conn', 'Edgar Allan Poe', 'Dashiell Hammett', 'George S. Kaufman', 'Brown Holmes', 'Roland Kibbee', 'Moss Hart', 'Devery Freeman', 'Rosalind Keating Shaffer', 'Jack McGowan', 'John D. Klorer', 'Maude Fulton', 'Booth Tarkington', 'Sid Silvers']"
1360,0.9999999999999999,0,"['crispin_glover', 'yekaterina_golubeva', 'robert_ryan', 'richard_basehart', 'gregory_peck', 'guillaume_depardieu', 'leo_genn', 'catherine_deneuve', 'david_paymer', 'peter_ustinov']","['Gregory Peck', 'Leo Genn', 'Richard Basehart', 'David Paymer', 'Crispin Glover', 'Catherine Deneuve', 'Guillaume Depardieu', 'Yekaterina Golubeva', 'Peter Ustinov', 'Robert Ryan']"
1380,1.0,0,['2011'],['2011']
1400,1.0,0,"['1999', '2011', '1990', '2007', '1974', '2002', '2000', '1993', '1973', '2001', '1995', '1975', '2013', '1996', '2003', '2005']","['1990', '1993', '1995', '1996', '1999', '1975', '1974', '1973', '2002', '2003', '2000', '2001', '2007', '2005', '2011', '2013']"
1420,1.0,0,"['mark_a._altman', 'robert_meyer_burnett']","['Mark A. Altman', 'Robert Meyer Burnett']"
