qid,correct,wrong,prediction,gt_label
20,1.0,0,['comedy'],['Comedy']
40,1.0,0,"['joseph_l._mankiewicz', 'graham_greene']","['Joseph L. Mankiewicz', 'Graham Greene']"
60,1.0,0,['john_gilling'],['John Gilling']
80,1.0,0,"['the_violent_men', 'the_big_country', 'the_silencers', 'the_wrecking_crew']","['The Silencers', 'The Big Country', 'The Violent Men', 'The Wrecking Crew']"
100,1.0,0,['Amistad'],['Amistad']
120,1.0,0,['2012'],['2012']
140,0.875,0,"['thriller', 'horror', 'fantasy', 'action', 'comedy', 'drama', 'crime']","['Horror', 'Crime', 'Drama', 'Fantasy', 'Adventure', 'Action', 'Comedy', 'Thriller']"
160,1.0,0,"['coriolanus', 'king_lear', 'macbeth', 'the_tempest', 'men_of_respect', ""prospero's_books"", ""love's_labour's_lost"", 'othello', 'king_of_texas', 'toy_story', 'serenity', 'richard_iii', 'looking_for_richard', 'the_cabin_in_the_woods', 'buffy_the_vampire_slayer', 'hamlet', 'romeo_+_juliet', 'as_you_like_it', 'the_magic_flute', 'o', ""a_midsummer_night's_dream"", 'henry_v', 'romeo_and_juliet', 'private_romeo', 'julius_caesar', 'the_banquet', 'tempest', 'chimes_at_midnight', 'the_taming_of_the_shrew', 'the_avengers', 'in_your_eyes', 'haider']","['King Lear', 'Julius Caesar', 'Men of Respect', 'Private Romeo', 'Romeo and Juliet', 'In Your Eyes', 'The Tempest', 'Romeo + Juliet', 'The Taming of the Shrew', 'Coriolanus', ""A Midsummer Night's Dream"", 'Looking for Richard', 'The Avengers', 'Othello', 'O', 'The Magic Flute', 'Henry V', 'Serenity', 'Richard III', ""Prospero's Books"", 'The Banquet', 'Macbeth', 'Toy Story', 'Hamlet', 'The Cabin in the Woods', 'Chimes at Midnight', 'Haider', 'King of Texas', 'As You Like It', ""Love's Labour's Lost"", 'Tempest', 'Buffy the Vampire Slayer']"
180,1.0,0,"['andrei_tarkovsky', 'steven_soderbergh']","['Steven Soderbergh', 'Andrei Tarkovsky']"
200,1.0,0,"['french', 'italian']","['French', 'Italian']"
220,1.0,0,"['documentary', 'animation']","['Animation', 'Documentary']"
