qid,placeholder,placeholder,pred,label
20,,,"['nikolaj_lie_kaas', 'line_kruse', 'mads_mikkelsen']","['mads_mikkelsen', 'ulrich_thomsen', 'line_kruse', 'nikolaj_lie_kaas']"
40,,,"['jeffrey_friedman', 'todd_field', 'hal_hartley', 'rob_epstein']","['jeffrey_friedman', 'rob_epstein', 'todd_field', 'hal_hartley']"
60,,,"['1956', '1958']","['1956', '1958']"
80,,,"['john_maybury', 'françois_girard', 'fernando_meirelles']","['john_maybury', 'françois_girard', 'fernando_meirelles']"
100,,,"['2001', '2006', '2008', '2003', '2009', '2000', '2004', '1999', '2007', '2011', '2005', '2002', '1986']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,,,"['horror', 'comedy', 'action', 'drama']","['action', 'drama', 'horror', 'comedy']"
140,,,Abstain,"['michael_almereyda', 'adrian_grunberg', 'roland_emmerich', 'gillies_mackinnon', 'george_ogilvie', 'peter_weir', 'john_badham', 'tim_burstall', 'sean_penn', 'wim_wenders', 'richard_donner', 'roger_spottiswoode', 'dean_semler', 'barry_levinson', 'jodie_foster', 'mark_rydell', 'jean_renoir', 'm._night_shyamalan', 'nick_cassavetes', 'brian_helgeland', 'tony_richardson', 'nick_park', 'luis_mandoki', 'steve_miner', 'robert_zemeckis', 'gillian_armstrong', 'franco_zeffirelli', 'laurence_olivier', 'ron_howard', 'john_gielgud', 'pen_densham', 'anthony_minghella', 'peter_lord', 'nancy_meyers', 'lewis_milestone', 'randall_wallace', 'robert_rodriguez', 'robert_towne', 'jarmo_lampela', 'martin_campbell', 'george_miller', 'jeff_stanzler', 'graham_baker', 'robert_redford', 'mel_gibson', 'grigori_kozintsev', 'roger_donaldson', 'kenneth_branagh', 'phil_joanou']"
160,,,Abstain,"['jay_sandrich', 'peter_hewitt', 'michael_ritchie', 'john_landis', 'william_friedkin', 'stephen_herek', 'ken_shapiro', 'harold_ramis', 'george_roy_hill', 'stephen_kessler', 'john_carpenter', 'colin_higgins']"
180,,,"['1955', '1954']","['1955', '1954']"
200,,,"['alain_delon', 'vincent_spano', 'rebecca_de_mornay', 'terence_stamp', 'brigitte_bardot', 'jane_fonda']","['brigitte_bardot', 'jane_fonda', 'vincent_spano', 'terence_stamp', 'rebecca_de_mornay', 'alain_delon']"
220,,,"['adventure', 'drama', 'crime', 'horror', 'action', 'thriller']","['horror', 'crime', 'drama', 'adventure', 'action', 'thriller']"
240,,,Abstain,"['mystery', 'romance', 'horror', 'crime', 'drama', 'fantasy', 'western', 'action', 'comedy', 'war', 'thriller', 'adventure']"
260,,,"['martin_milner', 'joan_greenwood', 'cecil_parker', 'herbert_lom', 'peter_sellers', 'irma_p._hall', 'burt_lancaster', 'claudia_cardinale', 'susan_harrison', 'tony_curtis', 'alec_guinness']","['marlon_wayans', 'herbert_lom', 'joan_greenwood', 'cecil_parker', 'tom_hanks', 'claudia_cardinale', 'susan_harrison', 'irma_p._hall', 'burt_lancaster', 'peter_sellers', 'alec_guinness', 'tony_curtis', 'martin_milner']"
280,,,Abstain,['chris_rock']
300,,,"['georgina_reilly', 'bernie_coulson', 'callum_keith_rennie', 'hugh_dillon', 'greg_calderone', 'ellen_page']","['ellen_page', 'bernie_coulson', 'bruce_mcdonald', 'greg_calderone', 'callum_keith_rennie', 'hugh_dillon', 'georgina_reilly']"
320,,,"['silvio_soldini', 'maria_sole_tognazzi']","['maria_sole_tognazzi', 'silvio_soldini', 'carlo_verdone']"
340,,,"['terence_rattigan', 'shane_connaughton', 'john_august', 'michael_crichton', 'harold_gray', 'ronald_harwood', 'malcolm_lowry', 'kelly_masterson', 'charles_dickens', 'bo_goldman', 'frederic_raphael', 'carol_sobieski', 'michael_wadleigh', 'leslie_bricusse', 'neville_smith', 'will_gluck', 'whitley_strieber', 'daniel_wallace', 'guy_gallo', 'alan_sillitoe', 'josephine_humphreys', 'peter_mayle', 'thomas_meehan']","['leslie_bricusse', 'neville_smith', 'will_gluck', 'whitley_strieber', 'michael_wadleigh', 'shane_connaughton', 'thomas_meehan', 'kelly_masterson', 'malcolm_lowry', 'guy_gallo', 'josephine_humphreys', 'ronald_harwood', 'terence_rattigan', 'carol_sobieski', 'john_august', 'harold_gray', 'peter_mayle', 'alan_sillitoe', 'michael_crichton', 'bo_goldman', 'charles_dickens', 'frederic_raphael', 'daniel_wallace']"
360,,,"['comedy', 'adventure', 'drama', 'mystery', 'crime', 'biography', 'music']","['mystery', 'crime', 'drama', 'music', 'adventure', 'comedy', 'biography']"
380,,,"['2010', '2004']","['2010', '2004']"
400,,,"['1985', '1992', '1984', '1999', '1991', '2007', '2002', '2006', '1997', '2000', '1994', '1989', '1986', '1987', '1982', '1971', '2004', '2009', '1977', '1996', '2011', '1973', '1983']","['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,,,"['2013', '2008', '1998', '2003', '2009', '2000', '1994', '2004', '1955', '2007']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,,,"['2001', '2006', '1992', '2009', '1995', '1936', '1999', '1920', '1979', '1983', '1981']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,,,"['chris_klein', 'jason_biggs', 'nicholas_hoult', 'thomas_ian_nicholas', 'hugh_grant', 'alyson_hannigan']","['chris_klein', 'hugh_grant', 'nicholas_hoult', 'jason_biggs', 'alyson_hannigan', 'thomas_ian_nicholas']"
480,,,"['crime', 'action', 'drama']","['action', 'drama', 'crime']"
500,,,Abstain,"['don_mankiewicz', 'thomas_t._flynn', 'horace_mccoy', 'baynard_kendrick', 'philip_yordan', 'sinclair_lewis', 'david_dortort', 'robert_buckner', 'frank_burt', 'claude_stanush', 'richard_brooks', 'alf_sjöberg', 'pär_lagerkvist']"
520,,,"['emilio_fernández', 'victor_fleming', 'gary_sinise', 'elia_kazan', 'david_s._ward', 'lewis_milestone', 'john_ford']","['elia_kazan', 'david_s._ward', 'gary_sinise', 'victor_fleming', 'emilio_fernández', 'lewis_milestone', 'john_ford']"
540,,,"['comedy', 'horror', 'western', 'documentary', 'action']","['action', 'horror', 'comedy', 'documentary', 'western']"
560,,,"['joan_crawford', 'ned_beatty', 'robert_loggia', 'edward_kerr', 'christian_slater', 'william_h._macy', 'michael_sheen', 'billy_crudup', 'keke_palmer', 'david_morrissey', 'kim_cattrall', 'colm_feore', 'meg_ryan', 'christopher_reeve', 'selma_blair', 'fred_macmurray', 'don_rickles']","['william_h._macy', 'christopher_reeve', 'michael_sheen', 'joan_crawford', 'colm_feore', 'ned_beatty', 'robert_loggia', 'don_rickles', 'edward_kerr', 'meg_ryan', 'selma_blair', 'david_morrissey', 'keke_palmer', 'fred_macmurray', 'kim_cattrall', 'billy_crudup', 'christian_slater']"
580,,,"['2010', '1993']","['1993', '2010']"
600,,,"['history', 'drama', 'crime', 'war', 'action']","['drama', 'action', 'crime', 'war', 'history']"
620,,,['2002'],['2002']
640,,,"['biography', 'horror', 'comedy', 'drama']","['drama', 'romance', 'horror', 'comedy', 'biography']"
660,,,"['neil_armfield', 'tony_richardson', 'robert_altman', 'joseph_mcgrath', 'dennis_hopper', 'christian_marquand']","['tony_richardson', 'robert_altman', 'neil_armfield', 'dennis_hopper', 'joseph_mcgrath', 'christian_marquand']"
680,,,"['comedy', 'drama', 'crime', 'action', 'thriller']","['action', 'drama', 'comedy', 'thriller', 'crime']"
700,,,"['2010', '2013', '1982', '1971', '1974', '1992', '1967', '1994', '1999', '1948', '1979', '1965', '2011', '2005', '2002', '1988', '1976', '1986']","['1986', '1948', '1992', '1982', '1994', '1979', '1999', '1965', '1974', '1967', '1971', '2002', '1988', '2005', '1976', '2011', '2010', '2013']"
720,,,['paolo_sorrentino'],['paolo_sorrentino']
740,,,"['italian', 'french']","['french', 'italian']"
760,,,"['barry_strugatz', 'david_cramer', 'shelly_gitlow', 'barbara_wilson', 'susan_seidelman', 'fay_weldon', 'mark_r._burns']","['susan_seidelman', 'barbara_wilson', 'barry_strugatz', 'fay_weldon', 'david_cramer', 'shelly_gitlow', 'mark_r._burns']"
780,,,Abstain,"['wes_craven', 'arie_posin', 'steven_spielberg', 'jon_turteltaub', 'mike_figgis', 'wim_wenders', 'john_dahl', 'curtiss_clayton', 'david_lynch', 'carl_reiner', 'jonathan_kaplan', 'steve_miner', 'don_bluth', 'edward_zwick', 'donald_petrie', 'david_gordon_green', 'kevin_macdonald', 'doug_liman', 'gary_goldman', 'stephen_daldry', 'roland_emmerich', 'jake_kasdan', 'mel_brooks', 'harold_becker', 'jon_amiel']"
800,,,['1968'],['1968']
820,,,"['comedy', 'adventure', 'drama', 'mystery', 'horror', 'war', 'thriller']","['mystery', 'horror', 'drama', 'adventure', 'comedy', 'war', 'thriller']"
840,,,['dylan_thomas'],['dylan_thomas']
860,,,"['2010', '2013', '2006', '1997', '1992', '1994', '1999', '1993', '1989', '2014', '2002', '1978']","['1993', '1992', '1994', '1997', '1978', '1999', '1989', '2002', '2006', '2010', '2014', '1958', '2013']"
880,,,"['1977', '1980', '1970', '1978']","['1977', '1970', '1980', '1978']"
900,,,"['comedy', 'mystery', 'horror', 'western', 'animation', 'fantasy', 'thriller']","['mystery', 'horror', 'fantasy', 'animation', 'western', 'comedy', 'musical', 'thriller']"
920,,,"['john_guillermin', 'j._lee_thompson', 'george_marshall']","['john_guillermin', 'george_marshall', 'j._lee_thompson']"
940,,,"['1999', '2002']","['2002', '1999']"
960,,,"['jacques_tati', 'neil_burger', 'sylvain_chomet']","['neil_burger', 'sylvain_chomet', 'jacques_tati']"
980,,,"['comedy', 'drama', 'action', 'music']","['action', 'drama', 'comedy', 'music']"
1000,,,"['2001', '2004', '1988', '1994']","['2001', '1988', '2004', '1994']"
1020,,,Abstain,['french']
1040,,,"['cesar_romero', 'jeff_chandler', 'gene_wilder', 'ernest_borgnine', 'joseph_cotten', 'peter_falk', 'richard_attenborough', 'anita_ekberg', 'ben_johnson', 'peter_finch', 'ursula_andress', 'jean_hagen', 'joan_crawford', 'frank_sinatra', 'paul_winfield', 'burt_reynolds', 'burt_lancaster', 'laurene_landon', 'cliff_robertson', 'robert_strauss', 'jim_brown', 'eddie_albert', 'jack_palance', 'gary_cooper', 'kim_novak', 'hardy_krüger', 'kirk_douglas', 'rock_hudson', 'bette_davis', 'james_stewart', 'ralph_meeker', 'harrison_ford', 'dean_martin', 'dorothy_malone', 'catherine_deneuve', 'charles_bronson', 'vicki_frederick', 'denise_darcel', 'ida_lupino', 'lee_marvin', 'martine_carol', 'wendell_corey']","['cesar_romero', 'jeff_chandler', 'richard_jaeckel', 'joan_crawford', 'frank_sinatra', 'ida_lupino', 'gary_cooper', 'burt_lancaster', 'dean_martin', 'ben_johnson', 'jim_brown', 'bruce_davison', 'catherine_deneuve', 'peter_falk', 'dorothy_malone', 'burt_reynolds', 'kirk_douglas', 'kim_novak', 'hardy_krüger', 'bette_davis', 'anita_ekberg', 'ernest_borgnine', 'gene_wilder', 'joseph_cotten', 'lee_marvin', 'cliff_robertson', 'eddie_albert', 'martine_carol', 'rock_hudson', 'jean_hagen', 'charles_bronson', 'robert_strauss', 'paul_winfield', 'peter_finch', 'ralph_meeker', 'vicki_frederick', 'harrison_ford', 'ursula_andress', 'wendell_corey', 'denise_darcel', 'james_stewart', 'jack_palance', 'laurene_landon', 'richard_attenborough']"
1060,,,['persian'],['persian']
1080,,,"['comedy', 'drama', 'crime', 'horror', 'music', 'action', 'thriller']","['horror', 'crime', 'drama', 'music', 'action', 'comedy', 'thriller']"
1100,,,"['crime', 'thriller', 'comedy', 'action']","['action', 'comedy', 'thriller', 'crime']"
1120,,,['dominik_moll'],['dominik_moll']
1140,,,"['2001', '2003', '1995', '1996', '2007', '2005', '1983']","['1995', '1983', '1980', '1996', '2003', '2001', '2007', '2005']"
1160,,,"['jim_varney', 'iron_eyes_cody']","['jim_varney', 'iron_eyes_cody']"
1180,,,"['margaret_kennedy', 'thomas_job', 'edith_kneipple_roberts', 'wilkie_collins', 'martin_vale', 'charles_hoffman', 'marjorie_carleton']","['edith_kneipple_roberts', 'thomas_job', 'charles_hoffman', 'martin_vale', 'wilkie_collins', 'margaret_kennedy', 'marjorie_carleton']"
1200,,,"['tilda_swinton', 'jason_robards', 'vanessa_redgrave', 'jane_fonda']","['tilda_swinton', 'jane_fonda', 'jason_robards', 'vanessa_redgrave']"
1220,,,"['war', 'drama']","['drama', 'war']"
1240,,,"['2010', '2001', '2006', '2013', '1997', '2009', '2000', '2004', '1999', '2012', '2007', '2005', '2002']","['1997', '1999', '2002', '2000', '2001', '2006', '2007', '2004', '2005', '2009', '2010', '2013', '2012']"
1260,,,['japanese'],['japanese']
1280,,,"['1952', '1938', '1985', '2008', '1947', '1941', '1948', '1999', '2001', '1936', '1946', '1932', '1994', '1931', '2010', '1996', '1951', '1922', '1933', '1937', '1981']","['1922', '1948', '1985', '1981', '1941', '1946', '1947', '2010', '1933', '1932', '1931', '1951', '1936', '1954', '1952', '1938', '1994', '1996', '1999', '2001', '1937', '2008']"
1300,,,Abstain,"['danish', 'korean']"
1320,,,"['1963', '1944', '1941']","['1941', '1944', '1963']"
1340,,,"['maude_fulton', 'sid_silvers', 'harry_w._conn', 'john_huston', 'moss_hart', 'dashiell_hammett', 'rosalind_keating_shaffer', 'john_d._klorer', 'booth_tarkington', 'devery_freeman', 'jack_mcgowan', 'edgar_allan_poe', 'roland_kibbee', 'brown_holmes', 'george_s._kaufman']","['john_huston', 'harry_w._conn', 'edgar_allan_poe', 'dashiell_hammett', 'george_s._kaufman', 'brown_holmes', 'roland_kibbee', 'moss_hart', 'devery_freeman', 'rosalind_keating_shaffer', 'jack_mcgowan', 'john_d._klorer', 'maude_fulton', 'booth_tarkington', 'sid_silvers']"
1360,,,Abstain,"['gregory_peck', 'leo_genn', 'richard_basehart', 'david_paymer', 'crispin_glover', 'catherine_deneuve', 'guillaume_depardieu', 'yekaterina_golubeva', 'peter_ustinov', 'robert_ryan']"
1380,,,['2011'],['2011']
1400,,,"['2001', '2013', '1973', '1975', '2003', '1995', '2000', '1999', '1996', '1993', '2007', '2011', '1974', '2002', '1990', '2005']","['1990', '1993', '1995', '1996', '1999', '1975', '1974', '1973', '2002', '2003', '2000', '2001', '2007', '2005', '2011', '2013']"
1420,,,Abstain,"['mark_a._altman', 'robert_meyer_burnett']"
1440,,,Abstain,"['desmond_davis', 'michael_anderson', 'marty_feldman', 'robert_altman', 'robert_zemeckis', 'harold_prince', 'alan_j._pakula', 'stanley_donen', 'robert_marcarelli', 'richard_stanley', 'jay_roach', 'david_greene', 'clive_donner', 'don_taylor', 'lech_majewski', 'john_frankenheimer', 'steven_soderbergh', 'martin_scorsese']"
1460,,,"['michael_haneke', 'elfriede_jelinek', 'rob_sitch', 'tom_gleisner', 'santo_cilauro']","['elfriede_jelinek', 'michael_haneke', 'santo_cilauro', 'tom_gleisner', 'rob_sitch']"
1480,,,"['1960', '1961', '1979', '1978', '1972']","['1978', '1960', '1972', '1979', '1961']"
1500,,,"['robert_wise', 'fritz_lang', 'john_gilling', 'mark_robson', 'clarence_brown', 'andrew_marton', 'george_cukor', 'elia_kazan', 'luis_mandoki', 'henry_hathaway', 'george_seaton', 'vincente_minnelli', 'george_marshall']","['elia_kazan', 'fritz_lang', 'henry_hathaway', 'luis_mandoki', 'george_seaton', 'vincente_minnelli', 'mark_robson', 'john_gilling', 'george_cukor', 'andrew_marton', 'clarence_brown', 'george_marshall', 'robert_wise']"
1520,,,"['horror', 'comedy']","['horror', 'comedy']"
1540,,,"['comedy', 'drama', 'mystery', 'crime', 'horror', 'action', 'romance', 'thriller']","['mystery', 'drama', 'horror', 'crime', 'romance', 'action', 'comedy', 'thriller']"
1560,,,"['comedy', 'adventure', 'drama', 'music', 'war', 'action', 'fantasy']","['drama', 'fantasy', 'music', 'adventure', 'action', 'comedy', 'war']"
1580,,,"['lee_van_cleef', 'jack_palance']","['lee_van_cleef', 'jack_palance']"
1600,,,Abstain,"['robin_williams', 'marsha_mason', 'donald_sutherland', 'alejandro_rey', 'susan_sarandon', 'meg_mazursky', 'art_carney', 'john_cassavetes', 'george_segal', 'ellen_burstyn', 'jill_clayburgh', 'woody_allen', 'nick_nolte', 'richard_dreyfuss', 'bette_midler', 'little_richard', 'gena_rowlands', 'cleavant_derricks', 'kris_kristofferson', 'susan_anspach']"
1620,,,"['comedy', 'drama', 'mystery', 'crime', 'thriller']","['drama', 'mystery', 'comedy', 'thriller', 'crime']"
1640,,,"['crime', 'drama']","['drama', 'crime']"
1660,,,"['jay_cocks', 'gerald_kersh', 'richard_price', 'irwin_winkler']","['irwin_winkler', 'gerald_kersh', 'jay_cocks', 'richard_price']"
1680,,,"['comedy', 'adventure', 'drama', 'horror', 'war', 'action', 'thriller']","['mystery', 'horror', 'drama', 'adventure', 'action', 'comedy', 'war', 'thriller']"
1700,,,"['tye_sheridan', 'nicolas_cage', 'susan_sarandon', 'ronnie_gene_blevins']","['tye_sheridan', 'nicolas_cage', 'ronnie_gene_blevins', 'susan_sarandon']"
1720,,,"['1950', '1946', '1932', '1931', '1929', '1933']","['1946', '1933', '1932', '1931', '1937', '1950', '2014', '1929']"
1740,,,"['natalie_wood', 'owen_wilson', 'michael_rennie', 'patricia_neal', 'susan_swift', 'marsha_mason', 'boris_karloff', 'richard_beymer', 'audrey_totter', 'nastassja_kinski', 'julie_andrews', 'steve_mcqueen', 'arthur_hill', 'peter_falk', 'richard_attenborough', 'walter_slezak', 'claire_bloom', 'james_cagney', 'andrew_mccarthy', 'theodore_bikel', 'valentina_cortese', 'ruby_dee', 'bela_lugosi', 'william_holden', 'jess_weixler', 'julie_harris', 'james_olson', 'russ_tamblyn', 'robert_preston', 'kate_reid', 'fredric_march', 'simon_oakland', 'keanu_reeves', 'hugh_marlowe', 'richard_burton', 'rossana_podestà', 'candice_bergen', 'robert_mitchum', 'christopher_plummer', 'cedric_hardwicke', 'lawrence_tierney', 'robert_ryan', 'jean_simmons', 'paul_douglas', 'george_c._scott', 'susan_hayward', 'shirley_maclaine', 'keith_poulson', 'david_wayne', 'stanley_baker', 'anthony_hopkins', 'nick_offerman', 'richard_crenna', 'richard_basehart', 'anthony_franciosa', 'rita_moreno', 'william_lundigan', 'barbara_stanwyck', 'jacques_sernas', 'liam_neeson', 'barbara_bel_geddes', 'richard_johnson', 'claire_trevor', 'lili_taylor']","['david_wayne', 'christopher_plummer', 'lili_taylor', 'barbara_bel_geddes', 'boris_karloff', 'owen_wilson', 'richard_basehart', 'julie_harris', 'walter_slezak', 'peter_falk', 'liam_neeson', 'simon_oakland', 'marsha_mason', 'jean_simmons', 'james_cagney', 'claire_bloom', 'rossana_podestà', 'stanley_baker', 'rita_moreno', 'theodore_bikel', 'steve_mcqueen', 'michael_rennie', 'natalie_wood', 'richard_beymer', 'susan_swift', 'valentina_cortese', 'barbara_stanwyck', 'nick_offerman', 'cedric_hardwicke', 'kate_reid', 'arthur_hill', 'george_c._scott', 'anthony_hopkins', 'richard_johnson', 'keanu_reeves', 'audrey_totter', 'candice_bergen', 'jacques_sernas', 'paul_douglas', 'patricia_neal', 'lawrence_tierney', 'james_olson', 'bela_lugosi', 'andrew_mccarthy', 'shirley_maclaine', 'claire_trevor', 'robert_mitchum', 'keith_poulson', 'richard_burton', 'nastassja_kinski', 'fredric_march', 'julie_andrews', 'robert_preston', 'william_holden', 'william_lundigan', 'jess_weixler', 'russ_tamblyn', 'anthony_franciosa', 'hugh_marlowe', 'richard_crenna', 'richard_attenborough', 'robert_ryan', 'ruby_dee', 'susan_hayward']"
1760,,,Abstain,"['dolph_lundgren', 'kim_miyori', 'ray_stevenson', 'christopher_walken', 'elisabeth_shue', 'val_kilmer', ""vincent_d'onofrio"", 'jeroen_krabbé']"
1780,,,"['emma_mclaughlin', 'joyce_brabner', 'eleanor_henderson', 'shari_springer_berman', 'robert_pulcini', 'jonathan_ames', 'harvey_pekar', 'nicola_kraus']","['joyce_brabner', 'emma_mclaughlin', 'jonathan_ames', 'robert_pulcini', 'nicola_kraus', 'shari_springer_berman', 'eleanor_henderson', 'harvey_pekar']"
1800,,,"['don_keith_opper', 'dodie_smith', 'david_loughery', 'scott_lobdell', 'john_hughes', 'domonic_muir', 'patrick_sheane_duncan', 'george_macdonald_fraser', 'stephen_herek', 'john_j._mclaughlin']","['patrick_sheane_duncan', 'don_keith_opper', 'stephen_herek', 'dodie_smith', 'domonic_muir', 'george_macdonald_fraser', 'john_j._mclaughlin', 'john_hughes', 'david_loughery', 'scott_lobdell']"
1820,,,['drama'],['drama']
