qid,correct,wrong,prediction,gt_label
20,1.0,0,"['mads_mikkelsen', 'ulrich_thomsen', 'line_kruse', 'nikolaj_lie_kaas']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['hal_hartley', 'todd_field', 'jeffrey_friedman', 'rob_epstein']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,0,0,Abstain,"['1956', '1958']"
80,1.0,0,"['john_maybury', 'françois_girard', 'fernando_meirelles']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9999999999999998,0,"['2004', '2005', '2009', '2001', '2002', '2000', '2003', '2008', '2011', '2007', '1999', '2006', '1986']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,0,0,Abstain,"['Action', 'Drama', 'Horror', 'Comedy']"
140,1.0000000000000007,0,"['roger_donaldson', 'sean_penn', 'robert_zemeckis', 'dean_semler', 'john_badham', 'jodie_foster', 'franco_zeffirelli', 'gillian_armstrong', 'robert_towne', 'george_miller', 'robert_rodriguez', 'randall_wallace', 'martin_campbell', 'grigori_kozintsev', 'graham_baker', 'nick_park', 'roger_spottiswoode', 'michael_almereyda', 'brian_helgeland', 'john_gielgud', 'lewis_milestone', 'm._night_shyamalan', 'luis_mandoki', 'mark_rydell', 'jeff_stanzler', 'adrian_grunberg', 'tony_richardson', 'nick_cassavetes', 'robert_redford', 'steve_miner', 'anthony_minghella', 'peter_weir', 'mel_gibson', 'gillies_mackinnon', 'pen_densham', 'phil_joanou', 'wim_wenders', 'roland_emmerich', 'george_ogilvie', 'nancy_meyers', 'barry_levinson', 'laurence_olivier', 'peter_lord', 'richard_donner', 'tim_burstall', 'jarmo_lampela', 'ron_howard', 'jean_renoir', 'kenneth_branagh']","['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,0.9166666666666667,0.08333333333333333,"['michael_ritchie', 'jay_sandrich', 'ken_shapiro', 'george_roy_hill', 'stephen_kessler', 'stephen_here', 'john_landis', 'harold_ramis', 'william_friedkin', 'colin_higgins', 'john_carpenter', 'peter_hewitt']","['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1954', '1955']","['1955', '1954']"
200,0.9999999999999999,0,"['rebecca_de_mornay', 'terence_stamp', 'alain_delon', 'brigitte_bardot', 'jane_fonda', 'vincent_spano']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0,0,Abstain,"['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
