0,Abstain,['Helen Clark']
10,"Edmond Hannotin', 'Jean Lolive', 'François Duval', 'Henri Darras', 'Henri Bourbon', 'Jean Turc', 'Georges Bernard","['Raymond Marcellin', 'Fernand Dupuy', 'René Cance', 'Henri Bourbon', 'Jean de Geoffre de Chabrignac', 'Victor Dupouy', 'André Colin', 'Jean Lolive', 'Léon Castanet', 'André Cornu', 'Auguste Le Coënt', 'François Duval', 'André Foussat', 'Henri Darras', 'Félix Viallet', 'Hippolyte Ducos', 'Henri Queuille', 'Edmond Hannotin', 'Joseph Yvon', 'André Bettencourt', 'Georges Bernard', 'Louis Le Montagner', 'Jean Turc', 'Jules Roujon', 'Yves Estève', 'Yves du Halgouët', 'Frédéric Bourguet']"
20,ACF Fiorentina,['ACF Fiorentina']
30,Norman Fowler,['Norman Fowler']
40,Unione Sportiva Lecce,['Como 1907']
50,Abstain,"['Franz Loser', 'Martin Thurnher', 'Gustav Schreiner', 'Ferdinand Kinz', 'Bohumír Šmeral']"
60,"Bob Ney', 'Thomas C. Sawyer","['Bob Ney', 'Thomas C. Sawyer']"
70,Abstain,"['Walter Johnson', 'Antony Buck', 'William Clark, Baron Clark of Kempston', 'Merlyn Rees', 'Arthur Vere Harvey, Baron Harvey of Prestbury', 'James Callaghan', 'Willie Whitelaw', 'Edwin Wainwright', 'Leo Abse', 'Les Huckfield', 'Samuel Silkin, Baron Silkin of Dulwich', 'David Crouch', 'Arthur Skeffington', 'Keith Joseph', 'John Smith', 'William Elliott, Baron Elliott of Morpeth', 'Richard Sharples', 'Michael Jopling, Baron Jopling', 'Peter Shore', 'Gordon Campbell, Baron Campbell of Croy', 'John Gilbert, Baron Gilbert', 'Alex Eadie', 'Norman Miscampbell', 'James White', 'Jack McCann', 'John Astor', 'John Stonehouse', 'Gregor Mackenzie', 'William Whitlock', 'Iain Macleod', 'Robert Boscawen', 'Michael Stewart, Baron Stewart of Fulham', 'James Ramsden', 'Keith Speed', 'Joseph Mallalieu', 'Robert Cooke', 'David Watkins', 'Douglas Jay, Baron Jay', 'Patrick Cormack, Baron Cormack', 'Laurence Pavitt', 'Burnaby Drayson', 'Robert Woof', 'Paul Channon, Baron Kelvedon', 'David Weitzman', 'Terence Higgins, Baron Higgins', 'James Dance', 'Alf Morris', 'Hugh Dykes, Baron Dykes', 'John Hay', 'Adam Butler', 'Anthony Kershaw', 'Ian Lloyd', 'Keith Stainton', 'Richard Buchanan', 'Bernard Conlan', 'Anthony Grant', 'John Eden, Baron Eden of Winton', 'John Horam', 'Brian Walden', 'John Gummer', 'Norman Atkinson', 'Ronald Brown', 'Stanley McMaster', 'Gilbert Longden', 'James Hamilton', 'William Rupert Rees-Davies', 'Robert Cant', 'Ray Fletcher', 'Ivor Stanbrook', 'Jim Sillars', 'Peter Hardy, Baron Hardy of Wath', 'William Baxter', 'John Mendelson', 'Philip Holland', 'James Scott-Hopkins', 'Patricia Hornsby-Smith', 'Harold Gurden', 'Elaine Kellett-Bowman', 'Stephen McAdden', 'Edward Short, Baron Glenamara', 'Joan Lestor, Baroness Lestor of Eccles', 'Ian Percival', 'Geoffrey Johnson Smith', 'Bruce Millan', 'Malcolm MacPherson', 'David James', 'Shirley Summerskill', 'Andrew Bowden', 'Norman Tebbit', 'Peter Rawlinson, Baron Rawlinson of Ewell', 'Frank McElhone', 'Winston Spencer-Churchill', 'Neil Marten', 'Jeffrey Archer', 'Robert Lindsay, 29th Earl of Crawford', 'John Hunt', 'Horace King, Baron Maybray-King', 'Thomas McMillan', 'Anthony Berry', 'Ernest Fernyhough', 'Nigel Fisher', 'John Stradling Thomas', 'Geoffrey Rippon', 'Alec Jones', 'Ivor Richard, Baron Richard', 'Thomas Swain', 'Ronald Bell', 'Myer Galpern', 'Russell Johnston', 'Charles Taylor', 'Robert Grant-Ferris', 'Donald Kaberry, Baron Kaberry of Adel', 'John Davies', 'Jack Dunnett', 'Stanley Orme, Baron Orme', 'Jasper More', 'Frank Allaun', 'Bruce Douglas-Mann', 'Walter Harrison', 'James Johnson', 'Arthur Blenkinsop', 'Peter Michael Kirk', 'Tony Benn', 'Dick Taverne', 'Mark Carlisle', 'James Dunn', 'Eric Ogden', 'Roy Hughes, Baron Islwyn', 'Walter Elliot', 'Mark Hughes', 'Peter Fry', 'James Tinn', 'Frederick Burden', 'Dennis Skinner', 'George Strauss', 'Michael English', 'Oscar Murton, Baron Murton of Lindisfarne', 'Angus Maude', 'William Wells', 'Gavin Strang', 'Robert Hughes, Baron Hughes of Woodside', 'Scholefield Allen', 'Peter Rees, Baron Rees', 'John Fraser', 'Frank Judd, Baron Judd', 'Reginald Paget, Baron Paget of Northampton', 'Joan Vickers, Baroness Vickers', 'Piers Dixon', 'Douglas Houghton, Baron Houghton of Sowerby', 'Charles Loughlin', 'John Page', 'Daniel Awdry', 'Eric Deakins', 'William Hannan', 'Ian MacArthur', 'William Griffiths', 'Kenneth Lewis', 'Ian Paisley', 'Paul Hawkins', 'Roland Moyle', 'Sir Robert Cary, 1st Baronet', 'Tom Oswald', 'Albert Roberts', 'Kenneth Clarke', 'Frederick Corfield', 'Sir John Rodgers, 1st Baronet', 'Michael Alison', 'Harry Gourlay', 'Michael Meacher', 'Jack Dormand', 'Anthony Crosland', 'Arthur Irvine', 'Maurice Edelman', 'John Farr', 'Joan Quennell', 'Edward Heath', 'Tom Boardman, Baron Boardman', 'Jo Grimond', 'Christopher Chataway', 'Eldon Griffiths', 'Michael McGuire', 'Edward Gardner', 'Dennis Walters', 'Lance Mallalieu', 'Walter Padley', 'George Thomas, 1st Viscount Tonypandy', 'John Hannam', 'Clive Bossom', 'Julian Ridsdale', 'Geoffrey Howe', 'Neil Carmichael, Baron Carmichael of Kelvingrove', 'Arthur Probert', 'Norman St John-Stevas, Baron St John of Fawsley', 'John Hill', 'John Hall', 'Sally Oppenheim-Barnes, Baroness Oppenheim-Barnes', 'Patrick Jenkin', 'William Rodgers', 'Fred Mulley', 'Ben Ford', 'Albert Oram, Baron Oram', 'Ronald Lewis', 'Geoffrey Finsberg', 'Charles Morrison', 'Eric Varley', 'Phillip Whitehead', 'Maurice Orbach', 'Henry Kerby', 'Margaret Thatcher', 'Bonner Pink', 'Tom Cox', 'Ernest Armstrong', 'S. O. Davies', 'James Prior, Baron Prior', 'David Lambie', 'John Wells', 'John Jennings', 'Cranley Onslow', 'Judith Hart', 'Doris Fisher, Baroness Fisher of Rednal', 'John Roper, Baron Roper', 'Ted Leadbitter', 'Evelyn King', 'David Mitchell', 'Robert Edwards', 'Joe Ashton', 'James Kilfedder', 'Anthony Barber', 'Anthony Fell', 'Edmund Dell', 'Edward Bishop, Baron Bishopston', 'Alan Williams', 'Stephen Hastings', 'Patrick Duffy', 'Marcus Worsley', 'Nicholas Edwards, Baron Crickhowell', 'Leslie Spriggs', 'Robin Turton, Baron Tranmire', 'Marcus Lipton', 'Hugh Delargy', 'John Boyd-Carpenter, Baron Boyd-Carpenter', 'Harwood Harrison', 'Joyce Butler', 'Richard Crawshaw', 'Patrick Wall', 'Robert Maclennan, Baron Maclennan of Rogart', 'John Brewis', 'Sir John Gilmour, 3rd Baronet', 'Frederick Elwyn Jones, Baron Elwyn-Jones', 'Robert McCrindle', 'Harold Lever, Baron Lever of Manchester', 'Hugh Fraser', 'Frederick Willey', 'Peter Tapsell', 'William Benyon', 'Trevor Skeet', 'Roy Hattersley', 'Edward Brown', 'John Foster', 'Cecil Parkinson', 'Alfred Hall-Davis', 'Godman Irvine', 'Joseph Godber', 'Paul Dean, Baron Dean of Harptree', 'Donald Coleman', 'Reginald Bennett', 'Neil McBride', 'John Cordle', 'Jeremy Thorpe', 'Don Concannon', 'Wyn Roberts, Baron Roberts of Conwy', 'Robert Brown', 'John Pardoe', 'Nicholas Scott', 'Maurice Macmillan', 'Charles Fletcher-Cooke', 'Michael Heseltine', 'Philip Goodhart', 'Barney Hayhoe, Baron Hayhoe', 'Janet Fookes, Baroness Fookes', 'John Golding', 'John Heydon Stokes', 'Patrick Gordon Walker', 'Jerry Wiggin', 'Robert Carr', 'James Boyden', 'Christopher Tugendhat, Baron Tugendhat', 'Peggy Fenner', 'John Mackintosh', 'Ralph Howell', 'David Owen', 'Thomas Urwin', 'Marcus Fox', 'William Wilson', 'Michael Shaw', 'Wilf Proudfoot', 'Tam Galbraith', 'Jack Ashley, Baron Ashley of Stoke', 'Colin Campbell Mitchell', 'Robert Hicks', ""Michael O'Halloran"", 'Norman Wylie, Lord Wylie', 'Victor Goodhew', 'John Loveridge', 'Peter Walker, Baron Walker of Worcester', 'Willie Hamilton', 'Robert Sheldon, Baron Sheldon', 'Reg Freeson', 'Timothy Raison', 'John Peyton, Baron Peyton of Yeovil', 'Gerard Folliott Vaughan', 'Julian Amery, Baron Amery of Lustleigh', ""Brian O'Malley"", 'David Price', 'Arthur Lewis', 'John Mackie, Baron John-Mackie', ""Henry d'Avigdor-Goldsmid"", 'Peter Hordern', 'John Robertson', 'Brian Batsford', 'Marcus Kimball, Baron Kimball', 'Michael Hamilton', 'Percy Grieve', 'Jill Knight', 'Robert Adley', 'Derek Walker-Smith, Baron Broxbourne', 'Harold Wilson', 'Eddie Milne', 'Brandon Rhys-Williams', 'Peter Doig', 'Lawrence Orr', 'John Silkin', 'Kevin McNamara', 'Kenneth Marks', 'Harmar Nicholls', 'Hugh Jenkins, Baron Jenkins of Putney', 'Richard Wood, Baron Holderness', 'Irene Ward, Baroness Ward', 'Alec Douglas-Home', 'Frank Tomney', 'Geoffrey Lloyd, Baron Geoffrey-Lloyd', 'Alex Lyon', 'Jeffrey Thomas', 'Richard Hornby', 'Tufton Beamish, Baron Chelwood', 'Robert Parry', 'Patrick Wolrige-Gordon', 'Raymond Gower', 'Frederick Lee, Baron Lee of Newton', 'Albert Cooper', 'Bernard Braine', 'Bob Mellish, Baron Mellish', 'Tom Price', 'John Osborn', 'Albert Booth', 'Martin Maddan', 'Morgan Morgan-Giles', 'Thomas Williams', 'Enoch Powell', 'David Madel', 'Alan Fitch', 'Eric Heffer', 'David Waddington, Baron Waddington', 'James Lamond', 'Joseph Hiley', 'John Grant', 'Peter Thomas, Baron Thomas of Gwydir', 'Michael Cocks', 'Michael Havers, Baron Havers', 'Graham Page', 'Tom Driberg', 'Petre Crowder', 'Syd Bidwell', 'John Parker', 'Richard Crossman', 'Douglas Dodds-Parker', 'John Biffen', 'Betty Harvie Anderson', 'Arthur Davidson', 'Renee Short', 'James Dempsey', 'George Thomson, Baron Thomson of Monifieth', 'Elfed Davies, Baron Davies of Penrhys', 'Lena Jeger, Baroness Jeger', 'Fred Peart, Baron Peart', 'Fergus Montgomery', 'Peter Blaker, Baron Blaker', 'Martin McLaren', 'Tom King, Baron King of Bridgwater', 'Stanley Clinton Davis, Baron Clinton-Davis', 'David Walder', 'Francis Pym, Baron Pym', 'Paul Rose', 'Ronald Russell', 'Charles Morris', 'David Steel', 'Alick Buchanan-Smith', 'Mark Woodnutt', 'Cledwyn Hughes, Baron Cledwyn of Penrhos', 'David Marquand', 'Reg Prentice, Baron Prentice', 'Peter Rost', 'Kenneth Baker, Baron Baker of Dorking', 'Lewis Carter-Jones', 'Jack Cunningham, Baron Cunningham of Felling', 'Ian Mikardo', 'Bernard Weatherill', 'Willie Ross, Baron Ross of Marnock', 'William Molloy, Baron Molloy', 'Alan Glyn', 'Norman Buchan', 'Arthur Palmer', 'Roy Mason', 'Dickson Mabon', 'Roger Moate', 'John Peel', 'Tom Ellis', 'Barry Jones, Baron Jones', 'Duncan Sandys', 'Barbara Castle, Baroness Castle of Blackburn', 'Harold Walker, Baron Walker of Doncaster', 'James Allason', 'Joseph Harper', 'Tom Normanton', 'William Small', 'Peter Mills', 'Humphrey Atkins', 'John Rankin', 'William Hamling', 'Jock Bruce-Gardyne', 'George Jeger', 'Julian Critchley', 'Norman Pentland', 'Dick Douglas', 'John Forrester', 'Sir Richard Thompson, 1st Baronet', 'Julius Silverman', 'George Cunningham', 'Norman Fowler', 'Anthony Trafford, Baron Trafford', 'Robin Chichester-Clark', 'Arthur Jones', 'Tom Bradley', 'Alan Haselhurst', 'James Hill', 'Mervyn Pike, Baroness Pike', 'Sydney Chapman', 'Reginald Eyre', 'Malcolm Stoddart-Scott', 'Kenneth Warren', 'Bill Deedes', 'Michael Foot', 'Selwyn Lloyd', 'Quintin Hogg, Baron Hailsham of St Marylebone', 'Denis Howell, Baron Howell', 'Gordon Bagier', 'John Meredith Temple', 'Hector Monro, Baron Monro of Langholm', ""James d'Avigdor-Goldsmid"", 'Alfred Evans', 'Ian Campbell', 'Montague Woodhouse, 5th Baron Terrington', 'Donald Stewart', 'George Darling', 'Richard Body', 'James Molyneaux, Baron Molyneaux of Killead', 'Geraint Morgan', 'Michael Clark Hutchison', 'Edward du Cann', 'Nigel Spearing', 'Sir Fitzroy MacLean, 1st Baronet', 'James MacColl', 'Sir Anthony Meyer, 3rd Baronet', 'George Wallace, Baron Wallace of Coslany', 'Tom Iremonger', 'William van Straubenzee', 'Edward Lyons', 'David Clark, Baron Clark of Windermere', 'David Knox', 'Ifor Davies', 'Shirley Williams', 'Roy Jenkins', 'Adam Hunter', 'John Nott', 'John Spence', 'Nicholas Ridley, Baron Ridley of Liddesdale', 'Dan Jones', 'Gerald Nabarro', 'Anthony Stodart, Baron Stodart of Leaston', 'Reginald Maudling', 'Airey Neave', 'Ronald King Murray, Lord Murray', 'Arthur Bottomley', 'Antony Lambton', 'Michael McNair-Wilson', 'John Wilkinson', 'Denzil Davies', 'Rafton Pounder', 'Goronwy Roberts, Baron Goronwy-Roberts', 'Patrick McNair-Wilson', 'Geoffrey de Freitas', 'Harry Legge-Bourke', 'Tam Dalyell', 'Iain Sproat', 'Hugh Brown', 'Ian Gilmour, Baron Gilmour of Craigmillar', 'Toby Jessel', 'Eric Bullus', 'David Lane', 'Denis Healey', 'Bill Shelton', 'Peter Emery', 'Harold Boardman', 'Hugh Rossi', 'Austen Albu', 'Emlyn Hooson, Baron Hooson', 'Ernest Perry', 'Andrew Faulds', 'George Younger, 4th Viscount Younger of Leckie', 'Brian Harrison', 'Dudley Smith', 'Kenneth Lomas', 'John Tilney', 'John Langford-Holt', 'Carol Mather', 'Michael Noble, Baron Glenkinglas', 'George Sinclair', 'Freda Corbet', 'Timothy Kitson', 'Albert Costain', 'Gerry Fitt', 'Robin Maxwell-Hyslop', 'David Gibson-Watt, Baron Gibson-Watt', 'Alan Green', 'Russell Kerr', 'George Grant', 'John Morris, Baron Morris of Aberavon', 'David Ginsburg', 'Richard Kelley', 'Brynmor John', 'Ernest Marples', 'Peter Archer, Baron Archer of Sandwell', 'Walter Clegg', 'Richard Marsh, Baron Marsh', 'John Michael Gorst', 'Ray Mawby', 'Teddy Taylor', 'John Scott, 9th Duke of Buccleuch', 'Maurice Miller', 'Edward Fletcher', 'Hugh McCartney', 'John Prescott', 'Raphael Tuck', 'David Howell, Baron Howell of Guildford', 'Charles Pannell', 'Greville Janner, Baron Janner of Braunstone', 'David Mudd', 'Hamish Gray, Baron Gray of Contin', 'Thomas Torney', 'John Desmond Cronin', 'Paul Bryan', 'Simon Mahon', 'George Lawson', 'Tom Pendry, Baron Pendry', 'John Biggs-Davison', 'James Wellbeloved', 'Simon Wingfield Digby', 'Frederic Bennett', 'Neil Kinnock', 'Joel Barnett, Baron Barnett', 'Arthur Latham']"
80,Abstain,['Wulf Goette']
90,Abstain,"['Joaquim Jou i Fonollà', 'Josep Maria Corral i Belorado', 'Luís Andrés García Sáez', 'José Montero García', 'Raimon Escudé i Pladellorens', 'Felip Lorda', 'Josep Roig i Magrinyà', 'Joan Oliart i Pons', 'Miquel Coll i Alentorn', 'Joan Colomines i Puig', 'Francisco Hidalgo Gómez', 'Lluís Virgili i Farrà', 'Marià Vila-Abadal Vilaplana', 'Francisco Craviotto Blanco', 'Josep Garrell i Pubill', 'Justiniano Martínez Medina', 'Francesc Casares i Potau', 'Josep Fornas i Martínez', 'Joan Hortalà', 'Josep Meseguer i Utgé', 'Josep Maria Simó i Huguet', 'Lluís Armet i Coma', 'Vicenç Capdevila Cardona', 'Isidre Molas i Batllori', 'Juan Ramos Camarero', 'Simeó Selga i Ubach', 'Higini Clotas i Cierco', 'Luis Valentín Fernández de Velasco', 'Joan Codina i Torres', 'Agustín Luna Serrano', 'Antoni Gutiérrez Díaz', 'Daniel Terradellas i Redon', 'Alfredo Amestoy Sáenz', 'Heribert Barrera i Costa', 'Joan Vidal i Gayolà', 'Jordi Martínez Planas', 'Ramon Viñals i Soler', 'Josep Maria Poblet i Guarro', 'Celestino Andrés Sánchez Ramos', 'Pere Ardiaca', 'Joan Ventura i Solé', 'Francesc Subirà i Rocamora', 'Alfred Albiol i Paps', 'Pere Pi-Sunyer i Bayo', 'Jordi Casas-Salat i Fossas', 'Ramon Sala i Canadell', 'Antonio Puigvert Gorro', 'Marcel Planellas i Aran', 'Alexandre Pedrós i Abelló', 'Francesc Dalmau i Norat', 'Jaume Camps i Rovira', 'Pedro Roselló Esteban', 'Helena Ferrer i Mallol', 'Salvador Sunyer i Aimeric', 'Antón Cañellas', 'Víctor Torres i Perenya', 'José Eduardo González Navas', 'Francesc Xavier Puig i Andreu', 'Xavier Folch i Recasens', 'José Clua Queixalós', 'Macià Alavedra i Moner', 'Marta Mata', 'Jordi Escoda i Vilà', 'Francesc Vicens i Giralt', 'Joan Oró', 'Maties Vives i March', 'Joan Baptista Prats i Català', 'Francisco Frutos', 'Josep Benet', 'Higini Torras i Magem', 'Alfonso Pérez Guerra', 'Josep Maria Ainaud de Lasarte', 'Josep Andreu', 'Marià Lorca i Bard', 'Laureà Pérez Ciudad', 'José Manuel Panisello Zaragoza', 'Esteban Casado Poveda', 'Albert Planasdemunt i Gubert', 'Enrique Manuel-Rimbau Tomás', 'Antoni Subirà Claus', 'Jordi Pujol i Soley', 'Pere Ayguadé i Ayguadé', 'Joan Maria Roig i Borràs', 'Josep Borràs i Gené', 'Esteve Tomàs i Torrens', 'Joan Josep Martí i Ferré', 'Francesc Padullés Esteban', 'Agustí Forné Roé', 'Lluís Medir i Huerta', 'Rafael Ribó', 'Ricard Masó i Llunes', 'Ramon Pla i Nadal', 'Concepció Ferrer', 'Antoni Santiburcio i Moreno', 'Marçal Casanovas i Guerri', 'Enric Olivé Martínez', 'Joan Reventós i Carner', 'José Acosta Sánchez', 'Ramon Camp i Batalla', 'Eduard Punset', 'Xavier Guitart i Domènech', 'Jesús Prujà i Puig', 'Dolors Calvet', 'Carlos Cigarrán Rodil', 'Joan Ganyet i Solé', 'Josep Maria Casals i Guiu', 'Josep Maria Cullell', 'Ferran Pont i Puntigam', 'Eduardo Martín Toval', 'Ferran Camps i Vallejo', 'Juan Besa Esteve', 'Miguel López Tortosa', 'Jordi Borja Sebastià', 'Josep Laporte i Salas', 'Rosa Barenys i Martorell', 'Xavier Bigatà', 'Joan Descals i Esquius', 'Pere Portabella', 'Ramon Espasa i Oliver', 'Teresa Eulàlia Calzada Isern']"
