qid,correct,wrong,prediction,gt_label
20,1.0,0,['comedy'],['Comedy']
40,1.0,0,"['joseph_l._mankiewicz', 'graham_greene']","['Joseph L. Mankiewicz', 'Graham Greene']"
60,1.0,0,['john_gilling'],['John Gilling']
80,1.0,0,"['the_violent_men', 'the_silencers', 'the_wrecking_crew', 'the_big_country']","['The Silencers', 'The Big Country', 'The Violent Men', 'The Wrecking Crew']"
100,1.0,1.0,"['King Arthur', 'amistad']",['Amistad']
120,1.0,0,['2012'],['2012']
140,1.0,0,"['adventure', 'crime', 'horror', 'thriller', 'fantasy', 'action', 'comedy', 'drama']","['Horror', 'Crime', 'Drama', 'Fantasy', 'Adventure', 'Action', 'Comedy', 'Thriller']"
160,1.0,0,"['macbeth', 'king_lear', 'julius_caesar', 'henry_v', 'romeo_and_juliet', 'king_of_texas', 'tempest', 'buffy_the_vampire_slayer', 'serenity', 'toy_story', 'hamlet', 'looking_for_richard', 'the_cabin_in_the_woods', ""love's_labour's_lost"", 'the_avengers', 'the_tempest', 'in_your_eyes', 'men_of_respect', 'o', ""prospero's_books"", 'romeo_+_juliet', 'the_magic_flute', ""a_midsummer_night's_dream"", 'haider', 'richard_iii', 'private_romeo', 'othello', 'the_banquet', 'coriolanus', 'as_you_like_it', 'the_taming_of_the_shrew', 'chimes_at_midnight']","['King Lear', 'Julius Caesar', 'Men of Respect', 'Private Romeo', 'Romeo and Juliet', 'In Your Eyes', 'The Tempest', 'Romeo + Juliet', 'The Taming of the Shrew', 'Coriolanus', ""A Midsummer Night's Dream"", 'Looking for Richard', 'The Avengers', 'Othello', 'O', 'The Magic Flute', 'Henry V', 'Serenity', 'Richard III', ""Prospero's Books"", 'The Banquet', 'Macbeth', 'Toy Story', 'Hamlet', 'The Cabin in the Woods', 'Chimes at Midnight', 'Haider', 'King of Texas', 'As You Like It', ""Love's Labour's Lost"", 'Tempest', 'Buffy the Vampire Slayer']"
180,1.0,0,"['andrei_tarkovsky', 'steven_soderbergh']","['Steven Soderbergh', 'Andrei Tarkovsky']"
200,1.0,0,"['french', 'italian']","['French', 'Italian']"
