qid,prediction,gt_label
16,True,True
44,True,True
52,True,True
71,True,True
82,Abstain,True
119,True,True
131,True,True
135,Abstain,True
179,True,True
181,True,True
189,Abstain,False
194,Abstain,False
203,Abstain,False
230,Abstain,False
236,Abstain,False
237,Abstain,False
246,Abstain,False
272,Abstain,False
284,Abstain,False
293,Abstain,False
297,Abstain,False
301,Abstain,False
308,Abstain,False
309,Abstain,False
360,True,True
365,True,True
373,Abstain,True
379,Abstain,True
392,True,True
406,False,False
426,Abstain,False
11115,Abstain,False
11125,Abstain,False
11127,False,False
11129,False,False
11164,Abstain,False
11293,Abstain,True
11304,Abstain,True
11343,Abstain,True
