qid,prediction,gt_label
WebQTest-31,['Dunblane'],[None]
WebQTest-54,Error,['Nazi Germany']
WebQTest-76,"['g.12215rxg', 'Madonna of Laroque', 'Vitruvian Man', 'Mona Lisa', 'Portrait of a Young Fiancée', 'Bacchus', 'g.121yh91r', 'Benois Madonna', 'St. Jerome in the Wilderness', 'Salvator Mundi', 'Annunciation', 'The Holy Infants Embracing', 'Leda and the Swan', 'Portrait of a man in red chalk', ""Portrait of Isabella d'Este"", ""Ginevra de' Benci"", 'g.121wt37c', 'g.1239jd9p', 'Lucan portrait of Leonardo da Vinci', 'The Baptism of Christ', 'The Battle of Anghiari', 'Lady with an Ermine', 'La belle ferronnière', 'Madonna of the Carnation', 'Sala delle Asse', 'The Last Supper', ""Leonardo's horse"", 'Medusa', 'The Virgin and Child with St Anne and St John the Baptist', 'Virgin of the Rocks', 'Madonna and Child with St Joseph', 'St. John the Baptist', 'Horse and Rider', 'Portrait of a Musician', 'g.1219sb0g', 'Madonna Litta', 'g.1213jb_b', 'Madonna of the Yarnwinder', 'Drapery for a Seated Figure', 'Adoration of the Magi', 'Head of a Woman', 'g.12314dm1', 'g.120vt1gz', 'g.1224tf0c']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,['Spanish Language'],"['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Latvia', 'Estonia', 'Lithuania']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Rickenbacker 360/12', 'Fender Stratocaster']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Remote control', 'Three-phase electric power', 'Wireless telegraphy', 'Tesla coil', 'Neon lamp', 'Induction motor', 'Alternating current']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003-2004'],['2003–04 NBA season']
WebQTest-298,"['1966', '1970', '1983']","['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['Jay-Z: Made in America', 'In the Heart of the Sea', 'Grand Theft Auto', 'Apollo 13', 'Presidential Reunion', 'The Missing', 'Cocoon', 'Night Shift', 'Splash', 'Willow', 'Gung Ho', 'Inferno', 'The Paper', ""Dr. Seuss' How the Grinch Stole Christmas"", 'The Dark Tower', 'Cinderella Man', 'Backdraft', 'Rush', 'Angels & Demons', 'Frost/Nixon', 'The Lost Symbol', 'Far and Away', 'The Da Vinci Code', 'Parenthood', 'Cotton Candy', 'A Beautiful Mind', 'EDtv', 'The Dilemma', 'Ransom']","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
WebQTest-349,"['Los Angeles Lakers', ""Duke Blue Devils men's basketball"", 'Chicago Bulls']","['Cleveland Cavaliers', 'Utah Jazz']"
WebQTest-380,Abstain,"['North America', 'Washington', 'United States of America', 'Cascade Range', 'Skamania County']"
WebQTest-403,['Turkish Language'],"['Turkish Language', 'Zaza language', 'Ladino Language', 'Kurdish languages', 'Arabic Language']"
WebQTest-428,"['Minnesota', 'South Dakota', 'Michigan', 'North Dakota', 'Wisconsin', 'Indiana', 'Illinois', 'Kansas', 'Ohio', 'Iowa', 'Nebraska', 'Missouri']","['Avenue of the Saints', 'West North Central States', 'East North Central States', 'Iowa', 'Illinois', 'Indiana', 'Kansas', 'Michigan', 'Missouri', 'Minnesota', 'Nebraska', 'North Dakota', 'Ohio', 'South Dakota', 'Wisconsin', 'Council Grove']"
WebQTest-453,"['Jamaican Creole English Language', 'Limonese Creole', 'Bribri Language', 'Spanish Language']","['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']"
WebQTest-479,Error,['University of Oklahoma']
WebQTest-509,['Presidential system in a Federal republic'],"['Presidential system', 'Federal republic']"
WebQTest-532,['Football'],['Football']
WebQTest-559,"['Violin', 'Piano']","['Piano', 'Violin']"
WebQTest-585,['England'],['England']
WebQTest-612,['New Orleans Saints'],['Carolina Panthers']
WebQTest-635,Error,"['Kenny McCormick', 'Kyle Broflovski', 'Wizard of Oz', 'Terrance Henry Stoot', 'Gerald Broflovski', 'Bill Gates', 'Ethan Hawke', 'Chris', 'George Clooney', 'Danny Glover', 'Jimbo Kearn', 'Saddam Hussein', 'James Humphries', 'Former Columbine Student', 'Doug Remer', 'Hermaphrodite', 'Taper Guy', 'Kyle / Kenny / Jesus', 'Dave the Lighting Guy', 'Man toasting drinks at MCA outdoor bar', 'Ticket Taker']"
WebQTest-657,['Memphis'],['Memphis']
WebQTest-680,"['Argentina national football team', 'Atlético Madrid', 'Club Atlético Independiente', 'Manchester City F.C.']","['Manchester City F.C.', 'Argentina national football team', 'Club Atlético Independiente', 'Atlético Madrid']"
WebQTest-704,"['Adventurer', 'Ethnographer', 'Scientist', 'Film director', 'Academic']","['Film Producer', 'Adventurer', 'Film director', 'Ethnographer', 'Scientist', 'Cinematographer']"
WebQTest-728,Error,"['Nancy Pelosi', 'John Boehner']"
WebQTest-752,['Coca-Cola'],['Coca-Cola']
WebQTest-775,Error,"['Imperial War Museum North', 'Urbis', 'Old Trafford', 'Whitworth Art Gallery', 'Manchester Art Gallery', 'Manchester Museum', 'Manchester Jewish Museum', 'Great Manchester Run', 'Chinatown, Manchester', 'Manchester Cathedral', 'The Moon Under Water, Manchester', 'Wheel of Manchester', 'Albert Hall, Manchester']"
WebQTest-800,Error,['World War II']
WebQTest-830,['Wyomissing'],['Reading']
WebQTest-857,"['Georgia', 'Alabama']","['Georgia', 'Alabama']"
WebQTest-881,"['Conversations', 'Hammer']","['Chiraq', 'Garfield: The Movie', 'Even Money', 'American Son', 'Men in Black II', 'Shall We Dance?', ""Ball Don't Lie"", 'The Killing Room', 'Weapons', 'Underclassman', 'Roll Bounce', 'Monster House', 'Goal II: Living the Dream', 'Drumline', 'Bobby', ""Love Don't Cost a Thing"", 'Day of the Dead', 'Whatever It Takes', 'The Adventures of Brer Rabbit', 'A Very School Gyrls Holla-Day', 'Drumline: A New Beat']"
WebQTest-903,['Anatolia'],"['Belgium', 'Bulgaria', 'Bosnia and Herzegovina', 'Northern Cyprus', 'Turkey', 'Germany', 'Kazakhstan', 'Republic of Kosovo', 'Netherlands', 'Norway', 'Syria', 'United Kingdom', 'United States of America', 'Iraq', 'Canada', 'Sweden', 'France', 'Algeria', 'Austria', 'Azerbaijan', 'Kyrgyzstan', 'Denmark']"
WebQTest-929,"['John C. Lester', 'John B. Kennedy', 'Richard R. Reed', 'Frank O. McCord', 'James R. Crowe', 'J. Calvin Jones']","['John C. Lester', 'John B. Kennedy', 'James R. Crowe', 'Frank O. McCord', 'Richard R. Reed', 'J. Calvin Jones']"
WebQTest-957,['Sioux language'],"['English Language', 'Sioux language', 'French']"
WebQTest-979,['Barbadian dollar'],['Barbadian dollar']
WebQTest-1002,['Michael Gambon'],"['Richard Harris', 'Michael Gambon', 'Toby Regbo', 'Dane Farwell']"
WebQTest-1028,"['Christian Bale', 'Edward Furlong', 'Nick Stahl', 'Dalton Abbott', 'Michael Edwards']","['Christian Bale', 'Edward Furlong', 'Michael Edwards', 'Nick Stahl', 'Dalton Abbott']"
WebQTest-1050,Error,['Meg Griffin']
WebQTest-1077,['Russian Language'],"['Osetin Language', 'Chechen Language', 'Tatar Language', 'Azerbaijani language', 'Abaza Language', 'Mari language', 'Bashkir Language', 'Avar Language', 'Aghul language', 'Tsakhur Language', 'Tuvin Language', 'Moksha Language', 'Erzya Language', 'Kalmyk-Oirat Language', 'Kabardian Language', 'Adyghe Language', 'Rutul language', 'Lezgi Language', 'Ingush Language', 'Altai language', 'Crimean Turkish Language', 'Nogai Language', 'Dargwa Language', 'Komi language', 'Udmurt Language', 'Kumyk Language', 'Karachay-Balkar Language', 'Buryat language', 'Yakut Language', 'Russian Language', 'Tabassaran Language', 'Yiddish Language', 'Lak Language', 'Khakas Language', 'Ukrainian Language']"
WebQTest-1099,['Brazil'],['Brazil national football team']
WebQTest-1121,Error,"['United we stand, divided we fall']"
WebQTest-1149,"['2009-04-23-08:00', '2010-07-10-08:00']",[None]
WebQTest-1177,['Chula Vista High School'],['Chula Vista High School']
WebQTest-1204,['Four Corners'],['Four Corners']
