qid,correct,wrong,prediction,gt_label
20,0,0,Abstain,"['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['rob_epstein', 'todd_field', 'hal_hartley', 'jeffrey_friedman']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,1.0,0,"['1958', '1956']","['1956', '1958']"
80,1.0,0,"['françois_girard', 'john_maybury', 'fernando_meirelles']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9230769230769229,0,"['2000', '2003', '1999', '2007', '2004', '2005', '1986', '2002', '2006', '2008', '2001', '2009']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,1.0,0,"['action', 'drama', 'comedy', 'horror']","['Action', 'Drama', 'Horror', 'Comedy']"
140,0.7346938775510209,0,"['george_ogilvie', 'wim_wenders', 'roland_emmerich', 'tim_burstall', 'roger_spottiswoode', 'brian_helgeland', 'john_gielgud', 'george_miller', 'lewis_milestone', 'laurence_olivier', 'robert_towne', 'steve_miner', 'mark_rydell', 'ron_howard', 'adrian_grunberg', 'kenneth_branagh', 'jarmo_lampela', 'roger_donaldson', 'nancy_meyers', 'tony_richardson', 'martin_campbell', 'mel_gibson', 'michael_almereyda', 'gillian_armstrong', 'peter_lord', 'john_badham', 'randall_wallace', 'richard_donner', 'nick_park', 'jodie_foster', 'franco_zeffirelli', 'dean_semler', 'jean_renoir', 'peter_weir', 'robert_rodriguez', 'grigori_kozintsev']","['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,0.08333333333333333,0,['ken_shapiro'],"['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1954', '1955']","['1955', '1954']"
200,0.9999999999999999,0,"['alain_delon', 'jane_fonda', 'terence_stamp', 'brigitte_bardot', 'rebecca_de_mornay', 'vincent_spano']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0.9999999999999999,0,"['crime', 'action', 'adventure', 'thriller', 'drama', 'horror']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,0.8333333333333334,0,"['western', 'romance', 'crime', 'comedy', 'mystery', 'thriller', 'adventure', 'drama', 'horror', 'war']","['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0,0,Abstain,"['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,1.0,0,['chris_rock'],['Chris Rock']
300,0.857142857142857,0,"['callum_keith_rennie', 'ellen_page', 'georgina_reilly', 'hugh_dillon', 'bernie_coulson', 'greg_calderone']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,0.6666666666666666,0,"['silvio_soldini', 'maria_sole_tognazzi']","['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,0.9999999999999996,0,"['shane_connaughton', 'michael_wadleigh', 'john_august', 'bo_goldman', 'frederic_raphael', 'harold_gray', 'leslie_bricusse', 'guy_gallo', 'josephine_humphreys', 'carol_sobieski', 'terence_rattigan', 'alan_sillitoe', 'whitley_strieber', 'peter_mayle', 'neville_smith', 'thomas_meehan', 'ronald_harwood', 'daniel_wallace', 'malcolm_lowry', 'kelly_masterson', 'michael_crichton', 'will_gluck', 'charles_dickens']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0.9999999999999998,0,"['crime', 'music', 'comedy', 'mystery', 'adventure', 'drama', 'biography']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,1.0,0,"['2010', '2004']","['2010', '2004']"
400,0.9999999999999996,0,"['1977', '1983', '1997', '1999', '1989', '1984', '1953', '2007', '1973', '1992', '2002', '1987', '1982', '1996', '1994', '1986', '2006', '1985', '1971', '2000', '2011', '2004', '1991', '2009']","['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,0.8333333333333334,0,"['1994', '1998', '2000', '2003', '1955', '2007', '2004', '2013', '2008', '2009']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,1.0,0,"['1977', '1995', '1983', '1936', '1920', '1960', '1981', '1999', '1972', '2007', '1991', '1979', '1992', '2002', '2006', '2009', '2001']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,0.9999999999999999,0,"['chris_klein', 'hugh_grant', 'nicholas_hoult', 'alyson_hannigan', 'jason_biggs', 'thomas_ian_nicholas']","['Chris Klein', 'Hugh Grant', 'Nicholas Hoult', 'Jason Biggs', 'Alyson Hannigan', 'Thomas Ian Nicholas']"
480,1.0,0,"['crime', 'drama', 'action']","['Action', 'Drama', 'Crime']"
500,0.9999999999999998,0,"['philip_yordan', 'claude_stanush', 'don_mankiewicz', 'baynard_kendrick', 'horace_mccoy', 'sinclair_lewis', 'pär_lagerkvist', 'frank_burt', 'alf_sjöberg', 'richard_brooks', 'robert_buckner', 'thomas_t._flynn', 'david_dortort']","['Don Mankiewicz', 'Thomas T. Flynn', 'Horace McCoy', 'Baynard Kendrick', 'Philip Yordan', 'Sinclair Lewis', 'David Dortort', 'Robert Buckner', 'Frank Burt', 'Claude Stanush', 'Richard Brooks', 'Alf Sjöberg', 'Pär Lagerkvist']"
520,0.9999999999999998,0,"['emilio_fernández', 'john_ford', 'david_s._ward', 'lewis_milestone', 'elia_kazan', 'gary_sinise', 'victor_fleming']","['Elia Kazan', 'David S. Ward', 'Gary Sinise', 'Victor Fleming', 'Emilio Fernández', 'Lewis Milestone', 'John Ford']"
540,1.0,0,"['western', 'action', 'comedy', 'documentary', 'horror']","['Action', 'Horror', 'Comedy', 'Documentary', 'Western']"
560,1.0,0,"['keke_palmer', 'ned_beatty', 'michael_sheen', 'fred_macmurray', 'edward_kerr', 'kim_cattrall', 'william_h._macy', 'christian_slater', 'christopher_reeve', 'meg_ryan', 'don_rickles', 'selma_blair', 'robert_loggia', 'billy_crudup', 'joan_crawford', 'david_morrissey', 'colm_feore']","['William H. Macy', 'Christopher Reeve', 'Michael Sheen', 'Joan Crawford', 'Colm Feore', 'Ned Beatty', 'Robert Loggia', 'Don Rickles', 'Edward Kerr', 'Meg Ryan', 'Selma Blair', 'David Morrissey', 'Keke Palmer', 'Fred MacMurray', 'Kim Cattrall', 'Billy Crudup', 'Christian Slater']"
580,1.0,0,"['1993', '2010']","['1993', '2010']"
600,1.0,0,"['war', 'crime', 'action', 'drama', 'history']","['Drama', 'Action', 'Crime', 'War', 'History']"
620,0,0,Abstain,['2002']
640,0.8,0,"['drama', 'comedy', 'horror', 'biography']","['Drama', 'Romance', 'Horror', 'Comedy', 'Biography']"
660,0.9999999999999999,0,"['christian_marquand', 'joseph_mcgrath', 'tony_richardson', 'neil_armfield', 'dennis_hopper', 'robert_altman']","['Tony Richardson', 'Robert Altman', 'Neil Armfield', 'Dennis Hopper', 'Joseph McGrath', 'Christian Marquand']"
680,1.0,0,"['crime', 'action', 'comedy', 'thriller', 'drama']","['Action', 'Drama', 'Comedy', 'Thriller', 'Crime']"
700,0,0,Abstain,"['1986', '1948', '1992', '1982', '1994', '1979', '1999', '1965', '1974', '1967', '1971', '2002', '1988', '2005', '1976', '2011', '2010', '2013']"
720,1.0,0,['paolo_sorrentino'],['Paolo Sorrentino']
740,1.0,0,"['french', 'italian']","['French', 'Italian']"
760,0.9999999999999998,0,"['mark_r._burns', 'barbara_wilson', 'shelly_gitlow', 'fay_weldon', 'barry_strugatz', 'susan_seidelman', 'david_cramer']","['Susan Seidelman', 'Barbara Wilson', 'Barry Strugatz', 'Fay Weldon', 'David Cramer', 'Shelly Gitlow', 'Mark R. Burns']"
780,1.0000000000000002,0,"['arie_posin', 'wim_wenders', 'roland_emmerich', 'steven_spielberg', 'david_gordon_green', 'carl_reiner', 'jon_turteltaub', 'donald_petrie', 'steve_miner', 'jon_amiel', 'jake_kasdan', 'jonathan_kaplan', 'harold_becker', 'mike_figgis', 'david_lynch', 'stephen_daldry', 'don_bluth', 'curtiss_clayton', 'doug_liman', 'john_dahl', 'edward_zwick', 'gary_goldman', 'mel_brooks', 'wes_craven', 'kevin_macdonald']","['Wes Craven', 'Arie Posin', 'Steven Spielberg', 'Jon Turteltaub', 'Mike Figgis', 'Wim Wenders', 'John Dahl', 'Curtiss Clayton', 'David Lynch', 'Carl Reiner', 'Jonathan Kaplan', 'Steve Miner', 'Don Bluth', 'Edward Zwick', 'Donald Petrie', 'David Gordon Green', 'Kevin Macdonald', 'Doug Liman', 'Gary Goldman', 'Stephen Daldry', 'Roland Emmerich', 'Jake Kasdan', 'Mel Brooks', 'Harold Becker', 'Jon Amiel']"
800,0,0,Abstain,['1968']
820,0.857142857142857,0,"['comedy', 'mystery', 'thriller', 'drama', 'horror', 'war']","['Mystery', 'Horror', 'Drama', 'Adventure', 'Comedy', 'War', 'Thriller']"
840,1.0,0,['dylan_thomas'],['Dylan Thomas']
860,0.9999999999999998,0,"['2014', '1994', '1997', '1993', '1999', '2010', '1958', '2013', '1978', '2002', '1992', '2006', '1989']","['1993', '1992', '1994', '1997', '1978', '1999', '1989', '2002', '2006', '2010', '2014', '1958', '2013']"
