qid,prediction,gt_label
WebQTest-31,['Loretto School'],[None]
WebQTest-54,['Nazi Germany'],['Nazi Germany']
WebQTest-76,"['g.12215rxg', 'Medusa', 'Vitruvian Man', 'Portrait of a Musician', 'Drapery for a Seated Figure', 'Head of a Woman', 'g.121wt37c', 'Madonna and Child with St Joseph', 'Virgin of the Rocks', 'La belle ferronnière', 'Annunciation', 'Benois Madonna', 'The Last Supper', 'Salvator Mundi', 'Portrait of a Young Fiancée', 'Madonna of the Carnation', 'St. John the Baptist', 'Leda and the Swan', 'Madonna of Laroque', 'g.1224tf0c', 'g.121yh91r', 'The Holy Infants Embracing', 'g.1239jd9p', 'Lady with an Ermine', 'The Virgin and Child with St. Anne', 'Horse and Rider', ""Portrait of Isabella d'Este"", 'The Battle of Anghiari', 'g.12314dm1', 'g.120vt1gz', 'Madonna of the Yarnwinder', 'Madonna Litta', 'Adoration of the Magi', 'Mona Lisa', 'Portrait of a man in red chalk', 'Sala delle Asse', 'The Baptism of Christ', 'Lucan portrait of Leonardo da Vinci', 'g.1213jb_b', 'g.1219sb0g', ""Ginevra de' Benci"", ""Leonardo's horse"", 'Bacchus', 'The Virgin and Child with St Anne and St John the Baptist', 'St. Jerome in the Wilderness']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,['Spanish Language'],"['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Estonia', 'Latvia', 'Lithuania']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Rickenbacker 360/12', 'Fender Stratocaster']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Neon lamp', 'Tesla coil', 'Alternating current', 'Induction motor', 'Remote control', 'Three-phase electric power', 'Wireless telegraphy']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003'],['2003–04 NBA season']
WebQTest-298,"['1970', '1966', '1983']","['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['Cinderella Man', 'The Lost Symbol', 'Willow', 'Inferno', 'The Da Vinci Code', 'Apollo 13', 'EDtv', 'The Paper', 'Gung Ho', 'Cocoon', 'Jay-Z: Made in America', 'Grand Theft Auto', 'Frost/Nixon', 'Cotton Candy', 'Presidential Reunion', 'Backdraft', 'The Dilemma', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Far and Away', 'A Beautiful Mind', 'Splash', 'Rush', 'The Dark Tower', 'Parenthood', 'In the Heart of the Sea', 'The Missing', 'Night Shift', 'Ransom']","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
WebQTest-349,"['Los Angeles Lakers', 'Chicago Bulls']","['Cleveland Cavaliers', 'Utah Jazz']"
WebQTest-380,"['Washington', 'Skamania County']","['North America', 'Washington', 'United States of America', 'Cascade Range', 'Skamania County']"
WebQTest-403,['Turkish Language'],"['Turkish Language', 'Zaza language', 'Ladino Language', 'Kurdish languages', 'Arabic Language']"
WebQTest-428,"['Kansas', 'Ohio', 'Nebraska', 'Indiana', 'Missouri', 'Michigan', 'Wisconsin', 'North Dakota', 'Minnesota', 'Illinois', 'Iowa', 'South Dakota']","['Avenue of the Saints', 'West North Central States', 'East North Central States', 'Iowa', 'Illinois', 'Indiana', 'Kansas', 'Michigan', 'Missouri', 'Minnesota', 'Nebraska', 'North Dakota', 'Ohio', 'South Dakota', 'Wisconsin', 'Council Grove']"
WebQTest-453,"['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']","['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']"
WebQTest-479,['University of Oklahoma'],['University of Oklahoma']
WebQTest-509,"['Federal republic', 'Presidential system']","['Presidential system', 'Federal republic']"
WebQTest-532,['Football'],['Football']
WebQTest-559,"['Violin', 'Piano']","['Piano', 'Violin']"
WebQTest-585,['England'],['England']
WebQTest-612,['New Orleans Saints'],['Carolina Panthers']
WebQTest-635,"['Bebe Stevens', 'Principal Victoria', 'g.122qyvfr', 'Sharon Marsh', 'Ms. Cartman', 'Butters Stotch', 'Eric Cartman', 'g.1215vs3d', 'Chef', 'g.122222zw', 'Jimbo Kearn', 'Mr. Garrison', 'Gerald and Sheila Broflovski', 'Fosse McDonald', 'g.121_5yvh', 'Stan Marsh', 'Kyle Broflovski', 'Token Black', 'g.12hhhs0js', 'Kenny McCormick']","['Kenny McCormick', 'Kyle Broflovski', 'Wizard of Oz', 'Terrance Henry Stoot', 'Gerald Broflovski', 'Bill Gates', 'Ethan Hawke', 'Chris', 'George Clooney', 'Danny Glover', 'Jimbo Kearn', 'Saddam Hussein', 'James Humphries', 'Former Columbine Student', 'Doug Remer', 'Hermaphrodite', 'Taper Guy', 'Kyle / Kenny / Jesus', 'Dave the Lighting Guy', 'Man toasting drinks at MCA outdoor bar', 'Ticket Taker']"
WebQTest-657,['National Civil Rights Museum'],['Memphis']
WebQTest-680,"['Atlético Madrid', 'Manchester City F.C.', 'Club Atlético Independiente', 'Argentina national football team']","['Manchester City F.C.', 'Argentina national football team', 'Club Atlético Independiente', 'Atlético Madrid']"
WebQTest-704,"['Academic', 'Adventurer', 'Ethnographer', 'Scientist', 'Film Producer', 'Film director']","['Film Producer', 'Adventurer', 'Film director', 'Ethnographer', 'Scientist', 'Cinematographer']"
WebQTest-728,Error,"['Nancy Pelosi', 'John Boehner']"
WebQTest-752,['Coca-Cola'],['Coca-Cola']
WebQTest-775,"['Manchester Museum', 'Old Trafford', 'Wheel of Manchester']","['Imperial War Museum North', 'Urbis', 'Old Trafford', 'Whitworth Art Gallery', 'Manchester Art Gallery', 'Manchester Museum', 'Manchester Jewish Museum', 'Great Manchester Run', 'Chinatown, Manchester', 'Manchester Cathedral', 'The Moon Under Water, Manchester', 'Wheel of Manchester', 'Albert Hall, Manchester']"
WebQTest-800,Error,['World War II']
WebQTest-830,['Reading'],['Reading']
WebQTest-857,"['Alabama', 'Georgia']","['Georgia', 'Alabama']"
WebQTest-881,"['Goal II: Living the Dream', 'Chiraq', 'Men in Black II', 'The Killing Room', 'The Adventures of Brer Rabbit', 'Roll Bounce', ""Ball Don't Lie"", 'A Very School Gyrls Holla-Day', 'Monster House', 'Drumline: A New Beat', 'American Son', 'Even Money', 'Bobby', 'Weapons', 'Day of the Dead', 'Drumline', 'Underclassman', ""Love Don't Cost a Thing"", 'Shall We Dance?', 'Whatever It Takes', 'Garfield: The Movie']","['Chiraq', 'Garfield: The Movie', 'Even Money', 'American Son', 'Men in Black II', 'Shall We Dance?', ""Ball Don't Lie"", 'The Killing Room', 'Weapons', 'Underclassman', 'Roll Bounce', 'Monster House', 'Goal II: Living the Dream', 'Drumline', 'Bobby', ""Love Don't Cost a Thing"", 'Day of the Dead', 'Whatever It Takes', 'The Adventures of Brer Rabbit', 'A Very School Gyrls Holla-Day', 'Drumline: A New Beat']"
WebQTest-903,['Turkey'],"['Belgium', 'Bulgaria', 'Bosnia and Herzegovina', 'Northern Cyprus', 'Turkey', 'Germany', 'Kazakhstan', 'Republic of Kosovo', 'Netherlands', 'Norway', 'Syria', 'United Kingdom', 'United States of America', 'Iraq', 'Canada', 'Sweden', 'France', 'Algeria', 'Austria', 'Azerbaijan', 'Kyrgyzstan', 'Denmark']"
WebQTest-929,"['John B. Kennedy', 'Richard R. Reed', 'James R. Crowe', 'J. Calvin Jones', 'Frank O. McCord', 'John C. Lester']","['John C. Lester', 'John B. Kennedy', 'James R. Crowe', 'Frank O. McCord', 'Richard R. Reed', 'J. Calvin Jones']"
WebQTest-957,['Sioux language'],"['English Language', 'Sioux language', 'French']"
WebQTest-979,['Barbadian dollar'],['Barbadian dollar']
