qid,prediction,gt_label
16,True,True
44,True,True
52,True,True
71,True,True
82,True,True
119,True,True
131,True,True
135,Abstain,True
179,True,True
181,True,True
189,False,False
194,Abstain,False
203,Abstain,False
230,False,False
236,True,False
237,False,False
246,False,False
272,False,False
284,Abstain,False
293,Abstain,False
297,Abstain,False
301,Abstain,False
308,Abstain,False
309,False,False
360,True,True
365,True,True
373,False,True
379,True,True
392,False,True
406,False,False
426,Abstain,False
11115,False,False
11125,False,False
11127,False,False
11129,False,False
11164,False,False
11293,False,True
11304,Abstain,True
11343,Abstain,True
