qid,placeholder,placeholder,pred,label
20,,,"['mads_mikkelsen', 'nikolaj_lie_kaas', 'line_kruse']","['mads_mikkelsen', 'ulrich_thomsen', 'line_kruse', 'nikolaj_lie_kaas']"
40,,,"['jeffrey_friedman', 'hal_hartley', 'todd_field', 'rob_epstein']","['jeffrey_friedman', 'rob_epstein', 'todd_field', 'hal_hartley']"
60,,,"['1956', '1958']","['1956', '1958']"
80,,,"['fernando_meirelles', 'john_maybury', 'françois_girard']","['john_maybury', 'françois_girard', 'fernando_meirelles']"
100,,,"['1999', '2005', '2004', '2000', '2003', '2007', '2002', '2001', '2006', '2011', '2009', '2008', '1986']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,,,"['drama', 'action', 'horror', 'comedy']","['action', 'drama', 'horror', 'comedy']"
140,,,Abstain,"['michael_almereyda', 'adrian_grunberg', 'roland_emmerich', 'gillies_mackinnon', 'george_ogilvie', 'peter_weir', 'john_badham', 'tim_burstall', 'sean_penn', 'wim_wenders', 'richard_donner', 'roger_spottiswoode', 'dean_semler', 'barry_levinson', 'jodie_foster', 'mark_rydell', 'jean_renoir', 'm._night_shyamalan', 'nick_cassavetes', 'brian_helgeland', 'tony_richardson', 'nick_park', 'luis_mandoki', 'steve_miner', 'robert_zemeckis', 'gillian_armstrong', 'franco_zeffirelli', 'laurence_olivier', 'ron_howard', 'john_gielgud', 'pen_densham', 'anthony_minghella', 'peter_lord', 'nancy_meyers', 'lewis_milestone', 'randall_wallace', 'robert_rodriguez', 'robert_towne', 'jarmo_lampela', 'martin_campbell', 'george_miller', 'jeff_stanzler', 'graham_baker', 'robert_redford', 'mel_gibson', 'grigori_kozintsev', 'roger_donaldson', 'kenneth_branagh', 'phil_joanou']"
160,,,['ken_shapiro'],"['jay_sandrich', 'peter_hewitt', 'michael_ritchie', 'john_landis', 'william_friedkin', 'stephen_herek', 'ken_shapiro', 'harold_ramis', 'george_roy_hill', 'stephen_kessler', 'john_carpenter', 'colin_higgins']"
180,,,Abstain,"['1955', '1954']"
200,,,"['brigitte_bardot', 'rebecca_de_mornay', 'vincent_spano', 'terence_stamp', 'alain_delon', 'jane_fonda']","['brigitte_bardot', 'jane_fonda', 'vincent_spano', 'terence_stamp', 'rebecca_de_mornay', 'alain_delon']"
220,,,"['crime', 'drama', 'horror', 'thriller', 'adventure', 'action']","['horror', 'crime', 'drama', 'adventure', 'action', 'thriller']"
240,,,Abstain,"['mystery', 'romance', 'horror', 'crime', 'drama', 'fantasy', 'western', 'action', 'comedy', 'war', 'thriller', 'adventure']"
260,,,"['susan_harrison', 'peter_sellers', 'joan_greenwood', 'irma_p._hall', 'burt_lancaster', 'tom_hanks', 'claudia_cardinale', 'martin_milner', 'marlon_wayans', 'herbert_lom', 'alec_guinness', 'tony_curtis', 'cecil_parker']","['marlon_wayans', 'herbert_lom', 'joan_greenwood', 'cecil_parker', 'tom_hanks', 'claudia_cardinale', 'susan_harrison', 'irma_p._hall', 'burt_lancaster', 'peter_sellers', 'alec_guinness', 'tony_curtis', 'martin_milner']"
280,,,['chris_rock'],['chris_rock']
300,,,"['bernie_coulson', 'hugh_dillon', 'ellen_page', 'greg_calderone', 'callum_keith_rennie', 'georgina_reilly', 'bruce_mcdonald']","['ellen_page', 'bernie_coulson', 'bruce_mcdonald', 'greg_calderone', 'callum_keith_rennie', 'hugh_dillon', 'georgina_reilly']"
320,,,"['silvio_soldini', 'maria_sole_tognazzi']","['maria_sole_tognazzi', 'silvio_soldini', 'carlo_verdone']"
340,,,"['will_gluck', 'whitley_strieber', 'terence_rattigan', 'ronald_harwood', 'harold_gray', 'guy_gallo', 'thomas_meehan', 'leslie_bricusse', 'neville_smith', 'josephine_humphreys', 'malcolm_lowry', 'shane_connaughton', 'daniel_wallace', 'michael_crichton', 'bo_goldman', 'peter_mayle', 'john_august', 'charles_dickens', 'frederic_raphael', 'alan_sillitoe']","['leslie_bricusse', 'neville_smith', 'will_gluck', 'whitley_strieber', 'michael_wadleigh', 'shane_connaughton', 'thomas_meehan', 'kelly_masterson', 'malcolm_lowry', 'guy_gallo', 'josephine_humphreys', 'ronald_harwood', 'terence_rattigan', 'carol_sobieski', 'john_august', 'harold_gray', 'peter_mayle', 'alan_sillitoe', 'michael_crichton', 'bo_goldman', 'charles_dickens', 'frederic_raphael', 'daniel_wallace']"
360,,,"['crime', 'drama', 'mystery', 'biography', 'adventure', 'comedy']","['mystery', 'crime', 'drama', 'music', 'adventure', 'comedy', 'biography']"
380,,,"['2010', '2004']","['2010', '2004']"
400,,,Abstain,"['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,,,"['2004', '2000', '2003', '2013', '2007', '1994', '2009', '2008', '1998']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
