qid,prediction,gt_label
20,"['nikolajliekaas', 'madsmikkelsen', 'linekruse', 'ulrichthomsen']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,"['robepstein', 'toddfield', 'jeffreyfriedman']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,['abstain'],"['1956', '1958']"
80,['abstain'],"['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,"['2004', '2003', '2006', '2002', '2011', '2007', '2008', '2009', '1986', '1999', '2001']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,"['action', 'horror', 'comedy', 'drama']","['Action', 'Drama', 'Horror', 'Comedy']"
140,"['philjoanou', 'seanpenn', 'luismandoki', 'gilliesmackinnon', 'pendensham', 'jeffstanzler', 'robertzemeckis', 'anthonyminghella', 'nickcassavetes', 'grahambaker', 'robertredford', 'barrylevinson']","['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,['abstain'],"['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,"['1955', '1954']","['1955', '1954']"
200,"['janefonda', 'rebeccademornay', 'brigittebardot', 'alaindelon', 'vincentspano', 'terencestamp']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,"['horror', 'crime', 'drama', 'adventure', 'action', 'thriller']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,"['horror', 'comedy', 'fantasy', 'western', 'adventure', 'romance', 'drama', 'mystery', 'crime', 'action', 'thriller', 'war']","['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,"['martinmilner', 'joangreenwood', 'susanharrison', 'tomhanks', 'burtlancaster', 'marlonwayans', 'lilakedrova', 'tonycurtis', 'irmaphall', 'cecilparker', 'petersellers', 'claudiacardinale', 'herbertlom', 'jamescoburn', 'alecguinness', 'anthonyquinn']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,['abstain'],['Chris Rock']
300,['abstain'],"['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,"['mariasoletognazzi', 'carloverdone', 'silviosoldini']","['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,"['alansillitoe', 'nevillesmith', 'haroldgray', 'michaelwadleigh', 'michaelcrichton', 'charlesdickens', 'thomasmeehan', 'terencerattigan', 'guygallo', 'johnaugust', 'kellymasterson', 'carolsobieski', 'whitleystrieber', 'lesliebricusse', 'fredericraphael', 'ronaldharwood', 'willgluck', 'malcolmlowry', 'danielwallace', 'shaneconnaughton', 'josephinehumphreys', 'bogoldman', 'petermayle']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,"['music', 'comedy', 'adventure', 'drama', 'mystery', 'crime']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,"['2010', '2004']","['2010', '2004']"
400,"['1991', '1992', '1953', '1983', '2004', '2006', '1971', '2002', '2011', '1985', '994', '1982', '1989', '1984', '2007', '2009', '1986', '1987', '1996', '1997', '1977', '2000', '1999']","['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,"['009', '1996', '1994', '1955', '2003', '2006', '1998', '2007', '2008', '200', '2000', '2013', '2001']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,"['1960', '1977', '2007', '002', '1986', '2001']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,"['chrisklein', 'hughgrant', 'jasonbiggs', 'nicholashoult', 'thomasiannicholas', 'alysonhannigan']","['Chris Klein', 'Hugh Grant', 'Nicholas Hoult', 'Jason Biggs', 'Alyson Hannigan', 'Thomas Ian Nicholas']"
480,"['crime', 'action', 'drama']","['Action', 'Drama', 'Crime']"
500,['abstain'],"['Don Mankiewicz', 'Thomas T. Flynn', 'Horace McCoy', 'Baynard Kendrick', 'Philip Yordan', 'Sinclair Lewis', 'David Dortort', 'Robert Buckner', 'Frank Burt', 'Claude Stanush', 'Richard Brooks', 'Alf Sjöberg', 'Pär Lagerkvist']"
520,"['johnford', 'victorfleming', 'eliakazan', 'davidsward', 'garysinise', 'emiliofernndez', 'alfredhitchcock', 'lewismilestone']","['Elia Kazan', 'David S. Ward', 'Gary Sinise', 'Victor Fleming', 'Emilio Fernández', 'Lewis Milestone', 'John Ford']"
540,"['horror', 'comedy', 'documentary', 'action', 'western']","['Action', 'Horror', 'Comedy', 'Documentary', 'Western']"
560,['abstain'],"['William H. Macy', 'Christopher Reeve', 'Michael Sheen', 'Joan Crawford', 'Colm Feore', 'Ned Beatty', 'Robert Loggia', 'Don Rickles', 'Edward Kerr', 'Meg Ryan', 'Selma Blair', 'David Morrissey', 'Keke Palmer', 'Fred MacMurray', 'Kim Cattrall', 'Billy Crudup', 'Christian Slater']"
580,['2010'],"['1993', '2010']"
600,"['history', 'drama', 'crime', 'action', 'war']","['Drama', 'Action', 'Crime', 'War', 'History']"
620,[],['2002']
640,"['horror', 'biography', 'comedy', 'romance', 'drama']","['Drama', 'Romance', 'Horror', 'Comedy', 'Biography']"
660,"['christianmarquand', 'tonyrichardson', 'josephmcgrath', 'dennishopper', 'neilarmfield', 'robertaltman']","['Tony Richardson', 'Robert Altman', 'Neil Armfield', 'Dennis Hopper', 'Joseph McGrath', 'Christian Marquand']"
680,['abstain'],"['Action', 'Drama', 'Comedy', 'Thriller', 'Crime']"
700,"['2010', '1992', '1974', '1994', '2002', '1971', '2011', '1982', '1965', '1968', '1979', '1988', '1986', '1948', '2013', '2005', '1967', '1999', '1976']","['1986', '1948', '1992', '1982', '1994', '1979', '1999', '1965', '1974', '1967', '1971', '2002', '1988', '2005', '1976', '2011', '2010', '2013']"
720,['paolosorrentino'],['Paolo Sorrentino']
740,['abstain'],"['French', 'Italian']"
760,['abstain'],"['Susan Seidelman', 'Barbara Wilson', 'Barry Strugatz', 'Fay Weldon', 'David Cramer', 'Shelly Gitlow', 'Mark R. Burns']"
780,['abstain'],"['Wes Craven', 'Arie Posin', 'Steven Spielberg', 'Jon Turteltaub', 'Mike Figgis', 'Wim Wenders', 'John Dahl', 'Curtiss Clayton', 'David Lynch', 'Carl Reiner', 'Jonathan Kaplan', 'Steve Miner', 'Don Bluth', 'Edward Zwick', 'Donald Petrie', 'David Gordon Green', 'Kevin Macdonald', 'Doug Liman', 'Gary Goldman', 'Stephen Daldry', 'Roland Emmerich', 'Jake Kasdan', 'Mel Brooks', 'Harold Becker', 'Jon Amiel']"
800,[],['1968']
820,"['horror', 'comedy', 'drama', 'mystery', 'adventure', 'thriller', 'war']","['Mystery', 'Horror', 'Drama', 'Adventure', 'Comedy', 'War', 'Thriller']"
840,['abstain'],['Dylan Thomas']
860,"['1958', '2010', '989', '1992', '1994', '2014', '199', '2006', '2002', '1997', '2013', '1999', '1978']","['1993', '1992', '1994', '1997', '1978', '1999', '1989', '2002', '2006', '2010', '2014', '1958', '2013']"
880,"['1970', '1977', '1978', '1980']","['1977', '1970', '1980', '1978']"
900,"['horror', 'comedy', 'musical', 'animation', 'mystery', 'fantasy', 'thriller', 'western']","['Mystery', 'Horror', 'Fantasy', 'Animation', 'Western', 'Comedy', 'Musical', 'Thriller']"
920,"['mariovanpeebles', 'jleethompson', 'georgemarshall', 'kirkdouglas', 'johnguillermin']","['John Guillermin', 'George Marshall', 'J. Lee Thompson']"
940,"['2002', '1999']","['2002', '1999']"
960,['jacquestati'],"['Neil Burger', 'Sylvain Chomet', 'Jacques Tati']"
980,"['action', 'music', 'comedy', 'drama']","['Action', 'Drama', 'Comedy', 'Music']"
1000,"['2004', '1994', '2000', '1988', '2001']","['2001', '1988', '2004', '1994']"
1020,['abstain'],['French']
1040,"['wendellcorey', 'leemarvin', 'anitaekberg', 'eddiealbert', 'dorothymalone', 'kirkdouglas', 'ianbannen', 'joancrawford', 'michaelcaine', 'franksinatra', 'ernestborgnine', 'josephcotten', 'kimnovak', 'catherinedeneuve', 'rockhudson', 'burtreynolds', 'harrisonford', 'burtlancaster', 'ursulaandress', 'jeffchandler', 'cesarromero', 'garycooper', 'brucedavison', 'paulwinfield', 'benjohnson', 'hardykrger', 'jimbrown', 'richardjaeckel', 'harryandrews', 'peterfinch', 'laurenelandon', 'jackpalance', 'genewilder', 'bettedavis', 'vickifrederick', 'jeanhagen', 'jamesstewart', 'idalupino', 'cliffrobertson', 'ralphmeeker', 'deanmartin', 'martinecarol', 'richardattenborough', 'denisedarcel', 'charlesbronson', 'robertstrauss', 'peterfalk']","['Cesar Romero', 'Jeff Chandler', 'Richard Jaeckel', 'Joan Crawford', 'Frank Sinatra', 'Ida Lupino', 'Gary Cooper', 'Burt Lancaster', 'Dean Martin', 'Ben Johnson', 'Jim Brown', 'Bruce Davison', 'Catherine Deneuve', 'Peter Falk', 'Dorothy Malone', 'Burt Reynolds', 'Kirk Douglas', 'Kim Novak', 'Hardy Krüger', 'Bette Davis', 'Anita Ekberg', 'Ernest Borgnine', 'Gene Wilder', 'Joseph Cotten', 'Lee Marvin', 'Cliff Robertson', 'Eddie Albert', 'Martine Carol', 'Rock Hudson', 'Jean Hagen', 'Charles Bronson', 'Robert Strauss', 'Paul Winfield', 'Peter Finch', 'Ralph Meeker', 'Vicki Frederick', 'Harrison Ford', 'Ursula Andress', 'Wendell Corey', 'Denise Darcel', 'James Stewart', 'Jack Palance', 'Laurene Landon', 'Richard Attenborough']"
1060,['abstain'],['Persian']
1080,"['horror', 'music', 'comedy', 'drama', 'crime', 'action', 'thriller']","['Horror', 'Crime', 'Drama', 'Music', 'Action', 'Comedy', 'Thriller']"
1100,['abstain'],"['Action', 'Comedy', 'Thriller', 'Crime']"
1120,['abstain'],['Dominik Moll']
1140,"['1995', '1996', '2005', '2003', '1998', '2007', '1983', '2001', '1980']","['1995', '1983', '1980', '1996', '2003', '2001', '2007', '2005']"
1160,"['jimvarney', 'ironeyescody']","['Jim Varney', 'Iron Eyes Cody']"
1180,['abstain'],"['Edith Kneipple Roberts', 'Thomas Job', 'Charles Hoffman', 'Martin Vale', 'Wilkie Collins', 'Margaret Kennedy', 'Marjorie Carleton']"
1200,"['janefonda', 'jasonrobards', 'vanessaredgrave', 'tildaswinton']","['Tilda Swinton', 'Jane Fonda', 'Jason Robards', 'Vanessa Redgrave']"
1220,['abstain'],"['Drama', 'War']"
