qid,correct,wrong,prediction,gt_label
20,1.0,0,"['ulrich_thomsen', 'mads_mikkelsen', 'nikolaj_lie_kaas', 'line_kruse']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,0,0,Abstain,"['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,1.0,0,"['1958', '1956']","['1956', '1958']"
80,1.0,0,"['john_maybury', 'fernando_meirelles', 'françois_girard']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9999999999999998,0,"['2001', '2007', '2003', '2011', '2004', '2005', '2006', '2002', '1999', '2000', '2008', '2009', '1986']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,1.0,0,"['action', 'horror', 'drama', 'comedy']","['Action', 'Drama', 'Horror', 'Comedy']"
140,0.9795918367346946,0,"['george_miller', 'grigori_kozintsev', 'mark_rydell', 'robert_towne', 'laurence_olivier', 'george_ogilvie', 'peter_weir', 'adrian_grunberg', 'steve_miner', 'luis_mandoki', 'ron_howard', 'richard_donner', 'barry_levinson', 'nancy_meyers', 'randall_wallace', 'martin_campbell', 'gillies_mackinnon', 'roger_donaldson', 'graham_baker', 'nick_cassavetes', 'michael_almereyda', 'phil_joanou', 'pen_densham', 'mel_gibson', 'm._night_shyamalan', 'robert_redford', 'robert_rodriguez', 'wim_wenders', 'jarmo_lampela', 'nick_park', 'anthony_minghella', 'tony_richardson', 'tim_burstall', 'roland_emmerich', 'lewis_milestone', 'sean_penn', 'roger_spottiswoode', 'jodie_foster', 'brian_helgeland', 'kenneth_branagh', 'peter_lord', 'robert_zemeckis', 'jean_renoir', 'john_gielgud', 'gillian_armstrong', 'dean_semler', 'john_badham', 'franco_zeffirelli']","['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,0,0.08333333333333333,['modern_problems'],"['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1955', '1954']","['1955', '1954']"
200,0.9999999999999999,0,"['alain_delon', 'brigitte_bardot', 'rebecca_de_mornay', 'terence_stamp', 'vincent_spano', 'jane_fonda']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0.9999999999999999,0,"['crime', 'action', 'horror', 'adventure', 'thriller', 'drama']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,0.75,0,"['comedy', 'crime', 'western', 'romance', 'adventure', 'war', 'thriller', 'drama', 'mystery']","['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0.9999999999999998,0,"['herbert_lom', 'joan_greenwood', 'tom_hanks', 'marlon_wayans', 'tony_curtis', 'cecil_parker', 'alec_guinness', 'peter_sellers', 'irma_p._hall', 'martin_milner', 'claudia_cardinale', 'burt_lancaster', 'susan_harrison']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,1.0,0,['chris_rock'],['Chris Rock']
300,0.9999999999999998,0,"['greg_calderone', 'bernie_coulson', 'callum_keith_rennie', 'bruce_mcdonald', 'georgina_reilly', 'hugh_dillon', 'ellen_page']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,0.6666666666666666,0,"['silvio_soldini', 'maria_sole_tognazzi']","['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,0.9999999999999996,0,"['shane_connaughton', 'ronald_harwood', 'josephine_humphreys', 'frederic_raphael', 'harold_gray', 'carol_sobieski', 'terence_rattigan', 'guy_gallo', 'bo_goldman', 'malcolm_lowry', 'kelly_masterson', 'michael_wadleigh', 'neville_smith', 'whitley_strieber', 'thomas_meehan', 'michael_crichton', 'leslie_bricusse', 'alan_sillitoe', 'john_august', 'peter_mayle', 'charles_dickens', 'daniel_wallace', 'will_gluck']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0.9999999999999998,0,"['biography', 'crime', 'comedy', 'music', 'adventure', 'drama', 'mystery']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,0,0,Abstain,"['2010', '2004']"
400,0.9999999999999996,0,"['1987', '1991', '1997', '1992', '2002', '1999', '2000', '2009', '1985', '1977', '1953', '1983', '1989', '1986', '1971', '1982', '2011', '2004', '1984', '1973', '2006', '2007', '1994', '1996']","['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
