qid,pred,label
WebQTest-31,Abstain,[None]
WebQTest-54,Abstain,['Nazi Germany']
WebQTest-76,Abstain,"[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,['Spanish Language'],"['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Estonia', 'Latvia', 'Lithuania']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Fender Stratocaster', 'Rickenbacker 360/12']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Induction motor', 'Wireless telegraphy', 'Remote control', 'Tesla coil', 'Alternating current', 'Three-phase electric power', 'Neon lamp']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,Abstain,['2003–04 NBA season']
WebQTest-298,Abstain,"['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['The Dilemma', 'The Dark Tower', 'Grand Theft Auto', 'Rush', 'Apollo 13', 'Gung Ho', 'In the Heart of the Sea', 'Far and Away', 'Frost/Nixon', 'Cotton Candy', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Willow', 'Cinderella Man', 'Parenthood', 'Night Shift', 'Splash', 'Presidential Reunion', 'Backdraft', 'Inferno', 'Ransom', 'The Missing', 'The Da Vinci Code', 'Cocoon', 'EDtv', 'A Beautiful Mind', 'The Paper', 'Jay-Z: Made in America', 'Angels & Demons']","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
WebQTest-349,Abstain,"['Cleveland Cavaliers', 'Utah Jazz']"
WebQTest-380,Abstain,"['North America', 'Washington', 'United States of America', 'Cascade Range', 'Skamania County']"
WebQTest-403,['Turkish Language'],"['Turkish Language', 'Zaza language', 'Ladino Language', 'Kurdish languages', 'Arabic Language']"
WebQTest-428,"['Ohio', 'Iowa', 'South Dakota', 'Indiana', 'Illinois', 'Minnesota', 'Michigan', 'North Dakota', 'Wisconsin', 'Nebraska', 'Kansas', 'Missouri']","['Avenue of the Saints', 'West North Central States', 'East North Central States', 'Iowa', 'Illinois', 'Indiana', 'Kansas', 'Michigan', 'Missouri', 'Minnesota', 'Nebraska', 'North Dakota', 'Ohio', 'South Dakota', 'Wisconsin', 'Council Grove']"
WebQTest-453,"['Bribri Language', 'Spanish Language', 'Limonese Creole', 'Jamaican Creole English Language']","['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']"
WebQTest-479,Abstain,['University of Oklahoma']
WebQTest-509,"['Presidential system', 'Federal republic']","['Presidential system', 'Federal republic']"
WebQTest-532,Abstain,['Football']
WebQTest-559,"['Piano', 'Violin']","['Piano', 'Violin']"
WebQTest-585,['England'],['England']
WebQTest-612,['Carolina Panthers'],['Carolina Panthers']
WebQTest-635,"['Jimbo Kearn', 'Kyle Broflovski', 'Kenny McCormick']","['Kenny McCormick', 'Kyle Broflovski', 'Wizard of Oz', 'Terrance Henry Stoot', 'Gerald Broflovski', 'Bill Gates', 'Ethan Hawke', 'Chris', 'George Clooney', 'Danny Glover', 'Jimbo Kearn', 'Saddam Hussein', 'James Humphries', 'Former Columbine Student', 'Doug Remer', 'Hermaphrodite', 'Taper Guy', 'Kyle / Kenny / Jesus', 'Dave the Lighting Guy', 'Man toasting drinks at MCA outdoor bar', 'Ticket Taker']"
