qid,prediction,gt_label
WebQTest-31,"['Glasgow', 'Dunblane']",[None]
WebQTest-54,['Nazi Germany'],['Nazi Germany']
WebQTest-76,"['Virgin of the Rocks', ""Ginevra de' Benci"", ""Portrait of Isabella d'Este"", 'The Holy Infants Embracing', 'Drapery for a Seated Figure', 'Salvator Mundi', 'Lucan portrait of Leonardo da Vinci', 'St. Jerome in the Wilderness', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', ""Leonardo's horse"", 'Vitruvian Man', 'Head of a Woman', 'Horse and Rider', 'Annunciation', 'Madonna of Laroque', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna and Child with St Joseph', 'Portrait of a Musician', 'Sala delle Asse', 'Mona Lisa', 'The Battle of Anghiari', 'Portrait of a man in red chalk', 'Medusa', 'Madonna Litta', 'The Virgin and Child with St. Anne', 'Leda and the Swan', 'Adoration of the Magi', 'Benois Madonna', 'La belle ferronnière', 'The Last Supper', 'Lady with an Ermine']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,['Spanish Language'],"['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Latvia', 'Estonia', 'Lithuania']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Fender Stratocaster', 'Rickenbacker 360/12']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Induction motor', 'Remote control', 'Three-phase electric power', 'Wireless telegraphy', 'Neon lamp', 'Tesla coil', 'Alternating current']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003'],['2003–04 NBA season']
WebQTest-298,"['1966', '1970', '1983']","['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['The Paper', 'The Dilemma', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Gung Ho', 'Cotton Candy', 'In the Heart of the Sea', 'Frost/Nixon', 'Willow', 'The Lost Symbol', 'Apollo 13', 'Parenthood', 'Inferno', 'Splash', 'Cinderella Man', 'The Da Vinci Code', 'A Beautiful Mind', 'Angels & Demons', 'Night Shift', 'The Missing', 'Far and Away', 'EDtv', 'The Dark Tower', 'Backdraft', 'Presidential Reunion', 'Cocoon', 'Grand Theft Auto', 'Ransom', 'Rush', 'Jay-Z: Made in America']","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
WebQTest-349,"['Chicago Bulls', 'Los Angeles Lakers', ""Duke Blue Devils men's basketball""]","['Cleveland Cavaliers', 'Utah Jazz']"
WebQTest-380,"['Skamania County', 'Washington', 'United States of America', 'Cascade Range', 'North America']","['North America', 'Washington', 'United States of America', 'Cascade Range', 'Skamania County']"
WebQTest-403,['Turkish Language'],"['Turkish Language', 'Zaza language', 'Ladino Language', 'Kurdish languages', 'Arabic Language']"
WebQTest-428,"['Michigan', 'Kansas', 'Missouri', 'South Dakota', 'Nebraska', 'North Dakota', 'Indiana', 'Minnesota', 'Ohio', 'Illinois', 'Wisconsin', 'Iowa']","['Avenue of the Saints', 'West North Central States', 'East North Central States', 'Iowa', 'Illinois', 'Indiana', 'Kansas', 'Michigan', 'Missouri', 'Minnesota', 'Nebraska', 'North Dakota', 'Ohio', 'South Dakota', 'Wisconsin', 'Council Grove']"
