qid,prediction,gt_label
WebQTest-31,Abstain,[None]
WebQTest-54,['German Reich'],['Nazi Germany']
WebQTest-76,"['Head of a Woman', ""Ginevra de' Benci"", 'Portrait of a man in red chalk', 'g.1219sb0g', 'Annunciation', 'Horse and Rider', 'Mona Lisa', 'Portrait of a Young Fiancée', 'Madonna of the Yarnwinder', 'g.1239jd9p', 'Portrait of a Musician', 'g.1213jb_b', 'La belle ferronnière', 'Madonna of the Carnation', 'The Holy Infants Embracing', 'Madonna of Laroque', 'The Virgin and Child with St Anne and St John the Baptist', 'g.12215rxg', 'Salvator Mundi', 'Sala delle Asse', 'St. John the Baptist', 'The Baptism of Christ', 'Virgin of the Rocks', 'The Last Supper', 'Vitruvian Man', 'g.121yh91r', 'Madonna Litta', 'The Battle of Anghiari', 'Bacchus', 'Benois Madonna', 'The Virgin and Child with St. Anne', 'Medusa', 'St. Jerome in the Wilderness', ""Portrait of Isabella d'Este"", 'Adoration of the Magi', 'Madonna and Child with St. Joseph', 'Lady with an Ermine', 'Leda and the Swan', 'Drapery for a Seated Figure', 'Lucan portrait of Leonardo da Vinci', 'Virgin of the Rocks', 'g.12314dm1', 'g.121wt37c', 'g.120vt1gz', ""Leonardo's horse"", 'g.1224tf0c']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,"['Lucumi Language', 'Haitian Creole', 'Spanish Language']","['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Latvia', 'Lithuania', 'Estonia']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Fender Stratocaster', 'Rickenbacker 360/12']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,"['Eurasia', 'Europe', 'Western Europe']",['Europe']
WebQTest-246,"['Three-phase electric power', 'Remote control', 'Induction motor', 'Alternating current', 'Tesla coil', 'Wireless telegraphy', 'Neon lamp']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
