qid,correct,wrong,prediction,gt_label
20,1.0,1.0,"['drama', 'comedy']",['Comedy']
40,1.0,0,"['joseph_l._mankiewicz', 'graham_greene']","['Joseph L. Mankiewicz', 'Graham Greene']"
60,1.0,0,['john_gilling'],['John Gilling']
80,1.0,0,"['the_wrecking_crew', 'the_big_country', 'the_violent_men', 'the_silencers']","['The Silencers', 'The Big Country', 'The Violent Men', 'The Wrecking Crew']"
100,0,2.0,"['alexander', 'a_beautiful_mind']",['Amistad']
120,1.0,0,['2012'],['2012']
140,1.0,0,"['crime', 'fantasy', 'drama', 'comedy', 'action', 'thriller', 'horror', 'adventure']","['Horror', 'Crime', 'Drama', 'Fantasy', 'Adventure', 'Action', 'Comedy', 'Thriller']"
160,1.0,0,"['the_taming_of_the_shrew', 'romeo_and_juliet', 'private_romeo', 'the_avengers', 'serenity', 'king_of_texas', 'romeo_+_juliet', 'chimes_at_midnight', 'looking_for_richard', 'king_lear', 'the_magic_flute', 'toy_story', 'haider', 'coriolanus', 'hamlet', ""a_midsummer_night's_dream"", 'the_tempest', 'as_you_like_it', 'men_of_respect', 'in_your_eyes', 'the_cabin_in_the_woods', 'julius_caesar', 'macbeth', 'henry_v', ""prospero's_books"", 'othello', 'the_banquet', 'tempest', ""love's_labour's_lost"", 'o', 'buffy_the_vampire_slayer', 'richard_iii']","['King Lear', 'Julius Caesar', 'Men of Respect', 'Private Romeo', 'Romeo and Juliet', 'In Your Eyes', 'The Tempest', 'Romeo + Juliet', 'The Taming of the Shrew', 'Coriolanus', ""A Midsummer Night's Dream"", 'Looking for Richard', 'The Avengers', 'Othello', 'O', 'The Magic Flute', 'Henry V', 'Serenity', 'Richard III', ""Prospero's Books"", 'The Banquet', 'Macbeth', 'Toy Story', 'Hamlet', 'The Cabin in the Woods', 'Chimes at Midnight', 'Haider', 'King of Texas', 'As You Like It', ""Love's Labour's Lost"", 'Tempest', 'Buffy the Vampire Slayer']"
180,1.0,0,"['Steven Soderbergh', 'Andrei Tarkovsky']","['Steven Soderbergh', 'Andrei Tarkovsky']"
200,1.0,0,"['french', 'italian']","['French', 'Italian']"
220,1.0,0,"['animation', 'documentary']","['Animation', 'Documentary']"
240,1.0,0,['2001'],['2001']
260,0.9999999999999998,0,"['1987', '2001', '1992', '2009', '2003', '2007', '1996']","['1987', '1992', '1996', '2003', '2001', '2007', '2009']"
280,0,1.6666666666666665,Error,"['Live Free or Die', 'Tadpole', 'Rick']"
