qid,correct,wrong,prediction,gt_label
20,1.0,0,"['line_kruse', 'mads_mikkelsen', 'nikolaj_lie_kaas', 'ulrich_thomsen']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['todd_field', 'rob_epstein', 'hal_hartley', 'jeffrey_friedman']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,1.0,0,"['1958', '1956']","['1956', '1958']"
80,1.0,0,"['john_maybury', 'françois_girard', 'fernando_meirelles']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9999999999999998,0,"['2001', '2011', '2009', '2003', '2006', '1986', '2008', '2000', '2002', '2005', '2004', '2007', '1999']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,1.0,0,"['action', 'drama', 'horror', 'comedy']","['Action', 'Drama', 'Horror', 'Comedy']"
140,0,0.1020408163265306,Error,"['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,1.0,0,"['john_carpenter', 'ken_shapiro', 'peter_hewitt', 'harold_ramis', 'jay_sandrich', 'michael_ritchie', 'colin_higgins', 'john_landis', 'stephen_herek', 'george_roy_hill', 'william_friedkin', 'stephen_kessler']","['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1954', '1955']","['1955', '1954']"
200,0.9999999999999999,0,"['jane_fonda', 'brigitte_bardot', 'vincent_spano', 'alain_delon', 'rebecca_de_mornay', 'terence_stamp']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0.9999999999999999,0,"['action', 'horror', 'adventure', 'crime', 'thriller', 'drama']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,0,0.41666666666666663,Error,"['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0.9999999999999998,0,"['susan_harrison', 'cecil_parker', 'burt_lancaster', 'peter_sellers', 'tom_hanks', 'tony_curtis', 'claudia_cardinale', 'alec_guinness', 'herbert_lom', 'irma_p._hall', 'martin_milner', 'joan_greenwood', 'marlon_wayans']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,0,0,Abstain,['Chris Rock']
300,0.9999999999999998,0,"['greg_calderone', 'ellen_page', 'georgina_reilly', 'bernie_coulson', 'bruce_mcdonald', 'callum_keith_rennie', 'hugh_dillon']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,1.0,0,"['silvio_soldini', 'maria_sole_tognazzi', 'carlo_verdone']","['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,0.9999999999999996,0,"['harold_gray', 'josephine_humphreys', 'terence_rattigan', 'michael_wadleigh', 'daniel_wallace', 'malcolm_lowry', 'alan_sillitoe', 'thomas_meehan', 'whitley_strieber', 'charles_dickens', 'michael_crichton', 'kelly_masterson', 'shane_connaughton', 'carol_sobieski', 'peter_mayle', 'leslie_bricusse', 'will_gluck', 'frederic_raphael', 'ronald_harwood', 'john_august', 'bo_goldman', 'neville_smith', 'guy_gallo']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0.9999999999999998,0,"['comedy', 'biography', 'music', 'adventure', 'crime', 'drama', 'mystery']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,1.0,0,"['2004', '2010']","['2010', '2004']"
400,0.9999999999999996,0,"['2009', '1986', '1987', '1996', '1997', '1999', '1973', '2011', '1984', '2006', '1994', '1985', '2002', '2004', '1971', '2000', '1989', '1983', '1977', '1991', '1953', '1982', '2007', '1992']","['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,0.8333333333333334,0,"['2013', '2009', '2003', '1994', '1998', '2008', '2000', '2004', '2007', '1955']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,1.0,0,"['2001', '1991', '1979', '2009', '2006', '1972', '1960', '1936', '1920', '1981', '2002', '1995', '2007', '1992', '1983', '1977', '1999']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,0.9999999999999999,0,"['thomas_ian_nicholas', 'hugh_grant', 'chris_klein', 'jason_biggs', 'nicholas_hoult', 'alyson_hannigan']","['Chris Klein', 'Hugh Grant', 'Nicholas Hoult', 'Jason Biggs', 'Alyson Hannigan', 'Thomas Ian Nicholas']"
480,1.0,0,"['action', 'drama', 'crime']","['Action', 'Drama', 'Crime']"
500,0.9999999999999998,0,"['pär_lagerkvist', 'alf_sjöberg', 'sinclair_lewis', 'richard_brooks', 'frank_burt', 'horace_mccoy', 'thomas_t._flynn', 'david_dortort', 'baynard_kendrick', 'don_mankiewicz', 'robert_buckner', 'claude_stanush', 'philip_yordan']","['Don Mankiewicz', 'Thomas T. Flynn', 'Horace McCoy', 'Baynard Kendrick', 'Philip Yordan', 'Sinclair Lewis', 'David Dortort', 'Robert Buckner', 'Frank Burt', 'Claude Stanush', 'Richard Brooks', 'Alf Sjöberg', 'Pär Lagerkvist']"
520,0.9999999999999998,0,"['lewis_milestone', 'john_ford', 'gary_sinise', 'david_s._ward', 'elia_kazan', 'victor_fleming', 'emilio_fernández']","['Elia Kazan', 'David S. Ward', 'Gary Sinise', 'Victor Fleming', 'Emilio Fernández', 'Lewis Milestone', 'John Ford']"
540,1.0,0,"['action', 'comedy', 'horror', 'western', 'documentary']","['Action', 'Horror', 'Comedy', 'Documentary', 'Western']"
560,1.0,0,"['christian_slater', 'joan_crawford', 'michael_sheen', 'david_morrissey', 'edward_kerr', 'colm_feore', 'meg_ryan', 'william_h._macy', 'ned_beatty', 'fred_macmurray', 'don_rickles', 'christopher_reeve', 'keke_palmer', 'robert_loggia', 'selma_blair', 'kim_cattrall', 'billy_crudup']","['William H. Macy', 'Christopher Reeve', 'Michael Sheen', 'Joan Crawford', 'Colm Feore', 'Ned Beatty', 'Robert Loggia', 'Don Rickles', 'Edward Kerr', 'Meg Ryan', 'Selma Blair', 'David Morrissey', 'Keke Palmer', 'Fred MacMurray', 'Kim Cattrall', 'Billy Crudup', 'Christian Slater']"
580,1.0,0,"['1993', '2010']","['1993', '2010']"
600,1.0,0,"['action', 'history', 'crime', 'drama', 'war']","['Drama', 'Action', 'Crime', 'War', 'History']"
620,1.0,0,['2002'],['2002']
640,1.0,0,"['comedy', 'biography', 'romance', 'horror', 'drama']","['Drama', 'Romance', 'Horror', 'Comedy', 'Biography']"
660,0.9999999999999999,0,"['dennis_hopper', 'christian_marquand', 'tony_richardson', 'robert_altman', 'neil_armfield', 'joseph_mcgrath']","['Tony Richardson', 'Robert Altman', 'Neil Armfield', 'Dennis Hopper', 'Joseph McGrath', 'Christian Marquand']"
680,1.0,0,"['action', 'comedy', 'crime', 'thriller', 'drama']","['Action', 'Drama', 'Comedy', 'Thriller', 'Crime']"
700,1.0000000000000002,0,"['2013', '2011', '1979', '2010', '1994', '1967', '1965', '1986', '1974', '1982', '2002', '1976', '1988', '1992', '1948', '1971', '2005', '1999']","['1986', '1948', '1992', '1982', '1994', '1979', '1999', '1965', '1974', '1967', '1971', '2002', '1988', '2005', '1976', '2011', '2010', '2013']"
