qid,prediction,gt_label
WebQTest-31,Error,[None]
WebQTest-54,['Germany'],['Nazi Germany']
WebQTest-76,"['Benois Madonna', 'Drapery for a Seated Figure', 'The Virgin and Child with St. Anne', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Madonna of the Carnation', 'Virgin of the Rocks', 'Head of a Woman', 'St. John the Baptist', ""Leonardo's horse"", 'Salvator Mundi', 'Adoration of the Magi', 'Lady with an Ermine', 'Horse and Rider', ""Ginevra de' Benci"", 'St. Jerome in the Wilderness', 'Sala delle Asse', 'Madonna of Laroque', 'Bacchus', 'Portrait of a man in red chalk', 'Madonna of the Yarnwinder', 'Portrait of a Musician', 'Madonna Litta', 'Portrait of a Young Fiancée', 'Annunciation', ""Portrait of Isabella d'Este"", 'Mona Lisa', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'La belle ferronnière', 'The Baptism of Christ', 'Leda and the Swan', 'Madonna and Child with St Joseph', 'The Last Supper', 'The Virgin and Child with St Anne and St John the Baptist']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,['Spanish Language'],"['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Latvia', 'Estonia', 'Lithuania']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,Error,"['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,Error,['Europe']
WebQTest-246,"['Neon lamp', 'Remote control', 'Tesla coil', 'Induction motor', 'Three-phase electric power', 'Wireless telegraphy', 'Alternating current']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003'],['2003–04 NBA season']
WebQTest-298,"['1966 World Series', '1970 World Series', '1983 World Series']","['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['Night Shift', 'Apollo 13', 'Angels & Demons', 'The Lost Symbol', 'Inferno', 'Far and Away', 'Willow', 'EDtv', 'Backdraft', 'Splash', 'Jay-Z: Made in America', 'Frost/Nixon', 'Presidential Reunion', 'Rush', 'Parenthood', 'The Dark Tower', 'The Paper', 'Cocoon', 'Cotton Candy', 'Cinderella Man', 'A Beautiful Mind', ""Dr. Seuss' How the Grinch Stole Christmas"", 'The Dilemma', 'Grand Theft Auto', 'The Da Vinci Code', 'Ransom', 'In the Heart of the Sea', 'Gung Ho', 'The Missing']","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
WebQTest-349,"['Chicago Bulls', 'Duke Blue Devils men's basketball', 'Los Angeles Lakers']","['Cleveland Cavaliers', 'Utah Jazz']"
WebQTest-380,"['Mount St. Helens is located in Washington, USA']","['North America', 'Washington', 'United States of America', 'Cascade Range', 'Skamania County']"
WebQTest-403,['Turkish Language'],"['Turkish Language', 'Zaza language', 'Ladino Language', 'Kurdish languages', 'Arabic Language']"
WebQTest-428,"['Minnesota', 'Ohio', 'North Dakota', 'Indiana', 'Iowa', 'Wisconsin', 'Nebraska', 'Kansas', 'South Dakota', 'Illinois', 'Michigan', 'Missouri']","['Avenue of the Saints', 'West North Central States', 'East North Central States', 'Iowa', 'Illinois', 'Indiana', 'Kansas', 'Michigan', 'Missouri', 'Minnesota', 'Nebraska', 'North Dakota', 'Ohio', 'South Dakota', 'Wisconsin', 'Council Grove']"
WebQTest-453,"['Limonese Creole', 'Bribri Language', 'Jamaican Creole English Language', 'Spanish Language']","['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']"
WebQTest-479,['Oklahoma Sooners'],['University of Oklahoma']
WebQTest-509,Error,"['Presidential system', 'Federal republic']"
