qid,prediction,gt_label
7765,False,False
7528,False,False
7493,False,False
6679,True,True
6980,Abstain,True
21,True,True
6709,Abstain,True
6840,Abstain,False
6654,True,True
6826,Abstain,False
242,Abstain,False
7021,False,False
116,True,True
7455,False,False
1,True,True
6657,Abstain,True
7596,Abstain,True
7789,Abstain,True
6769,Abstain,True
28,True,True
6760,True,True
6730,True,True
59,True,True
6984,True,True
119,True,True
6818,Abstain,False
138,Abstain,False
161,Abstain,False
7750,False,False
7433,False,False
7544,False,False
7500,False,False
7674,Abstain,True
7163,False,False
268,Abstain,False
6874,Abstain,False
80,True,True
7517,False,False
6791,Abstain,False
7403,False,False
267,Abstain,False
7505,False,False
6908,Abstain,False
6664,True,True
6828,Abstain,False
6659,True,True
7710,Abstain,True
6710,True,True
320,False,True
7443,False,False
7786,Abstain,True
299,True,True
187,Abstain,False
6786,Abstain,True
7401,False,False
6783,Abstain,True
7723,Abstain,True
7155,True,True
70,True,True
7590,Abstain,True
266,Abstain,False
36,True,True
7672,Abstain,True
6941,Abstain,False
305,True,True
7611,Abstain,True
39,True,True
296,True,True
71,True,True
7603,Abstain,True
6928,Abstain,False
282,True,True
6711,True,True
7170,Abstain,False
7161,True,True
7047,False,False
7664,Abstain,True
7574,Abstain,True
7711,Abstain,True
7175,True,False
359,Abstain,False
89,True,True
241,Abstain,False
6997,Abstain,True
186,Abstain,False
286,True,True
263,True,False
6,True,True
6943,Abstain,False
293,True,True
6846,Abstain,False
218,Abstain,False
6937,Abstain,False
127,True,True
31,True,True
6638,True,True
121,True,True
7001,Abstain,True
251,Abstain,False
7598,Abstain,True
7772,Abstain,True
68,True,True
311,True,True
7617,Abstain,True
7684,Abstain,True
192,Abstain,False
232,Abstain,False
6688,True,True
6637,True,True
7525,False,False
113,True,True
7457,False,False
14,True,True
7462,False,False
7151,True,False
7565,Abstain,True
6649,Abstain,True
7459,False,False
313,True,True
7023,False,False
7796,True,True
6736,True,True
53,True,True
165,Abstain,False
83,True,True
7571,Abstain,True
7788,Abstain,True
368,Abstain,False
33,True,True
7615,Abstain,True
6942,Abstain,False
7065,Abstain,False
6964,True,True
7741,Abstain,False
7552,Abstain,True
6926,Abstain,False
6995,True,True
329,Abstain,False
6778,Abstain,True
7797,True,True
7435,False,False
7681,Abstain,True
122,True,True
6884,Abstain,False
6872,Abstain,False
328,Abstain,False
7548,Abstain,True
226,Abstain,False
6701,True,True
246,Abstain,False
175,Abstain,False
330,False,False
7489,False,False
7782,Abstain,True
7449,False,False
6713,Abstain,True
7025,False,False
229,Abstain,False
7764,False,False
7061,Abstain,False
6687,True,True
6925,Abstain,False
7717,Abstain,True
7043,Abstain,False
7698,Abstain,True
288,True,True
214,Abstain,False
326,Abstain,False
198,Abstain,False
6797,Abstain,False
6723,True,True
7745,False,False
7720,Abstain,True
7452,False,False
169,Abstain,False
7162,True,True
7056,Abstain,False
7779,True,True
6772,Abstain,True
7431,False,False
7450,False,False
107,True,True
7780,Abstain,True
6814,Abstain,False
7661,Abstain,True
57,True,True
6822,True,False
7512,False,False
7487,False,False
7499,False,False
6976,Abstain,True
18,True,True
6878,Abstain,False
7410,False,False
6909,Abstain,False
7803,Abstain,True
297,True,True
290,True,True
7668,Abstain,True
6777,Abstain,True
6831,Abstain,False
231,Abstain,False
182,Abstain,False
180,Abstain,False
7495,False,False
6725,True,True
294,True,True
258,True,False
6900,Abstain,False
6743,True,True
6859,Abstain,False
8948,Abstain,True
222,Abstain,False
115,True,True
7463,False,False
366,Abstain,False
54,True,True
7445,False,False
6758,True,True
6699,True,True
350,Abstain,False
6987,True,True
6927,Abstain,False
6931,Abstain,False
7460,False,False
6766,True,True
6981,Abstain,True
7053,False,False
7751,False,False
105,True,True
154,False,False
6907,Abstain,False
6703,True,True
88,True,True
7564,True,True
6737,True,True
6630,True,True
7726,False,False
147,Abstain,False
275,Abstain,False
6681,True,True
6849,Abstain,False
7556,Abstain,True
256,True,False
7434,False,False
188,Abstain,False
7507,False,False
7534,False,False
6767,True,True
6986,Abstain,True
5332,True,True
7835,True,False
2437,False,False
5353,True,True
8083,True,False
2389,False,False
2479,False,False
1857,False,False
1431,Abstain,False
1238,False,False
5326,True,True
6431,True,True
1947,False,False
6094,False,True
1339,False,False
2518,False,False
2130,False,False
5763,True,True
5516,False,True
1317,False,False
2397,False,False
7255,False,False
5203,True,True
1745,False,False
1194,False,False
1208,False,False
6272,True,True
1304,False,False
5561,True,True
1272,False,False
2236,False,False
1658,False,False
1482,False,False
5372,True,True
1967,False,False
5603,True,True
5402,True,True
5444,True,True
2406,False,False
8097,True,False
2510,False,False
5864,True,True
2166,False,False
5904,True,True
1958,False,False
1859,False,False
5966,True,True
6178,True,True
2693,Abstain,False
1203,False,False
2385,False,False
7339,True,False
2751,False,False
8111,False,False
