qid,correct,wrong,prediction,gt_label
20,1.0,0,"['mads_mikkelsen', 'nikolaj_lie_kaas', 'ulrich_thomsen', 'line_kruse']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['todd_field', 'rob_epstein', 'hal_hartley', 'jeffrey_friedman']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,0,0,Abstain,"['1956', '1958']"
80,0,0,Abstain,"['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9999999999999998,0,"['1986', '2005', '2002', '2011', '2000', '2008', '2007', '2009', '2001', '1999', '2006', '2004', '2003']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,1.0,0,"['action', 'comedy', 'drama', 'horror']","['Action', 'Drama', 'Horror', 'Comedy']"
140,1.0000000000000007,0,"['nick_park', 'steve_miner', 'sean_penn', 'roger_spottiswoode', 'gillies_mackinnon', 'kenneth_branagh', 'phil_joanou', 'robert_redford', 'jean_renoir', 'barry_levinson', 'gillian_armstrong', 'robert_towne', 'jeff_stanzler', 'mark_rydell', 'robert_rodriguez', 'roger_donaldson', 'roland_emmerich', 'tim_burstall', 'jarmo_lampela', 'franco_zeffirelli', 'luis_mandoki', 'nancy_meyers', 'martin_campbell', 'robert_zemeckis', 'peter_lord', 'randall_wallace', 'anthony_minghella', 'john_gielgud', 'richard_donner', 'wim_wenders', 'george_miller', 'jodie_foster', 'peter_weir', 'adrian_grunberg', 'laurence_olivier', 'ron_howard', 'graham_baker', 'dean_semler', 'pen_densham', 'nick_cassavetes', 'tony_richardson', 'brian_helgeland', 'john_badham', 'lewis_milestone', 'm._night_shyamalan', 'mel_gibson', 'michael_almereyda', 'george_ogilvie', 'grigori_kozintsev']","['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,0.9166666666666667,0,"['william_friedkin', 'stephen_herek', 'george_roy_hill', 'colin_higgins', 'john_carpenter', 'john_landis', 'harold_ramis', 'stephen_kessler', 'jay_sandrich', 'michael_ritchie', 'peter_hewitt']","['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1954', '1955']","['1955', '1954']"
200,0.9999999999999999,0,"['terence_stamp', 'rebecca_de_mornay', 'brigitte_bardot', 'vincent_spano', 'alain_delon', 'jane_fonda']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0,0,Abstain,"['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,1.0,0,"['comedy', 'crime', 'romance', 'war', 'horror', 'adventure', 'action', 'fantasy', 'thriller', 'western', 'mystery', 'drama']","['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0.9999999999999998,0,"['tom_hanks', 'burt_lancaster', 'marlon_wayans', 'herbert_lom', 'joan_greenwood', 'peter_sellers', 'tony_curtis', 'alec_guinness', 'claudia_cardinale', 'susan_harrison', 'cecil_parker', 'irma_p._hall', 'martin_milner']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,1.0,0,['chris_rock'],['Chris Rock']
300,0.9999999999999998,0,"['ellen_page', 'bernie_coulson', 'bruce_mcdonald', 'greg_calderone', 'callum_keith_rennie', 'hugh_dillon', 'georgina_reilly']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,1.0,0,"['maria_sole_tognazzi', 'silvio_soldini', 'carlo_verdone']","['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,0.9999999999999996,0,"['malcolm_lowry', 'josephine_humphreys', 'charles_dickens', 'ronald_harwood', 'kelly_masterson', 'carol_sobieski', 'michael_crichton', 'peter_mayle', 'terence_rattigan', 'will_gluck', 'bo_goldman', 'alan_sillitoe', 'daniel_wallace', 'michael_wadleigh', 'thomas_meehan', 'leslie_bricusse', 'whitley_strieber', 'neville_smith', 'frederic_raphael', 'harold_gray', 'guy_gallo', 'john_august', 'shane_connaughton']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0.9999999999999998,0,"['comedy', 'crime', 'biography', 'adventure', 'music', 'mystery', 'drama']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,1.0,0,"['2010', '2004']","['2010', '2004']"
400,0.9999999999999996,0,"['1982', '1992', '1989', '1987', '2004', '1977', '1973', '1984', '1999', '2006', '1996', '1986', '1985', '2002', '1971', '2009', '2000', '1953', '1997', '1994', '1991', '1983', '2007', '2011']","['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,0,0,Abstain,"['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,1.0,0,"['1972', '1920', '1979', '1960', '1936', '2002', '1991', '1995', '1981', '1992', '1983', '2007', '2009', '2001', '1999', '2006', '1977']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
