qid,prediction,gt_label
1595,False,False
1607,False,False
1631,False,False
1640,Abstain,False
1696,False,False
1743,False,False
1770,Abstain,False
1787,False,False
1890,False,False
1978,False,False
2094,False,False
2134,False,False
2184,True,False
2197,False,False
2351,Abstain,False
2361,True,False
2384,False,False
2391,False,False
2406,False,False
2414,False,False
2980,False,False
3039,True,False
3110,True,False
3127,False,False
3145,False,False
3219,False,False
3351,False,False
3386,False,False
3392,False,False
3452,False,False
3461,Abstain,False
3504,False,False
3564,False,False
3566,False,False
3578,False,False
3619,False,False
3625,Abstain,False
3656,False,False
3744,False,False
3759,True,False
3804,False,False
3816,True,False
3835,Abstain,False
3839,False,False
3896,Abstain,False
3907,False,False
8256,True,True
8268,True,True
8271,False,True
8311,True,True
8313,True,True
8353,True,True
8433,True,True
8440,True,True
8607,False,True
8662,True,True
8725,Abstain,True
8740,True,True
8756,True,True
8763,True,True
8815,True,True
8862,Abstain,True
8988,Abstain,True
9078,True,True
9094,True,True
9099,True,True
9112,False,True
9147,True,True
9161,Abstain,True
9299,True,True
9321,True,True
9388,False,True
9443,True,True
9476,True,True
9498,Abstain,True
9583,True,True
9595,True,True
9599,True,True
9657,True,True
9659,True,True
9681,Abstain,True
9701,Abstain,True
9713,Abstain,True
9799,True,True
9809,False,True
9822,True,True
9848,True,True
9900,True,True
9909,True,True
9950,False,True
9990,True,True
10004,True,True
10059,Abstain,True
10074,False,True
10108,True,True
11541,False,False
11611,Abstain,False
12029,True,False
12046,True,False
12117,False,True
