qid,prediction,gt_label
3998,True,True
4000,True,True
4171,Abstain,True
4185,False,True
4367,False,True
4368,True,True
4501,True,True
4510,False,True
4645,False,True
4891,Abstain,True
4939,False,True
4957,True,True
4971,False,True
4999,True,True
5052,False,True
5124,False,True
5155,Abstain,True
5156,Abstain,True
5165,True,True
5186,False,True
5220,True,True
5244,False,True
5251,False,True
5273,False,True
5319,True,True
5325,False,True
5327,False,True
5341,False,True
5374,Abstain,True
5385,False,True
5422,False,True
5485,True,True
5540,False,True
5589,True,True
5593,False,True
5663,Abstain,False
5740,Abstain,False
5788,False,False
5825,Abstain,False
5913,Abstain,False
5924,False,False
5944,False,False
5946,False,False
6353,False,False
6360,False,False
6378,False,False
6417,False,False
6432,True,False
6434,Abstain,False
6438,False,False
6440,False,False
6485,True,False
6514,False,False
6563,True,False
6666,False,False
6697,False,False
6761,False,False
6771,False,False
6803,False,False
6811,True,False
6815,Abstain,False
6842,False,False
6848,False,False
6857,False,False
6914,False,False
6928,False,False
6960,False,False
6985,False,False
6988,Abstain,False
6992,Abstain,False
7055,False,False
7062,False,False
10143,False,False
10182,False,False
10206,False,False
11786,True,True
11869,True,True
11897,True,True
11925,True,True
11962,False,True
11968,True,True
12733,True,True
12741,True,True
12784,True,True
12787,False,True
12799,True,True
12803,True,True
12807,True,True
12815,True,True
12817,False,True
12868,False,False
12892,Abstain,False
12895,False,False
12901,False,False
12924,False,False
12926,True,False
12938,Abstain,False
12942,False,False
12972,False,False
12989,False,False
