qid,prediction,gt_label
WebQTest-31,['Dunblane'],[None]
WebQTest-54,['Nazi Germany'],['Nazi Germany']
WebQTest-76,"['Salvator Mundi', 'Leda and the Swan', 'Annunciation', 'Virgin of the Rocks', 'Benois Madonna', 'The Battle of Anghiari', 'Madonna Litta', 'Bacchus', 'Madonna and Child with St Joseph', 'Sala delle Asse', 'The Virgin and Child with St. Anne', 'The Baptism of Christ', 'St. John the Baptist', 'Horse and Rider', ""Ginevra de' Benci"", ""Portrait of Isabella d'Este"", 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Leonardo's horse"", 'Madonna of Laroque', 'Portrait of a Young Fiancée', 'The Virgin and Child with St Anne and St John the Baptist', 'Medusa', 'Head of a Woman', 'Lady with an Ermine', 'Mona Lisa', 'La belle ferronnière', 'The Last Supper', 'Portrait of a man in red chalk', 'Adoration of the Magi', 'The Holy Infants Embracing', 'Vitruvian Man', 'Drapery for a Seated Figure', 'Madonna of the Yarnwinder', 'Virgin of the Rocks', 'Portrait of a Musician', 'Lucan portrait of Leonardo da Vinci']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,"['Salamanca', 'Spain']",['Salamanca']
WebQTest-150,"['Spanish Language', 'Lucumi Language', 'Haitian Creole']","['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Lithuania', 'Latvia', 'Estonia']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Rickenbacker 360/12', 'Fender Stratocaster']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Wireless telegraphy', 'Remote control', 'Induction motor', 'Tesla coil', 'Alternating current', 'Three-phase electric power', 'Neon lamp']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003'],['2003–04 NBA season']
WebQTest-298,"['1983 World Series', '1966 World Series', '1970 World Series']","['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['Far and Away', 'Splash', 'Cotton Candy', 'The Da Vinci Code', ""Dr. Seuss' How the Grinch Stole Christmas"", 'The Missing', 'Ransom', 'The Dark Tower', 'A Beautiful Mind', 'Backdraft', 'Jay-Z: Made in America', 'In the Heart of the Sea', 'Frost/Nixon', 'The Dilemma', 'EDtv', 'Inferno', 'The Lost Symbol', 'Angels & Demons', 'Rush', 'Parenthood', 'Presidential Reunion', 'Night Shift', 'The Paper', 'Gung Ho', 'Willow', 'Grand Theft Auto', 'Apollo 13', 'Cocoon', 'Cinderella Man']","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
WebQTest-349,"['Los Angeles Lakers', 'Duke Blue Devils men's basketball', 'Chicago Bulls']","['Cleveland Cavaliers', 'Utah Jazz']"
WebQTest-380,"['United States of America', 'Washington', 'Skamania County', 'Cascade Range', '46.19120025634765625', '-122.19439697265625']","['North America', 'Washington', 'United States of America', 'Cascade Range', 'Skamania County']"
WebQTest-403,['Turkish Language'],"['Turkish Language', 'Zaza language', 'Ladino Language', 'Kurdish languages', 'Arabic Language']"
WebQTest-428,"['Ohio', 'Iowa', 'Michigan', 'Minnesota', 'South Dakota', 'Wisconsin', 'Indiana', 'Kansas', 'Missouri', 'Nebraska', 'Illinois', 'North Dakota']","['Avenue of the Saints', 'West North Central States', 'East North Central States', 'Iowa', 'Illinois', 'Indiana', 'Kansas', 'Michigan', 'Missouri', 'Minnesota', 'Nebraska', 'North Dakota', 'Ohio', 'South Dakota', 'Wisconsin', 'Council Grove']"
WebQTest-453,"['Spanish Language', 'Limonese Creole', 'Jamaican Creole English Language', 'Bribri Language']","['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']"
WebQTest-479,['University of Oklahoma'],['University of Oklahoma']
WebQTest-509,"['Presidential system', 'Federal republic']","['Presidential system', 'Federal republic']"
WebQTest-532,['Football'],['Football']
WebQTest-559,"['Violin', 'Piano']","['Piano', 'Violin']"
WebQTest-585,['England'],['England']
WebQTest-612,['Carolina Panthers'],['Carolina Panthers']
WebQTest-635,Error,"['Kenny McCormick', 'Kyle Broflovski', 'Wizard of Oz', 'Terrance Henry Stoot', 'Gerald Broflovski', 'Bill Gates', 'Ethan Hawke', 'Chris', 'George Clooney', 'Danny Glover', 'Jimbo Kearn', 'Saddam Hussein', 'James Humphries', 'Former Columbine Student', 'Doug Remer', 'Hermaphrodite', 'Taper Guy', 'Kyle / Kenny / Jesus', 'Dave the Lighting Guy', 'Man toasting drinks at MCA outdoor bar', 'Ticket Taker']"
WebQTest-657,['National Civil Rights Museum'],['Memphis']
WebQTest-680,"['Argentina national football team', 'Club Atlético Independiente', 'Manchester City F.C.', 'Atlético Madrid']","['Manchester City F.C.', 'Argentina national football team', 'Club Atlético Independiente', 'Atlético Madrid']"
WebQTest-704,['Thor Heyerdahl is a Norwegian anthropologist and adventurer who studied at the University of Oslo'],"['Film Producer', 'Adventurer', 'Film director', 'Ethnographer', 'Scientist', 'Cinematographer']"
WebQTest-728,Error,"['Nancy Pelosi', 'John Boehner']"
WebQTest-752,['Coca-Cola'],['Coca-Cola']
WebQTest-775,Error,"['Imperial War Museum North', 'Urbis', 'Old Trafford', 'Whitworth Art Gallery', 'Manchester Art Gallery', 'Manchester Museum', 'Manchester Jewish Museum', 'Great Manchester Run', 'Chinatown, Manchester', 'Manchester Cathedral', 'The Moon Under Water, Manchester', 'Wheel of Manchester', 'Albert Hall, Manchester']"
WebQTest-800,Error,['World War II']
WebQTest-830,['Wyomissing'],['Reading']
WebQTest-857,"['Georgia', 'Alabama']","['Georgia', 'Alabama']"
