qid,prediction,gt_label
WebQTest-31,Error,[None]
WebQTest-54,['Nazi Germany'],['Nazi Germany']
WebQTest-76,"['Portrait of a Young Fiancée', 'Madonna of the Yarnwinder', ""Ginevra de' Benci"", 'g.12314dm1', 'Virgin of the Rocks', 'The Virgin and Child with St Anne and St John the Baptist', 'Leda and the Swan', 'The Virgin and Child with St. Anne', 'Mona Lisa', 'Medusa', 'g.1239jd9p', 'The Last Supper', ""Portrait of Isabella d'Este"", 'Madonna of the Carnation', 'Benois Madonna', 'Vitruvian Man', ""Leonardo's horse"", 'g.120vt1gz', 'g.12215rxg', 'g.1219sb0g', 'St. John the Baptist', 'Sala delle Asse', 'Lucan portrait of Leonardo da Vinci', 'Bacchus', 'g.121wt37c', 'Madonna Litta', 'g.1224tf0c', 'St. Jerome in the Wilderness', 'Drapery for a Seated Figure', 'g.121yh91r', 'Head of a Woman', 'The Baptism of Christ', 'Salvator Mundi', 'Annunciation', 'Portrait of a Musician', 'Lady with an Ermine', 'La belle ferronnière', 'The Holy Infants Embracing', 'Horse and Rider', 'Adoration of the Magi', 'Madonna and Child with St Joseph', 'g.1213jb_b', 'Madonna of Laroque', 'The Battle of Anghiari', 'Portrait of a man in red chalk']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,['Spanish Language'],"['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Lithuania', 'Estonia', 'Latvia']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Fender Stratocaster', 'Rickenbacker 360/12']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Three-phase electric power', 'Neon lamp', 'Induction motor', 'Alternating current', 'Tesla coil', 'Remote control', 'Wireless telegraphy']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
