qid,correct,wrong,prediction,gt_label
20,1.0,0,"['mads_mikkelsen', 'line_kruse', 'nikolaj_lie_kaas', 'ulrich_thomsen']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['hal_hartley', 'todd_field', 'rob_epstein', 'jeffrey_friedman']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,0,0,Abstain,"['1956', '1958']"
80,1.0,0,"['fernando_meirelles', 'john_maybury', 'françois_girard']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9999999999999998,0,"['2011', '2009', '2003', '1986', '1999', '2002', '2000', '2008', '2004', '2005', '2007', '2006', '2001']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,1.0,0,"['horror', 'comedy', 'action', 'drama']","['Action', 'Drama', 'Horror', 'Comedy']"
140,1.0000000000000007,0,"['jarmo_lampela', 'anthony_minghella', 'roland_emmerich', 'peter_lord', 'nick_park', 'michael_almereyda', 'randall_wallace', 'john_gielgud', 'jean_renoir', 'roger_donaldson', 'tim_burstall', 'jodie_foster', 'wim_wenders', 'graham_baker', 'luis_mandoki', 'brian_helgeland', 'robert_redford', 'richard_donner', 'lewis_milestone', 'jeff_stanzler', 'peter_weir', 'steve_miner', 'roger_spottiswoode', 'john_badham', 'm._night_shyamalan', 'tony_richardson', 'ron_howard', 'phil_joanou', 'mel_gibson', 'george_miller', 'robert_zemeckis', 'sean_penn', 'mark_rydell', 'gillies_mackinnon', 'robert_towne', 'george_ogilvie', 'grigori_kozintsev', 'gillian_armstrong', 'pen_densham', 'kenneth_branagh', 'laurence_olivier', 'adrian_grunberg', 'nick_cassavetes', 'nancy_meyers', 'robert_rodriguez', 'barry_levinson', 'dean_semler', 'martin_campbell', 'franco_zeffirelli']","['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,1.0,0,"['william_friedkin', 'george_roy_hill', 'michael_ritchie', 'stephen_herek', 'colin_higgins', 'stephen_kessler', 'peter_hewitt', 'john_carpenter', 'ken_shapiro', 'john_landis', 'harold_ramis', 'jay_sandrich']","['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1954', '1955']","['1955', '1954']"
200,0.9999999999999999,0,"['vincent_spano', 'alain_delon', 'rebecca_de_mornay', 'brigitte_bardot', 'jane_fonda', 'terence_stamp']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0.9999999999999999,0,"['action', 'drama', 'crime', 'adventure', 'horror', 'thriller']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,0,0.41666666666666663,Error,"['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0.9999999999999998,0,"['tony_curtis', 'burt_lancaster', 'martin_milner', 'susan_harrison', 'peter_sellers', 'marlon_wayans', 'joan_greenwood', 'irma_p._hall', 'cecil_parker', 'herbert_lom', 'tom_hanks', 'claudia_cardinale', 'alec_guinness']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,1.0,0,['chris_rock'],['Chris Rock']
300,0.9999999999999998,0,"['ellen_page', 'georgina_reilly', 'greg_calderone', 'hugh_dillon', 'bernie_coulson', 'callum_keith_rennie', 'bruce_mcdonald']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,1.0,0,"['maria_sole_tognazzi', 'silvio_soldini', 'carlo_verdone']","['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,0.9565217391304344,0,"['malcolm_lowry', 'whitley_strieber', 'will_gluck', 'peter_mayle', 'terence_rattigan', 'frederic_raphael', 'michael_crichton', 'michael_wadleigh', 'neville_smith', 'carol_sobieski', 'harold_gray', 'charles_dickens', 'thomas_meehan', 'bo_goldman', 'ronald_harwood', 'josephine_humphreys', 'daniel_wallace', 'alan_sillitoe', 'leslie_bricusse', 'john_august', 'shane_connaughton', 'guy_gallo']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0.9999999999999998,0,"['drama', 'mystery', 'adventure', 'music', 'crime', 'comedy', 'biography']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,1.0,0,"['2004', '2010']","['2010', '2004']"
400,0.9999999999999996,0,"['1991', '1982', '1992', '1973', '2002', '1953', '1986', '1985', '2009', '2000', '1996', '1983', '2004', '2007', '1997', '1994', '1987', '2011', '1984', '1971', '1989', '1999', '1977', '2006']","['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,1.0,0,"['2003', '1998', '2008', '1955', '1994', '2009', '2013', '2000', '2007', '2004', '2006', '2001']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,1.0,0,"['1983', '1960', '1995', '1979', '1991', '2009', '1920', '1972', '1992', '1936', '2007', '1981', '2002', '1999', '1977', '2006', '2001']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,0.9999999999999999,0,"['nicholas_hoult', 'hugh_grant', 'jason_biggs', 'thomas_ian_nicholas', 'chris_klein', 'alyson_hannigan']","['Chris Klein', 'Hugh Grant', 'Nicholas Hoult', 'Jason Biggs', 'Alyson Hannigan', 'Thomas Ian Nicholas']"
480,1.0,0,"['action', 'drama', 'crime']","['Action', 'Drama', 'Crime']"
500,0.9999999999999998,0,"['robert_buckner', 'richard_brooks', 'alf_sjöberg', 'baynard_kendrick', 'philip_yordan', 'thomas_t._flynn', 'claude_stanush', 'pär_lagerkvist', 'david_dortort', 'don_mankiewicz', 'horace_mccoy', 'sinclair_lewis', 'frank_burt']","['Don Mankiewicz', 'Thomas T. Flynn', 'Horace McCoy', 'Baynard Kendrick', 'Philip Yordan', 'Sinclair Lewis', 'David Dortort', 'Robert Buckner', 'Frank Burt', 'Claude Stanush', 'Richard Brooks', 'Alf Sjöberg', 'Pär Lagerkvist']"
520,0,0.7142857142857142,Error,"['Elia Kazan', 'David S. Ward', 'Gary Sinise', 'Victor Fleming', 'Emilio Fernández', 'Lewis Milestone', 'John Ford']"
540,1.0,0,"['horror', 'action', 'documentary', 'comedy', 'western']","['Action', 'Horror', 'Comedy', 'Documentary', 'Western']"
560,1.0,0,"['selma_blair', 'meg_ryan', 'michael_sheen', 'colm_feore', 'william_h._macy', 'don_rickles', 'christopher_reeve', 'fred_macmurray', 'edward_kerr', 'david_morrissey', 'joan_crawford', 'ned_beatty', 'kim_cattrall', 'billy_crudup', 'keke_palmer', 'robert_loggia', 'christian_slater']","['William H. Macy', 'Christopher Reeve', 'Michael Sheen', 'Joan Crawford', 'Colm Feore', 'Ned Beatty', 'Robert Loggia', 'Don Rickles', 'Edward Kerr', 'Meg Ryan', 'Selma Blair', 'David Morrissey', 'Keke Palmer', 'Fred MacMurray', 'Kim Cattrall', 'Billy Crudup', 'Christian Slater']"
580,1.0,0,"['2010', '1993']","['1993', '2010']"
600,1.0,0,"['history', 'war', 'action', 'crime', 'drama']","['Drama', 'Action', 'Crime', 'War', 'History']"
620,1.0,0,['2002'],['2002']
