qid,prediction,gt_label
450,Abstain,False
465,Abstain,True
473,True,True
474,Abstain,True
492,Abstain,False
531,False,False
533,Abstain,False
548,Abstain,False
553,True,False
555,True,False
559,Abstain,False
612,True,False
643,Abstain,False
644,True,False
661,Abstain,False
678,Abstain,False
689,False,False
703,Abstain,False
754,Abstain,False
764,False,False
780,Abstain,False
796,Abstain,False
801,Abstain,False
811,Abstain,False
876,False,False
936,Abstain,False
993,False,False
996,True,False
997,Abstain,False
1016,Abstain,False
1018,Abstain,False
1043,Abstain,False
1063,Abstain,False
1066,Abstain,False
1068,Abstain,False
1094,Abstain,False
1097,False,False
1100,Abstain,False
1127,Abstain,False
1145,Abstain,False
1151,Abstain,False
1159,Abstain,False
1193,Abstain,False
1208,Abstain,False
1233,Abstain,False
1246,Abstain,False
1281,Abstain,False
1294,False,False
1324,Abstain,False
1397,Abstain,False
1484,Abstain,False
1489,Abstain,False
7070,True,True
7115,True,True
7189,True,True
7193,True,True
7200,False,True
7205,Abstain,True
7206,True,True
7269,True,True
7302,True,True
7394,True,True
7417,True,True
7418,Abstain,True
7438,True,True
7448,True,True
7467,True,True
7468,True,True
7481,Abstain,True
7489,True,True
7517,True,True
7519,True,True
7520,True,True
7523,True,True
7591,True,True
7607,True,True
7631,Abstain,True
7652,True,True
7659,True,True
7687,True,True
7827,True,True
7828,True,True
7845,Abstain,True
7846,Abstain,True
7847,Abstain,True
7848,True,True
7924,True,True
7976,Abstain,True
7980,True,True
8006,True,True
8056,Abstain,True
8102,True,True
8128,True,True
8173,Abstain,True
8188,True,True
8195,True,True
8205,True,True
8207,True,True
8240,True,True
12702,False,False
