qid,prediction,gt_label
1595,False,False
1607,False,False
1631,True,False
1640,False,False
1696,False,False
1743,False,False
1770,False,False
1787,Error,False
1890,False,False
1978,False,False
2094,False,False
2134,False,False
2184,True,False
2197,False,False
2351,True,False
2361,False,False
2384,True,False
2391,False,False
2406,True,False
2414,False,False
2980,False,False
3039,True,False
3110,False,False
3127,False,False
3145,Abstain,False
3219,False,False
3351,Abstain,False
3386,False,False
3392,False,False
3452,Abstain,False
3461,False,False
3504,Abstain,False
3564,False,False
3566,False,False
3578,False,False
3619,False,False
3625,False,False
3656,True,False
3744,True,False
3759,Abstain,False
3804,Abstain,False
3816,Abstain,False
3835,False,False
3839,False,False
3896,False,False
3907,False,False
8256,True,True
8268,True,True
8271,Abstain,True
8311,True,True
8313,True,True
8353,True,True
8433,True,True
8440,Abstain,True
8607,True,True
8662,True,True
8725,Error,True
8740,True,True
8756,False,True
8763,True,True
8815,True,True
8862,Error,True
8988,False,True
9078,True,True
9094,True,True
9099,True,True
9112,True,True
9147,True,True
9161,True,True
9299,True,True
9321,True,True
9388,True,True
9443,True,True
9476,Abstain,True
9498,True,True
9583,True,True
9595,True,True
9599,True,True
9657,True,True
9659,True,True
9681,True,True
9701,True,True
9713,Error,True
9799,True,True
9809,True,True
9822,True,True
9848,True,True
9900,True,True
9909,Abstain,True
9950,False,True
9990,Abstain,True
10004,True,True
10059,False,True
10074,Abstain,True
10108,Abstain,True
11541,False,False
11611,True,False
12029,Error,False
12046,True,False
12117,False,True
