qid,prediction,gt_label
16,"['True', 'True', 'True']",True
44,"['True', 'True', 'True']",True
52,"['True', 'True', 'True']",True
71,"['True', 'True', 'True']",True
82,"['True', 'True', 'True']",True
119,"['True', 'True', 'True']",True
131,"['True', 'True', 'True']",True
135,"['True', 'True', 'True']",True
179,"['True', 'True', 'True']",True
181,"['True', 'True', 'True']",True
189,"['Abstain', 'Abstain', 'Abstain']",False
194,"['Abstain', 'Abstain', 'Abstain']",False
203,"['Abstain', 'Abstain', 'Abstain']",False
230,"['Abstain', 'Abstain', 'Abstain']",False
236,"['Abstain', 'Abstain', 'Abstain']",False
237,"['Abstain', 'Abstain', 'Abstain']",False
246,"['Abstain', 'Abstain', 'Abstain']",False
272,"['Abstain', 'Abstain', 'Abstain']",False
284,"['Abstain', 'Abstain', 'Abstain']",False
293,"['Abstain', 'Abstain', 'Abstain']",False
297,"['Abstain', 'Abstain', 'Abstain']",False
301,"['Abstain', 'Abstain', 'Abstain']",False
308,"['Abstain', 'Abstain', 'Abstain']",False
309,"['Abstain', 'Abstain', 'Abstain']",False
360,"['True', 'True', 'True']",True
365,"['True', 'True', 'True']",True
373,"['Abstain', 'True', 'Abstain']",True
379,"['True', 'True', 'True']",True
392,"['True', 'True', 'True']",True
406,"['Abstain', 'False', 'False']",False
426,"['Abstain', 'False', 'Abstain']",False
11115,"['False', 'False', 'False']",False
11125,"['False', 'False', 'False']",False
11127,"['False', 'False', 'False']",False
11129,"['False', 'False', 'False']",False
11164,"['False', 'False', 'False']",False
11293,"['Abstain', 'Abstain', 'Abstain']",True
11304,"['Abstain', 'Abstain', 'Abstain']",True
11343,"['Abstain', 'Abstain', 'Abstain']",True
