qid,correct,wrong,prediction,gt_label
20,0.75,0,"['nikolaj_lie_kaas', 'mads_mikkelsen', 'line_kruse']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['rob_epstein', 'hal_hartley', 'todd_field', 'jeffrey_friedman']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,1.0,0,"['1956', '1958']","['1956', '1958']"
80,1.0,0,"['fernando_meirelles', 'françois_girard', 'john_maybury']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9999999999999998,0,"['2011', '2003', '2002', '2005', '1999', '2006', '2008', '2009', '2004', '2001', '2007', '2000', '1986']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,1.0,0,"['horror', 'action', 'drama', 'comedy']","['Action', 'Drama', 'Horror', 'Comedy']"
140,0.02040816326530612,0,['mel_gibson'],"['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,0.08333333333333333,0,['ken_shapiro'],"['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1954', '1955']","['1955', '1954']"
200,0.9999999999999999,0,"['rebecca_de_mornay', 'jane_fonda', 'brigitte_bardot', 'alain_delon', 'terence_stamp', 'vincent_spano']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0.9999999999999999,0,"['thriller', 'drama', 'horror', 'action', 'adventure', 'crime']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,1.0,0,"['romance', 'mystery', 'thriller', 'drama', 'fantasy', 'action', 'comedy', 'horror', 'western', 'war', 'adventure', 'crime']","['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0.9999999999999998,0,"['peter_sellers', 'herbert_lom', 'burt_lancaster', 'susan_harrison', 'claudia_cardinale', 'alec_guinness', 'irma_p._hall', 'joan_greenwood', 'tom_hanks', 'marlon_wayans', 'cecil_parker', 'martin_milner', 'tony_curtis']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,1.0,0,['chris_rock'],['Chris Rock']
300,0.9999999999999998,0,"['georgina_reilly', 'hugh_dillon', 'greg_calderone', 'ellen_page', 'bernie_coulson', 'bruce_mcdonald', 'callum_keith_rennie']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,0.6666666666666666,0,"['maria_sole_tognazzi', 'silvio_soldini']","['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,0.9999999999999996,0,"['kelly_masterson', 'thomas_meehan', 'will_gluck', 'josephine_humphreys', 'malcolm_lowry', 'john_august', 'ronald_harwood', 'harold_gray', 'neville_smith', 'terence_rattigan', 'shane_connaughton', 'michael_crichton', 'guy_gallo', 'daniel_wallace', 'alan_sillitoe', 'peter_mayle', 'bo_goldman', 'carol_sobieski', 'michael_wadleigh', 'whitley_strieber', 'charles_dickens', 'frederic_raphael', 'leslie_bricusse']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0.9999999999999998,0,"['mystery', 'drama', 'music', 'comedy', 'biography', 'adventure', 'crime']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,0,0,Abstain,"['2010', '2004']"
400,0.9999999999999996,0,"['1999', '1994', '1991', '2007', '2000', '1986', '1985', '1987', '1982', '2006', '1983', '1984', '1996', '2004', '2011', '1992', '1997', '1977', '1971', '2009', '2002', '1989', '1953', '1973']","['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,0.75,0,"['2003', '2013', '1998', '1994', '2007', '2008', '2004', '2009', '2000']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,0.7647058823529412,0,"['2002', '1995', '1992', '1999', '1979', '2007', '1981', '2006', '1983', '1977', '1991', '2001', '2009']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,0.9999999999999999,0,"['alyson_hannigan', 'thomas_ian_nicholas', 'chris_klein', 'nicholas_hoult', 'jason_biggs', 'hugh_grant']","['Chris Klein', 'Hugh Grant', 'Nicholas Hoult', 'Jason Biggs', 'Alyson Hannigan', 'Thomas Ian Nicholas']"
480,0,0,Abstain,"['Action', 'Drama', 'Crime']"
