qid,prediction,gt_label
WebQTest-31,['Glasgow'],[None]
WebQTest-54,['Germany'],['Nazi Germany']
WebQTest-76,"['St. John the Baptist', 'Lucan portrait of Leonardo da Vinci', 'Drapery for a Seated Figure', 'The Virgin and Child with St. Anne', 'Ginevra de\' Benci', 'Portrait of a Musician', 'Portrait of a man in red chalk', 'Madonna of the Carnation', 'Head of a Woman', 'Portrait of a Young Fiancée', 'The Last Supper', 'Portrait of Isabella d\'Este', 'The Baptism of Christ', 'Annunciation', 'Madonna of Laroque', 'The Holy Infants Embracing', 'Virgin of the Rocks', 'Vitruvian Man', 'Lady with an Ermine', 'Bacchus', 'The Battle of Anghiari', 'Benois Madonna', 'St. Jerome in the Wilderness', 'Horse and Rider', 'Medusa', 'Leda and the Swan', 'La belle ferronnière', 'The Virgin and Child with St Anne and St John the Baptist', 'Mona Lisa', 'Madonna of the Yarnwinder', 'Madonna and Child with St Joseph', 'Salvator Mundi', 'Sala delle Asse', 'Adoration of the Magi', 'Leonardo\'s horse', 'Madonna Litta', 'Painting']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,"['Salamanca', 'Province of Salamanca', 'Spain']",['Salamanca']
WebQTest-150,['Spanish Language'],"['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Estonia', 'Lithuania', 'Latvia']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Rickenbacker 360/12', 'Fender Stratocaster']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Alternating current', 'Neon lamp', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Remote control', 'Induction motor']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003'],['2003–04 NBA season']
WebQTest-298,Error,"['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['Apollo 13', 'The Lost Symbol', 'The Dark Tower', 'Grand Theft Auto', 'Ransom', 'A Beautiful Mind', 'Inferno', 'EDtv', 'Gung Ho', 'The Da Vinci Code', 'Cinderella Man', 'The Missing', 'Parenthood', 'The Paper', 'The Dilemma', 'Cocoon', 'Far and Away', 'Rush', 'Cotton Candy', 'Frost/Nixon', 'Night Shift', 'Backdraft', 'Angels & Demons', 'Willow', 'Jay-Z: Made in America', 'In the Heart of the Sea', 'Presidential Reunion', 'Splash', ""Dr. Seuss' How the Grinch Stole Christmas""]","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
WebQTest-349,"['Chicago Bulls', 'Los Angeles Lakers', ""Duke Blue Devils men's basketball""]","['Cleveland Cavaliers', 'Utah Jazz']"
WebQTest-380,"['Washington', 'United States of America', 'North America', 'Cascade Range', 'Skamania County', '46.19120025634765625', '-122.19439697265625']","['North America', 'Washington', 'United States of America', 'Cascade Range', 'Skamania County']"
WebQTest-403,"['Arabic Language', 'Ladino Language', 'Kurdish languages', 'Turkish Language', 'Zaza language']","['Turkish Language', 'Zaza language', 'Ladino Language', 'Kurdish languages', 'Arabic Language']"
WebQTest-428,"['Nebraska', 'South Dakota', 'Kansas', 'Illinois', 'Missouri', 'Wisconsin', 'Ohio', 'Indiana', 'Iowa', 'North Dakota', 'Minnesota', 'Michigan']","['Avenue of the Saints', 'West North Central States', 'East North Central States', 'Iowa', 'Illinois', 'Indiana', 'Kansas', 'Michigan', 'Missouri', 'Minnesota', 'Nebraska', 'North Dakota', 'Ohio', 'South Dakota', 'Wisconsin', 'Council Grove']"
WebQTest-453,"['Bribri Language', 'Jamaican Creole English Language', 'Spanish Language', 'Limonese Creole']","['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']"
WebQTest-479,['Oklahoma Sooners football'],['University of Oklahoma']
WebQTest-509,"['Presidential system', 'Federal republic']","['Presidential system', 'Federal republic']"
WebQTest-532,"['Midfielder', 'Football']",['Football']
WebQTest-559,"['Piano', 'Violin']","['Piano', 'Violin']"
WebQTest-585,['England'],['England']
WebQTest-612,['Carolina Panthers'],['Carolina Panthers']
WebQTest-635,"['Kyle Broflovski', 'Eric Cartman', 'Principal Victoria', 'Chef', 'Token Black', 'Fosse McDonald', 'Stan Marsh', 'Kenny McCormick', 'Jimbo Kearn', 'Mr. Garrison', 'Ms. Cartman', 'Bebe Stevens', 'Sharon Marsh', 'Gerald and Sheila Broflovski', 'Butters Stotch']","['Kenny McCormick', 'Kyle Broflovski', 'Wizard of Oz', 'Terrance Henry Stoot', 'Gerald Broflovski', 'Bill Gates', 'Ethan Hawke', 'Chris', 'George Clooney', 'Danny Glover', 'Jimbo Kearn', 'Saddam Hussein', 'James Humphries', 'Former Columbine Student', 'Doug Remer', 'Hermaphrodite', 'Taper Guy', 'Kyle / Kenny / Jesus', 'Dave the Lighting Guy', 'Man toasting drinks at MCA outdoor bar', 'Ticket Taker']"
WebQTest-657,"['National Civil Rights Museum', 'Memphis']",['Memphis']
WebQTest-680,"['Argentina national football team', 'Club Atlético Independiente', 'Manchester City F.C.', 'Atlético Madrid']","['Manchester City F.C.', 'Argentina national football team', 'Club Atlético Independiente', 'Atlético Madrid']"
WebQTest-704,"['Thor Heyerdahl was a Norwegian ethnographer, adventurer, and filmmaker, best known for his Kon-Tiki expedition across the Pacific Ocean.']","['Film Producer', 'Adventurer', 'Film director', 'Ethnographer', 'Scientist', 'Cinematographer']"
WebQTest-728,Error,"['Nancy Pelosi', 'John Boehner']"
WebQTest-752,['Coca-Cola'],['Coca-Cola']
WebQTest-775,['Horrible Histories: Frightful First World War - The Exhibition'],"['Imperial War Museum North', 'Urbis', 'Old Trafford', 'Whitworth Art Gallery', 'Manchester Art Gallery', 'Manchester Museum', 'Manchester Jewish Museum', 'Great Manchester Run', 'Chinatown, Manchester', 'Manchester Cathedral', 'The Moon Under Water, Manchester', 'Wheel of Manchester', 'Albert Hall, Manchester']"
WebQTest-800,Error,['World War II']
WebQTest-830,"['Reading', 'Pennsylvania', 'United States of America']",['Reading']
WebQTest-857,Error,"['Georgia', 'Alabama']"
WebQTest-881,"['Even Money', 'Monster House', 'Underclassman', 'Bobby', 'Drumline', 'The Adventures of Brer Rabbit', 'American Son', 'Weapons', 'Chiraq', ""Love Don't Cost a Thing"", 'Men in Black II', 'The Killing Room', 'Roll Bounce', 'A Very School Gyrls Holla-Day', 'Whatever It Takes', ""Ball Don't Lie"", 'Garfield: The Movie', 'Day of the Dead', 'Goal II: Living the Dream', 'Shall We Dance?', 'Drumline: A New Beat']","['Chiraq', 'Garfield: The Movie', 'Even Money', 'American Son', 'Men in Black II', 'Shall We Dance?', ""Ball Don't Lie"", 'The Killing Room', 'Weapons', 'Underclassman', 'Roll Bounce', 'Monster House', 'Goal II: Living the Dream', 'Drumline', 'Bobby', ""Love Don't Cost a Thing"", 'Day of the Dead', 'Whatever It Takes', 'The Adventures of Brer Rabbit', 'A Very School Gyrls Holla-Day', 'Drumline: A New Beat']"
WebQTest-903,Error,"['Belgium', 'Bulgaria', 'Bosnia and Herzegovina', 'Northern Cyprus', 'Turkey', 'Germany', 'Kazakhstan', 'Republic of Kosovo', 'Netherlands', 'Norway', 'Syria', 'United Kingdom', 'United States of America', 'Iraq', 'Canada', 'Sweden', 'France', 'Algeria', 'Austria', 'Azerbaijan', 'Kyrgyzstan', 'Denmark']"
WebQTest-929,"['Frank O. McCord', 'John C. Lester', 'J. Calvin Jones', 'Richard R. Reed', 'John B. Kennedy', 'James R. Crowe']","['John C. Lester', 'John B. Kennedy', 'James R. Crowe', 'Frank O. McCord', 'Richard R. Reed', 'J. Calvin Jones']"
WebQTest-957,"['Sioux language', 'French', 'English Language']","['English Language', 'Sioux language', 'French']"
WebQTest-979,['Barbadian dollar'],['Barbadian dollar']
WebQTest-1002,"['Michael Gambon', 'Richard Harris']","['Richard Harris', 'Michael Gambon', 'Toby Regbo', 'Dane Farwell']"
WebQTest-1028,"['Nick Stahl', 'Michael Edwards', 'Dalton Abbott', 'Edward Furlong', 'Christian Bale']","['Christian Bale', 'Edward Furlong', 'Michael Edwards', 'Nick Stahl', 'Dalton Abbott']"
WebQTest-1050,['Meg Griffin'],['Meg Griffin']
WebQTest-1077,['Russian Language'],"['Osetin Language', 'Chechen Language', 'Tatar Language', 'Azerbaijani language', 'Abaza Language', 'Mari language', 'Bashkir Language', 'Avar Language', 'Aghul language', 'Tsakhur Language', 'Tuvin Language', 'Moksha Language', 'Erzya Language', 'Kalmyk-Oirat Language', 'Kabardian Language', 'Adyghe Language', 'Rutul language', 'Lezgi Language', 'Ingush Language', 'Altai language', 'Crimean Turkish Language', 'Nogai Language', 'Dargwa Language', 'Komi language', 'Udmurt Language', 'Kumyk Language', 'Karachay-Balkar Language', 'Buryat language', 'Yakut Language', 'Russian Language', 'Tabassaran Language', 'Yiddish Language', 'Lak Language', 'Khakas Language', 'Ukrainian Language']"
WebQTest-1099,['Brazil'],['Brazil national football team']
WebQTest-1121,"['United we stand, divided we fall']","['United we stand, divided we fall']"
WebQTest-1149,"['2009-04-23-08:00', '2010-07-10-08:00']",[None]
WebQTest-1177,['Chula Vista High School'],['Chula Vista High School']
WebQTest-1204,"['Four Corners', 'New Mexico']",['Four Corners']
WebQTest-1230,"['Christchurch Arts Centre', 'Cathedral Square, Christchurch', 'TranzAlpine', 'Air Force Museum of New Zealand', 'Willowbank Wildlife Reserve, Christchurch', 'Christchurch Botanic Gardens', 'International Antarctic Centre', 'Canterbury Museum, Christchurch', 'Lyttelton Timeball Station', 'Ferrymead Heritage Park']","['International Antarctic Centre', 'Ferrymead Heritage Park', 'Cathedral Square, Christchurch', 'Willowbank Wildlife Reserve, Christchurch', 'Christchurch Botanic Gardens', 'Christchurch Arts Centre', 'Air Force Museum of New Zealand', 'Canterbury Museum, Christchurch', 'TranzAlpine', 'Lyttelton Timeball Station']"
WebQTest-1252,['Miranda Otto'],['Miranda Otto']
WebQTest-1275,['Actor'],['Actor']
WebQTest-1300,"['Fulham', 'Craven Cottage']",['Fulham']
WebQTest-1323,"['Six Flags Over Georgia', 'Hyatt Regency Atlanta', 'Atlanta Marriott Marquis', 'Atlanta Jewish Film Festival', 'Fernbank Science Center', 'Georgia World Congress Center', 'Six Flags White Water', 'Georgia State Capitol', 'Philips Arena', 'Arbor Place Mall', 'Georgia Dome', 'Jimmy Carter Library and Museum', 'CNN Center', 'Zoo Atlanta', 'Fox Theatre', 'Cobb Energy Performing Arts Centre', 'Atlanta Cyclorama & Civil War Museum', 'World of Coca-Cola', 'Atlanta Symphony Orchestra', 'Turner Field', 'Variety Playhouse', 'Atlanta History Center', 'Underground Atlanta', 'Georgia Aquarium', 'Martin Luther King, Jr. National Historic Site', 'Margaret Mitchell House & Museum', 'Omni Coliseum', 'Four Seasons Hotel Atlanta', 'Fernbank Museum of Natural History', 'Masquerade', 'Atlanta Ballet', 'The Tabernacle', 'Peachtree Road Race', 'Woodruff Arts Center', 'Center for Puppetry Arts', 'Centennial Olympic Park']","['Atlanta Symphony Orchestra', 'Turner Field', 'Cobb Energy Performing Arts Centre', 'Four Seasons Hotel Atlanta', 'Underground Atlanta', 'Atlanta Marriott Marquis', 'Georgia World Congress Center', 'The Tabernacle', 'Peachtree Road Race', 'Georgia Aquarium', 'Georgia Dome', 'Philips Arena', 'Omni Coliseum', 'Hyatt Regency Atlanta', 'Centennial Olympic Park', 'Zoo Atlanta', 'Six Flags Over Georgia', 'Six Flags White Water', 'Atlanta Cyclorama & Civil War Museum', 'Georgia State Capitol', 'World of Coca-Cola', 'CNN Center', 'Fernbank Science Center', 'Fernbank Museum of Natural History', 'Fox Theatre', 'Woodruff Arts Center', 'Margaret Mitchell House & Museum', 'Martin Luther King, Jr. National Historic Site', 'Atlanta History Center', 'Variety Playhouse', 'Jimmy Carter Library and Museum', 'Masquerade', 'Arbor Place Mall', 'Atlanta Ballet', 'Center for Puppetry Arts', 'Atlanta Jewish Film Festival']"
WebQTest-1344,Error,['Missouri']
WebQTest-1370,['Paris'],['Paris']
WebQTest-1396,['Sebastian Shaw'],"['Sebastian Shaw', 'David Prowse', 'James Earl Jones']"
WebQTest-1426,"['Utrecht', 'Netherlands']",['Utrecht']
WebQTest-1455,['Brasília'],['Brasília']
WebQTest-1479,"['Dustin Johnson', 'Golfer', 'Golf']",['Golfer']
WebQTest-1503,['New York City'],['New York City']
WebQTest-1531,"['Africa', 'West Africa', '16.649999618530273438', '-8.0']",['Africa']
WebQTest-1555,"['National Assembly', 'House of Representatives']",[None]
WebQTest-1575,"['Google Nexus', 'Google Glass', 'Google Drive', 'Google Earth', 'Nexus One', 'Google Maps', 'Nexus S', 'Nexus 7', 'Nexus Q', 'Apache Wave', 'Chromecast', 'Nexus 10', 'Google Docs, Sheets, and Slides', 'Google Classroom']","['Google Classroom', 'Google Drive', 'Apache Wave', 'Google Earth', 'Google Buzz', 'Google Docs, Sheets, and Slides', 'Nexus S', 'Google Glass', 'Nexus 7', 'Nexus Q', 'Nexus 10', 'Google Maps', 'Chromecast']"
WebQTest-1603,"['Daozang', 'I Ching', 'Tao Te Ching']","['Zhuang Zhou', 'Tao Te Ching', 'I Ching', 'Daozang']"
WebQTest-1625,"['Ornithopter', 'Viola organista', 'Triple Barrel Canon', 'Armored car', 'Aerial Screw', '33-Barreled Organ', 'Diving suit', 'Double hull', 'Anemometer', 'Parachute']","['Anemometer', 'Diving suit', 'Ornithopter', 'Viola organista', 'Double hull', 'Parachute', 'Triple Barrel Canon', '33-Barreled Organ', 'Aerial Screw', 'Armored car']"
WebQTest-1649,['Theodor Geisel'],[None]
WebQTest-1671,Abstain,['Köping']
WebQTest-1695,['1945-04-12'],[None]
WebQTest-1721,['Spanish Language'],"['Aymara language', 'Omagua dialect', 'Spanish Language', 'Ayacucho Quechua', 'Puquina Language', 'Waorani Language']"
WebQTest-1742,"['Unitary state', 'Parliamentary system', 'Constitutional monarchy']","['Parliamentary system', 'Unitary state', 'Constitutional monarchy']"
WebQTest-1767,"['Martin Luther King, Jr. National Historic Site']","['Martin Luther King, Jr. National Historic Site']"
WebQTest-1791,"['1440', 'Johannes Gutenberg']",[None]
WebQTest-1812,['Barbados'],['Saint Michael Parish']
WebQTest-1839,['Central Time Zone'],['Central Time Zone']
WebQTest-1866,['New York'],['New York']
WebQTest-1889,['Al Gore'],['Al Gore']
WebQTest-1912,"['Pancreatic cancer', 'heart attack']","['Pancreatic cancer', 'heart attack']"
WebQTest-1937,"['date_of_birth: 1728-11-07', 'place_of_birth: Marton', 'profession: Sailor, Explorer', 'nationality: Kingdom of Great Britain, United Kingdom', 'date_of_death: 1779-02-14', 'place_of_death: Kealakekua Bay', 'education: Postgate School, Great Ayton', 'places_lived: North Yorkshire', 'award: Copley Medal', 'military_service: Royal Navy']","['Sailor', 'Explorer']"
WebQTest-1963,['Right guard'],['Right guard']
WebQTest-1990,['Nathan Lane'],['Nathan Lane']
WebQTest-2011,"['Nine Mile', 'Saint Ann Parish', 'Jamaica']",['Bob Marley Mausoleum']
