qid,prediction,gt_label
16,True,True
44,True,True
52,True,True
71,True,True
82,True,True
119,Abstain,True
131,True,True
135,True,True
179,True,True
181,Abstain,True
189,Abstain,False
194,Abstain,False
203,Abstain,False
230,True,False
236,False,False
237,false,False
246,False,False
272,Abstain,False
284,True,False
293,Abstain,False
297,false,False
301,True,False
308,True,False
309,True,False
360,True,True
365,True,True
373,True,True
379,True,True
392,True,True
406,False,False
426,Abstain,False
11115,False,False
11125,False,False
11127,False,False
11129,False,False
11164,False,False
11293,False,True
11304,Abstain,True
11343,Abstain,True
