qid,prediction,gt_label
1595,False,False
1607,Abstain,False
1631,Abstain,False
1640,False,False
1696,Abstain,False
1743,Abstain,False
1770,Abstain,False
1787,Abstain,False
1890,Abstain,False
1978,False,False
2094,Abstain,False
2134,Abstain,False
2184,False,False
2197,Abstain,False
2351,Abstain,False
2361,Abstain,False
2384,Abstain,False
2391,Abstain,False
2406,False,False
2414,False,False
2980,Abstain,False
3039,True,False
3110,Abstain,False
3127,Abstain,False
3145,Abstain,False
3219,Abstain,False
3351,Abstain,False
3386,Abstain,False
3392,Abstain,False
3452,Abstain,False
3461,Abstain,False
3504,Abstain,False
3564,Abstain,False
3566,Abstain,False
3578,Abstain,False
3619,Abstain,False
3625,False,False
3656,Abstain,False
3744,Abstain,False
3759,Abstain,False
3804,Abstain,False
3816,Abstain,False
3835,Abstain,False
3839,Abstain,False
3896,Abstain,False
3907,Abstain,False
8256,True,True
8268,Abstain,True
8271,False,True
8311,Abstain,True
8313,True,True
8353,False,True
8433,Abstain,True
8440,Abstain,True
8607,Abstain,True
8662,True,True
8725,Abstain,True
8740,True,True
8756,False,True
8763,True,True
8815,Abstain,True
8862,True,True
8988,True,True
9078,Abstain,True
9094,Abstain,True
9099,Abstain,True
9112,Abstain,True
9147,True,True
9161,Abstain,True
9299,True,True
9321,True,True
9388,True,True
9443,True,True
9476,Abstain,True
9498,Abstain,True
9583,True,True
9595,Abstain,True
9599,Abstain,True
9657,Abstain,True
9659,Abstain,True
9681,Abstain,True
9701,Abstain,True
9713,True,True
9799,True,True
9809,Abstain,True
9822,True,True
9848,Abstain,True
9900,Abstain,True
9909,True,True
9950,Abstain,True
9990,Abstain,True
10004,Abstain,True
10059,Abstain,True
10074,Abstain,True
10108,Abstain,True
11541,Abstain,False
11611,False,False
12029,Abstain,False
12046,True,False
12117,Abstain,True
