qid,prediction,gt_label
450,False,False
465,False,True
473,True,True
474,True,True
492,False,False
531,False,False
533,False,False
548,True,False
553,True,False
555,True,False
559,True,False
612,True,False
643,False,False
644,False,False
661,True,False
678,True,False
689,False,False
703,False,False
754,False,False
764,False,False
780,False,False
796,False,False
801,False,False
811,False,False
876,False,False
936,False,False
993,False,False
996,False,False
997,False,False
1016,False,False
1018,False,False
1043,False,False
1063,False,False
1066,False,False
1068,Abstain,False
1094,False,False
1097,False,False
1100,False,False
1127,False,False
1145,False,False
1151,False,False
1159,False,False
1193,False,False
1208,False,False
1233,False,False
1246,False,False
1281,False,False
1294,False,False
1324,False,False
1397,False,False
1484,False,False
1489,False,False
7070,True,True
7115,True,True
7189,True,True
7193,True,True
7200,False,True
7205,True,True
7206,False,True
7269,True,True
7302,True,True
7394,True,True
7417,False,True
7418,True,True
7438,True,True
7448,True,True
7467,True,True
7468,True,True
7481,False,True
7489,False,True
7517,True,True
7519,True,True
7520,True,True
7523,True,True
7591,True,True
7607,True,True
7631,True,True
7652,True,True
7659,False,True
7687,True,True
7827,True,True
7828,True,True
7845,True,True
7846,False,True
7847,False,True
7848,True,True
7924,True,True
7976,False,True
7980,True,True
8006,True,True
8056,True,True
8102,True,True
8128,True,True
8173,True,True
8188,False,True
8195,True,True
8205,True,True
8207,True,True
8240,False,True
12702,True,False
