qid,prediction,gt_label
450,Abstain,False
465,Abstain,True
473,False,True
474,Abstain,True
492,False,False
531,Abstain,False
533,Abstain,False
548,Abstain,False
553,Abstain,False
555,Abstain,False
559,Abstain,False
612,True,False
643,Abstain,False
644,True,False
661,Abstain,False
678,False,False
689,False,False
703,False,False
754,Abstain,False
764,False,False
780,Abstain,False
796,Abstain,False
801,Abstain,False
811,False,False
876,False,False
936,False,False
993,Abstain,False
996,Abstain,False
997,Abstain,False
1016,Abstain,False
1018,Abstain,False
1043,False,False
1063,Abstain,False
1066,Abstain,False
1068,Abstain,False
1094,False,False
1097,False,False
1100,False,False
1127,False,False
1145,Abstain,False
1151,Abstain,False
1159,False,False
1193,Abstain,False
1208,False,False
1233,False,False
1246,Abstain,False
1281,False,False
1294,Abstain,False
1324,Abstain,False
1397,Abstain,False
1484,Abstain,False
1489,Abstain,False
7070,True,True
7115,Abstain,True
7189,True,True
7193,Abstain,True
7200,True,True
7205,Abstain,True
7206,Abstain,True
7269,True,True
7302,True,True
7394,True,True
7417,Abstain,True
7418,Abstain,True
7438,Abstain,True
7448,True,True
7467,True,True
7468,True,True
7481,Abstain,True
7489,Abstain,True
7517,True,True
7519,True,True
7520,True,True
7523,Abstain,True
7591,True,True
7607,True,True
7631,Abstain,True
7652,True,True
7659,True,True
7687,True,True
7827,True,True
7828,True,True
7845,False,True
7846,False,True
7847,Abstain,True
7848,Abstain,True
7924,True,True
7976,Abstain,True
7980,True,True
8006,True,True
8056,True,True
8102,True,True
8128,True,True
8173,Abstain,True
8188,True,True
8195,True,True
8205,Abstain,True
8207,Abstain,True
8240,True,True
12702,Abstain,False
