qid,correct,wrong,prediction,gt_label
20,1.0,0,"['nikolaj_lie_kaas', 'ulrich_thomsen', 'mads_mikkelsen', 'line_kruse']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['rob_epstein', 'todd_field', 'hal_hartley', 'jeffrey_friedman']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,1.0,0,"['1956', '1958']","['1956', '1958']"
80,1.0,0,"['john_maybury', 'françois_girard', 'fernando_meirelles']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9999999999999998,0,"['2011', '2009', '2007', '2001', '1999', '2000', '2008', '1986', '2004', '2006', '2003', '2005', '2002']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,1.0,0,"['comedy', 'action', 'drama', 'horror']","['Action', 'Drama', 'Horror', 'Comedy']"
140,0,0.1020408163265306,Error,"['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,0.8333333333333334,0,"['stephen_kessler', 'peter_hewitt', 'john_landis', 'william_friedkin', 'stephen_herek', 'ken_shapiro', 'michael_ritchie', 'harold_ramis', 'colin_higgins', 'george_roy_hill']","['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1955', '1954']","['1955', '1954']"
200,0.9999999999999999,0,"['rebecca_de_mornay', 'jane_fonda', 'alain_delon', 'brigitte_bardot', 'vincent_spano', 'terence_stamp']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0.9999999999999999,0,"['thriller', 'action', 'crime', 'adventure', 'horror', 'drama']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,0,0.41666666666666663,Error,"['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0.9999999999999998,0,"['joan_greenwood', 'tony_curtis', 'herbert_lom', 'marlon_wayans', 'claudia_cardinale', 'cecil_parker', 'tom_hanks', 'burt_lancaster', 'martin_milner', 'peter_sellers', 'alec_guinness', 'susan_harrison', 'irma_p._hall']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,1.0,1.0,"['louis_c.k.', 'chris_rock']",['Chris Rock']
300,0.9999999999999998,0,"['hugh_dillon', 'bruce_mcdonald', 'ellen_page', 'georgina_reilly', 'greg_calderone', 'callum_keith_rennie', 'bernie_coulson']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,1.0,0,"['carlo_verdone', 'silvio_soldini', 'maria_sole_tognazzi']","['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,0.9565217391304344,0,"['charles_dickens', 'shane_connaughton', 'terence_rattigan', 'ronald_harwood', 'daniel_wallace', 'michael_crichton', 'neville_smith', 'bo_goldman', 'josephine_humphreys', 'malcolm_lowry', 'john_august', 'will_gluck', 'thomas_meehan', 'leslie_bricusse', 'alan_sillitoe', 'frederic_raphael', 'guy_gallo', 'carol_sobieski', 'harold_gray', 'whitley_strieber', 'michael_wadleigh', 'peter_mayle']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0.9999999999999998,0,"['music', 'drama', 'crime', 'mystery', 'biography', 'comedy', 'adventure']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,1.0,0,"['2010', '2004']","['2010', '2004']"
400,0,0.20833333333333331,Error,"['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,1.0,0,"['2007', '2008', '2003', '2000', '1994', '2009', '2006', '1955', '2004', '2013', '1998', '2001']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,1.0,0,"['2007', '1983', '1920', '1999', '1991', '1960', '1995', '1977', '1981', '2009', '2006', '1972', '1936', '2002', '2001', '1992', '1979']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,0.9999999999999999,0,"['jason_biggs', 'chris_klein', 'nicholas_hoult', 'hugh_grant', 'alyson_hannigan', 'thomas_ian_nicholas']","['Chris Klein', 'Hugh Grant', 'Nicholas Hoult', 'Jason Biggs', 'Alyson Hannigan', 'Thomas Ian Nicholas']"
480,1.0,0,"['action', 'drama', 'crime']","['Action', 'Drama', 'Crime']"
500,0.9999999999999998,0,"['richard_brooks', 'claude_stanush', 'pär_lagerkvist', 'thomas_t._flynn', 'robert_buckner', 'don_mankiewicz', 'david_dortort', 'sinclair_lewis', 'alf_sjöberg', 'baynard_kendrick', 'philip_yordan', 'frank_burt', 'horace_mccoy']","['Don Mankiewicz', 'Thomas T. Flynn', 'Horace McCoy', 'Baynard Kendrick', 'Philip Yordan', 'Sinclair Lewis', 'David Dortort', 'Robert Buckner', 'Frank Burt', 'Claude Stanush', 'Richard Brooks', 'Alf Sjöberg', 'Pär Lagerkvist']"
520,0.9999999999999998,0,"['lewis_milestone', 'elia_kazan', 'gary_sinise', 'victor_fleming', 'david_s._ward', 'emilio_fernández', 'john_ford']","['Elia Kazan', 'David S. Ward', 'Gary Sinise', 'Victor Fleming', 'Emilio Fernández', 'Lewis Milestone', 'John Ford']"
540,1.0,0,"['western', 'documentary', 'horror', 'action', 'comedy']","['Action', 'Horror', 'Comedy', 'Documentary', 'Western']"
560,1.0,0,"['meg_ryan', 'colm_feore', 'christopher_reeve', 'christian_slater', 'fred_macmurray', 'william_h._macy', 'billy_crudup', 'ned_beatty', 'michael_sheen', 'kim_cattrall', 'edward_kerr', 'keke_palmer', 'joan_crawford', 'david_morrissey', 'don_rickles', 'robert_loggia', 'selma_blair']","['William H. Macy', 'Christopher Reeve', 'Michael Sheen', 'Joan Crawford', 'Colm Feore', 'Ned Beatty', 'Robert Loggia', 'Don Rickles', 'Edward Kerr', 'Meg Ryan', 'Selma Blair', 'David Morrissey', 'Keke Palmer', 'Fred MacMurray', 'Kim Cattrall', 'Billy Crudup', 'Christian Slater']"
580,1.0,0,"['2010', '1993']","['1993', '2010']"
600,1.0,0,"['drama', 'crime', 'history', 'action', 'war']","['Drama', 'Action', 'Crime', 'War', 'History']"
620,1.0,0,['2002'],['2002']
640,1.0,0,"['drama', 'romance', 'horror', 'biography', 'comedy']","['Drama', 'Romance', 'Horror', 'Comedy', 'Biography']"
660,0.9999999999999999,0,"['christian_marquand', 'robert_altman', 'tony_richardson', 'joseph_mcgrath', 'neil_armfield', 'dennis_hopper']","['Tony Richardson', 'Robert Altman', 'Neil Armfield', 'Dennis Hopper', 'Joseph McGrath', 'Christian Marquand']"
680,1.0,0,"['drama', 'crime', 'action', 'comedy', 'thriller']","['Action', 'Drama', 'Comedy', 'Thriller', 'Crime']"
700,0,0,Abstain,"['1986', '1948', '1992', '1982', '1994', '1979', '1999', '1965', '1974', '1967', '1971', '2002', '1988', '2005', '1976', '2011', '2010', '2013']"
720,1.0,1.0,"['paolo_sorrentino', 'umberto_contarello']",['Paolo Sorrentino']
740,1.0,0,"['french', 'italian']","['French', 'Italian']"
760,0.9999999999999998,0,"['barry_strugatz', 'shelly_gitlow', 'fay_weldon', 'mark_r._burns', 'barbara_wilson', 'david_cramer', 'susan_seidelman']","['Susan Seidelman', 'Barbara Wilson', 'Barry Strugatz', 'Fay Weldon', 'David Cramer', 'Shelly Gitlow', 'Mark R. Burns']"
780,1.0000000000000002,0,"['david_gordon_green', 'gary_goldman', 'jon_amiel', 'john_dahl', 'steve_miner', 'harold_becker', 'roland_emmerich', 'david_lynch', 'jonathan_kaplan', 'kevin_macdonald', 'wim_wenders', 'edward_zwick', 'jon_turteltaub', 'doug_liman', 'mike_figgis', 'don_bluth', 'arie_posin', 'donald_petrie', 'mel_brooks', 'stephen_daldry', 'curtiss_clayton', 'wes_craven', 'jake_kasdan', 'steven_spielberg', 'carl_reiner']","['Wes Craven', 'Arie Posin', 'Steven Spielberg', 'Jon Turteltaub', 'Mike Figgis', 'Wim Wenders', 'John Dahl', 'Curtiss Clayton', 'David Lynch', 'Carl Reiner', 'Jonathan Kaplan', 'Steve Miner', 'Don Bluth', 'Edward Zwick', 'Donald Petrie', 'David Gordon Green', 'Kevin Macdonald', 'Doug Liman', 'Gary Goldman', 'Stephen Daldry', 'Roland Emmerich', 'Jake Kasdan', 'Mel Brooks', 'Harold Becker', 'Jon Amiel']"
800,1.0,0,['1968'],['1968']
820,0.9999999999999998,0,"['thriller', 'drama', 'mystery', 'horror', 'comedy', 'war', 'adventure']","['Mystery', 'Horror', 'Drama', 'Adventure', 'Comedy', 'War', 'Thriller']"
840,1.0,0,['dylan_thomas'],['Dylan Thomas']
860,0.9999999999999998,0,"[2010, 1989, 1958, 1992, 1993, 1994, 1997, 1999, 2002, 2006, 1978, 2013, 2014]","['1993', '1992', '1994', '1997', '1978', '1999', '1989', '2002', '2006', '2010', '2014', '1958', '2013']"
880,1.0,0,"['1980', '1970', '1977', '1978']","['1977', '1970', '1980', '1978']"
900,1.0,0,"['musical', 'mystery', 'western', 'horror', 'fantasy', 'comedy', 'animation', 'thriller']","['Mystery', 'Horror', 'Fantasy', 'Animation', 'Western', 'Comedy', 'Musical', 'Thriller']"
920,1.0,0,"['j._lee_thompson', 'george_marshall', 'john_guillermin']","['John Guillermin', 'George Marshall', 'J. Lee Thompson']"
940,1.0,0,"['2002', '1999']","['2002', '1999']"
960,1.0,0,"['sylvain_chomet', 'jacques_tati', 'neil_burger']","['Neil Burger', 'Sylvain Chomet', 'Jacques Tati']"
980,1.0,0,"['action', 'music', 'comedy', 'drama']","['Action', 'Drama', 'Comedy', 'Music']"
1000,1.0,0,"['1988', '2004', '2001', '1994']","['2001', '1988', '2004', '1994']"
1020,1.0,0,['french'],['French']
1040,0.9999999999999994,0,"['catherine_deneuve', 'wendell_corey', 'richard_attenborough', 'martine_carol', 'gene_wilder', 'cliff_robertson', 'james_stewart', 'kim_novak', 'denise_darcel', 'bette_davis', 'richard_jaeckel', 'eddie_albert', 'frank_sinatra', 'anita_ekberg', 'bruce_davison', 'rock_hudson', 'robert_strauss', 'gary_cooper', 'paul_winfield', 'ursula_andress', 'ida_lupino', 'ben_johnson', 'peter_falk', 'vicki_frederick', 'kirk_douglas', 'joan_crawford', 'dean_martin', 'burt_lancaster', 'jim_brown', 'charles_bronson', 'harrison_ford', 'peter_finch', 'cesar_romero', 'jack_palance', 'joseph_cotten', 'jeff_chandler', 'ralph_meeker', 'ernest_borgnine', 'dorothy_malone', 'burt_reynolds', 'jean_hagen', 'lee_marvin', 'laurene_landon', 'hardy_krüger']","['Cesar Romero', 'Jeff Chandler', 'Richard Jaeckel', 'Joan Crawford', 'Frank Sinatra', 'Ida Lupino', 'Gary Cooper', 'Burt Lancaster', 'Dean Martin', 'Ben Johnson', 'Jim Brown', 'Bruce Davison', 'Catherine Deneuve', 'Peter Falk', 'Dorothy Malone', 'Burt Reynolds', 'Kirk Douglas', 'Kim Novak', 'Hardy Krüger', 'Bette Davis', 'Anita Ekberg', 'Ernest Borgnine', 'Gene Wilder', 'Joseph Cotten', 'Lee Marvin', 'Cliff Robertson', 'Eddie Albert', 'Martine Carol', 'Rock Hudson', 'Jean Hagen', 'Charles Bronson', 'Robert Strauss', 'Paul Winfield', 'Peter Finch', 'Ralph Meeker', 'Vicki Frederick', 'Harrison Ford', 'Ursula Andress', 'Wendell Corey', 'Denise Darcel', 'James Stewart', 'Jack Palance', 'Laurene Landon', 'Richard Attenborough']"
1060,1.0,0,['persian'],['Persian']
1080,0.9999999999999998,0,"['music', 'drama', 'crime', 'horror', 'action', 'comedy', 'thriller']","['Horror', 'Crime', 'Drama', 'Music', 'Action', 'Comedy', 'Thriller']"
1100,1.0,0,"['action', 'comedy', 'crime', 'thriller']","['Action', 'Comedy', 'Thriller', 'Crime']"
1120,1.0,0,['dominik_moll'],['Dominik Moll']
1140,0.75,0,"['2007', '2003', '1996', '2005', '1995', '2001']","['1995', '1983', '1980', '1996', '2003', '2001', '2007', '2005']"
1160,1.0,0,"['jim_varney', 'iron_eyes_cody']","['Jim Varney', 'Iron Eyes Cody']"
1180,0.9999999999999998,0,"['charles_hoffman', 'margaret_kennedy', 'martin_vale', 'edith_kneipple_roberts', 'wilkie_collins', 'thomas_job', 'marjorie_carleton']","['Edith Kneipple Roberts', 'Thomas Job', 'Charles Hoffman', 'Martin Vale', 'Wilkie Collins', 'Margaret Kennedy', 'Marjorie Carleton']"
1200,0,0.25,['No actors found'],"['Tilda Swinton', 'Jane Fonda', 'Jason Robards', 'Vanessa Redgrave']"
1220,1.0,0,"['drama', 'war']","['Drama', 'War']"
1240,0.9999999999999998,0,"['2010', '2007', '1999', '1997', '2005', '2000', '2009', '2006', '2004', '2013', '2012', '2002', '2001']","['1997', '1999', '2002', '2000', '2001', '2006', '2007', '2004', '2005', '2009', '2010', '2013', '2012']"
1260,1.0,0,['japanese'],['Japanese']
1280,0.9999999999999997,0,"[1922, 1931, 1932, 1933, 1936, 1937, 1938, 1941, 1946, 1947, 1948, 1951, 1952, 1954, 1981, 1985, 1994, 1996, 1999, 2001, 2008, 2010]","['1922', '1948', '1985', '1981', '1941', '1946', '1947', '2010', '1933', '1932', '1931', '1951', '1936', '1954', '1952', '1938', '1994', '1996', '1999', '2001', '1937', '2008']"
1300,0,2.5,Error,"['Danish', 'Korean']"
1320,0,0,Abstain,"['1941', '1944', '1963']"
1340,0.9999999999999999,0,"['brown_holmes', 'moss_hart', 'edgar_allan_poe', 'booth_tarkington', 'george_s._kaufman', 'roland_kibbee', 'jack_mcgowan', 'rosalind_keating_shaffer', 'dashiell_hammett', 'harry_w._conn', 'devery_freeman', 'john_huston', 'maude_fulton', 'sid_silvers', 'john_d._klorer']","['John Huston', 'Harry W. Conn', 'Edgar Allan Poe', 'Dashiell Hammett', 'George S. Kaufman', 'Brown Holmes', 'Roland Kibbee', 'Moss Hart', 'Devery Freeman', 'Rosalind Keating Shaffer', 'Jack McGowan', 'John D. Klorer', 'Maude Fulton', 'Booth Tarkington', 'Sid Silvers']"
1360,0,0.2,"['vinnie_jones', 'danny_glover']","['Gregory Peck', 'Leo Genn', 'Richard Basehart', 'David Paymer', 'Crispin Glover', 'Catherine Deneuve', 'Guillaume Depardieu', 'Yekaterina Golubeva', 'Peter Ustinov', 'Robert Ryan']"
1380,1.0,0,['2011'],['2011']
1400,1.0,0,"['2007', '1999', '2003', '1990', '2005', '2000', '2011', '1995', '1996', '1975', '1974', '2013', '2002', '2001', '1993', '1973']","['1990', '1993', '1995', '1996', '1999', '1975', '1974', '1973', '2002', '2003', '2000', '2001', '2007', '2005', '2011', '2013']"
1420,1.0,0,"['robert_meyer_burnett', 'mark_a._altman']","['Mark A. Altman', 'Robert Meyer Burnett']"
1440,1.0000000000000002,0,"['desmond_davis', 'jay_roach', 'stanley_donen', 'martin_scorsese', 'clive_donner', 'marty_feldman', 'lech_majewski', 'harold_prince', 'steven_soderbergh', 'john_frankenheimer', 'don_taylor', 'richard_stanley', 'robert_zemeckis', 'robert_altman', 'alan_j._pakula', 'david_greene', 'michael_anderson', 'robert_marcarelli']","['Desmond Davis', 'Michael Anderson', 'Marty Feldman', 'Robert Altman', 'Robert Zemeckis', 'Harold Prince', 'Alan J. Pakula', 'Stanley Donen', 'Robert Marcarelli', 'Richard Stanley', 'Jay Roach', 'David Greene', 'Clive Donner', 'Don Taylor', 'Lech Majewski', 'John Frankenheimer', 'Steven Soderbergh', 'Martin Scorsese']"
1460,1.0,0,"['elfriede_jelinek', 'tom_gleisner', 'rob_sitch', 'michael_haneke', 'santo_cilauro']","['Elfriede Jelinek', 'Michael Haneke', 'Santo Cilauro', 'Tom Gleisner', 'Rob Sitch']"
1480,1.0,0,"['1978', '1960', '1961', '1972', '1979']","['1978', '1960', '1972', '1979', '1961']"
1500,0.9999999999999998,0,"['fritz_lang', 'elia_kazan', 'andrew_marton', 'george_seaton', 'luis_mandoki', 'clarence_brown', 'george_marshall', 'vincente_minnelli', 'henry_hathaway', 'mark_robson', 'robert_wise', 'george_cukor', 'john_gilling']","['Elia Kazan', 'Fritz Lang', 'Henry Hathaway', 'Luis Mandoki', 'George Seaton', 'Vincente Minnelli', 'Mark Robson', 'John Gilling', 'George Cukor', 'Andrew Marton', 'Clarence Brown', 'George Marshall', 'Robert Wise']"
1520,1.0,0,"['horror', 'comedy']","['Horror', 'Comedy']"
1540,1.0,0,"['drama', 'crime', 'romance', 'mystery', 'horror', 'action', 'comedy', 'thriller']","['Mystery', 'Drama', 'Horror', 'Crime', 'Romance', 'Action', 'Comedy', 'Thriller']"
1560,0.9999999999999998,0,"['music', 'drama', 'fantasy', 'action', 'comedy', 'war', 'adventure']","['Drama', 'Fantasy', 'Music', 'Adventure', 'Action', 'Comedy', 'War']"
1580,1.0,0,"['lee_van_cleef', 'jack_palance']","['Lee Van Cleef', 'Jack Palance']"
1600,1.0000000000000002,0,"['bette_midler', 'jill_clayburgh', 'meg_mazursky', 'woody_allen', 'marsha_mason', 'susan_sarandon', 'susan_anspach', 'kris_kristofferson', 'gena_rowlands', 'nick_nolte', 'robin_williams', 'art_carney', 'ellen_burstyn', 'alejandro_rey', 'george_segal', 'donald_sutherland', 'john_cassavetes', 'richard_dreyfuss', 'little_richard', 'cleavant_derricks']","['Robin Williams', 'Marsha Mason', 'Donald Sutherland', 'Alejandro Rey', 'Susan Sarandon', 'Meg Mazursky', 'Art Carney', 'John Cassavetes', 'George Segal', 'Ellen Burstyn', 'Jill Clayburgh', 'Woody Allen', 'Nick Nolte', 'Richard Dreyfuss', 'Bette Midler', 'Little Richard', 'Gena Rowlands', 'Cleavant Derricks', 'Kris Kristofferson', 'Susan Anspach']"
1620,1.0,0,"['drama', 'crime', 'mystery', 'comedy', 'thriller']","['Drama', 'Mystery', 'Comedy', 'Thriller', 'Crime']"
1640,1.0,0,"['drama', 'crime']","['Drama', 'Crime']"
1660,1.0,0,"['richard_price', 'irwin_winkler', 'gerald_kersh', 'jay_cocks']","['Irwin Winkler', 'Gerald Kersh', 'Jay Cocks', 'Richard Price']"
1680,1.0,0,"['drama', 'mystery', 'adventure', 'horror', 'action', 'comedy', 'war', 'thriller']","['Mystery', 'Horror', 'Drama', 'Adventure', 'Action', 'Comedy', 'War', 'Thriller']"
1700,1.0,0,"['nicolas_cage', 'ronnie_gene_blevins', 'susan_sarandon', 'tye_sheridan']","['Tye Sheridan', 'Nicolas Cage', 'Ronnie Gene Blevins', 'Susan Sarandon']"
1720,0.875,0,"['1950', '1946', '1933', '1937', '1929', '1932', '1931']","['1946', '1933', '1932', '1931', '1937', '1950', '2014', '1929']"
