qid,prediction,gt_label
WebQTest-31,Abstain,[None]
WebQTest-54,['Nazi Germany'],['Nazi Germany']
WebQTest-76,"['Madonna of the Yarnwinder', 'La belle ferronnière', 'Madonna of the Carnation', 'Medusa', 'Adoration of the Magi', 'St. Jerome in the Wilderness', 'St. John the Baptist', 'Benois Madonna', 'g.1239jd9p', 'Drapery for a Seated Figure', 'Leda and the Swan', 'g.121wt37c', 'Sala delle Asse', 'g.121yh91r', 'Bacchus', ""Leonardo's horse"", 'g.1224tf0c', 'Portrait of a man in red chalk', 'g.1213jb_b', 'Madonna Litta', 'Annunciation', 'g.12215rxg', 'Mona Lisa', 'Portrait of a Musician', 'Lucan portrait of Leonardo da Vinci', 'Lady with an Ermine', 'The Holy Infants Embracing', 'Portrait of a Young Fiancée', 'Horse and Rider', 'The Last Supper', ""Ginevra de' Benci"", 'g.1219sb0g', 'Virgin of the Rocks', 'g.120vt1gz', 'Salvator Mundi', 'Vitruvian Man', 'Madonna of Laroque', 'The Virgin and Child with St. Anne', ""Portrait of Isabella d'Este"", 'The Virgin and Child with St Anne and St John the Baptist', 'The Baptism of Christ', 'The Battle of Anghiari', 'Virgin of the Rocks', 'Head of a Woman', 'g.12314dm1', 'Madonna and Child with St Joseph'])","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,"['Lucumi Language', 'Spanish Language', 'Haitian Creole']","['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Lithuania', 'Estonia', 'Latvia']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Rickenbacker 360/12', 'Fender Stratocaster']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Alternating current', 'Three-phase electric power', 'Neon lamp', 'Induction motor', 'Remote control', 'Wireless telegraphy', 'Tesla coil']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003'],['2003–04 NBA season']
WebQTest-298,"['1966', '1983', '1970']","['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['Apollo 13', 'The Da Vinci Code', 'The Missing', 'Angels & Demons', 'Ransom', 'Cinderella Man', 'Gung Ho', 'Backdraft', 'Cocoon', 'Rush', 'Presidential Reunion', 'Parenthood', 'The Lost Symbol', 'Far and Away', 'Cotton Candy', 'Night Shift', 'A Beautiful Mind', 'Inferno', ""Dr. Seuss' How the Grinch Stole Christmas"", 'The Dilemma', 'EDtv', 'Frost/Nixon', 'The Dark Tower', 'Grand Theft Auto', 'In the Heart of the Sea', 'The Paper', 'Jay-Z: Made in America', 'Splash', 'Willow'])","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
WebQTest-349,"['Duke Blue Devils men's basketball', 'Los Angeles Lakers', 'Chicago Bulls']","['Cleveland Cavaliers', 'Utah Jazz']"
WebQTest-380,"['North America', 'Washington', 'Skamania County', 'United States of America', 'Cascade Range']","['North America', 'Washington', 'United States of America', 'Cascade Range', 'Skamania County']"
WebQTest-403,"['Kurdish languages', 'Ladino Language', 'Turkish Language', 'Arabic Language', 'Zaza language']","['Turkish Language', 'Zaza language', 'Ladino Language', 'Kurdish languages', 'Arabic Language']"
WebQTest-428,"['Illinois', 'Wisconsin', 'Iowa', 'Minnesota', 'Nebraska', 'Indiana', 'Michigan', 'Missouri', 'South Dakota', 'Kansas', 'Ohio', 'North Dakota']","['Avenue of the Saints', 'West North Central States', 'East North Central States', 'Iowa', 'Illinois', 'Indiana', 'Kansas', 'Michigan', 'Missouri', 'Minnesota', 'Nebraska', 'North Dakota', 'Ohio', 'South Dakota', 'Wisconsin', 'Council Grove']"
WebQTest-453,"['Jamaican Creole English Language', 'Spanish Language', 'Limonese Creole', 'Bribri Language']","['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']"
WebQTest-479,['Oklahoma Sooners football'],['University of Oklahoma']
WebQTest-509,"['Federal republic', 'Presidential system']","['Presidential system', 'Federal republic']"
WebQTest-532,['Football'],['Football']
WebQTest-559,"['Piano', 'Violin']","['Piano', 'Violin']"
WebQTest-585,['England'],['England']
WebQTest-612,['Carolina Panthers'],['Carolina Panthers']
WebQTest-635,"['James Humphries', 'Terrance']","['Kenny McCormick', 'Kyle Broflovski', 'Wizard of Oz', 'Terrance Henry Stoot', 'Gerald Broflovski', 'Bill Gates', 'Ethan Hawke', 'Chris', 'George Clooney', 'Danny Glover', 'Jimbo Kearn', 'Saddam Hussein', 'James Humphries', 'Former Columbine Student', 'Doug Remer', 'Hermaphrodite', 'Taper Guy', 'Kyle / Kenny / Jesus', 'Dave the Lighting Guy', 'Man toasting drinks at MCA outdoor bar', 'Ticket Taker']"
WebQTest-657,['Lorraine Motel'],['Memphis']
WebQTest-680,"['Manchester City F.C.', 'Club Atlético Independiente', 'Argentina national football team', 'Atlético Madrid']","['Manchester City F.C.', 'Argentina national football team', 'Club Atlético Independiente', 'Atlético Madrid']"
WebQTest-704,"['Film Producer', 'Adventurer', 'Scientist', 'Ethnographer', 'Cinematographer', 'Film Director']","['Film Producer', 'Adventurer', 'Film director', 'Ethnographer', 'Scientist', 'Cinematographer']"
WebQTest-728,Error,"['Nancy Pelosi', 'John Boehner']"
WebQTest-752,['Coca-Cola'],['Coca-Cola']
WebQTest-775,"['The Moon Under Water, Manchester', 'Manchester Museum', 'Great Manchester Run', 'Manchester Jewish Museum', 'Whitworth Art Gallery', 'Imperial War Museum North', 'Chinatown, Manchester', 'Manchester Art Gallery', 'Manchester Cathedral', 'Albert Hall, Manchester', 'Old Trafford', 'Urbis', 'Wheel of Manchester']","['Imperial War Museum North', 'Urbis', 'Old Trafford', 'Whitworth Art Gallery', 'Manchester Art Gallery', 'Manchester Museum', 'Manchester Jewish Museum', 'Great Manchester Run', 'Chinatown, Manchester', 'Manchester Cathedral', 'The Moon Under Water, Manchester', 'Wheel of Manchester', 'Albert Hall, Manchester']"
WebQTest-800,Error,['World War II']
WebQTest-830,['Reading'],['Reading']
WebQTest-857,"['Alabama', 'Georgia']","['Georgia', 'Alabama']"
WebQTest-881,"['A Very School Gyrls Holla-Day', 'Monster House', 'Goal II: Living the Dream', 'Drumline: A New Beat', 'Day of the Dead', 'Shall We Dance?', ""Love Don't Cost a Thing"", 'The Killing Room', 'Roll Bounce', 'Drumline', 'Chiraq', 'The Adventures of Brer Rabbit', 'Bobby', 'Even Money', 'American Son', 'Whatever It Takes', 'Underclassman', 'Garfield: The Movie', ""Ball Don't Lie"", 'Men in Black II', 'Weapons']","['Chiraq', 'Garfield: The Movie', 'Even Money', 'American Son', 'Men in Black II', 'Shall We Dance?', ""Ball Don't Lie"", 'The Killing Room', 'Weapons', 'Underclassman', 'Roll Bounce', 'Monster House', 'Goal II: Living the Dream', 'Drumline', 'Bobby', ""Love Don't Cost a Thing"", 'Day of the Dead', 'Whatever It Takes', 'The Adventures of Brer Rabbit', 'A Very School Gyrls Holla-Day', 'Drumline: A New Beat']"
WebQTest-903,Error,"['Belgium', 'Bulgaria', 'Bosnia and Herzegovina', 'Northern Cyprus', 'Turkey', 'Germany', 'Kazakhstan', 'Republic of Kosovo', 'Netherlands', 'Norway', 'Syria', 'United Kingdom', 'United States of America', 'Iraq', 'Canada', 'Sweden', 'France', 'Algeria', 'Austria', 'Azerbaijan', 'Kyrgyzstan', 'Denmark']"
WebQTest-929,"['Richard R. Reed', 'John B. Kennedy', 'Frank O. McCord', 'John C. Lester', 'James R. Crowe', 'J. Calvin Jones']","['John C. Lester', 'John B. Kennedy', 'James R. Crowe', 'Frank O. McCord', 'Richard R. Reed', 'J. Calvin Jones']"
WebQTest-957,"['Sioux language', 'English Language', 'French']","['English Language', 'Sioux language', 'French']"
WebQTest-979,['Barbadian dollar'],['Barbadian dollar']
WebQTest-1002,Error,"['Richard Harris', 'Michael Gambon', 'Toby Regbo', 'Dane Farwell']"
WebQTest-1028,"['Nick Stahl', 'Christian Bale', 'Edward Furlong', 'Dalton Abbott', 'Michael Edwards']","['Christian Bale', 'Edward Furlong', 'Michael Edwards', 'Nick Stahl', 'Dalton Abbott']"
WebQTest-1050,Error,['Meg Griffin']
WebQTest-1077,['Russian Language'],"['Osetin Language', 'Chechen Language', 'Tatar Language', 'Azerbaijani language', 'Abaza Language', 'Mari language', 'Bashkir Language', 'Avar Language', 'Aghul language', 'Tsakhur Language', 'Tuvin Language', 'Moksha Language', 'Erzya Language', 'Kalmyk-Oirat Language', 'Kabardian Language', 'Adyghe Language', 'Rutul language', 'Lezgi Language', 'Ingush Language', 'Altai language', 'Crimean Turkish Language', 'Nogai Language', 'Dargwa Language', 'Komi language', 'Udmurt Language', 'Kumyk Language', 'Karachay-Balkar Language', 'Buryat language', 'Yakut Language', 'Russian Language', 'Tabassaran Language', 'Yiddish Language', 'Lak Language', 'Khakas Language', 'Ukrainian Language']"
WebQTest-1099,['Brazil'],['Brazil national football team']
WebQTest-1121,Error,"['United we stand, divided we fall']"
WebQTest-1149,"['2010-07-10', '2009-04-23']",[None]
WebQTest-1177,['Chula Vista High School'],['Chula Vista High School']
WebQTest-1204,['Four Corners'],['Four Corners']
WebQTest-1230,"['Christchurch Arts Centre', 'Canterbury Museum, Christchurch', 'Cathedral Square, Christchurch', 'International Antarctic Centre', 'Ferrymead Heritage Park', 'TranzAlpine', 'Christchurch Botanic Gardens', 'Willowbank Wildlife Reserve, Christchurch', 'Lyttelton Timeball Station', 'Air Force Museum of New Zealand']","['International Antarctic Centre', 'Ferrymead Heritage Park', 'Cathedral Square, Christchurch', 'Willowbank Wildlife Reserve, Christchurch', 'Christchurch Botanic Gardens', 'Christchurch Arts Centre', 'Air Force Museum of New Zealand', 'Canterbury Museum, Christchurch', 'TranzAlpine', 'Lyttelton Timeball Station']"
WebQTest-1252,Error,['Miranda Otto']
WebQTest-1275,['Actor'],['Actor']
WebQTest-1300,['London'],['Fulham']
WebQTest-1323,"['Georgia Aquarium', 'CNN Center', 'Atlanta Jewish Film Festival', 'Centennial Olympic Park', 'Atlanta Cyclorama & Civil War Museum', 'Peachtree Road Race', 'Philips Arena', 'Underground Atlanta', 'World of Coca-Cola', 'Atlanta Symphony Orchestra', 'Zoo Atlanta', 'The Tabernacle', 'Atlanta History Center', 'Cobb Energy Performing Arts Centre', 'Atlanta Marriott Marquis', 'Fernbank Museum of Natural History', 'Atlanta Ballet', 'Margaret Mitchell House & Museum', 'Martin Luther King, Jr. National Historic Site', 'Georgia State Capitol', 'Turner Field', 'Center for Puppetry Arts', 'Arbor Place Mall', 'Fox Theatre', 'Masquerade', 'Woodruff Arts Center', 'Six Flags Over Georgia', 'Six Flags White Water', 'Fernbank Science Center', 'Jimmy Carter Library and Museum', 'Georgia Dome', 'Hyatt Regency Atlanta', 'Variety Playhouse', 'Omni Coliseum', 'Georgia World Congress Center']","['Atlanta Symphony Orchestra', 'Turner Field', 'Cobb Energy Performing Arts Centre', 'Four Seasons Hotel Atlanta', 'Underground Atlanta', 'Atlanta Marriott Marquis', 'Georgia World Congress Center', 'The Tabernacle', 'Peachtree Road Race', 'Georgia Aquarium', 'Georgia Dome', 'Philips Arena', 'Omni Coliseum', 'Hyatt Regency Atlanta', 'Centennial Olympic Park', 'Zoo Atlanta', 'Six Flags Over Georgia', 'Six Flags White Water', 'Atlanta Cyclorama & Civil War Museum', 'Georgia State Capitol', 'World of Coca-Cola', 'CNN Center', 'Fernbank Science Center', 'Fernbank Museum of Natural History', 'Fox Theatre', 'Woodruff Arts Center', 'Margaret Mitchell House & Museum', 'Martin Luther King, Jr. National Historic Site', 'Atlanta History Center', 'Variety Playhouse', 'Jimmy Carter Library and Museum', 'Masquerade', 'Arbor Place Mall', 'Atlanta Ballet', 'Center for Puppetry Arts', 'Atlanta Jewish Film Festival']"
WebQTest-1344,Error,['Missouri']
WebQTest-1370,['Paris'],['Paris']
WebQTest-1396,Error,"['Sebastian Shaw', 'David Prowse', 'James Earl Jones']"
WebQTest-1426,['Utrecht'],['Utrecht']
WebQTest-1455,['Brasília'],['Brasília']
WebQTest-1479,['Golfer'],['Golfer']
WebQTest-1503,['New York City'],['New York City']
WebQTest-1531,['Africa'],['Africa']
WebQTest-1555,Abstain,[None]
WebQTest-1575,Error,"['Google Classroom', 'Google Drive', 'Apache Wave', 'Google Earth', 'Google Buzz', 'Google Docs, Sheets, and Slides', 'Nexus S', 'Google Glass', 'Nexus 7', 'Nexus Q', 'Nexus 10', 'Google Maps', 'Chromecast']"
WebQTest-1603,"['Tao Te Ching', 'I Ching', 'Zhuang Zhou', 'Daozang']","['Zhuang Zhou', 'Tao Te Ching', 'I Ching', 'Daozang']"
WebQTest-1625,"['Aerial Screw', 'Parachute', 'Armored car', 'Ornithopter', 'Diving suit', 'Anemometer', 'Double hull', 'Viola organista', 'Triple Barrel Canon', '33-Barreled Organ']","['Anemometer', 'Diving suit', 'Ornithopter', 'Viola organista', 'Double hull', 'Parachute', 'Triple Barrel Canon', '33-Barreled Organ', 'Aerial Screw', 'Armored car']"
WebQTest-1649,Abstain,[None]
