qid,placeholder,placeholder,pred,label
20,,,Abstain,"['mads_mikkelsen', 'ulrich_thomsen', 'line_kruse', 'nikolaj_lie_kaas']"
40,,,['hal_hartley'],"['jeffrey_friedman', 'rob_epstein', 'todd_field', 'hal_hartley']"
60,,,"['1956', '1958']","['1956', '1958']"
80,,,"['fernando_meirelles', 'françois_girard', 'john_maybury']","['john_maybury', 'françois_girard', 'fernando_meirelles']"
100,,,"['2005', '2011', '2007', '2001', '1986', '2002', '2003', '2000', '2008', '2009', '2004', '2006', '1999']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,,,"['action', 'drama', 'horror', 'comedy']","['action', 'drama', 'horror', 'comedy']"
140,,,['mel_gibson'],"['michael_almereyda', 'adrian_grunberg', 'roland_emmerich', 'gillies_mackinnon', 'george_ogilvie', 'peter_weir', 'john_badham', 'tim_burstall', 'sean_penn', 'wim_wenders', 'richard_donner', 'roger_spottiswoode', 'dean_semler', 'barry_levinson', 'jodie_foster', 'mark_rydell', 'jean_renoir', 'm._night_shyamalan', 'nick_cassavetes', 'brian_helgeland', 'tony_richardson', 'nick_park', 'luis_mandoki', 'steve_miner', 'robert_zemeckis', 'gillian_armstrong', 'franco_zeffirelli', 'laurence_olivier', 'ron_howard', 'john_gielgud', 'pen_densham', 'anthony_minghella', 'peter_lord', 'nancy_meyers', 'lewis_milestone', 'randall_wallace', 'robert_rodriguez', 'robert_towne', 'jarmo_lampela', 'martin_campbell', 'george_miller', 'jeff_stanzler', 'graham_baker', 'robert_redford', 'mel_gibson', 'grigori_kozintsev', 'roger_donaldson', 'kenneth_branagh', 'phil_joanou']"
160,,,Abstain,"['jay_sandrich', 'peter_hewitt', 'michael_ritchie', 'john_landis', 'william_friedkin', 'stephen_herek', 'ken_shapiro', 'harold_ramis', 'george_roy_hill', 'stephen_kessler', 'john_carpenter', 'colin_higgins']"
180,,,Abstain,"['1955', '1954']"
200,,,"['jane_fonda', 'rebecca_de_mornay', 'brigitte_bardot', 'vincent_spano', 'alain_delon', 'terence_stamp']","['brigitte_bardot', 'jane_fonda', 'vincent_spano', 'terence_stamp', 'rebecca_de_mornay', 'alain_delon']"
220,,,"['drama', 'thriller', 'crime']","['horror', 'crime', 'drama', 'adventure', 'action', 'thriller']"
240,,,"['adventure', 'crime', 'romance', 'war', 'thriller', 'drama', 'mystery', 'comedy']","['mystery', 'romance', 'horror', 'crime', 'drama', 'fantasy', 'western', 'action', 'comedy', 'war', 'thriller', 'adventure']"
260,,,Abstain,"['marlon_wayans', 'herbert_lom', 'joan_greenwood', 'cecil_parker', 'tom_hanks', 'claudia_cardinale', 'susan_harrison', 'irma_p._hall', 'burt_lancaster', 'peter_sellers', 'alec_guinness', 'tony_curtis', 'martin_milner']"
280,,,['chris_rock'],['chris_rock']
300,,,"['hugh_dillon', 'bruce_mcdonald', 'callum_keith_rennie', 'bernie_coulson', 'greg_calderone', 'ellen_page', 'georgina_reilly']","['ellen_page', 'bernie_coulson', 'bruce_mcdonald', 'greg_calderone', 'callum_keith_rennie', 'hugh_dillon', 'georgina_reilly']"
320,,,"['silvio_soldini', 'maria_sole_tognazzi']","['maria_sole_tognazzi', 'silvio_soldini', 'carlo_verdone']"
340,,,"['bo_goldman', 'malcolm_lowry', 'josephine_humphreys', 'terence_rattigan', 'charles_dickens', 'guy_gallo', 'daniel_wallace', 'carol_sobieski', 'peter_mayle', 'alan_sillitoe', 'harold_gray', 'thomas_meehan', 'michael_crichton', 'john_august', 'will_gluck', 'frederic_raphael', 'neville_smith', 'whitley_strieber', 'kelly_masterson', 'leslie_bricusse', 'michael_wadleigh', 'ronald_harwood', 'shane_connaughton']","['leslie_bricusse', 'neville_smith', 'will_gluck', 'whitley_strieber', 'michael_wadleigh', 'shane_connaughton', 'thomas_meehan', 'kelly_masterson', 'malcolm_lowry', 'guy_gallo', 'josephine_humphreys', 'ronald_harwood', 'terence_rattigan', 'carol_sobieski', 'john_august', 'harold_gray', 'peter_mayle', 'alan_sillitoe', 'michael_crichton', 'bo_goldman', 'charles_dickens', 'frederic_raphael', 'daniel_wallace']"
360,,,"['biography', 'adventure', 'drama', 'mystery', 'comedy']","['mystery', 'crime', 'drama', 'music', 'adventure', 'comedy', 'biography']"
380,,,Abstain,"['2010', '2004']"
400,,,"['2007', '1973', '1987', '1997', '1986', '1983', '2009', '2004', '1996', '1977', '2006', '2011', '1991', '2002', '1982', '1985', '1984', '1992', '2000', '1989', '1994']","['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,,,"['2007', '2003', '1998', '2000', '2008', '2009', '2004', '2013', '1994']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,,,"['2007', '2001', '1991', '2002', '1977']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,,,Abstain,"['chris_klein', 'hugh_grant', 'nicholas_hoult', 'jason_biggs', 'alyson_hannigan', 'thomas_ian_nicholas']"
480,,,Abstain,"['action', 'drama', 'crime']"
