0,'Helen Clark',['Helen Clark']
20,"'ACF Fiorentina', 'Juventus F.C.', 'A.C. Milan'",['ACF Fiorentina']
40,"'Unione Sportiva Lecce', 'FC Inter Milan', 'ACF Fiorentina', 'Como 1907'",['Como 1907']
60,"'Thomas C. Sawyer', 'Bob Latta', 'John Boccieri', 'Steve Driehaus', 'Jim Jordan', 'Charlie Wilson', 'Bob Gibbs'","['Bob Ney', 'Thomas C. Sawyer']"
80,'Wulf Goette',['Wulf Goette']
100,"'Leonard B. Jordan', 'Cecil D. Andrus', 'Phil Batt', 'Dirk Kempthorne', 'Jim Risch'",['Leonard B. Jordan']
120,'David Valadao',"['Julia Brownley', 'Steve Knight', 'Paul Cook', 'Jared Huffman', 'David Valadao', 'Mike Davis', 'Norma Torres']"
140,"'Peter Temple-Morris, Baron Temple-Morris', 'Raymond Gower', 'Charles Fletcher-Cooke', 'Daniel Awdry', 'Bruce Douglas-Mann', 'Hélène Hayman', 'Denis Howell, Baron Howell', 'Donald Coleman', 'Nigel Lawson', 'Russell Fairgrieve', 'Robert Woof', 'Michael Marshall', 'Kenneth Clarke', 'Alick Buchanan-Smith', 'Andrew Faulds', 'Samuel Silkin, Baron Silkin of Dulwich', 'Eric Heffer', 'Roy Hattersley', 'Peter Snape, Baron Snape', 'Harold Wilson', 'Margaret Thatcher', 'Bruce George', 'John Mendelson', 'John Nott', 'Willie Whitelaw', 'Maurice Miller', 'James Dempsey', 'Alex Lyon', 'James Prior, Baron Prior', 'Martin Flannery', 'John Pardoe', 'Roy Hughes, Baron Islwyn', 'Edward Brown', 'Jack Dunnett', 'Jim Sillars', 'Robert Bradford', 'James Molyneaux, Baron Molyneaux of Killead', 'Michael Cocks', 'Anthony Grant', 'Robert Hughes, Baron Hughes of Woodside', 'William Rodgers', 'Arthur Bottomley', 'William Benyon', 'John Michael Gorst', 'Donald Stewart', 'Giles Shaw', 'Peter Fry', 'Hugh Fraser', 'Evelyn King', 'Richard Wood, Baron Holderness', 'Jeremy Bray', 'Tom Bradley', 'Gavin Strang', 'Walter Padley', 'John Smith', 'David James', 'Norman Fowler', 'Ian Lloyd', 'Eric Ogden', 'Brian Walden', 'Fred Mulley', 'Oscar Murton, Baron Murton of Lindisfarne', 'Michael Hamilton', 'John Moore, Baron Moore of Lower Marsh', 'Nicholas Edwards, Baron Crickhowell', 'Adam Hunter', 'Denzil Davies', 'Ian Mikardo', 'Robin Maxwell-Hyslop', 'Michael Alison', 'Michael Shaw', 'William van Straubenzee', 'Bernard Conlan', 'Robert Hicks', 'Brynmor John', 'Stan Newens', 'Anthony Kershaw', 'William Molloy, Baron Molloy', 'Edward du Cann', 'Maurice Edelman', 'Alexander MacPherson Fletcher', 'Doug Hoyle, Baron Hoyle', 'Lewis Carter-Jones', 'Sir John Gilmour, 3rd Baronet', 'Edwin Wainwright', 'Ray Mawby', 'Ian Paisley', 'James Spicer', 'Dan Jones', 'Don Concannon', 'Winston Spencer-Churchill', 'Robert Cant', 'John Spence', 'Patrick McNair-Wilson', 'Tim Rathbone', 'Peter Doig', 'Geoffrey Johnson Smith', 'Cranley Onslow', 'Norman Buchan', 'Andrew Welsh', 'Peter Rees, Baron Rees', 'Harold Walker, Baron Walker of Doncaster', 'Morgan Morgan-Giles', 'Peter Thomas, Baron Thomas of Gwydir', 'John Horam', 'Tony Benn', 'John Parker', 'Robert McCrindle', 'Kevin McNamara', 'Robert Edwards', 'John Stonehouse', 'Andrew Bowden', 'Evan Luard', 'Fred Silvester', 'James Wellbeloved', 'John Davies', 'Graham Page', 'Michael Havers, Baron Havers', 'Robert Sheldon, Baron Sheldon', 'Marcus Kimball, Baron Kimball', 'Bryan Gould', 'David Watkins', 'Joel Barnett, Baron Barnett', 'Ernest Armstrong', 'Nicholas Ridley, Baron Ridley of Liddesdale', 'Richard Body', 'David Lane', 'Edward Short, Baron Glenamara', 'Jonathan Aitken', 'John Robertson', 'Arthur Latham', 'Keith Hampson', 'John Hannam', 'Jeffrey Thomas', 'Gwilym Roberts', 'Alan Beith', 'James Callaghan', 'John Hall', 'Geoffrey Pattie', 'Leon Brittan', 'Peter Blaker, Baron Blaker', 'Joyce Butler', 'Bernard Braine', 'Cledwyn Hughes, Baron Cledwyn of Penrhos', 'George Reid', 'Neville Trotter', 'Gerald Kaufman', 'Peter Shore', 'Eric Varley', 'David Knox', 'Airey Neave', 'Geoffrey Robinson', 'Richard Page', 'John Wakeham, Baron Wakeham', 'Hugh Dykes, Baron Dykes', 'Syd Bidwell', 'John Hunt', 'Bob Cryer', 'Robert Banks', 'George Thomas, 1st Viscount Tonypandy', 'Tom Arnold', 'David Steel', 'Nicholas Winterton', 'Julius Silverman', 'Anthony Steen', 'George Robertson, Baron Robertson of Port Ellen', 'Colin Shepherd', 'Ioan Evans', 'Roger Sims', 'Harold Lever, Baron Lever of Manchester', 'John Osborn', 'Patrick Cormack, Baron Cormack', 'Norman Miscampbell', 'Ronald Lewis', 'William Whitlock', 'Allen McKay', 'Nigel Fisher', 'Frank Tomney', 'Stan Thorne', 'Brandon Rhys-Williams', 'Thomas Swain', 'Geoffrey Lofthouse, Baron Lofthouse of Pontefract', 'David Howell, Baron Howell of Guildford', 'Timothy Raison', 'Eric Moonman', 'Roger Moate', 'Lena Jeger, Baroness Jeger', 'Tam Dalyell', 'Roy Jenkins', 'John Page', 'Ted Garrett', 'Victor Goodhew', 'Renee Short', 'Bruce Grocott, Baron Grocott', 'William Hamling', 'Kenneth Lomas', 'Gerry Fitt', 'Stephen Hastings', 'Bill Shelton', 'Edmund Dell', 'Bruce Millan', 'Tony Newton, Baron Newton of Braintree', 'Eric Deakins', 'John Morris, Baron Morris of Aberavon', 'Bob Mellish, Baron Mellish', 'Albert Booth', 'Godman Irvine', 'Roger Stott', 'Tom Ellis', 'Alfred Evans', 'Jo Grimond', 'Reg Prentice, Baron Prentice', 'Peter Archer, Baron Archer of Sandwell', 'Edward Heath', 'Thomas McMillan', 'Ben Ford', 'Arthur Irvine', 'Edward Fletcher', 'Paul Bryan', 'Tom Cox', 'David Renton, Baron Renton', 'Sir John Rodgers, 1st Baronet', 'David Mudd', 'Elaine Kellett-Bowman', 'Ted Rowlands, Baron Rowlands', 'Ernest Fernyhough', 'Gordon Wilson', 'David Hunt, Baron Hunt of Wirral', 'Peter Bottomley', 'Arthur Jones', 'Anthony Fell', 'Peter Rawlinson, Baron Rawlinson of Ewell', 'Jim Callaghan', 'Tim Sainsbury', 'Gregor Mackenzie', 'William Craig', 'David Alton, Baron Alton of Liverpool', 'Bob Mitchell', 'Guy Barnett', 'John Farr', 'John Evans, Baron Evans of Parkside', 'Max Madden', 'John Loveridge', 'Margaret Ewing', 'Judith Hart', 'Robert Parry', 'Rhodes Boyson', 'Joan Lestor, Baroness Lestor of Eccles', 'Robert Cooke', 'John Cordle'","['Walter Johnson', 'Antony Buck', 'William Clark, Baron Clark of Kempston', 'Joseph Dean, Baron Dean of Beswick', 'Merlyn Rees', 'Malcolm Rifkind', 'James Callaghan', 'Willie Whitelaw', 'Edwin Wainwright', 'Alastair Goodlad, Baron Goodlad', 'Leo Abse', 'Les Huckfield', 'Samuel Silkin, Baron Silkin of Dulwich', 'David Crouch', 'Keith Joseph', 'Maureen Colquhoun', 'John Smith', 'William Elliott, Baron Elliott of Morpeth', 'Rhodes Boyson', 'Michael Jopling, Baron Jopling', 'Peter Shore', 'John Gilbert, Baron Gilbert', 'Harry Ewing, Baron Ewing of Kirkford', 'Alex Eadie', 'Norman Miscampbell', 'James White', 'Russell Fairgrieve', 'John Stonehouse', 'Gregor Mackenzie', 'William Whitlock', 'Robert Boscawen', 'Michael Stewart, Baron Stewart of Fulham', 'Nicholas Winterton', 'Keith Speed', 'Joseph Mallalieu', 'Robert Cooke', 'Andrew Bennett', 'David Watkins', 'Douglas Jay, Baron Jay', 'Patrick Cormack, Baron Cormack', 'Laurence Pavitt', 'Burnaby Drayson', 'Robert Woof', 'Ian Grist', 'Paul Channon, Baron Kelvedon', 'Margaret Beckett', 'David Weitzman', 'Roger Stott', 'Terence Higgins, Baron Higgins', 'Stan Thorne', 'Alf Morris', 'Nicholas Budgen', 'Hugh Dykes, Baron Dykes', 'Adam Butler', 'Anthony Kershaw', 'Ian Lloyd', 'Keith Stainton', 'Richard Buchanan', 'Bernard Conlan', 'Anthony Grant', 'John Eden, Baron Eden of Winton', 'John Horam', 'Brian Walden', 'Bob Mitchell', 'Norman Atkinson', 'Ronald Brown', 'Robert Cant', 'William Rupert Rees-Davies', 'James Hamilton', 'Ray Fletcher', 'Ivor Stanbrook', 'Jim Sillars', 'Peter Hardy, Baron Hardy of Wath', 'John Mendelson', 'Michael Latham', 'Philip Holland', 'Elaine Kellett-Bowman', 'Robert Bradford', 'Gordon Oakes', 'Stephen McAdden', 'Leon Brittan', 'Edward Short, Baron Glenamara', 'Joan Lestor, Baroness Lestor of Eccles', 'Ian Percival', 'Geoffrey Johnson Smith', 'Bruce Millan', 'David James', 'Shirley Summerskill', 'Colin Phipps', 'Andrew Bowden', 'Andrew Welsh', 'Peter Rawlinson, Baron Rawlinson of Ewell', 'Frank McElhone', 'Winston Spencer-Churchill', 'Neil Marten', 'Jim Callaghan', 'John Hunt', 'Thomas McMillan', 'Anthony Berry', 'Ernest Fernyhough', 'Cyril Smith', 'Nigel Fisher', 'John Stradling Thomas', 'Geoffrey Rippon', 'Alec Jones', 'Thomas Swain', 'Ronald Bell', 'Myer Galpern', 'Peter Temple-Morris, Baron Temple-Morris', 'Russell Johnston', 'Donald Kaberry, Baron Kaberry of Adel', 'John Davies', 'Jack Dunnett', 'Stanley Orme, Baron Orme', 'Alexander MacPherson Fletcher', 'Jasper More', 'Frank Allaun', 'Bruce Douglas-Mann', 'Guy Barnett', 'Jo Richardson', 'Walter Harrison', 'Bruce Grocott, Baron Grocott', 'Sir George Young', 'James Johnson', 'Arthur Blenkinsop', 'Peter Michael Kirk', 'Tony Benn', 'Mark Carlisle', 'James Dunn', 'Ioan Evans', 'Eric Ogden', 'Roy Hughes, Baron Islwyn', 'Brian Sedgemore', 'Mark Hughes', 'Bob Cryer', 'Ted Rowlands, Baron Rowlands', 'Peter Fry', 'James Tinn', 'James Spicer', 'Frederick Burden', 'Dennis Skinner', 'George Strauss', 'Michael English', 'Oscar Murton, Baron Murton of Lindisfarne', 'Angus Maude', 'Gavin Strang', 'Robert Hughes, Baron Hughes of Woodside', 'Sydney Irving', 'Peter Rees, Baron Rees', 'John Fraser', 'Frank Judd, Baron Judd', 'Ian Gow', 'John Page', 'Daniel Awdry', 'Eric Deakins', 'Fred Silvester', 'Kenneth Lewis', 'Ian Paisley', 'Gwilym Roberts', 'Donald Anderson, Baron Anderson of Swansea', 'Paul Hawkins', 'Roland Moyle', 'Albert Roberts', 'Audrey Wise', 'Robert Kilroy-Silk', 'Kenneth Clarke', 'Sir John Rodgers, 1st Baronet', 'Michael Alison', 'Harry Gourlay', 'Michael Meacher', 'Jack Dormand', 'Anthony Crosland', 'Arthur Irvine', 'Maurice Edelman', 'Esmond Bulmer', 'John Farr', 'Edward Heath', 'Jo Grimond', 'Eldon Griffiths', 'Michael McGuire', 'Edward Gardner', 'Dennis Walters', 'George Thomas, 1st Viscount Tonypandy', 'Walter Padley', 'Michael Morris, Baron Naseby', 'John Hannam', 'Julian Ridsdale', 'John Tomlinson, Baron Tomlinson', 'Geoffrey Howe', 'Neil Carmichael, Baron Carmichael of Kelvingrove', 'Neville Sandelson', 'Norman St John-Stevas, Baron St John of Fawsley', 'John Hall', 'Sally Oppenheim-Barnes, Baroness Oppenheim-Barnes', 'Patrick Jenkin', 'Anthony Nelson', 'Edmund Marshall', 'William Rodgers', 'Fred Mulley', 'Ben Ford', 'Jonathan Aitken', 'Ivan Lawrence', 'Ronald Lewis', 'Geoffrey Finsberg', 'Giles Radice, Baron Radice', 'Charles Morrison', 'John MacGregor, Baron MacGregor of Pulham Market', 'Eric Varley', 'Phillip Whitehead', 'Maurice Orbach', 'George Reid', 'Margaret Thatcher', 'Bonner Pink', 'Tom Cox', 'Ernest Armstrong', 'James Prior, Baron Prior', 'David Lambie', 'John Wells', 'Cranley Onslow', 'Judith Hart', 'David Young', 'Ted Leadbitter', 'Evelyn King', 'David Mitchell', 'Robert Edwards', 'Tony Durant', 'Joe Ashton', 'James Kilfedder', 'Anthony Fell', 'Edmund Dell', 'Edward Bishop, Baron Bishopston', 'Ian Stewart, Baron Stewartby', 'Colin Shepherd', 'Alan Williams', 'Stephen Hastings', 'Patrick Duffy', 'Tim Renton, Baron Renton of Mount Harry', 'Gerald Kaufman', 'Nicholas Edwards, Baron Crickhowell', 'Leslie Spriggs', 'John Evans, Baron Evans of Parkside', 'Marcus Lipton', 'Hugh Delargy', 'Peter Snape, Baron Snape', 'Harwood Harrison', 'Joyce Butler', 'Richard Crawshaw', 'Patrick Wall', 'Robert Maclennan, Baron Maclennan of Rogart', 'Tom Arnold', 'Sir John Gilmour, 3rd Baronet', 'Robert McCrindle', 'Harold Lever, Baron Lever of Manchester', 'Hugh Fraser', 'Frederick Willey', 'Peter Tapsell', 'William Benyon', 'Trevor Skeet', 'Edward Loyden', 'Roy Hattersley', 'Edward Brown', 'Cecil Parkinson', 'Bryan Magee', 'Alfred Hall-Davis', 'Godman Irvine', 'Joseph Godber', 'Paul Dean, Baron Dean of Harptree', 'Donald Coleman', 'Reginald Bennett', 'Robin Cook', 'John Cordle', 'Jeremy Thorpe', 'Don Concannon', 'Wyn Roberts, Baron Roberts of Conwy', 'Robert Brown', 'John Pardoe', 'Nicholas Scott', 'Maurice Macmillan', 'Charles Fletcher-Cooke', 'Richard Luce, Baron Luce', 'Michael Heseltine', 'Philip Goodhart', 'Barney Hayhoe, Baron Hayhoe', 'John Golding', 'Jim Marshall', 'John Heydon Stokes', 'Jerry Wiggin', 'Robert Carr', 'James Boyden', 'Christopher Tugendhat, Baron Tugendhat', 'John Mackintosh', 'Ralph Howell', 'David Owen', 'Giles Shaw', 'Thomas Urwin', 'Marcus Fox', 'William Wilson', 'Michael Shaw', 'Tam Galbraith', 'John Stanley', 'Eric Moonman', 'Jack Ashley, Baron Ashley of Stoke', 'Robert Hicks', ""Michael O'Halloran"", 'Victor Goodhew', 'John Loveridge', 'Dennis Canavan', 'Peter Walker, Baron Walker of Worcester', 'Willie Hamilton', 'David Renton, Baron Renton', 'Robert Sheldon, Baron Sheldon', 'Reg Freeson', 'Timothy Raison', 'John Peyton, Baron Peyton of Yeovil', 'Gerard Folliott Vaughan', 'Julian Amery, Baron Amery of Lustleigh', ""Brian O'Malley"", 'David Price', 'Arthur Lewis', 'Peter Hordern', 'John Robertson', 'William Ross', 'Max Madden', 'Marcus Kimball, Baron Kimball', 'Michael Hamilton', 'Nigel Lawson', 'Jill Knight', 'Edward Graham, Baron Graham of Edmonton', 'Keith Hampson', 'Robert Adley', 'Derek Walker-Smith, Baron Broxbourne', 'Harold Wilson', 'George Gardiner', 'Brandon Rhys-Williams', 'Peter Doig', 'John Silkin', 'Kevin McNamara', 'Kenneth Marks', 'Hugh Jenkins, Baron Jenkins of Putney', 'Richard Wood, Baron Holderness', 'Frank Tomney', 'Alex Lyon', 'Jeffrey Thomas', 'Robert Parry', 'Winnie Ewing', 'Raymond Gower', 'Lynda, Baroness Chalker of Wallasey', 'Michael Mates', 'Bernard Braine', 'Bob Mellish, Baron Mellish', 'John Osborn', 'Albert Booth', 'Morgan Morgan-Giles', 'Thomas Williams', 'Jim Lester', 'Enoch Powell', 'Alan Fitch', 'Eric Heffer', 'Harold McCusker', 'James Lamond', 'John Grant', 'Peter Thomas, Baron Thomas of Gwydir', 'David Ennals, Baron Ennals', 'Ann Taylor, Baroness Taylor of Bolton', 'Michael Cocks', 'Michael Havers, Baron Havers', 'Betty Boothroyd', 'Tony Newton, Baron Newton of Braintree', 'Graham Page', 'Petre Crowder', 'Norman Lamont', 'Syd Bidwell', 'John Parker', 'Anthony Steen', 'Michael Marshall', 'Doug Hoyle, Baron Hoyle', 'Robert Banks', 'John Biffen', 'Betty Harvie Anderson', 'Arthur Davidson', 'Geoffrey Pattie', 'Renee Short', 'James Dempsey', 'John Garrett', 'Lena Jeger, Baroness Jeger', 'Fred Peart, Baron Peart', 'Fergus Montgomery', 'Peter Blaker, Baron Blaker', 'Anthony Royle, Baron Fanshawe of Richmond', 'Tom King, Baron King of Bridgwater', 'Stanley Clinton Davis, Baron Clinton-Davis', 'David Walder', 'Francis Pym, Baron Pym', 'Paul Rose', 'Charles Morris', 'David Steel', 'Alick Buchanan-Smith', 'Cledwyn Hughes, Baron Cledwyn of Penrhos', 'David Marquand', 'Reg Prentice, Baron Prentice', 'Peter Rost', 'Christopher Price', 'Kenneth Baker, Baron Baker of Dorking', 'Lewis Carter-Jones', 'Jack Cunningham, Baron Cunningham of Felling', 'Ian Mikardo', 'Peter Viggers', 'Bernard Weatherill', 'Willie Ross, Baron Ross of Marnock', 'William Molloy, Baron Molloy', 'James Douglas-Hamilton, Baron Selkirk of Douglas', 'Alan Glyn', 'Norman Buchan', 'Arthur Palmer', 'Roy Mason', 'Dickson Mabon', 'Roger Moate', 'Tom Ellis', 'Michael Neubert', 'Barry Jones, Baron Jones', 'Ian Wrigglesworth', 'Barbara Castle, Baroness Castle of Blackburn', 'Harold Walker, Baron Walker of Doncaster', 'Clement Freud', 'Joseph Harper', 'John Wakeham, Baron Wakeham', 'Tom Normanton', 'William Small', 'Peter Mills', 'Humphrey Atkins', 'William Hamling', 'Julian Critchley', 'John Forrester', 'Gwynfor Evans', 'Julius Silverman', 'George Cunningham', 'Norman Fowler', 'Roderick MacFarquhar', 'Arthur Jones', 'Tom Bradley', 'Peter Morrison', 'Reginald Eyre', 'Geraint Howells', 'Kenneth Warren', 'John Moore, Baron Moore of Lower Marsh', 'Michael Foot', 'Selwyn Lloyd', 'Denis Howell, Baron Howell', 'Gordon Bagier', 'Hélène Hayman', 'Michael Shersby', 'Hector Monro, Baron Monro of Langholm', 'Alfred Evans', 'Margaret Ewing', 'Ted Garrett', 'Ian Campbell', 'Donald Stewart', 'Arnold Shaw', 'Richard Body', 'James Molyneaux, Baron Molyneaux of Killead', 'Geraint Morgan', 'Michael Clark Hutchison', 'Edward du Cann', 'Nigel Spearing', 'Evan Luard', 'Sir Anthony Meyer, 3rd Baronet', 'William van Straubenzee', 'Edward Lyons', 'David Knox', 'Ifor Davies', 'Shirley Williams', 'Roy Jenkins', 'Adam Hunter', 'John Nott', 'John Spence', 'Nicholas Ridley, Baron Ridley of Liddesdale', 'Dan Jones', 'Jeremy Bray', 'Reginald Maudling', 'Jeff Rooker, Baron Rooker', 'Airey Neave', 'Alfred Broughton', 'Ronald King Murray, Lord Murray', 'Michael Grylls', 'Arthur Bottomley', 'Michael McNair-Wilson', 'Dafydd Elis-Thomas', 'Patrick Mayhew, Baron Mayhew of Twysden', 'Denzil Davies', 'Patrick McNair-Wilson', 'Michael Spicer, Baron Spicer', 'Geoffrey de Freitas', 'Nicholas Fairbairn', 'Tam Dalyell', 'Roger Sims', 'Bryan Gould', 'Iain Sproat', 'Gwyneth Dunwoody', 'Hugh Brown', 'Ian Gilmour, Baron Gilmour of Craigmillar', 'Toby Jessel', 'Dafydd Wigley', 'Denis Healey', 'David Lane', 'Bruce George', 'Bill Shelton', 'Peter Emery', 'Harold Boardman', 'John Cope, Baron Cope of Berkeley', 'Hugh Rossi', 'Stan Newens', 'Emlyn Hooson, Baron Hooson', 'Ernest Perry', 'Andrew Faulds', 'Dudley Smith', 'Hamish Watt', 'John Corrie', 'Kenneth Lomas', 'Robin Corbett, Baron Corbett of Castle Vale', 'Tim Rathbone', 'John Langford-Holt', 'Carol Mather', 'Douglas Hurd', 'George Sinclair', 'Timothy Kitson', 'Albert Costain', 'Martin Flannery', 'Gerry Fitt', 'Alec Woodall', 'Robin Maxwell-Hyslop', 'Russell Kerr', 'George Grant', 'John Morris, Baron Morris of Aberavon', 'David Ginsburg', 'Richard Kelley', 'Brynmor John', 'Peter Archer, Baron Archer of Sandwell', 'Walter Clegg', 'John Michael Gorst', 'Cyril Townsend', 'Alan Beith', 'Ray Mawby', 'Richard Wainwright', 'Teddy Taylor', 'Maurice Miller', 'Edward Fletcher', 'Hugh McCartney', 'John Prescott', 'Raphael Tuck', 'David Howell, Baron Howell of Guildford', 'Gordon Wilson', 'Greville Janner, Baron Janner of Braunstone', 'David Mudd', 'Hamish Gray, Baron Gray of Contin', 'Thomas Torney', 'William Craig', 'Bryan Davies, Baron Davies of Oldham', 'Neville Trotter', 'John Desmond Cronin', 'Paul Bryan', 'Simon Mahon', 'Tom Pendry, Baron Pendry', 'John Biggs-Davison', 'Tim Sainsbury', 'James Wellbeloved', 'Frederic Bennett', 'Neil Kinnock', 'Joel Barnett, Baron Barnett', 'Arthur Latham']"
160,"'Rudolf Ganahl', 'Johann Georg Waibel', 'Karl Drexel', 'Martin Thurnher', 'Joseph Samuel Bloch', 'Gustav Schreiner', 'Ferdinand Kinz', 'Franz Loser', 'Johann Kohler', 'Andreas Fetz', 'Bohumír Šmeral'","['Franz Loser', 'Martin Thurnher', 'Gustav Schreiner', 'Ferdinand Kinz', 'Bohumír Šmeral']"
180,"'Jesús Esperabé de Arteaga González', 'Carlos Ollero Gómez', 'Armando Muñoz Calero', 'Alfonso Pérez Viñeta', 'José María Sentís Simeón', 'Claudi Colomer i Marqués', 'José Utrera Molina', 'Fernando María Castiella y Maíz', 'Jaime Alba Delibes', 'José Félix de Lequerica y Erquiza', 'Blas Tello', 'Camilo Alonso Vega', 'Ángel González Álvarez', 'José Millán Astray', 'Bartolomé Barba Hernández', 'Ramón Serrano Suñer', 'José Moreno Torres', 'Luis Ortiz Muñoz', 'Tomás Suñer Ferrer', 'José Finat y Escrivá de Romaní', 'Blas Piñar', 'Leopoldo Calvo-Sotelo', 'Gabriel Cisneros', 'Gregorio Marañón Moya', 'José Maldonado y Fernández del Torco', 'Alfonso Pérez Viñeta', 'Luis Díez del Corral', 'Antoni Maria Simarro i Puig', 'Eduardo Navarro Álvarez', 'Manuel Halcón', 'José Martínez Emperador', 'Segismundo Royo-Villanova y Fernández-Cavada', 'Álvaro de Figueroa, 1st Count of Romanones', 'Pilar Primo de Rivera', 'Euloxio Gómez Franqueira', 'José María Sánchez-Ventura Pascual', 'Miquel Mateu i Pla', 'Víctor Hellín', 'Torcuato Luca de Tena', 'José Fernández-Villaverde', 'Fernando Herrero Tejedor', 'Emilio Rodríguez Tarduchy', 'Francisco Javier Conde García', 'Carlos Ruiz del Castillo', 'Manuel de Mora-Figueroa', 'Alberto Alcocer y Ribacoba', 'Juan José Espinosa San Martín', 'Florentino Pérez Embid', 'Santiago de Cruïlles de Peratallada Bosch', 'José Monasterio Ituarte', 'Francisco Labadie Otermin', 'Adolfo Suárez', 'Ernesto Giménez Caballero', 'José Luis de Arrese', 'Carlos Asensio Cabanillas', 'Antonio Barroso y Sánchez-Guerra', 'Joaquim Buxó Dulce d'Abaigar', 'José María Pemán', 'Ricardo Oreja', 'Rodolfo Martín Villa', 'Pedro Muguruza', 'Antonio Barroso y Sánchez-Guerra'","['Ángel González Álvarez', 'José Martínez Emperador', 'Euloxio Gómez Franqueira', 'Francisco Labadie Otermin', 'Manuel Díez-Alegría', 'Juan Antonio Samaranch', 'Alfonso Pérez Viñeta', 'Adolfo Suárez', 'Leopoldo Calvo-Sotelo', 'Santiago de Cruïlles de Peratallada Bosch', 'José Luis de Arrese', 'Jesús Esperabé de Arteaga González', 'Gabriel Cisneros', 'Blas Tello', 'Antonio Barroso y Sánchez-Guerra', 'Eduardo Navarro Álvarez', 'José Finat y Escrivá de Romaní', 'Torcuato Luca de Tena', 'Rodolfo Martín Villa', 'José Clua Queixalós', 'Blas Piñar', 'Pilar Primo de Rivera', 'José Utrera Molina']"
