0,'Rome Prize',['Rome Prize']
10,'Burnley F.C.',['Burnley F.C.']
20,'Germany national under-21 football team',['Germany national under-21 football team']
30,'Port Vale F.C.',['Port Vale F.C.']
40,"'Order of Kutuzov, 1st class', 'Hero of the Soviet Union'","['Hero of the Soviet Union', 'Order of Lenin', 'Medal ""For the Capture of Berlin""', 'Order of Kutuzov, 1st class']"
50,"'Charles Stuart, 1st Baron Stuart de Rothesay', 'Arthur Wellesley, 1st Duke of Wellington', 'Granville Leveson-Gower, 1st Earl Granville', 'Charles Hardinge, 1st Baron Hardinge of Penshurst', 'Henry Wellesley, 1st Earl Cowley'","['Charles Stuart, 1st Baron Stuart de Rothesay']"
60,"'Kyösti Kallio', 'Rudolf Holsti', 'Lauri Ingman', 'Kaarlo Juho Ståhlberg', 'Pehr Evind Svinhufvud', 'Risto Ryti'","['Juho Vennola', 'Lauri Ingman', 'Kyösti Kallio', 'Erkki Kaila']"
70,'Brescia Calcio',"['Italy national football team', 'Brescia Calcio']"
80,"'Theatre World Award', 'Tony Award for Best Featured Actor in a Play'","['Tony Award for Best Featured Actor in a Play', 'Theatre World Award']"
90,"'A.C. Perugia Calcio', 'Juventus F.C.', 'Italy national under-21 football team'","['Juventus F.C.', 'Italy national under-21 football team', 'A.C. Perugia Calcio']"
100,'Geoffrey Midgley',['Geoffrey Midgley']
110,'Club Atlético River Plate',['Club Atlético River Plate']
120,'John Addison Porter Prize',['John Addison Porter Prize']
130,'Club Atlético River Plate',['Club Atlético River Plate']
140,'Sakurai Prize',['Sakurai Prize']
150,'International Simón Bolívar Prize',['International Simón Bolívar Prize']
160,"'Dirac Prize', 'ICTP Dirac Medal'","['ICTP Dirac Medal', 'Dirac Prize']"
170,'Jesús Merino Delgado',"['Juan José Lucas', 'Eloísa Álvarez Oteo', 'Jesús Merino Delgado']"
180,"'Brentford F.C.', 'Millwall F.C.'","['Brentford F.C.', 'Millwall F.C.']"
190,'Bologna F.C. 1909',['Bologna F.C. 1909']
200,'John Christian',['John Christian']
210,'Leopold-von-Buch-Plaque',['Leopold-von-Buch-Plaque']
220,"'Clemens August of Bavaria', 'George I of Great Britain'",['George I of Great Britain']
230,'Theatre World Award',['Theatre World Award']
240,'Sunderland A.F.C.',['Sunderland A.F.C.']
250,'Wolverhampton Wanderers F.C.',"['Wolverhampton Wanderers F.C.', 'England national football team']"
260,'Leyton Orient F.C.',"['Queens Park Rangers F.C.', 'Leyton Orient F.C.']"
270,'Calcio Padova',"['A.C. Milan', 'Calcio Padova']"
280,"'Juventus F.C.', 'Torino Football Club'",['Torino Football Club']
290,'Torino Football Club',['Torino Football Club']
300,'Charlton Athletic F.C.',['Charlton Athletic F.C.']
310,'Tottenham Hotspur F.C.',"['Tottenham Hotspur F.C.', 'England national football team']"
320,'Coventry City F.C.',['Coventry City F.C.']
330,'Vincent Astor',['Vincent Astor']
340,'Ernst-Jung-Preis für Medizin',['Ernst-Jung-Preis für Medizin']
350,'Robert Southey',['William Wordsworth']
360,'Barnsley F.C.',"['Sheffield Wednesday F.C.', 'Barnsley F.C.']"
370,"'Gholam-Ali Haddad-Adel', 'Hassan Rouhani'","['Gholam-Ali Haddad-Adel', 'Hassan Rouhani']"
380,'Calder Memorial Trophy',['Calder Memorial Trophy']
390,'Brescia Calcio',"['Genoa Cricket and Football Club', 'Brescia Calcio']"
400,'Roy Romer',['Roy Romer']
410,"'Bologna F.C. 1909', 'Calcio Padova'","['Bologna F.C. 1909', 'Calcio Padova']"
420,'Bologna F.C. 1909',['Bologna F.C. 1909']
430,"'York City F.C.', 'Stoke City F.C.', 'Preston North End F.C.'",['York City F.C.']
440,'Order of the Red Eagle 4th Class',['Order of the Red Eagle 4th Class']
450,'Ernst von Siemens Music Prize',['Ernst von Siemens Music Prize']
460,'ACF Fiorentina',"['Italy national under-21 football team', 'ACF Fiorentina']"
470,'Grand Cross of the Civil Order of Alfonso X the Wise',['Grand Cross of the Civil Order of Alfonso X the Wise']
480,"'Order of Lenin', 'Hero of the Soviet Union', 'Gold Star'","['Gold Star', 'Hero of the Soviet Union', 'Order of Lenin']"
490,'Victoria Cross',['Victoria Cross']
