qid,placeholder,placeholder,pred,label
20,,,"['line_kruse', 'nikolaj_lie_kaas', 'mads_mikkelsen', 'ulrich_thomsen']","['mads_mikkelsen', 'ulrich_thomsen', 'line_kruse', 'nikolaj_lie_kaas']"
40,,,"['todd_field', 'hal_hartley', 'rob_epstein', 'jeffrey_friedman']","['jeffrey_friedman', 'rob_epstein', 'todd_field', 'hal_hartley']"
60,,,"['1958', '1956']","['1956', '1958']"
80,,,"['john_maybury', 'françois_girard', 'fernando_meirelles']","['john_maybury', 'françois_girard', 'fernando_meirelles']"
100,,,"['2011', '2005', '1986', '2004', '2008', '2006', '2001', '2000', '2009', '2007', '1999', '2002', '2003']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,,,"['horror', 'action', 'comedy', 'drama']","['action', 'drama', 'horror', 'comedy']"
140,,,Abstain,"['michael_almereyda', 'adrian_grunberg', 'roland_emmerich', 'gillies_mackinnon', 'george_ogilvie', 'peter_weir', 'john_badham', 'tim_burstall', 'sean_penn', 'wim_wenders', 'richard_donner', 'roger_spottiswoode', 'dean_semler', 'barry_levinson', 'jodie_foster', 'mark_rydell', 'jean_renoir', 'm._night_shyamalan', 'nick_cassavetes', 'brian_helgeland', 'tony_richardson', 'nick_park', 'luis_mandoki', 'steve_miner', 'robert_zemeckis', 'gillian_armstrong', 'franco_zeffirelli', 'laurence_olivier', 'ron_howard', 'john_gielgud', 'pen_densham', 'anthony_minghella', 'peter_lord', 'nancy_meyers', 'lewis_milestone', 'randall_wallace', 'robert_rodriguez', 'robert_towne', 'jarmo_lampela', 'martin_campbell', 'george_miller', 'jeff_stanzler', 'graham_baker', 'robert_redford', 'mel_gibson', 'grigori_kozintsev', 'roger_donaldson', 'kenneth_branagh', 'phil_joanou']"
160,,,"['michael_ritchie', 'ken_shapiro', 'jay_sandrich', 'harold_ramis', 'peter_hewitt', 'stephen_herek', 'george_roy_hill', 'stephen_kessler', 'colin_higgins', 'john_landis', 'john_carpenter', 'william_friedkin']","['jay_sandrich', 'peter_hewitt', 'michael_ritchie', 'john_landis', 'william_friedkin', 'stephen_herek', 'ken_shapiro', 'harold_ramis', 'george_roy_hill', 'stephen_kessler', 'john_carpenter', 'colin_higgins']"
180,,,['1951'],"['1955', '1954']"
200,,,"['vincent_spano', 'jane_fonda', 'rebecca_de_mornay', 'alain_delon', 'terence_stamp', 'brigitte_bardot']","['brigitte_bardot', 'jane_fonda', 'vincent_spano', 'terence_stamp', 'rebecca_de_mornay', 'alain_delon']"
220,,,"['crime', 'adventure', 'action', 'drama', 'horror', 'thriller']","['horror', 'crime', 'drama', 'adventure', 'action', 'thriller']"
240,,,Abstain,"['mystery', 'romance', 'horror', 'crime', 'drama', 'fantasy', 'western', 'action', 'comedy', 'war', 'thriller', 'adventure']"
260,,,"['herbert_lom', 'susan_harrison', 'claudia_cardinale', 'tony_curtis', 'marlon_wayans', 'tom_hanks', 'peter_sellers', 'martin_milner', 'burt_lancaster', 'joan_greenwood', 'irma_p._hall', 'cecil_parker', 'alec_guinness']","['marlon_wayans', 'herbert_lom', 'joan_greenwood', 'cecil_parker', 'tom_hanks', 'claudia_cardinale', 'susan_harrison', 'irma_p._hall', 'burt_lancaster', 'peter_sellers', 'alec_guinness', 'tony_curtis', 'martin_milner']"
280,,,['chris_rock'],['chris_rock']
300,,,"['georgina_reilly', 'greg_calderone', 'callum_keith_rennie', 'ellen_page', 'hugh_dillon', 'bernie_coulson', 'bruce_mcdonald']","['ellen_page', 'bernie_coulson', 'bruce_mcdonald', 'greg_calderone', 'callum_keith_rennie', 'hugh_dillon', 'georgina_reilly']"
320,,,"['maria_sole_tognazzi', 'silvio_soldini', 'carlo_verdone']","['maria_sole_tognazzi', 'silvio_soldini', 'carlo_verdone']"
340,,,"['michael_crichton', 'neville_smith', 'will_gluck', 'charles_dickens', 'michael_wadleigh', 'frederic_raphael', 'terence_rattigan', 'ronald_harwood', 'peter_mayle', 'harold_gray', 'kelly_masterson', 'malcolm_lowry', 'alan_sillitoe', 'carol_sobieski', 'shane_connaughton', 'leslie_bricusse', 'daniel_wallace', 'bo_goldman', 'whitley_strieber', 'john_august', 'thomas_meehan', 'guy_gallo']","['leslie_bricusse', 'neville_smith', 'will_gluck', 'whitley_strieber', 'michael_wadleigh', 'shane_connaughton', 'thomas_meehan', 'kelly_masterson', 'malcolm_lowry', 'guy_gallo', 'josephine_humphreys', 'ronald_harwood', 'terence_rattigan', 'carol_sobieski', 'john_august', 'harold_gray', 'peter_mayle', 'alan_sillitoe', 'michael_crichton', 'bo_goldman', 'charles_dickens', 'frederic_raphael', 'daniel_wallace']"
360,,,"['crime', 'adventure', 'drama', 'mystery', 'music', 'comedy', 'biography']","['mystery', 'crime', 'drama', 'music', 'adventure', 'comedy', 'biography']"
380,,,"['2004', '2010']","['2010', '2004']"
400,,,Abstain,"['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,,,"['1955', '2004', '2008', '2006', '2001', '2000', '2009', '2007', '1994', '1998', '2003', '2013']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,,,"['1999', '1991', '1979', '2006', '2001', '1995', '1981', '1960', '2009', '2007', '1983', '1992', '2002', '1936', '1972', '1920', '1977']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,,,"['chris_klein', 'jason_biggs', 'thomas_ian_nicholas', 'hugh_grant', 'nicholas_hoult', 'alyson_hannigan']","['chris_klein', 'hugh_grant', 'nicholas_hoult', 'jason_biggs', 'alyson_hannigan', 'thomas_ian_nicholas']"
480,,,"['crime', 'action', 'drama']","['action', 'drama', 'crime']"
500,,,"['don_mankiewicz', 'sinclair_lewis', 'baynard_kendrick', 'david_dortort', 'frank_burt', 'robert_buckner', 'pär_lagerkvist', 'thomas_t._flynn', 'claude_stanush', 'richard_brooks', 'horace_mccoy', 'philip_yordan', 'alf_sjöberg']","['don_mankiewicz', 'thomas_t._flynn', 'horace_mccoy', 'baynard_kendrick', 'philip_yordan', 'sinclair_lewis', 'david_dortort', 'robert_buckner', 'frank_burt', 'claude_stanush', 'richard_brooks', 'alf_sjöberg', 'pär_lagerkvist']"
520,,,"['john_ford', 'gary_sinise', 'elia_kazan', 'david_s._ward', 'lewis_milestone', 'emilio_fernández', 'victor_fleming']","['elia_kazan', 'david_s._ward', 'gary_sinise', 'victor_fleming', 'emilio_fernández', 'lewis_milestone', 'john_ford']"
540,,,"['documentary', 'action', 'western', 'horror', 'comedy']","['action', 'horror', 'comedy', 'documentary', 'western']"
560,,,"['keke_palmer', 'joan_crawford', 'meg_ryan', 'william_h._macy', 'fred_macmurray', 'billy_crudup', 'selma_blair', 'christian_slater', 'michael_sheen', 'christopher_reeve', 'kim_cattrall', 'robert_loggia', 'edward_kerr', 'don_rickles', 'colm_feore', 'david_morrissey', 'ned_beatty']","['william_h._macy', 'christopher_reeve', 'michael_sheen', 'joan_crawford', 'colm_feore', 'ned_beatty', 'robert_loggia', 'don_rickles', 'edward_kerr', 'meg_ryan', 'selma_blair', 'david_morrissey', 'keke_palmer', 'fred_macmurray', 'kim_cattrall', 'billy_crudup', 'christian_slater']"
580,,,"['1999', '2009', '2004']","['1993', '2010']"
600,,,"['crime', 'history', 'action', 'drama', 'war']","['drama', 'action', 'crime', 'war', 'history']"
620,,,['2002'],['2002']
640,,,"['drama', 'romance', 'comedy', 'horror', 'biography']","['drama', 'romance', 'horror', 'comedy', 'biography']"
