qid,prediction,gt_label
WebQTest-31,"['London', 'Dunblane']",[None]
WebQTest-54,['Germany'],['Nazi Germany']
WebQTest-76,"['St. Jerome in the Wilderness', 'Salvator Mundi', 'Adoration of the Magi', ""Leonardo's horse"", 'Medusa', 'Virgin of the Rocks', 'St. John the Baptist', 'Madonna of Laroque', 'Horse and Rider', 'Madonna of the Yarnwinder', 'Madonna Litta', 'Annunciation', 'The Holy Infants Embracing', 'Leda and the Swan', 'Portrait of a Musician', 'Portrait of a Young Fiancée', 'Benois Madonna', 'Mona Lisa', ""Ginevra de' Benci"", 'Bacchus', 'The Virgin and Child with St. Anne', 'Sala delle Asse', 'Drapery for a Seated Figure', 'Vitruvian Man', 'Portrait of a man in red chalk', 'The Baptism of Christ', 'The Battle of Anghiari', 'The Virgin and Child with St Anne and St John the Baptist', ""Portrait of Isabella d'Este"", 'Lucan portrait of Leonardo da Vinci', 'La belle ferronnière', 'Madonna and Child with St Joseph', 'Madonna of the Carnation', 'The Last Supper', 'Head of a Woman', 'Lady with an Ermine']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,['Spanish Language'],"['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Estonia', 'Lithuania', 'Latvia']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Fender Stratocaster', 'Rickenbacker 360/12']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Neon lamp', 'Alternating current', 'Three-phase electric power', 'Wireless telegraphy', 'Induction motor', 'Tesla coil', 'Remote control']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003'],['2003–04 NBA season']
WebQTest-298,"['1983 World Series', '1966 World Series', '1970 World Series']","['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['Apollo 13', 'Splash', 'Inferno', 'The Lost Symbol', 'Frost/Nixon', 'Cinderella Man', 'Rush', 'The Dilemma', 'Cotton Candy', 'EDtv', 'Angels & Demons', 'The Dark Tower', 'Gung Ho', 'Jay-Z: Made in America', 'A Beautiful Mind', 'Far and Away', 'Night Shift', 'Willow', 'The Missing', 'Backdraft', 'The Paper', 'In the Heart of the Sea', 'Grand Theft Auto', 'Parenthood', 'Presidential Reunion', 'Ransom', 'The Da Vinci Code', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Cocoon']","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
WebQTest-349,"['Los Angeles Lakers', 'Chicago Bulls', ""Duke Blue Devils men's basketball""]","['Cleveland Cavaliers', 'Utah Jazz']"
WebQTest-380,"['Skamania County', 'Washington', 'United States of America']","['North America', 'Washington', 'United States of America', 'Cascade Range', 'Skamania County']"
WebQTest-403,['Turkish Language'],"['Turkish Language', 'Zaza language', 'Ladino Language', 'Kurdish languages', 'Arabic Language']"
WebQTest-428,"['Kansas', 'Ohio', 'Missouri', 'Nebraska', 'Wisconsin', 'Indiana', 'Minnesota', 'South Dakota', 'Illinois', 'Michigan', 'North Dakota', 'Iowa']","['Avenue of the Saints', 'West North Central States', 'East North Central States', 'Iowa', 'Illinois', 'Indiana', 'Kansas', 'Michigan', 'Missouri', 'Minnesota', 'Nebraska', 'North Dakota', 'Ohio', 'South Dakota', 'Wisconsin', 'Council Grove']"
WebQTest-453,"['Spanish Language', 'Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole']","['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']"
WebQTest-479,['Minnesota Vikings'],['University of Oklahoma']
WebQTest-509,"['Federal republic', 'Presidential system']","['Presidential system', 'Federal republic']"
WebQTest-532,['Football'],['Football']
WebQTest-559,"['Violin', 'Piano']","['Piano', 'Violin']"
WebQTest-585,['England'],['England']
WebQTest-612,"['New Orleans Saints', 'Carolina Panthers', 'Miami Hurricanes football', 'New York Giants']",['Carolina Panthers']
WebQTest-635,"['Kenny McCormick', 'Danny Glover', 'Saddam Hussein', 'Wizard of Oz', 'Gerald Broflovski', 'Dave the Lighting Guy', 'Doug Remer', 'Ethan Hawke', 'Terrance Henry Stoot', 'Chris', 'Jimbo Kearn', 'Kyle / Kenny / Jesus', 'Former Columbine Student', 'George Clooney', 'Hermaphrodite', 'Ticket Taker', 'James Humphries', 'Man toasting drinks at MCA outdoor bar', 'Bill Gates', 'Kyle Broflovski', 'Taper Guy']","['Kenny McCormick', 'Kyle Broflovski', 'Wizard of Oz', 'Terrance Henry Stoot', 'Gerald Broflovski', 'Bill Gates', 'Ethan Hawke', 'Chris', 'George Clooney', 'Danny Glover', 'Jimbo Kearn', 'Saddam Hussein', 'James Humphries', 'Former Columbine Student', 'Doug Remer', 'Hermaphrodite', 'Taper Guy', 'Kyle / Kenny / Jesus', 'Dave the Lighting Guy', 'Man toasting drinks at MCA outdoor bar', 'Ticket Taker']"
WebQTest-657,['Memphis'],['Memphis']
WebQTest-680,"['Argentina national football team', 'Manchester City F.C.', 'Club Atlético Independiente', 'Atlético Madrid']","['Manchester City F.C.', 'Argentina national football team', 'Club Atlético Independiente', 'Atlético Madrid']"
WebQTest-704,['Thor Heyerdahl'],"['Film Producer', 'Adventurer', 'Film director', 'Ethnographer', 'Scientist', 'Cinematographer']"
WebQTest-728,['John Boehner'],"['Nancy Pelosi', 'John Boehner']"
WebQTest-752,['Coca-Cola'],['Coca-Cola']
